,game_index,t,sold_quantity_0,unit_price_0,sold_quantity_1,unit_price_1,sold_quantity_2,unit_price_2
0,1,0,18,10.0,0,,0,
1,1,1,20,10.0,0,,46,14.282608695652176
2,1,2,18,10.0,19,4.0,19,16.0
3,1,3,20,10.0,34,6.970588235294117,53,15.320754716981131
4,1,4,12,10.0,35,2.0,47,15.23404255319149
5,1,5,9,10.0,36,2.0,37,14.486486486486484
6,1,6,10,10.0,15,3.8,66,15.181818181818182
7,1,7,3,10.0,34,3.2058823529411766,122,22.52459016393443
8,1,8,9,10.0,16,16.375,103,24.69902912621359
9,1,9,10,10.0,19,28.0,92,25.52173913043478
10,1,10,9,10.0,29,2.0,134,21.44029850746269
11,1,11,10,10.0,22,1.5454545454545454,90,24.66666666666667
12,1,12,12,10.0,30,3.066666666666667,122,23.057377049180328
13,1,13,12,10.0,37,1.1891891891891893,55,14.436363636363636
14,1,14,8,10.0,11,2.0,17,16.0
15,1,15,8,10.0,9,2.4444444444444446,13,23.23076923076923
16,1,16,11,10.0,22,1.6363636363636365,92,16.869565217391305
17,1,17,9,10.0,21,1.4285714285714286,11,14.0
18,1,18,9,10.0,55,3.145454545454545,17,15.176470588235292
19,1,19,10,10.0,5,5.0,19,14.26315789473684
20,1,20,12,10.0,10,2.3,82,24.939024390243897
21,1,21,10,10.0,66,6.287878787878787,102,23.35294117647059
22,1,22,10,10.0,26,1.3461538461538465,36,17.52777777777778
23,1,23,9,10.0,11,2.8181818181818183,39,14.256410256410255
24,1,24,15,10.0,28,2.8571428571428568,43,14.83720930232558
25,1,25,11,10.0,22,2.409090909090909,74,14.04054054054054
26,1,26,15,10.0,16,2.6875,33,18.181818181818183
27,1,27,12,10.0,45,1.8666666666666667,59,17.084745762711865
28,1,28,13,10.0,12,1.0,94,26.5531914893617
29,1,29,9,10.0,2,1.0,100,24.9
30,1,30,13,10.0,1,1.0,42,18.261904761904766
31,1,31,7,10.0,32,5.5,60,15.25
32,1,32,11,10.0,32,1.0,24,20.458333333333336
33,1,33,12,10.0,15,2.466666666666667,15,25.266666666666666
34,1,34,12,10.0,14,2.7857142857142856,28,15.071428571428573
35,1,35,10,10.0,5,8.0,4,43.0
36,1,36,8,10.0,4,4.0,8,44.0
37,1,37,10,10.0,3,3.0,6,44.0
38,1,38,14,10.0,0,,4,43.0
39,1,39,10,10.0,2,1.5,4,44.0
40,1,40,10,10.0,4,4.0,0,
41,1,41,10,10.0,10,2.0,5,43.0
42,1,42,14,10.0,0,,4,44.0
43,1,43,8,10.0,0,,8,43.5
44,1,44,13,10.0,1,1.0,5,43.0
45,1,45,9,10.0,0,,5,43.2
46,1,46,11,10.0,1,2.0,4,44.0
47,1,47,11,10.0,9,4.5555555555555545,0,
48,1,48,12,10.0,0,,10,22.7
49,1,49,11,10.0,6,7.833333333333332,5,44.0
50,1,50,17,10.0,0,,4,44.0
51,1,51,10,10.0,2,5.0,4,43.0
52,1,52,10,10.0,0,,2,43.0
