simulation,time,seller,buyer,product,quantity,price
0,4,m_0,f1_0,p0,1,1.5
0,6,m_0,f1_0,p0,1,1.5
0,6,f1_0,f2_0,p1,1,6.0
0,7,f2_0,c_4,p2,1,2.0
0,8,m_2,f1_0,p0,1,1.0
0,8,m_1,f1_0,p0,1,1.5
0,8,f1_0,f2_0,p1,1,6.0
0,9,m_0,f1_0,p0,1,1.0
0,9,m_4,f1_0,p0,1,1.5
0,9,f1_0,f2_0,p1,1,6.0
0,10,f1_0,f2_0,p1,1,6.0
0,10,f2_0,c_4,p2,3,27.0
0,10,f2_0,c_2,p2,1,3.0
0,11,m_2,f1_0,p0,1,1.0
0,11,f1_0,f2_0,p1,1,6.0
0,11,f2_0,c_3,p2,2,18.0
0,12,m_1,f1_0,p0,1,1.0
0,12,f2_0,c_2,p2,2,18.0
0,13,m_0,f1_0,p0,1,1.5
0,13,m_2,f1_0,p0,1,1.5
0,13,f1_0,f2_0,p1,1,6.0
0,13,f1_0,f2_0,p1,1,6.0
0,14,m_1,f1_0,p0,1,1.5
0,14,f1_0,f2_0,p1,1,6.0
0,14,f2_0,c_2,p2,2,18.0
0,15,m_3,f1_0,p0,1,1.5
0,15,m_2,f1_0,p0,1,1.0
0,15,f1_0,f2_0,p1,1,6.0
0,15,f2_0,c_3,p2,2,18.0
0,16,f1_0,f2_0,p1,1,6.0
0,16,f2_0,c_4,p2,3,27.0
0,17,m_3,f1_0,p0,1,1.5
0,17,f1_0,f2_0,p1,1,6.0
0,17,f1_0,f2_0,p1,1,6.0
0,17,f2_0,c_2,p2,1,9.0
0,17,f2_0,c_1,p2,2,18.0
0,18,m_2,f1_0,p0,1,1.0
0,18,f1_0,f2_0,p1,1,6.0
0,18,f1_0,f2_0,p1,1,6.0
0,18,f2_0,c_3,p2,2,18.0
0,18,f2_0,c_0,p2,1,9.0
0,19,m_1,f1_0,p0,1,1.0
0,19,f1_0,f2_0,p1,1,2.5
0,19,f2_0,c_1,p2,2,18.0
0,19,f2_0,c_3,p2,1,9.0
0,20,m_0,f1_0,p0,1,1.5
0,20,f2_0,c_0,p2,2,18.0
0,20,f2_0,c_4,p2,1,9.0
0,21,m_1,f1_0,p0,1,1.0
0,21,f2_0,c_4,p2,3,16.5
0,22,m_0,f1_0,p0,1,1.0
0,22,f1_0,f2_0,p1,3,18.0
0,22,f2_0,c_2,p2,1,9.0
0,22,f2_0,c_0,p2,2,18.0
0,24,m_2,f1_0,p0,1,1.0
0,25,m_3,f1_0,p0,1,1.5
0,25,f1_0,f2_0,p1,2,12.0
0,25,f2_0,c_0,p2,2,18.0
0,25,f2_0,c_4,p2,3,27.0
0,26,f1_0,f2_0,p1,1,6.0
0,26,f2_0,c_4,p2,1,9.0
0,26,f2_0,c_0,p2,2,18.0
0,27,m_3,f1_0,p0,2,3.0
0,27,m_4,f1_0,p0,2,3.0
0,27,f2_0,c_3,p2,3,27.0
0,28,f1_0,f2_0,p1,2,12.0
0,28,f2_0,c_0,p2,3,27.0
0,29,m_3,f1_0,p0,1,1.0
0,29,m_4,f1_0,p0,1,1.0
0,29,m_2,f1_0,p0,1,1.5
0,29,m_1,f1_0,p0,1,1.5
0,29,f1_0,f2_0,p1,1,6.0
0,29,f1_0,f2_0,p1,1,6.0
0,29,f2_0,c_0,p2,2,18.0
0,29,f2_0,c_3,p2,1,9.0
0,30,f1_0,f2_0,p1,1,6.0
0,30,f2_0,c_1,p2,2,18.0
0,30,f2_0,c_3,p2,2,18.0
0,31,m_1,f1_0,p0,1,1.0
0,31,f1_0,f2_0,p1,2,12.0
0,31,f1_0,f2_0,p1,1,6.0
0,31,f2_0,c_4,p2,2,18.0
0,31,f2_0,c_3,p2,1,9.0
0,31,f2_0,c_0,p2,1,9.0
0,32,m_2,f1_0,p0,1,1.5
0,32,f1_0,f2_0,p1,1,6.0
0,32,f2_0,c_4,p2,2,18.0
0,32,f2_0,c_1,p2,2,18.0
0,33,f2_0,c_0,p2,4,36.0
0,34,m_1,f1_0,p0,1,1.5
0,34,m_3,f1_0,p0,1,1.5
0,34,f2_0,c_2,p2,2,18.0
0,34,f2_0,c_4,p2,1,9.0
0,35,f1_0,f2_0,p1,1,6.0
0,35,f1_0,f2_0,p1,1,6.0
0,35,f2_0,c_2,p2,1,9.0
0,35,f2_0,c_4,p2,2,18.0
0,36,m_0,f1_0,p0,1,1.5
0,36,m_1,f1_0,p0,1,1.5
0,36,m_4,f1_0,p0,2,1.0
0,36,f2_0,c_0,p2,3,27.0
0,37,f1_0,f2_0,p1,2,12.0
0,37,f1_0,f2_0,p1,1,6.0
0,37,f2_0,c_1,p2,3,27.0
0,38,m_1,f1_0,p0,1,1.0
0,38,m_1,f1_0,p0,1,1.0
0,38,m_3,f1_0,p0,1,1.5
0,38,m_3,f1_0,p0,2,3.0
0,38,f1_0,f2_0,p1,1,6.0
0,39,m_4,f1_0,p0,1,1.0
0,39,m_1,f1_0,p0,1,1.5
0,39,f1_0,f2_0,p1,2,12.0
0,39,f1_0,f2_0,p1,1,6.0
0,40,f2_0,c_3,p2,4,36.0
0,40,f2_0,c_0,p2,1,9.0
0,40,f2_0,c_4,p2,1,9.0
0,41,m_3,f1_0,p0,2,2.0
0,41,m_1,f1_0,p0,2,3.0
0,41,f1_0,f2_0,p1,1,6.0
0,41,f1_0,f2_0,p1,2,12.0
0,41,f2_0,c_4,p2,4,36.0
0,41,f2_0,c_1,p2,2,18.0
0,41,f2_0,c_0,p2,2,18.0
0,42,m_3,f1_0,p0,1,1.0
0,42,m_1,f1_0,p0,1,1.5
0,42,m_0,f1_0,p0,1,1.0
0,42,f1_0,f2_0,p1,1,6.0
0,42,f2_0,c_4,p2,3,27.0
0,43,f1_0,f2_0,p1,1,6.0
0,43,f1_0,f2_0,p1,2,12.0
0,43,f1_0,f2_0,p1,1,6.0
0,43,f2_0,c_1,p2,1,9.0
0,43,f2_0,c_2,p2,2,18.0
0,44,f1_0,f2_0,p1,1,6.0
0,44,f2_0,c_2,p2,2,18.0
0,44,f2_0,c_1,p2,2,18.0
0,45,f2_0,c_0,p2,1,9.0
0,45,f2_0,c_3,p2,3,27.0
0,46,f2_0,c_1,p2,2,18.0
0,46,f2_0,c_4,p2,1,9.0
0,47,m_1,f1_0,p0,2,1.0
0,47,f2_0,c_4,p2,1,9.0
0,47,f2_0,c_1,p2,1,9.0
0,47,f2_0,c_0,p2,1,9.0
0,48,f1_0,f2_0,p1,2,12.0
0,48,f1_0,f2_0,p1,1,6.0
0,48,f1_0,f2_0,p1,2,12.0
0,48,f2_0,c_4,p2,2,18.0
0,49,m_0,f1_0,p0,1,1.5
0,49,f2_0,c_3,p2,2,18.0
0,49,f2_0,c_4,p2,2,18.0
0,50,m_3,f1_0,p0,2,2.0
0,50,m_1,f1_0,p0,1,1.0
0,50,f1_0,f2_0,p1,1,6.0
0,50,f2_0,c_3,p2,3,27.0
0,50,f2_0,c_1,p2,1,9.0
0,51,m_1,f1_0,p0,1,1.5
0,51,m_1,f1_0,p0,1,1.0
0,51,m_0,f1_0,p0,1,1.5
0,51,f2_0,c_0,p2,2,18.0
0,51,f2_0,c_4,p2,2,18.0
0,52,m_4,f1_0,p0,1,1.5
0,52,m_0,f1_0,p0,1,1.5
0,52,f1_0,f2_0,p1,2,12.0
0,52,f1_0,f2_0,p1,1,6.0
0,52,f2_0,c_1,p2,4,36.0
0,53,m_2,f1_0,p0,1,1.5
0,53,f1_0,f2_0,p1,2,12.0
0,53,f2_0,c_4,p2,1,9.0
0,53,f2_0,c_1,p2,2,18.0
0,54,m_0,f1_0,p0,1,1.5
0,55,m_1,f1_0,p0,2,3.0
0,55,f1_0,f2_0,p1,1,6.0
0,55,f1_0,f2_0,p1,1,6.0
0,55,f2_0,c_0,p2,2,18.0
0,55,f2_0,c_2,p2,2,18.0
0,55,f2_0,c_1,p2,1,9.0
0,55,f2_0,c_4,p2,1,9.0
0,56,m_4,f1_0,p0,1,1.5
0,56,f1_0,f2_0,p1,1,6.0
0,57,f1_0,f2_0,p1,2,12.0
0,57,f2_0,c_4,p2,4,36.0
0,57,f2_0,c_0,p2,1,9.0
0,57,f2_0,c_3,p2,1,9.0
0,58,f2_0,c_3,p2,4,36.0
0,59,m_4,f1_0,p0,1,1.5
0,59,m_0,f1_0,p0,1,1.0
0,59,m_2,f1_0,p0,1,1.0
0,59,f2_0,c_4,p2,3,27.0
0,59,f2_0,c_0,p2,1,9.0
0,60,m_3,f1_0,p0,1,1.5
0,60,f1_0,f2_0,p1,4,24.0
0,60,f1_0,f2_0,p1,1,6.0
0,60,f2_0,c_1,p2,2,18.0
0,60,f2_0,c_3,p2,2,18.0
0,61,m_0,f1_0,p0,1,1.0
0,61,m_2,f1_0,p0,1,1.5
0,61,f1_0,f2_0,p1,1,6.0
0,61,f2_0,c_0,p2,4,36.0
0,62,m_1,f1_0,p0,1,1.0
0,62,f1_0,f2_0,p1,1,6.0
0,62,f2_0,c_0,p2,3,27.0
0,62,f2_0,c_4,p2,1,9.0
0,63,m_1,f1_0,p0,1,1.0
0,63,f1_0,f2_0,p1,1,6.0
0,64,m_2,f1_0,p0,1,1.0
0,64,m_4,f1_0,p0,1,1.5
0,64,m_0,f1_0,p0,2,3.0
0,64,m_3,f1_0,p0,1,1.0
0,64,f2_0,c_3,p2,1,9.0
0,64,f2_0,c_1,p2,1,9.0
0,64,f2_0,c_2,p2,1,9.0
0,65,f1_0,f2_0,p1,1,6.0
0,65,f2_0,c_0,p2,3,27.0
0,65,f2_0,c_3,p2,3,24.0
0,66,f1_0,f2_0,p1,1,6.0
0,66,f1_0,f2_0,p1,2,12.0
0,66,f2_0,c_3,p2,1,9.0
0,66,f2_0,c_0,p2,2,18.0
0,66,f2_0,c_2,p2,1,9.0
0,67,f2_0,c_3,p2,1,9.0
0,67,f2_0,c_4,p2,3,27.0
0,68,f1_0,f2_0,p1,1,6.0
0,68,f2_0,c_3,p2,3,27.0
0,68,f2_0,c_4,p2,1,9.0
0,69,f2_0,c_0,p2,1,9.0
0,69,f2_0,c_3,p2,3,27.0
0,70,f2_0,c_2,p2,1,9.0
0,72,f1_0,f2_0,p1,1,6.0
0,73,f1_0,f2_0,p1,1,6.0
0,73,f1_0,f2_0,p1,1,6.0
0,74,f2_0,c_3,p2,2,18.0
0,74,f2_0,c_4,p2,1,9.0
0,74,f2_0,c_0,p2,1,9.0
0,75,m_3,f1_0,p0,1,1.5
0,75,m_0,f1_0,p0,1,1.5
0,75,m_2,f1_0,p0,1,1.5
0,75,f2_0,c_2,p2,3,27.0
0,76,f1_0,f2_0,p1,1,6.0
0,76,f2_0,c_1,p2,3,27.0
0,77,f2_0,c_1,p2,2,18.0
0,77,f2_0,c_2,p2,1,9.0
0,78,f1_0,f2_0,p1,2,12.0
0,78,f2_0,c_2,p2,2,18.0
0,78,f2_0,c_4,p2,1,9.0
0,79,f2_0,c_2,p2,4,36.0
0,80,f2_0,c_0,p2,2,18.0
0,80,f2_0,c_1,p2,2,18.0
0,81,f2_0,c_2,p2,3,27.0
0,81,f2_0,c_1,p2,1,9.0
0,82,f2_0,c_2,p2,4,36.0
0,83,f2_0,c_0,p2,1,9.0
0,91,m_1,f1_0,p0,1,1.5
0,92,f1_0,f2_0,p1,1,6.0
0,93,f2_0,c_2,p2,3,27.0
0,94,f2_0,c_0,p2,2,18.0
0,95,f2_0,c_0,p2,3,27.0
1,3,m_2,f1_0,p0,1,1.0
1,4,m_0,f1_0,p0,1,1.5
1,5,m_0,f1_0,p0,1,1.5
1,6,f1_0,f2_0,p1,1,6.0
1,7,m_1,f1_0,p0,1,1.0
1,7,f1_0,f2_0,p1,1,6.0
1,7,f1_0,f2_0,p1,1,6.0
1,7,f2_0,c_1,p2,1,10.0
1,8,f1_0,f2_0,p1,1,6.0
1,8,f2_0,c_3,p2,2,21.0
1,9,m_4,f1_0,p0,1,1.5
1,10,m_1,f1_0,p0,1,1.0
1,10,f2_0,c_1,p2,1,3.5
1,10,f2_0,c_2,p2,3,31.5
1,11,m_1,f1_0,p0,1,1.5
1,11,f1_0,f2_0,p1,1,6.0
1,12,m_4,f1_0,p0,1,1.0
1,12,m_2,f1_0,p0,1,0.5
1,12,m_1,f1_0,p0,1,1.5
1,12,f1_0,f2_0,p1,2,12.0
1,12,f2_0,c_2,p2,2,21.0
1,13,m_0,f1_0,p0,1,1.5
1,13,m_3,f1_0,p0,1,1.5
1,13,m_1,f1_0,p0,1,1.5
1,13,f1_0,f2_0,p1,1,2.5
1,13,f2_0,c_4,p2,3,31.5
1,14,m_2,f1_0,p0,1,1.0
1,14,m_3,f1_0,p0,1,1.0
1,14,f1_0,f2_0,p1,1,6.0
1,14,f2_0,c_0,p2,1,10.5
1,14,f2_0,c_1,p2,2,21.0
1,15,f1_0,f2_0,p1,1,6.0
1,15,f2_0,c_2,p2,3,31.5
1,16,m_0,f1_0,p0,1,1.0
1,16,f1_0,f2_0,p1,1,6.0
1,16,f1_0,f2_0,p1,1,6.0
1,16,f2_0,c_4,p2,1,10.0
1,16,f2_0,c_0,p2,1,10.0
1,16,f2_0,c_2,p2,2,21.0
1,17,m_3,f1_0,p0,2,3.0
1,17,f2_0,c_1,p2,4,42.0
1,18,m_4,f1_0,p0,1,1.0
1,18,f1_0,f2_0,p1,3,18.0
1,18,f2_0,c_1,p2,1,10.0
1,18,f2_0,c_3,p2,2,21.0
1,19,m_1,f1_0,p0,1,1.0
1,19,m_1,f1_0,p0,1,1.5
1,19,m_2,f1_0,p0,1,1.5
1,19,f2_0,c_1,p2,4,42.0
1,20,m_4,f1_0,p0,1,1.0
1,20,m_2,f1_0,p0,2,3.0
1,20,f1_0,f2_0,p1,1,6.0
1,20,f1_0,f2_0,p1,1,6.0
1,20,f1_0,f2_0,p1,2,12.0
1,20,f2_0,c_4,p2,2,20.0
1,20,f2_0,c_2,p2,1,10.5
1,21,m_2,f1_0,p0,1,1.5
1,21,m_3,f1_0,p0,1,1.5
1,21,m_1,f1_0,p0,1,1.5
1,21,f2_0,c_1,p2,3,31.5
1,21,f2_0,c_3,p2,1,10.5
1,22,m_1,f1_0,p0,1,1.5
1,22,m_3,f1_0,p0,1,1.0
1,22,f1_0,f2_0,p1,1,6.0
1,22,f1_0,f2_0,p1,3,18.0
1,22,f2_0,c_4,p2,1,10.0
1,22,f2_0,c_1,p2,2,21.0
1,23,m_1,f1_0,p0,1,1.0
1,23,m_0,f1_0,p0,1,1.5
1,23,m_2,f1_0,p0,1,1.0
1,23,m_4,f1_0,p0,1,1.5
1,23,f2_0,c_4,p2,2,21.0
1,23,f2_0,c_3,p2,2,21.0
1,24,m_0,f1_0,p0,1,1.5
1,24,m_4,f1_0,p0,1,1.5
1,24,m_2,f1_0,p0,1,1.0
1,24,f1_0,f2_0,p1,1,6.0
1,24,f2_0,c_3,p2,3,31.5
1,24,f2_0,c_4,p2,1,10.5
1,25,f1_0,f2_0,p1,1,6.0
1,25,f1_0,f2_0,p1,3,18.0
1,25,f2_0,c_3,p2,1,10.0
1,25,f2_0,c_1,p2,2,20.0
1,26,f1_0,f2_0,p1,2,12.0
1,26,f2_0,c_2,p2,1,10.0
1,26,f2_0,c_3,p2,3,31.5
1,27,f2_0,c_4,p2,4,42.0
1,28,f1_0,f2_0,p1,1,6.0
1,28,f2_0,c_0,p2,1,10.0
1,28,f2_0,c_2,p2,3,31.5
1,29,f1_0,f2_0,p1,1,6.0
1,29,f2_0,c_4,p2,3,30.0
1,30,f1_0,f2_0,p1,1,6.0
1,30,f1_0,f2_0,p1,1,6.0
1,31,m_2,f1_0,p0,1,1.0
1,31,m_0,f1_0,p0,1,1.5
1,31,m_1,f1_0,p0,1,1.5
1,31,f1_0,f2_0,p1,2,12.0
1,32,m_2,f1_0,p0,1,1.5
1,32,m_3,f1_0,p0,1,1.0
1,32,m_4,f1_0,p0,1,1.0
1,32,f1_0,f2_0,p1,1,6.0
1,32,f2_0,c_0,p2,2,21.0
1,32,f2_0,c_1,p2,4,42.0
1,32,f2_0,c_3,p2,2,21.0
1,32,f2_0,c_4,p2,1,10.5
1,33,m_1,f1_0,p0,2,3.0
1,33,m_4,f1_0,p0,2,3.0
1,33,f1_0,f2_0,p1,1,6.0
1,33,f2_0,c_3,p2,4,42.0
1,33,f2_0,c_1,p2,1,10.5
1,34,f1_0,f2_0,p1,1,6.0
1,34,f2_0,c_3,p2,1,10.0
1,34,f2_0,c_4,p2,1,10.0
1,34,f2_0,c_0,p2,1,10.0
1,35,f1_0,f2_0,p1,3,18.0
1,35,f1_0,f2_0,p1,1,6.0
1,35,f1_0,f2_0,p1,1,6.0
1,36,f2_0,c_3,p2,1,5.5
1,36,f2_0,c_0,p2,3,31.5
1,36,f2_0,c_4,p2,1,10.5
1,37,f2_0,c_3,p2,3,31.5
1,37,f2_0,c_0,p2,3,31.5
1,38,f1_0,f2_0,p1,1,6.0
1,38,f1_0,f2_0,p1,2,12.0
1,38,f2_0,c_3,p2,4,40.0
1,39,f2_0,c_3,p2,2,21.0
1,39,f2_0,c_1,p2,1,10.0
1,39,f2_0,c_2,p2,1,10.5
1,40,m_3,f1_0,p0,1,1.0
1,40,m_0,f1_0,p0,1,1.5
1,40,f2_0,c_3,p2,3,30.0
1,40,f2_0,c_2,p2,1,10.0
1,41,f1_0,f2_0,p1,1,6.0
1,41,f2_0,c_2,p2,2,21.0
1,41,f2_0,c_0,p2,2,20.0
1,42,m_3,f1_0,p0,1,0.5
1,42,m_0,f1_0,p0,1,1.0
1,42,m_2,f1_0,p0,1,1.5
1,42,f2_0,c_4,p2,2,21.0
1,42,f2_0,c_0,p2,2,21.0
1,43,f1_0,f2_0,p1,1,6.0
1,43,f2_0,c_2,p2,3,31.5
1,43,f2_0,c_1,p2,1,10.0
1,44,f1_0,f2_0,p1,1,6.0
1,44,f1_0,f2_0,p1,1,6.0
1,44,f2_0,c_1,p2,2,20.0
1,44,f2_0,c_4,p2,1,10.0
1,45,f2_0,c_1,p2,2,21.0
1,45,f2_0,c_4,p2,1,10.5
1,45,f2_0,c_0,p2,1,10.5
1,46,f2_0,c_0,p2,4,42.0
1,47,f2_0,c_1,p2,2,21.0
1,54,f1_0,f2_0,p1,1,6.0
1,55,m_2,f1_0,p0,1,1.5
1,55,f2_0,c_0,p2,1,10.5
1,56,m_0,f1_0,p0,1,1.5
1,56,m_1,f1_0,p0,1,1.5
1,56,m_4,f1_0,p0,1,1.0
1,56,f2_0,c_3,p2,2,20.0
1,57,m_1,f1_0,p0,1,1.0
1,57,f1_0,f2_0,p1,1,6.0
1,58,m_3,f1_0,p0,1,1.5
1,58,m_2,f1_0,p0,1,1.5
1,58,f1_0,f2_0,p1,1,6.0
1,59,f1_0,f2_0,p1,1,6.0
1,60,f1_0,f2_0,p1,1,6.0
1,60,f2_0,c_3,p2,4,42.0
1,60,f2_0,c_1,p2,2,21.0
1,61,f2_0,c_0,p2,2,21.0
1,62,f2_0,c_1,p2,2,20.0
1,65,m_0,f1_0,p0,1,1.0
1,66,m_1,f1_0,p0,1,1.0
1,66,m_4,f1_0,p0,1,1.5
1,66,m_0,f1_0,p0,1,1.5
1,67,f1_0,f2_0,p1,1,6.0
1,68,f1_0,f2_0,p1,1,6.0
1,69,f1_0,f2_0,p1,1,6.0
1,70,f1_0,f2_0,p1,1,6.0
1,71,f2_0,c_1,p2,4,42.0
1,72,f1_0,f2_0,p1,1,6.0
1,73,f1_0,f2_0,p1,1,6.0
1,75,f1_0,f2_0,p1,1,6.0
1,76,m_2,f1_0,p0,1,1.5
1,76,m_4,f1_0,p0,1,1.0
1,76,f2_0,c_3,p2,1,10.0
1,76,f2_0,c_1,p2,3,31.5
1,77,m_4,f1_0,p0,1,1.0
1,77,m_4,f1_0,p0,1,1.5
1,77,f1_0,f2_0,p1,1,6.0
1,77,f2_0,c_1,p2,3,30.0
1,78,m_1,f1_0,p0,2,2.0
1,78,m_2,f1_0,p0,2,1.0
1,78,f1_0,f2_0,p1,1,6.0
1,78,f2_0,c_1,p2,1,5.5
1,78,f2_0,c_4,p2,2,21.0
1,79,m_2,f1_0,p0,1,1.0
1,79,f1_0,f2_0,p1,2,12.0
1,79,f2_0,c_4,p2,3,31.5
1,80,m_4,f1_0,p0,1,1.5
1,80,f1_0,f2_0,p1,1,6.0
1,80,f1_0,f2_0,p1,1,6.0
1,80,f2_0,c_2,p2,1,10.5
1,80,f2_0,c_0,p2,2,21.0
1,81,f1_0,f2_0,p1,1,6.0
1,81,f2_0,c_4,p2,2,21.0
1,81,f2_0,c_1,p2,1,10.5
1,82,m_2,f1_0,p0,1,1.0
1,82,f2_0,c_2,p2,3,30.0
1,83,f1_0,f2_0,p1,3,18.0
1,83,f2_0,c_0,p2,2,20.0
1,83,f2_0,c_3,p2,1,10.0
1,84,m_1,f1_0,p0,1,1.5
1,84,f1_0,f2_0,p1,1,6.0
1,84,f2_0,c_1,p2,1,10.5
1,84,f2_0,c_3,p2,1,10.5
1,85,f2_0,c_4,p2,2,21.0
1,85,f2_0,c_1,p2,2,21.0
1,86,m_4,f1_0,p0,2,3.0
1,86,f1_0,f2_0,p1,1,6.0
1,86,f2_0,c_1,p2,3,30.0
1,87,m_3,f1_0,p0,1,1.0
1,87,m_2,f1_0,p0,1,1.5
1,87,f1_0,f2_0,p1,1,6.0
1,88,f1_0,f2_0,p1,2,12.0
1,89,f1_0,f2_0,p1,1,6.0
1,89,f2_0,c_2,p2,2,20.0
1,89,f2_0,c_3,p2,3,30.0
1,89,f2_0,c_1,p2,1,10.0
1,89,f2_0,c_0,p2,4,42.0
1,90,m_2,f1_0,p0,2,3.0
1,90,m_1,f1_0,p0,1,1.0
1,90,m_3,f1_0,p0,2,3.0
1,90,f2_0,c_0,p2,1,10.5
1,90,f2_0,c_4,p2,1,10.5
1,90,f2_0,c_3,p2,2,21.0
1,91,m_2,f1_0,p0,1,1.0
