index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,23.0,0,,31.0,0,,0,0.2,25573,9,0,0.0,90.0,False,-0.0017534972528543038,0,0.2,25553,11,0,0.0,110.0,False,-0.0021431633090441492,0,0.2,33107,0,0,0.0,0.0,False,0.0,0,0.2,33107,0,0,0.0,0.0,False,0.0,0,0.2,44741,0,0,0.0,0.0,False,0.0,0,0.2,44741,0,0,0.0,0.0,False,0.0,0.0,206822,0.0,0.0,7,0,0,197,0,0.0,546,743,138,0.0,0.0,0,0,138,200,2.1773611521348357,2.1773611521348357
1,138,0,0,0,10.0,20,10.0,17.0,0,,23.0,0,,31.0,0,,0,0.2,25433,23,0,0.0,230.0,False,-0.004481159646183221,0,0.2,25493,17,0,0.0,170.0,False,-0.0033121614776136852,0,0.2,33107,0,0,0.0,0.0,False,0.0,0,0.2,33107,0,0,0.0,0.0,False,0.0,0,0.2,44741,0,0,0.0,0.0,False,0.0,0,0.2,44741,0,0,0.0,0.0,False,0.0,0.0,206622,0.0,0.0,7,0,0,55,0,0.0,50,105,55,1528.0,350.0,88,50,55,200,7.780091187916696,9.957452340051532
2,55,0,0,0,10.0,20,10.0,13.423728813559322,14,1.9285714285714286,23.0,0,,31.0,0,,0,0.2,25333,33,0,0.0,330.0,False,-0.006429489927132447,14,0.34,25073,27,0,0.0,270.0,False,-0.017729805556637963,0,0.2,33096,0,8,0.8,184.0,False,0.002446612498867309,0,0.2,33091,0,6,0.6,138.0,False,0.001600869906666264,0,0.2,44741,0,0,0.0,0.0,False,0.0,0,0.2,44741,0,0,0.0,0.0,False,0.0,0.2333333333333333,206075,0.0,0.0,10,0,0,14,4,4.0,49,63,24,692.0,107.0,45,10,24,200,2.509805202484131,12.467257542535663
3,24,0,0,0,10.0,20,10.0,10.687224669603527,15,1.0,23.0,0,,31.0,7,31.0,0,0.2,25273,39,0,0.0,390.0,False,-0.007598488095701983,15,0.4760000000000001,24570,41,0,0.0,410.0,False,-0.03460234578965826,0,0.2,33091,0,13,0.5,299.0,False,0.004032379859244269,0,0.2,33081,0,16,1.0,368.0,False,0.004772404627420183,0,0.2,44741,0,0,0.0,0.0,False,0.0,7,0.27,44674,0,0,0.0,0.0,False,-0.001497507878679511,0.25,205430,0.0,0.0,7,0,0,19,7,7.0,15,34,16,232.0,52.0,17,7,16,200,1.6842313380911946,14.151488880626857
4,16,0,0,0,10.0,20,10.0,9.46950470732706,12,3.25,23.0,0,,30.999999999999996,5,31.0,2,0.22000000000000003,25149,49,0,0.0,490.0,False,-0.010482016911506839,10,0.5610000000000002,24253,51,0,0.0,510.0,False,-0.045006429489927134,0,0.2,33057,0,22,0.9,506.0,False,0.006131633793457577,0,0.2,33076,0,19,0.3,437.0,False,0.005663454858489141,0,0.2,44741,0,0,0.0,0.0,False,0.0,5,0.31300000000000006,44638,0,0,0.0,0.0,False,-0.002302138977671487,0.19999999999999998,204914,0.0,0.0,9,0,0,10,9,9.0,15,25,20,137.0,77.0,8,8,20,200,1.738548919558525,15.890037800185382
5,20,0,0,0,10.0,20,10.0,9.449079914734416,3,9.0,25.09090909090909,10,34.5,30.999999999999996,10,31.0,3,0.24800000000000003,25012,59,0,0.0,590.0,False,-0.013872111600358493,0,0.5510000000000002,24153,61,0,0.0,610.0,False,-0.04695475977087636,0,0.2,33393,0,13,0.1,326.1818181818182,False,0.013564832485302556,0,0.2,33058,0,21,0.2,526.9090909090909,False,0.006477619399357965,0,0.2,44741,0,0,0.0,0.0,False,0.0,10,0.40800000000000003,44182,10,0,0.0,250.9090909090909,False,-0.009690115432052388,0.05000000000000001,204539,0.0,0.0,12,0,0,15,5,5.0,16,31,25,220.0,45.0,15,5,25,545,1.5199675280600786,17.41000532824546
6,25,0,0,0,10.0,20,10.0,8.77774300704181,6,1.8333333333333333,26.58823529411765,10,34.0,31.0,9,31.0,0,0.24500000000000002,24912,69,0,0.0,690.0,False,-0.01582044188130772,6,0.6110000000000001,23931,71,0,0.0,710.0,False,-0.0536570159373417,0,0.2,33727,0,6,0.3,159.52941176470588,False,0.021136457724419293,0,0.2,33053,0,24,0.3,638.1176470588235,False,0.00800612630348303,0,0.2,44741,0,0,0.0,0.0,False,0.0,9,0.4880000000000001,43744,20,0,0.0,531.7647058823529,False,-0.01634111099570473,0.09999999999999999,204108,0.0,0.0,10,0,0,12,7,7.0,21,33,26,220.0,66.0,15,10,26,540,1.4537834646180272,18.863788792863488
7,26,0,0,0,10.0,20,10.0,7.965972363500693,8,1.75,27.306575576430397,5,35.0,31.0,9,31.0,0,0.24500000000000002,24822,78,0,0.0,780.0,False,-0.017573939134162022,8,0.685,23655,82,0,0.0,820.0,False,-0.06226863577913728,0,0.2,33897,0,6,0.5,163.8394534585824,False,0.026336416066973484,0,0.2,33044,0,27,0.3,737.2775405636207,False,0.00923184735197421,0,0.2,44741,0,0,0.0,0.0,False,0.0,9,0.5690000000000001,43470,25,0,0.0,682.6643894107599,False,-0.02077887855199085,0.13333333333333333,203629,0.0,0.0,9,0,0,12,6,6.0,21,33,26,247.0,89.0,16,10,26,375,1.6221104301512241,20.485899223014712
8,26,0,0,0,10.0,20,10.0,7.255304684175892,9,2.3333333333333335,27.306575576430397,0,,31.0,7,31.0,0,0.24500000000000002,24732,87,0,0.0,870.0,False,-0.01932743638701633,9,0.7670000000000001,23360,93,0,0.0,930.0,False,-0.07162062112769357,0,0.2,33876,0,15,0.9,409.59863364645594,False,0.029413698517631554,0,0.2,33044,0,27,0.0,737.2775405636207,False,0.00923184735197421,0,0.2,44741,0,0,0.0,0.0,False,0.0,7,0.6300000000000001,43404,25,0,0.0,682.6643894107599,False,-0.022254035566809473,0.15,203157,0.0,0.0,9,0,0,12,6,6.0,18,30,20,179.0,89.0,12,14,20,200,1.4647989124059677,21.95069813542068
9,20,0,0,0,10.000000000000002,20,10.0,6.632847507125001,11,3.0,27.88664528988647,5,34.0,30.999999999999996,9,31.0,2,0.265,24588,99,0,0.0,990.0000000000002,False,-0.022600631259011027,9,0.8480000000000003,23091,101,0,0.0,1010.0000000000002,False,-0.08054397381444102,0,0.2,33858,0,17,0.2,474.07296992807,False,0.02984373349938176,0,0.2,33199,0,31,0.9,864.4860039864806,False,0.015834808408893696,0,0.2,44741,0,0,0.0,0.0,False,0.0,9,0.7130000000000001,43144,30,0,0.0,836.5993586965941,False,-0.026344970399671527,0.18333333333333335,202621,0.0,0.0,10,0,0,11,6,6.0,16,27,18,142.0,73.0,9,11,18,370,1.2590370867401361,23.209735222160816
