index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,24.0,0,,34.0,0,,40.0,0,,0,0.2,36911,1,10,1.0,250.0,False,0.00040517544096593827,0,0.2,36931,9,0,0.0,90.0,False,-0.0012155263228978148,0,0.2,59722,0,0,0.0,0.0,False,0.0,0,0.2,59722,0,0,0.0,0.0,False,0.0,0,0.2,70925,0,0,0.0,0.0,False,0.0,0,0.2,70925,0,0,0.0,0.0,False,0.0,0.16666666666666666,335136,0.0,0.0,9,0,0,0,0,0.0,345,345,64,0.0,0.0,0,0,64,200,1.2644868399947882,1.2644868399947882
1,64,0,0,0,10.0,20,10.0,24.0,0,,34.0,0,,40.0,0,,0,0.2,36801,2,20,1.0,500.0,False,0.0008103508819318765,0,0.2,36841,18,0,0.0,180.0,False,-0.0024310526457956296,0,0.2,59722,0,0,0.0,0.0,False,0.0,0,0.2,59722,0,0,0.0,0.0,False,0.0,0,0.2,70925,0,0,0.0,0.0,False,0.0,0,0.2,70925,0,0,0.0,0.0,False,0.0,0.16666666666666666,334936,0.0,0.0,8,0,0,21,0,0.0,18,39,43,361.0,291.0,22,42,43,200,2.662102194968611,3.926589034963399
2,43,0,0,0,10.0,20,10.0,19.7,15,6.8,34.0,0,,40.0,0,,0,0.2,36769,3,24,1.0,502.79999999999995,False,-1.6207017638598223e-05,9,0.29000000000000004,36487,27,0,0.0,270.0,False,-0.010777666729693958,0,0.2,59621,4,10,1.0,418.8,False,0.001815076521214987,0,0.2,59721,0,1,0.1,34.0,False,0.0002679079736110646,0,0.2,70925,0,0,0.0,0.0,False,0.0,0,0.2,70925,0,0,0.0,0.0,False,0.0,0.35000000000000003,334448,0.0,0.0,10,0,0,18,3,3.0,18,36,36,238.0,221.0,18,25,36,278,1.8593221079790965,5.785911142942496
3,36,0,0,0,10.0,20,10.0,17.156521739130433,15,8.0,34.0,0,,40.0,20,40.0,0,0.2,36679,2,34,1.0,603.3217391304347,False,-0.0010896283308063645,15,0.43100000000000005,36062,38,0,0.0,380.0,False,-0.020771994273520434,0,0.2,59621,0,14,0.4,476.0,False,0.0022939620240447407,0,0.2,59601,5,11,1.0,459.78260869565213,False,0.0018233030432307053,14,0.34,70657,0,0,0.0,0.0,False,-0.0037786394078251676,6,0.26,70861,0,0,0.0,0.0,False,-0.0009023616496298907,0.39999999999999997,333481,0.0,0.0,9,0,0,16,9,9.0,16,32,37,186.0,153.0,15,21,37,200,1.9521942839492112,7.738105426891707
4,37,0,0,0,10.0,20,10.0,17.1540412044374,1,17.0,34.0,0,,40.0,20,40.0,0,0.2,36549,5,44,1.0,804.7778129952457,False,-0.0018803137003964047,1,0.42600000000000005,35980,45,0,0.0,450.0,False,-0.02204154398854704,0,0.2,59621,0,14,0.0,476.0,False,0.0022939620240447407,0,0.2,59584,0,17,0.6,578.0,False,0.002528381500954422,13,0.45600000000000007,70421,0,0,0.0,0.0,False,-0.00710609799083539,7,0.32400000000000007,70777,0,0,0.0,0.0,False,-0.0020867113147691224,0.26666666666666666,332932,0.0,0.0,9,0,0,18,9,9.0,13,31,30,162.0,81.0,14,23,30,200,2.2273438929696567,9.965449319861364
5,30,0,0,0,10.0,20,10.0,18.76215273994989,35,21.37142857142857,32.4,5,18.0,40.0,20,40.0,0,0.2,37034,6,37,1.0,754.199651378146,False,0.01053725792628709,18,0.6050000000000001,35476,54,0,0.0,540.0,False,-0.03443991248210475,0,0.2,59621,0,14,0.0,453.59999999999997,False,0.002106426442517044,0,0.2,58926,25,22,1.0,1181.8538184987472,False,-0.003433794761572444,13,0.5730000000000002,70181,0,0,0.0,0.0,False,-0.01048995417694748,7,0.38700000000000007,70603,0,5,0.5,200.0,False,-0.0031300669721536834,0.4166666666666667,331841,0.0,0.0,11,0,0,10,11,11.0,18,28,30,120.0,68.0,11,19,30,885,1.492329643049743,11.457778962911107
6,30,0,0,0,10.0,20,10.0,18.1593658330575,5,8.2,32.4,0,,40.0,20,40.0,0,0.2,36924,7,47,1.0,923.4901941537025,False,0.009852383703218382,5,0.637,35276,63,0,0.0,630.0,False,-0.03862672537208611,0,0.2,59621,0,14,0.0,453.59999999999997,False,0.002106426442517044,0,0.2,58885,20,32,1.0,1399.98731666115,False,-0.002294068210532546,10,0.6600000000000001,70031,0,0,0.0,0.0,False,-0.012604864293267536,5,0.43000000000000005,70747,0,0,0.0,0.0,False,-0.0025096933380331335,0.3333333333333333,331484,0.0,0.0,10,0,0,10,9,8.5,15,25,31,89.0,95.0,8,22,31,320,1.2872105549904518,12.744989517901558
7,31,0,0,0,10.0,20,10.0,20.60159673132012,19,30.736842105263158,35.38028169014085,26,40.53846153846154,40.0,20,40.0,0,0.2,37374,8,41,1.0,924.665465984125,False,0.0220235199749349,3,0.6620000000000001,35123,72,0,0.0,720.0,False,-0.04154398854704087,0,0.2,59621,0,14,0.0,495.32394366197184,False,0.0024557444799401975,0,0.2,59355,29,16,1.0,1163.530812250537,False,0.00359608529729863,9,0.7400000000000002,69355,6,10,1.0,612.2816901408451,False,-0.017819656749095265,11,0.5350000000000001,70073,0,10,1.0,400.0,False,-0.009192809305604512,0.6666666666666666,330901,0.0,0.0,13,0,0,7,9,9.0,17,24,28,126.0,110.0,8,23,28,1814,1.4587068859837018,14.20369640388526
8,28,0,0,0,10.0,20,10.0,26.766712728136955,64,35.25,37.62922868741543,10,52.0,40.0,20,40.0,19,0.39,38839,10,10,1.0,367.6671272813696,False,0.05407291979256867,4,0.6990000000000001,34963,80,0,0.0,800.0,False,-0.04478539207476837,0,0.2,59621,0,14,0.0,526.809201623816,False,0.002719342969289562,0,0.2,57619,83,16,1.0,2823.704815434014,False,-0.01157274693216892,0,0.7310000000000001,69455,1,11,1.0,477.62922868741543,False,-0.017358976181266066,1,0.5340000000000001,70205,0,5,0.5,200.0,False,-0.008741628480789566,0.5833333333333334,330702,0.0,0.0,20,0,0,7,4,2.8125,18,25,21,99.0,100.0,8,20,21,2550,1.289506173983682,15.493202577868942
9,21,0,0,0,10.000000000000002,20,10.0,25.810519335230783,6,4.0,40.89498343046509,21,51.23809523809524,40.0,20,40.0,0,0.37100000000000005,38759,8,20,1.0,596.2103867046156,False,0.054998654637970476,6,0.7550000000000001,34685,92,0,0.0,920.0000000000001,False,-0.05067394181680668,0,0.2,59927,0,8,0.0,327.1598674437207,False,0.006171593947320304,0,0.2,58365,79,11,1.0,2488.875845218348,False,-0.001884767378701703,0,0.7310000000000001,69225,1,14,1.0,600.8949834304651,False,-0.019732851720617194,8,0.613,69729,1,10,1.0,440.8949834304651,False,-0.013754705791819167,0.6666666666666666,330690,0.0,0.0,19,0,0,9,6,5.333333333333334,18,27,18,72.0,81.0,9,12,18,1676,1.066216782957781,16.559419360826723
