index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,36.0,0,,0,0.2,32247,0,10,1.0,170.0,False,-0.00046372151976999414,0,0.2,32247.0,10,0,0.0,100.0,False,-0.0015457383992333138,0,0.2,49906,0,0,0.0,0.0,False,0.0,0,0.2,49906,0,0,0.0,0.0,False,0.0,0,0.2,79365,0,0,0.0,0.0,False,0.0,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.16666666666666666,323036,0.0,0.0,11,0,0,109,0,0.0,333,442,104,0.0,0.0,0,0,104,200,1.2102813450037502,1.2102813450037502
1,104,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,36.0,0,,0,0.2,32137,1,20,1.0,350.0,False,-0.0010820168794633195,0,0.2,32157.0,19,0,0.0,190.0,False,-0.0029369029585432963,0,0.2,49906,0,0,0.0,0.0,False,0.0,0,0.2,49906,0,0,0.0,0.0,False,0.0,0,0.2,79365,0,0,0.0,0.0,False,0.0,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.16666666666666666,322836,0.0,0.0,11,0,0,29,0,0.0,34,63,59,730.0,389.0,43,61,59,200,3.824062632978894,5.034343977982644
2,59,0,0,0,10.0,20,10.0,14.636363636363637,10,4.0,26.0,0,,36.0,0,,0,0.2,32086,0,26,0.7,380.54545454545456,False,-0.0021865172265518305,9,0.29000000000000004,31844.0,33,0,0.0,330.0,False,-0.0104491915788172,0,0.2,49891,0,5,0.5,130.0,False,0.0010018835410571874,0,0.2,49881,0,5,0.5,130.0,False,0.00080150683284575,0,0.2,79365,0,0,0.0,0.0,False,0.0,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.2833333333333333,322432,0.0,0.0,12,0,0,21,2,2.0,21,42,50,324.0,281.0,23,36,50,209,1.8467898939852603,6.881133871967904
3,50,0,0,0,10.0,20,10.0,15.030075187969924,17,16.176470588235293,26.0,0,,36.0,9,36.0,0,0.2,32225,2,25,1.0,395.7518796992481,False,0.002345687076069678,6,0.341,31654.0,41,0,0.0,410.0,False,-0.015086406776517142,0,0.2,49625,6,15,1.0,480.18045112781954,False,-0.0008197365935176439,0,0.2,49872,0,6,0.1,156.0,False,0.000881657516130325,9,0.29000000000000004,79253,0,0,0.0,0.0,False,-0.0014112014112014112,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.35000000000000003,321994,0.0,0.0,12,0,0,23,7,7.0,17,40,46,252.0,273.0,19,31,46,459,1.9345821530441754,8.81571602501208
4,46,0,0,0,10.0,20,10.0,15.420036210018107,23,16.434782608695652,26.0,0,,36.0,8,36.0,0,0.2,32448,4,20,1.0,348.40072420036216,False,0.00850775534362328,8,0.41500000000000004,31431.0,49,0,0.0,490.0,False,-0.02074380931771107,0,0.2,49614,0,24,0.9,624.0,False,0.000400753416422875,0,0.2,49505,10,16,1.0,570.2003621001811,False,-0.002322362420348469,8,0.36100000000000004,79155,0,0,0.0,0.0,False,-0.002646002646002646,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.48333333333333334,321518,0.0,0.0,14,0,0,15,7,7.0,23,38,42,244.0,201.0,18,28,42,543,1.7188734029768966,10.534589427988976
5,42,0,0,0,10.0,20,10.0,13.683048236084229,52,11.192307692307692,27.4,5,40.0,36.0,9,36.0,0,0.2,32691,4,15,1.0,245.24572354126343,False,0.014425537507980006,37,0.7770000000000001,30434.0,59,0,0.0,590.0,False,-0.05002009459919003,0,0.2,49326,20,29,1.0,1068.2609647216846,False,-0.0009191182951780483,0,0.2,49411,22,26,1.0,1013.427061193853,False,0.00023471187025463352,9,0.44300000000000006,78836,0,5,0.5,180.0,False,-0.005531405531405531,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.5833333333333334,320063,0.0,0.0,15,0,0,13,9,9.0,24,37,35,222.0,195.0,16,26,35,743,1.5682657180004753,12.102855145989452
6,35,0,0,0,10.0,20,10.0,14.974592881320513,44,18.318181818181817,28.66,5,40.0,36.00000000000001,9,36.0,15,0.35000000000000003,32970,9,10,1.0,239.74592881320513,False,0.02296574533671142,14,0.8800000000000001,30108.0,64,0,0.0,640.0,False,-0.05932543976257458,0,0.2,49254,33,34,1.0,1468.601565083577,False,0.0016491159888948838,0,0.2,48877,33,36,1.0,1525.921565083577,False,-0.00533080626494226,4,0.47400000000000003,78780,0,5,0.5,180.00000000000003,False,-0.006237006237006237,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.5833333333333334,319354,0.0,0.0,14,0,0,15,6,5.0,21,36,33,172.0,150.0,15,20,33,778,1.4947106969775632,13.597565842967015
7,33,0,0,0,10.0,20,10.0,14.6246297905841,38,13.315789473684209,30.87627118644068,14,38.0,36.000000000000014,9,36.0,2,0.35500000000000004,33150,8,10,1.0,226.246297905841,False,0.028321734595261498,26,1.1260000000000003,29435.0,75,0,0.0,750.0,False,-0.07843076637709834,0,0.2,49766,27,30,1.0,1321.153139938991,False,0.010431141946248881,0,0.2,48391,57,46,1.0,2253.912372639565,False,-0.007775494202705458,4,0.51,78394,4,10,1.0,483.5050847457628,False,-0.009188527154628864,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,318501,0.0,0.0,15,0,0,7,9,7.666666666666667,27,34,32,170.0,156.0,12,21,32,876,1.2513839490129612,14.848949791979976
8,32,0,0,0,10.0,20,10.0,14.80092626444589,23,16.043478260869566,34.74219977553311,36,40.44444444444444,36.00000000000001,10,36.0,0,0.35300000000000004,33330,6,10,1.0,208.0092626444589,False,0.033604495975584334,13,1.2300000000000002,29119.0,87,0,0.0,870.0,False,-0.08634494698117291,0,0.2,49966,17,35,1.0,1467.592738639239,False,0.01590583034744563,0,0.2,49278,70,25,1.0,1904.61983289954,False,0.006498415349853103,0,0.506,77298,30,10,1.0,1402.2659932659933,False,-0.017209941452365728,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,318356,0.0,0.0,19,0,0,16,2,2.0,24,40,34,261.0,135.0,17,15,34,2276,1.3185732390265912,16.167523031006567
9,34,0,0,0,10.000000000000002,20,10.0,15.558349270187113,14,24.571428571428573,35.46566866267465,15,39.333333333333336,36.00000000000001,6,36.0,3,0.38300000000000006,33505,6,10,1.0,215.58349270187114,False,0.03913165815534475,1,1.2270000000000003,29004.0,97,0,0.0,970.0000000000002,False,-0.08835440690017621,0,0.2,50212,21,30,1.0,1390.695394554169,False,0.020064675535548585,0,0.2,49278,60,35,1.0,2174.7993594048394,False,0.009205299557216023,0,0.506,76924,35,14,1.0,1745.298403193613,False,-0.01976123982112001,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,318288,0.0,0.0,15,0,0,12,2,1.2307692307692308,22,34,30,211.0,129.0,16,18,30,1006,1.2147394610219635,17.38226249202853
