index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,16,10.0,18.0,0,,29.0,0,,45.0,0,,0,0.2,34415,0,3,0.3,54.0,False,-8.709536942952533e-05,0,0.2,34315,3,10,1.0,210.0,False,-0.0007257947452460444,0,0.2,55917,0,0,0.0,0.0,False,0.0,0,0.2,55917,0,0,0.0,0.0,False,0.0,0,0.2,86229,0,0,0.0,0.0,False,0.0,0,0.2,86229,0,0,0.0,0.0,False,0.0,0.21666666666666667,353022,0.0,0.0,9,0,0,95,0,0.0,303,398,174,0.0,0.0,0,0,174,160,2.6408164300373755,2.6408164300373755
1,174,0,0,0,10.0,17,10.0,18.0,0,,17.73873873873874,66,10.06060606060606,45.0,0,,0,0.2,34365,0,8,0.5,144.0,False,-0.0002322543184787342,0,0.2,34195,5,20,1.0,410.0,False,-0.00130643054144288,0,0.2,55917,0,0,0.0,0.0,False,0.0,66,0.8600000000000001,51491,0,0,0.0,0.0,False,-0.07915303038431962,0,0.2,85978,19,0,0.0,337.036036036036,False,-0.0009565457326651387,0,0.2,85816,47,0,0.0,833.7207207207207,False,4.476870148505858e-05,0.25,347762,0.0,0.0,8,0,0,48,10,10.0,92,140,62,1682.0,268.0,120,54,62,170,5.45267824199982,8.093494672037195
2,62,0,0,0,10.0,15,10.0,17.1,5,9.0,16.463813719320328,59,14.305084745762711,45.0,0,,0,0.2,34325,0,12,0.4,205.20000000000002,False,-0.0005051531426912892,0,0.2,34130,6,25,1.0,487.50000000000006,False,-0.002068515023951227,0,0.2,55872,0,5,0.5,82.31906859660164,False,-6.868154052795679e-05,59,1.3840000000000003,48037,0,0,0.0,0.0,False,-0.14092315396033406,0,0.2,85366,63,0,0.0,1037.2202643171806,False,-0.003993898431402563,0,0.2,85584,62,0,0.0,1020.7564505978603,False,-0.001561212291700784,0.31666666666666665,343314,0.0,0.0,8,0,0,26,12,12.0,28,54,49,346.0,81.0,36,26,49,195,2.7228635500068776,10.816358222044073
3,49,0,0,0,10.0,8,10.0,15.241666666666669,15,9.666666666666666,16.238997434379318,9,12.666666666666666,45.0,20,45.0,0,0.2,34305,0,14,0.2,213.38333333333335,False,-0.000967000532249508,0,0.2,34215,2,20,1.0,324.83333333333337,False,-0.001962065127981877,0,0.2,55727,5,15,1.0,319.79329484902314,False,-0.0005383577905733522,9,1.4150000000000003,47800,0,0,0.0,0.0,False,-0.14516157876853192,9,0.29000000000000004,85142,68,0,0.0,1104.2518255377936,False,-0.0062029489757634065,11,0.31000000000000005,85341,66,0,0.0,1071.773830669035,False,-0.004083464781749586,0.3666666666666667,342530,0.0,0.0,6,0,0,23,13,13.0,22,45,42,371.0,54.0,27,22,42,225,2.1643793240073137,12.980737546051387
4,42,0,0,0,10.0,13,10.0,18.800555555555558,36,24.13888888888889,15.862391721411544,18,13.0,45.0,20,45.0,0,0.2,34375,0,12,0.0,225.60666666666668,False,0.0012426573764940318,14,0.34,34536,5,10,1.0,238.0055555555556,False,0.006096756503927408,0,0.2,54928,29,25,1.0,941.7759041463999,False,-0.00926573399729598,18,1.586,47179,2,0,0.0,37.601111111111116,False,-0.15593110224876947,13,0.41100000000000003,84797,76,0,0.0,1205.5417708272773,False,-0.00961659203500396,7,0.369,85085,76,0,0.0,1205.5417708272773,False,-0.006276648396552858,0.3333333333333333,340900,0.0,0.0,8,0,0,18,16,15.529411764705882,20,38,39,302.0,63.0,21,21,39,512,1.943872268020641,14.924609814072028
5,39,0,0,0,10.000000000000002,10,10.0,19.5917032967033,10,26.0,16.67774247254148,36,19.833333333333332,45.0,20,45.0,0,0.2,34375,0,12,0.0,235.1004395604396,False,0.0013804679860711215,0,0.32600000000000007,34696,5,10,1.0,245.917032967033,False,0.010856685048149666,0,0.2,54668,29,35,1.0,1151.8803821433476,False,-0.01203676536524354,36,1.9280000000000004,45878,2,0,0.0,39.1834065934066,False,-0.1791835809629146,11,0.5080000000000001,84520,84,0,0.0,1400.9303676934842,False,-0.01169600501169282,9,0.45200000000000007,84293,104,0,0.0,1734.4852171443138,False,-0.012394407814399417,0.3333333333333333,338430,0.0,0.0,5,0,0,25,19,19.0,21,46,37,326.0,39.0,26,13,37,360,1.783274514018558,16.707884328090586
6,37,0,0,0,10.0,8,10.0,20.551284760845387,8,30.375,16.53034501053063,25,15.6,45.00000000000001,20,45.0,0,0.2,34618,0,4,0.0,82.20513904338155,False,0.006215780796100699,0,0.32600000000000007,34616,3,20,1.0,441.02569521690776,False,0.011366318699621349,0,0.2,54668,19,45,1.0,1134.3399359299408,False,-0.012193608956757905,25,2.1420000000000003,44816,10,0,0.0,205.51284760845388,False,-0.19668872751034167,11,0.6070000000000001,83971,101,0,0.0,1669.5648460635937,False,-0.016505091987245674,9,0.5330000000000001,84095,112,0,0.0,1851.3986411794308,False,-0.014012695026154588,0.3333333333333333,336784,0.0,0.0,7,0,0,18,17,17.0,23,41,37,276.0,54.0,19,18,37,323,1.723166014009621,18.431050342100207
7,37,0,0,0,10.0,11,10.0,20.472300553882036,22,20.181818181818183,16.646939357054425,43,17.093023255813954,45.00000000000001,20,45.0,0,0.2,34720,0,1,0.0,20.472300553882036,False,0.008280915961008616,0,0.32600000000000007,34848,4,11,1.0,265.19530609270237,False,0.01554935848588626,0,0.2,54326,28,55,1.0,1488.8060801466904,False,-0.015140242858641444,43,2.5470000000000006,42821,13,0,0.0,266.1399072004665,False,-0.23182449069870995,8,0.6760000000000002,83558,120,0,0.0,1997.632722846531,False,-0.019392358006897197,12,0.6440000000000001,83428,136,0,0.0,2263.9837525594016,False,-0.01935553147688478,0.3333333333333333,333701,0.0,0.0,7,0,0,19,15,15.0,22,41,30,289.0,48.0,21,16,30,554,1.6470947759808041,20.07814511808101
8,30,0,0,0,10.0,9,10.0,21.24275457865247,15,26.0,16.629307115839858,10,16.3,45.00000000000001,20,45.0,0,0.2,34720,0,1,0.0,21.24275457865247,False,0.008292099790661178,4,0.36600000000000005,35060,3,10,1.0,242.4275457865247,False,0.021373603509747853,0,0.2,53936,33,65,1.0,1781.9158636251223,False,-0.01949392972061159,10,2.6040000000000005,42590,13,0,0.0,276.1558095224821,False,-0.23586605317235837,10,0.768,83351,123,0,0.0,2045.4047752483025,False,-0.021515935617667393,10,0.7320000000000002,83158,143,0,0.0,2377.9909175650996,False,-0.021825656579775383,0.3333333333333333,332815,0.0,0.0,3,0,0,16,12,11.266666666666666,21,37,25,254.0,33.0,19,11,25,90,1.5998479799600318,21.677993098041043
9,25,0,0,0,10.0,9,10.0,21.491883138056888,16,23.0,16.4074043953095,13,13.384615384615385,45.0,20,45.0,0,0.2,34720,0,1,0.0,21.491883138056888,False,0.008295716114647463,6,0.42200000000000004,35206,2,10,1.0,234.9188313805689,False,0.025503249112796694,0,0.2,53676,33,75,1.0,1939.7874732040896,False,-0.022732018230555158,13,2.7240000000000006,42105,19,0,0.0,408.3457796230809,False,-0.24335760341557058,10,0.8580000000000003,83118,130,0,0.0,2132.9625713902346,False,-0.023710337755336167,10,0.8220000000000001,82879,149,0,0.0,2444.703254901115,False,-0.024674394606796404,0.3333333333333333,331704,0.0,0.0,4,0,0,17,15,15.0,23,40,14,278.0,15.0,20,5,14,350,1.384980671980884,23.062973770021927
