index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,32.0,0,,41.0,0,,57.0,0,,0,0.2,29005,0,8,0.8,184.0,False,0.00041258380608561113,0,0.2,28965,12,0,0.0,120.0,False,-0.0020629190304280558,0,0.2,50300,0,0,0.0,0.0,False,0.0,0,0.2,50300.0,0,0,0.0,0.0,False,0.0,0,0.2,64158,0,0,0.0,0.0,False,0.0,0,0.2,64158,0,0,0.0,0.0,False,0.0,0,0.2,83833,0,0,0.0,0.0,False,0.0,0,0.2,83833,0,0,0.0,0.0,False,0.0,0.1,454552,0.0,0.0,11,0,0,190,0,0.0,604,794,134,0.0,0.0,0,0,134,200,2.3868419220671058,2.3868419220671058
1,134,0,0,0,10.0,20,10.0,23.0,0,,32.0,0,,41.0,0,,57.0,0,,0,0.2,28905,0,18,1.0,414.0,False,0.0009283135636926251,0,0.2,28865,22,0,0.0,220.0,False,-0.0037820182224514356,0,0.2,50300,0,0,0.0,0.0,False,0.0,0,0.2,50300.0,0,0,0.0,0.0,False,0.0,0,0.2,64158,0,0,0.0,0.0,False,0.0,0,0.2,64158,0,0,0.0,0.0,False,0.0,0,0.2,83833,0,0,0.0,0.0,False,0.0,0,0.2,83833,0,0,0.0,0.0,False,0.0,0.125,454352,0.0,0.0,10,0,0,36,0,0.0,39,75,45,775.0,754.0,51,83,45,200,7.180021095089614,9.56686301715672
2,45,0,0,0,10.0,20,10.0,23.0,0,,25.82456140350877,12,2.6666666666666665,41.0,0,,57.0,0,,0,0.2,28815,0,27,0.9,621.0,False,0.0013924703455389376,0,0.2,28755,33,0,0.0,330.0,False,-0.005673027333677153,5,0.25,50115,0,0,0.0,0.0,False,-0.0036779324055666003,7,0.27,50046.0,0,0,0.0,0.0,False,-0.0050497017892644136,0,0.2,64151,0,7,0.7,287.0,False,0.0021275600860375947,0,0.2,64133,0,5,0.5,205.0,False,0.001207955360204495,0,0.2,83833,0,0,0.0,0.0,False,0.0,0,0.2,83833,0,0,0.0,0.0,False,0.0,0.2625,453681,0.0,0.0,13,0,0,20,3,3.0,33,53,34,379.0,61.0,27,18,34,200,1.703365508466959,11.27022852562368
3,34,0,0,0,10.0,20,10.0,24.4375,3,46.0,18.319790301441675,25,2.92,41.0,0,,57.0,0,,0,0.2,28853,0,34,1.0,830.875,False,0.006306945160735774,0,0.2,28655,43,0,0.0,430.0,False,-0.007392126525700533,9,0.3350000000000001,49771,0,0,0.0,0.0,False,-0.0105168986083499,16,0.42300000000000004,49194.0,3,0,0.0,73.3125,False,-0.021259319085487078,0,0.2,64083,10,17,1.0,880.1979030144167,False,0.005690622393266731,0,0.2,64128,0,10,0.5,410.0,False,0.0027276411359456344,0,0.2,83833,0,0,0.0,0.0,False,0.0,0,0.2,83833,0,0,0.0,0.0,False,0.0,0.3125,452350,0.0,0.0,12,0,0,16,6,6.0,13,29,38,131.0,98.0,9,25,38,338,1.4567972654476762,12.727025791071355
4,38,0,0,0,10.0,20,10.0,28.114661654135336,10,44.0,15.967340026611827,14,4.428571428571429,39.45614035087719,12,33.666666666666664,57.0,7,57.0,0,0.2,29183,1,34,1.0,965.8984962406014,False,0.019974187661004006,0,0.2,28565,52,0,0.0,520.0,False,-0.008939315798521575,7,0.3960000000000001,49084,10,0,0.0,281.14661654135335,False,-0.02138025232066244,7,0.47700000000000004,48939.0,3,0,0.0,84.34398496240601,False,-0.02621924468228219,0,0.2,64169,7,25,1.0,1098.1748889582125,False,0.008729814590216408,0,0.2,64384,0,7,0.7,276.1929824561403,False,0.005674997525297995,0,0.2,83833,0,0,0.0,0.0,False,0.0,7,0.27,83305,2,10,1.0,648.9122807017544,False,-0.0024279682183523128,0.4625,451462,0.0,0.0,16,0,0,15,9,9.0,20,35,37,170.0,91.0,11,27,37,1044,1.4776953300461173,14.204721121117473
5,37,0,0,0,10.0,20,10.0,34.37819228843265,32,43.75,13.657461159021507,15,2.2,41.01446654611212,4,61.0,56.99999999999999,8,57.0,0,0.2,30473,2,12,1.0,432.53830746119183,False,0.055157956119325925,0,0.2,28475,61,0,0.0,610.0,False,-0.010486505071342616,11,0.49900000000000005,47589,34,0,0.0,1168.85853780671,False,-0.04227774813313412,4,0.5100000000000001,48433.0,11,0,0.0,378.16011517275916,False,-0.03335824935215938,0,0.2,64268,5,33,1.0,1421.7647018168075,False,0.012794699817768682,0,0.2,64496,0,12,0.7,492.1735985533454,False,0.009103881032399272,0,0.2,83833,0,0,0.0,0.0,False,0.0,0,0.263,83517,0,8,0.6,455.99999999999994,False,-0.0010497059630455788,0.4125,451084,0.0,0.0,19,0,0,13,5,5.0,16,29,40,87.0,111.0,6,31,40,2300,1.383572332561016,15.588293453678489
6,40,0,0,0,10.0,20,10.0,38.264728488185035,40,45.25,12.978241330586846,16,9.5625,41.786555920417236,2,61.0,56.999999999999986,10,57.0,28,0.48000000000000004,31131,6,10,1.0,442.64728488185034,False,0.07795508483551404,0,0.2,28415,67,0,0.0,670.0,False,-0.011517964586556644,1,0.49800000000000005,46925,48,0,0.0,1836.7069674328818,False,-0.04883989097979243,15,0.6560000000000001,46743.0,37,0,0.0,1415.7949540628463,False,-0.056642197275717225,0,0.2,64386,0,37,0.6,1546.1025690554377,False,0.01560290664496585,0,0.2,64347,5,22,1.0,984.1954369021134,False,0.010615943739690385,0,0.2,83833,0,0,0.0,0.0,False,0.0,2,0.28300000000000003,83829,0,2,0.2,113.99999999999997,False,0.0006322092731979054,0.35,449609,0.0,0.0,16,0,0,16,8,6.809523809523809,17,33,42,139.0,106.0,10,30,42,721,1.5073226457461715,17.09561609942466
7,42,0,0,0,10.0,20,10.0,38.88267692986296,19,42.1578947368421,12.538750752479476,4,3.0,43.72610625472448,5,61.8,56.99999999999999,9,57.0,9,0.542,31540,8,10,1.0,468.8267692986296,False,0.09246736753134994,0,0.2,28335,75,0,0.0,750.0,False,-0.012893243940175348,1,0.507,46089,67,0,0.0,2605.1393543008185,False,-0.05782167639860024,3,0.671,46638.0,37,0,0.0,1438.6590464049295,False,-0.05850239516496087,0,0.2,64498,0,39,0.4,1705.3181439342545,False,0.018589405404893067,0,0.2,64532,0,24,0.5,1049.4265501133875,False,0.014007813134086102,0,0.2,83833,0,0,0.0,0.0,False,0.0,7,0.3510000000000001,83505,0,5,0.5,284.99999999999994,False,-0.002212732456192669,0.3,448970,0.0,0.0,15,0,0,14,9,8.333333333333332,20,34,39,175.0,105.0,12,30,39,623,1.3565776757895947,18.452193775214255
8,39,0,0,0,10.0,20,10.0,38.97594596387652,2,44.0,10.772542247419025,16,1.75,44.48070042140081,2,62.0,57.0,11,57.0,0,0.533,31518,9,18,1.0,791.5670273497774,False,0.09725918905535112,0,0.2,28245,84,0,0.0,840.0,False,-0.01444043321299639,6,0.5660000000000001,45864,67,0,0.0,2611.388379579727,False,-0.06223271988489334,10,0.768,46145.0,39,0,0.0,1520.0618925911842,False,-0.06749441458656874,0,0.2,64490,0,45,0.6,2001.6315189630366,False,0.020773960526848097,0,0.2,64636,0,32,1.0,1423.382413484826,False,0.018543146711905184,0,0.2,83833,0,0,0.0,0.0,False,0.0,6,0.4040000000000001,83570,0,2,0.2,114.0,False,-0.0024572662316748772,0.35,448301,0.0,0.0,16,0,0,13,7,6.333333333333333,23,36,36,179.0,88.0,13,26,36,583,1.5546202566474676,20.006814031861722
9,36,0,0,0,10.000000000000002,20,10.0,38.97594596387652,0,,8.884513661780716,34,4.0,45.205384782255365,2,61.0,57.00000000000001,7,57.0,0,0.533,31408,10,28,1.0,1191.3264869885425,False,0.10034943247358684,0,0.2,28155,93,0,0.0,930.0000000000001,False,-0.01598762248581743,11,0.6700000000000002,45457,67,0,0.0,2611.388379579727,False,-0.07032417117713986,23,0.9880000000000002,45009.0,39,0,0.0,1520.0618925911842,False,-0.09007890762831824,0,0.2,64528,10,53,1.0,2484.7305300773414,False,0.0251311647033677,0,0.2,64584,4,42,1.0,1934.1642155018483,False,0.02171330321629286,0,0.2,83833,0,0,0.0,0.0,False,0.0,5,0.44800000000000006,83486,0,2,0.2,114.00000000000001,False,-0.0034592582873092933,0.4,446460,0.0,0.0,10,0,0,14,11,10.666666666666666,18,32,31,174.0,79.0,11,25,31,379,1.3348672892898321,21.341681321151555
