index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,31.0,0,,39.0,0,,50.0,0,,0,0.2,38211,0,9,0.9,207.0,False,0.0003524712148507872,0,0.2,38191,11,0,0.0,110.0,False,-0.0014359938382809848,0,0.2,53217,0,0,0.0,0.0,False,0.0,0,0.2,53217,0,0,0.0,0.0,False,0.0,0,0.2,73980.0,0,0,0.0,0.0,False,0.0,0,0.2,73980,0,0,0.0,0.0,False,0.0,0,0.2,90409,0,0,0.0,0.0,False,0.0,0,0.2,90409,0,0,0.0,0.0,False,0.0,0.1125,511614,0.0,0.0,12,0,0,200,0,0.0,595,795,90,0.0,0.0,0,0,90,200,1.4928443299722858,1.4928443299722858
1,90,0,0,0,10.0,20,10.0,23.0,0,,31.0,0,,36.625,3,1.0,50.0,0,,0,0.2,38111,0,19,1.0,437.0,False,0.0007441058980183285,0,0.2,38091,21,0,0.0,210.0,False,-0.0027414427821727894,0,0.2,53217,0,0,0.0,0.0,False,0.0,0,0.2,53217,0,0,0.0,0.0,False,0.0,3,0.23,73842.0,0,0,0.0,0.0,False,-0.00186536901865369,0,0.2,73980,0,0,0.0,0.0,False,0.0,0,0.2,90406,0,3,0.3,150.0,False,0.0007963808912829475,0,0.2,90409,0,0,0.0,0.0,False,0.0,0.1625,511273,0.0,0.0,10,0,0,56,1,1.0,44,100,68,1297.0,127.0,79,11,68,200,4.158767244021874,5.65161157399416
2,68,0,0,0,10.0,20,10.0,19.5,11,5.181818181818182,30.361702127659573,2,16.0,29.928571428571427,10,1.0,50.0,0,,0,0.2,38023,0,28,1.0,546.0,False,-0.00013054489438918044,10,0.30000000000000004,37731,31,0,0.0,310.0,False,-0.010835226234301977,1,0.21000000000000002,53179,0,6,0.6,182.17021276595744,False,0.0009975215886460329,1,0.21000000000000002,53156,0,5,0.5,151.80851063829786,False,0.0002800656804995887,10,0.32700000000000007,73382.0,0,0,0.0,0.0,False,-0.008083265747499324,0,0.2,73948,0,2,0.2,59.857142857142854,False,-2.7999845518177995e-05,0,0.2,90406,0,3,0.0,150.0,False,0.0007963808912829475,0,0.2,90399,0,10,1.0,500.0,False,0.002654602970943158,0.4125,510224,0.0,0.0,11,0,0,27,5,5.0,32,59,65,415.0,132.0,36,32,65,212,3.5292622330016457,9.180873806995805
3,65,0,0,0,10.0,20,10.0,17.75342465753425,8,6.75,30.030023094688218,1,16.0,22.71416478555305,23,7.695652173913044,50.0,0,,0,0.2,37965,0,34,0.7,603.6164383561645,False,-0.0008927124832749802,7,0.36000000000000004,37437,44,0,0.0,440.0,False,-0.01681418239732644,0,0.20900000000000002,53195,0,5,0.0,150.15011547344108,False,0.0009973327646564376,0,0.20900000000000002,53102,0,13,0.8,390.3903002309468,False,0.001506946090825794,23,0.5470000000000002,72159.0,0,0,0.0,0.0,False,-0.02461476074614761,0,0.2,73932,0,3,0.1,68.14249435665914,False,-0.00018827727523204138,0,0.2,90406,0,3,0.0,150.0,False,0.0007963808912829475,0,0.2,90222,13,20,1.0,1295.2841422121896,False,0.005095090877081848,0.325,508418,0.0,0.0,11,0,0,21,5,5.0,28,49,60,328.0,134.0,31,34,60,228,2.9965251850080676,12.177398992003873
4,60,0,0,0,10.0,20,10.0,18.014332965821392,20,18.7,30.030023094688218,0,,21.4082456505886,13,15.0,50.0,8,50.0,0,0.2,38173,1,34,1.0,622.4873208379273,False,0.004784304859376107,10,0.45300000000000007,37094,53,0,0.0,530.0,False,-0.024594658102921593,0,0.20900000000000002,53159,0,10,0.5,300.30023094688215,False,0.0017315916995216433,0,0.20900000000000002,52764,5,23,1.0,780.7621960069359,False,-0.0011766710261106666,4,0.5640000000000001,71971.0,0,0,0.0,0.0,False,-0.027155988104893215,6,0.26,73839,0,0,0.0,0.0,False,-0.001905920519059205,0,0.2,90406,0,3,0.0,150.0,False,0.0007963808912829475,0,0.2,90427,16,22,1.0,1442.5319304094176,False,0.00817690678145666,0.4375,507833,0.0,0.0,19,0,0,22,6,5.666666666666666,24,46,52,270.0,157.0,27,33,52,918,2.6412926090415567,14.81869160104543
5,52,0,0,0,10.0,20,10.0,16.307541198297507,8,2.375,33.66545371844439,5,62.0,20.948230679169722,4,13.0,50.0,11,50.0,0,0.2,38065,3,43,1.0,731.2242715267928,False,0.0033840405149577427,7,0.5130000000000001,36813,61,0,0.0,610.0,False,-0.03088692201248009,0,0.20900000000000002,53159,0,10,0.0,336.6545371844439,False,0.0020731583627829494,0,0.20900000000000002,53055,3,28,1.0,991.5553277113355,False,0.006272012023520077,4,0.6000000000000001,71525.0,5,0,0.0,168.32726859222194,False,-0.03204699061508362,0,0.254,73839,0,0,0.0,0.0,False,-0.001905920519059205,0,0.2,90406,0,3,0.0,150.0,False,0.0007963808912829475,0,0.2,90925,10,21,1.0,1259.4823067916973,False,0.012672866123901947,0.375,507787,0.0,0.0,19,0,0,22,3,3.0,19,41,47,208.0,99.0,19,33,47,1072,2.4455311429919675,17.264222744037397
6,47,0,0,0,10.0,20,10.0,16.940835735074394,47,17.829787234042552,33.66545371844439,0,,20.13534914413152,11,15.272727272727273,49.99999999999999,10,50.0,0,0.2,38477,7,37,1.0,696.8109221977526,False,0.013691691107252425,31,0.8160000000000001,35825,67,0,0.0,670.0,False,-0.055899323777447066,0,0.20900000000000002,52545,21,20,1.0,1029.06662480545,False,-0.0029589546121967826,0,0.20900000000000002,52831,9,38,1.0,1431.7547629165563,False,0.006198721864409392,11,0.7060000000000002,71131.0,5,0,0.0,168.32726859222194,False,-0.037372754335007925,0,0.254,73839,0,0,0.0,0.0,False,-0.001905920519059205,0,0.2,90406,0,3,0.0,149.99999999999997,False,0.0007963808912829475,0,0.2,91257,11,21,1.0,1271.4888405854465,False,0.01641146810928922,0.5,506311,0.0,0.0,19,0,0,23,6,6.0,18,41,45,218.0,123.0,21,26,45,1252,2.74278662703,20.007009371067397
7,45,0,0,0,10.0,20,10.0,18.242621462604557,15,27.066666666666666,28.901526395836765,15,16.333333333333332,21.69694589111082,13,30.0,50.0,9,50.0,0,0.2,38732,10,36,1.0,756.734372653764,False,0.021131750772222208,4,0.8250000000000002,35661,74,0,0.0,740.0,False,-0.05926738205268792,0,0.20900000000000002,52790,11,15,1.0,634.1917320262016,False,-0.0020652072455587494,0,0.20900000000000002,52425,14,48,1.0,1642.6699674766285,False,0.0005512333227786966,13,0.8250000000000002,70910.0,5,0,0.0,144.50763197918383,False,-0.040521035198843036,0,0.254,73594,5,10,1.0,361.477090890292,False,-0.0027745533192059576,0,0.2,90406,0,3,0.0,150.0,False,0.0007963808912829475,0,0.2,91317,14,22,1.0,1403.7572424755515,False,0.017806619044981965,0.625,505835,0.0,0.0,20,0,0,22,3,3.0,17,39,49,129.0,111.0,18,27,49,1280,4.024688569013961,24.031697940081358
8,49,0,0,0,10.0,20,10.0,16.044875385351375,62,12.32258064516129,31.16750126424975,46,33.58695652173913,21.64461557477729,6,21.0,50.0,6,50.0,0,0.2,39007,11,35,1.0,671.5706384872981,False,0.027199950895372246,51,1.3310000000000002,33746,83,0,0.0,830.0,False,-0.1080911725542414,17,0.379,52593,12,10,1.0,504.213517266714,False,-0.006988241377128375,0,0.20900000000000002,52679,55,44,1.0,2253.8382018213147,False,0.011066371665269708,4,0.8520000000000001,70440.0,10,0,0.0,311.6750126424975,False,-0.04574428891158091,0,0.254,72457,36,18,1.0,1511.633125858982,False,-0.010370146486489642,0,0.2,90406,0,3,0.0,150.0,False,0.0007963808912829475,0,0.2,91491,10,26,1.0,1516.446155747773,False,0.020354423540509113,0.625,502819,0.0,0.0,21,0,0,24,6,5.444444444444445,16,40,42,272.0,159.0,21,28,42,1636,2.405834452016279,26.437532392097637
9,42,0,0,0,10.000000000000002,20,10.0,16.5336198466522,16,21.125,32.54824516649611,27,36.925925925925924,22.655336339240513,2,59.0,49.99999999999999,12,50.0,0,0.2,39232,10,36,1.0,695.2103144794792,False,0.03338307504346469,7,1.35,33453,94,0,0.0,940.0000000000001,False,-0.1143051095271664,5,0.41200000000000003,52718,11,10,1.0,507.3522699781353,False,-0.004609877764829551,0,0.20900000000000002,53028,52,42,1.0,2226.774529018751,False,0.017370149848908667,0,0.8480000000000001,69890.0,20,0,0.0,650.9649033299222,False,-0.050885611629292136,0,0.254,72128,43,26,1.0,1988.613286979586,False,-0.011593584164777076,0,0.2,90406,0,3,0.0,149.99999999999997,False,0.0007963808912829475,0,0.2,91973,2,24,1.0,1245.3106726784808,False,0.024186257301145295,0.625,502828,0.0,0.0,20,0,0,17,3,3.0,23,40,36,248.0,114.0,19,23,36,2155,2.2174436719506048,28.654976064048242
