index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,35.0,0,,48.0,0,,63.0,0,,0,0.2,33148,1,10,1.0,240.0,False,0.0003006795357507968,0,0.2,33168,9,0,0.0,90.0,False,-0.0013530579108785856,0,0.2,57555,0,0,0.0,0.0,False,0.0,0,0.2,57555,0,0,0.0,0.0,False,0.0,0,0.2,72983,0,0,0.0,0.0,False,0.0,0,0.2,72983,0,0,0.0,0.0,False,0.0,0,0.2,95525,0,0,0.0,0.0,False,0.0,0,0.2,95525,0,0,0.0,0.0,False,0.0,0.125,518442,0.0,0.0,10,0,0,0,0,0.0,464,464,125,0.0,0.0,0,0,125,200,2.974515989422798,2.974515989422798
1,125,0,0,0,10.0,20,10.0,23.0,0,,35.0,0,,47.0,2,24.5,63.0,0,,0,0.2,33048,1,20,1.0,470.0,False,0.000751698839376992,0,0.2,33068,19,0,0.0,190.0,False,-0.0028564555896325697,0,0.2,57555,0,0,0.0,0.0,False,0.0,0,0.2,57555,0,0,0.0,0.0,False,0.0,0,0.2,72983,0,0,0.0,0.0,False,0.0,2,0.22000000000000003,72915,0,0,0.0,0.0,False,-0.0009317238260964883,0,0.2,95525,0,0,0.0,0.0,False,0.0,0,0.2,95476,2,0,0.0,94.0,False,-2.093692750588851e-05,0.125,518125,0.0,0.0,12,0,0,19,2,2.0,67,86,42,1164.0,310.0,68,57,42,200,7.000011785887182,9.97452777530998
2,42,0,0,0,10.0,20,10.0,21.181818181818183,10,13.0,23.22222222222222,27,3.5925925925925926,36.339735894357744,41,25.341463414634145,63.0,0,,0,0.2,32928,3,30,1.0,665.4545454545455,False,8.200350975019742e-05,10,0.30000000000000004,32838,27,0,0.0,270.0,False,-0.00856936676889771,0,0.2,57425,0,10,1.0,232.22222222222223,False,-0.00024131507060881776,27,0.4700000000000001,56030,0,0,0.0,0.0,False,-0.026496394752845105,0,0.2,72929,4,10,1.0,456.2862478324663,False,0.0023860779074062984,41,0.6280000000000001,69973,13,0,0.0,301.88888888888886,False,-0.03917426737124484,0,0.2,94901,14,10,1.0,1138.7563025210084,False,-0.0005718068436482015,0,0.2,95061,19,0,0.0,690.4549819927971,False,-0.0012433657053503952,0.5,512085,0.0,0.0,9,0,0,14,11,11.0,39,53,29,448.0,129.0,30,12,29,200,2.530095706693828,12.504623482003808
3,29,0,0,0,10.0,20,10.0,19.586466165413533,17,14.941176470588236,18.46013667425968,23,5.043478260869565,31.544105310705294,80,27.05,63.0,0,,0,0.2,32818,4,40,1.0,823.4586466165413,False,-0.0008500413943031049,17,0.4600000000000001,32443,36,0,0.0,360.0,False,-0.019093150520175597,0,0.2,57303,1,20,1.0,388.7891996506071,False,-0.0010008756871635151,23,0.673,54678,6,0,0.0,117.5187969924812,False,-0.048966042941599446,0,0.2,73249,0,14,0.9,441.6174743498741,False,0.006670166164379958,75,1.3370000000000002,61429,31,0,0.0,572.26423690205,False,-0.1543903084492139,0,0.2,94336,27,20,1.0,2111.690843389043,False,-0.0013939238765294456,0,0.2,93462,76,0,0.0,2397.3520036136024,False,-0.009048144445885352,0.4875,499718,0.0,0.0,12,0,0,9,17,17.0,31,40,32,252.0,75.0,17,12,32,555,2.022618690505624,14.527242172509432
4,32,0,0,0,10.0,20,10.0,19.586466165413533,0,,16.18582104625328,20,7.2,30.845537557103665,49,28.857142857142858,63.0,20,63.0,0,0.2,32688,7,50,1.0,1049.3233082706765,False,-0.0013632312786296232,0,0.44300000000000006,32373,43,0,0.0,430.0,False,-0.020145528895303386,0,0.2,57303,0,21,0.1,339.9022419713189,False,-0.0014255734343557062,20,0.8500000000000001,53814,6,0,0.0,117.5187969924812,False,-0.06397777085403103,0,0.2,73604,0,9,0.0,277.609838013933,False,0.010410710973883951,44,1.7020000000000004,57951,51,0,0.0,825.4768733589174,False,-0.20031050468356387,0,0.2,94711,28,20,1.0,2123.6750515989024,False,0.0025944781554509133,10,0.30000000000000004,92063,114,0,0.0,3516.391281509818,False,-0.017836214176865584,0.2625,494507,0.0,0.0,18,0,0,15,13,13.0,25,40,32,233.0,108.0,19,13,32,1185,2.285544321872294,16.812786494381726
5,32,0,0,0,10.0,20,10.0,20.003631082062455,9,22.77777777777778,14.240462382901141,14,1.8571428571428572,30.8725801298184,36,31.0,63.0,20,63.0,0,0.2,32612,9,58,1.0,1250.2106027596224,False,-0.0006282608280772078,7,0.5130000000000001,32258,51,0,0.0,510.0,False,-0.02240062541343436,0,0.2,57303,0,21,0.0,299.04971004092397,False,-0.0017804733729395658,14,0.9700000000000002,52955,15,0,0.0,300.05446623093684,False,-0.07731687545625106,0,0.2,73959,0,4,0.0,123.4903205192736,False,0.014218998400444502,31,1.9680000000000004,56054,65,0,0.0,925.6300548885741,False,-0.2256167185859133,0,0.2,94998,32,20,1.0,2247.922564154189,False,0.006249267543335251,10,0.39,91052,136,0,0.0,4198.670897655302,False,-0.02484862131559641,0.25,491191,0.0,0.0,20,0,0,12,13,13.0,27,39,32,262.0,85.0,18,14,32,1229,2.1042164638638496,18.917002958245575
6,32,0,0,0,10.0,20,10.0,29.827747394007385,45,43.355555555555554,15.375669392970627,31,18.774193548387096,31.441504385643157,22,36.22727272727273,62.99999999999999,20,63.0,0,0.2,34483,7,23,1.0,756.0381900621699,False,0.048199503729360944,0,0.506,32138,63,0,0.0,630.0,False,-0.024204702627939143,0,0.2,57813,0,11,0.0,169.1323633226769,False,0.005951979526736783,21,1.1660000000000001,49900,60,0,0.0,1789.6648436404432,False,-0.11745578278481061,1,0.21000000000000002,74217,0,9,0.9,282.9735394707884,False,0.018846673468278792,17,2.1070000000000007,54817,87,0,0.0,1337.6832371884445,False,-0.23974293166087693,0,0.2,95502,22,22,1.0,2077.713096484149,False,0.010634457453463149,12,0.5,89925,158,0,0.0,4967.757692931618,False,-0.03262100134555547,0.3625,488795,0.0,0.0,19,0,0,15,15,14.2,22,37,30,219.0,86.0,17,15,30,3165,2.069033137522638,20.986036095768213
7,30,0,0,0,10.0,20,10.0,33.561714570835115,33,44.45454545454545,13.33913555284786,44,8.181818181818182,32.42497263470583,37,37.37837837837838,62.99999999999999,20,63.0,10,0.30000000000000004,35560,8,10,1.0,415.61714570835113,False,0.07546480765091639,0,0.506,32048,72,0,0.0,720.0,False,-0.02555776053881773,0,0.2,57813,0,11,0.0,146.73049108132648,False,0.005757366788995964,44,1.5850000000000002,45701,93,0,0.0,3121.2394550876656,False,-0.17884424068206356,1,0.21900000000000003,74605,19,10,1.0,577.6933018511677,False,0.026182078715941814,27,2.3600000000000008,53258,102,0,0.0,1360.5918263904819,False,-0.2609471258622523,0,0.2,95661,27,20,1.0,2135.474261137057,False,0.012601278519429708,8,0.5680000000000001,88969,180,0,0.0,5836.49507424705,False,-0.03808167979980613,0.375,483615,0.0,0.0,21,0,0,13,15,13.755555555555556,22,35,26,189.0,105.0,14,16,26,1996,1.7708633663132787,22.756899462081492
8,26,0,0,0,10.0,20,10.0,34.320711278512114,24,38.0,14.008798379756309,37,16.54054054054054,31.577845552950375,23,24.17391304347826,62.99999999999999,20,63.0,8,0.37000000000000005,35980,11,10,1.0,453.2071127851211,False,0.08865847484492638,6,0.5660000000000001,31948,79,0,0.0,790.0,False,-0.027512177521197907,0,0.2,58343,0,1,0.0,14.008798379756309,False,0.01381295107618588,27,1.8110000000000002,43318,117,0,0.0,4015.5232195859176,False,-0.21247916584496643,0,0.21800000000000003,74584,15,20,1.0,841.6888867553521,False,0.02770295059640841,23,2.5630000000000006,51485,133,0,0.0,1863.170184507589,False,-0.2817973351019581,0,0.2,96004,24,22,1.0,2143.868293270809,False,0.01623589789725631,12,0.6800000000000002,88250,196,0,0.0,6189.257728378274,False,-0.04376206370909035,0.375,479912,0.0,0.0,17,0,0,10,15,14.444444444444445,26,36,21,180.0,83.0,12,14,21,1234,2.3488336903974414,25.105733152478933
9,21,0,0,0,10.000000000000002,20,10.0,34.38103207364437,1,42.0,13.02593404253347,18,4.333333333333333,30.83911022451634,19,23.0,63.0,20,63.0,0,0.36200000000000004,35952,8,19,1.0,733.239609399243,False,0.09202657419867766,0,0.56,31818,92,0,0.0,920.0000000000001,False,-0.029466594503578088,0,0.2,58343,0,1,0.0,13.02593404253347,False,0.013804412597016246,18,1.964,42496,118,0,0.0,4056.9617846900355,False,-0.22640116597437202,0,0.21800000000000003,74578,8,30,1.0,1029.380779075758,False,0.028906600023812096,19,2.730000000000001,50474,148,0,0.0,1927.8382382949535,False,-0.2952068410568561,0,0.2,96496,20,22,1.0,2002.7822044903269,False,0.020647904760483275,10,0.768,87703,209,0,0.0,6445.374036923915,False,-0.04814774123567692,0.375,477860,0.0,0.0,20,0,0,14,12,12.0,22,36,19,157.0,36.0,14,7,19,872,1.6352848103269935,26.741017962805927
