index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,28.0,0,,38.0,0,,0,0.2,17534,0,10,1.0,140.0,False,-0.001701258931609391,0,0.2,17534.0,10,0,0.0,100.0,False,-0.002835431552682318,0,0.2,24394,0,0,0.0,0.0,False,0.0,0,0.2,24394.0,0,0,0.0,0.0,False,0.0,0,0.2,32402,0,0,0.0,0.0,False,0.0,0,0.2,32402.0,0,0,0.0,0.0,False,0.0,0,0.2,45922,0,0,0.0,0.0,False,0.0,0,0.2,45922,0,0,0.0,0.0,False,0.0,0.125,240504,0.0,0.0,10,0,0,171,0,0.0,551,722,220,0.0,0.0,0,0,220,200,3.8645581817254424,3.8645581817254424
1,220,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,20.956521739130434,47,14.212765957446809,38.0,0,,0,0.2,17474,0,16,0.6,224.0,False,-0.0027220142905750254,0,0.2,17394.0,24,0,0.0,240.0,False,-0.006805035726437564,0,0.2,24394,0,0,0.0,0.0,False,0.0,0,0.2,24394.0,0,0,0.0,0.0,False,0.0,0,0.2,32402,0,0,0.0,0.0,False,0.0,47,0.6700000000000002,30130.0,0,0,0.0,0.0,False,-0.07011912844886119,0,0.2,45847,0,5,0.5,190.0,False,0.0004355211009973433,0,0.2,45329,42,0,0.0,880.1739130434783,False,-0.003329842852625402,0.1375,237364,0.0,0.0,9,0,0,63,8,8.0,119,182,119,2741.0,552.0,164,56,119,200,12.727925347164273,16.592483528889716
2,119,0,0,0,10.0,20,10.0,14.0,0,,17.576923076923077,7,2.0,20.075156576200417,13,14.461538461538462,38.0,0,,0,0.2,17354,2,26,1.0,384.0,False,-0.00499035953272088,0,0.2,17314.0,32,0,0.0,320.0,False,-0.009073380968583419,0,0.2,24394,0,0,0.0,0.0,False,0.0,7,0.27,24226.0,0,0,0.0,0.0,False,-0.006886939411330655,0,0.2,32394,0,1,0.1,20.075156576200417,False,6.288433701937968e-05,13,0.7530000000000001,29814.0,6,0,0.0,105.46153846153845,False,-0.0782442204422329,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,0,0.2,45141,55,0,0.0,1104.133611691023,False,-0.004985261838650056,0.1375,236484,0.0,0.0,9,0,0,35,5,5.0,62,97,97,685.0,255.0,79,40,97,200,9.090563032776117,25.683046561665833
3,97,0,0,0,10.0,20,10.0,11.866666666666667,30,8.666666666666666,14.738095238095237,12,3.6666666666666665,19.56395715185885,9,14.666666666666666,38.0,0,,0,0.2,17339,1,26,1.0,318.53333333333336,False,-0.007697251521681613,20,0.4,16959.0,43,0,0.0,430.0,False,-0.026085970284677327,0,0.2,24244,10,10,1.0,266.04761904761904,False,-0.0006959166383615161,12,0.38300000000000006,23827.0,10,0,0.0,118.66666666666667,False,-0.020811128419556773,0,0.2,32360,0,8,0.7,156.5116572148708,False,0.0011189379855389952,9,0.8300000000000003,29606.0,11,0,0.0,162.11904761904762,False,-0.08378928696347376,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,0,0.2,45009,64,0,0.0,1252.0932577189665,False,-0.006248712406700852,0.3375,235191,0.0,0.0,9,0,0,34,8,8.0,36,70,65,795.0,482.0,51,46,65,275,5.062612595036626,30.74565915670246
4,65,0,0,0,10.0,20,10.0,11.866666666666667,0,,11.163427905169064,50,7.38,19.56395715185885,0,,38.0,12,38.0,0,0.2,17259,0,35,0.9,415.33333333333337,False,-0.009489244262976756,0,0.38000000000000006,16839.0,55,0,0.0,550.0,False,-0.02948848814789611,0,0.2,24244,0,20,1.0,223.26855810338128,False,-0.0015727523550180332,50,0.871,22055.0,10,0,0.0,118.66666666666667,False,-0.09345194173430629,0,0.2,32169,6,18,1.0,419.1317961644737,False,-0.0007232301067144851,0,0.8210000000000002,29428.0,45,0,0.0,502.35425573260784,False,-0.08403255577228863,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,12,0.32000000000000006,44829,64,0,0.0,1252.0932577189665,False,-0.010168402315676943,0.3625,232670,0.0,0.0,10,0,0,18,10,10.0,26,44,59,418.0,359.0,25,40,59,200,4.965999124571681,35.71165828127414
5,59,0,0,0,10.0,20,10.0,12.06711409395973,7,14.0,9.959683886488865,62,8.161290322580646,20.49258516205092,11,27.727272727272727,37.99999999999999,13,38.0,0,0.2,17267,0,37,0.9,446.48322147651004,False,-0.008152341457510719,0,0.38000000000000006,16729.0,66,0,0.0,660.0,False,-0.03260746285584666,0,0.2,24244,0,20,0.0,199.19367772977728,False,-0.0020662114099824916,62,1.441,19434.0,17,0,0.0,205.14093959731542,False,-0.1991239456506248,0,0.2,31910,26,23,1.0,730.2812397758817,False,-0.003915171289181492,6,0.8810000000000002,29282.0,77,0,0.0,766.8956592596426,False,-0.08445627338961106,0,0.2,45847,0,5,0.0,189.99999999999997,False,0.0004355211009973433,13,0.43800000000000006,44301,75,0,0.0,1536.9438871538189,False,-0.018564697888225522,0.2375,229014,0.0,0.0,11,0,0,16,14,14.0,29,45,55,411.0,290.0,27,32,55,513,3.551859762519598,39.26351804379374
6,55,0,0,0,10.0,20,10.0,13.406491499227203,30,16.4,8.66052721455904,33,3.1818181818181817,21.814840564184305,22,27.045454545454547,38.0,13,38.0,0,0.2,17669,0,16,0.9,214.50386398763524,False,0.008066912328105835,0,0.38000000000000006,16619.0,77,0,0.0,770.0,False,-0.03572643756379721,0,0.2,23752,20,30,1.0,527.9456464213154,False,-0.015496727752289201,33,1.7090000000000005,18361.0,17,0,0.0,227.91035548686244,False,-0.24264347061804412,0,0.2,32297,19,23,1.0,666.2913500528607,False,0.007041098544115477,12,0.9950000000000001,28932.0,107,0,0.0,926.6764119578173,False,-0.09279247558857764,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,13,0.5550000000000002,43485,97,0,0.0,2116.0395347258777,False,-0.03002874945858331,0.3625,226962,0.0,0.0,12,0,0,17,12,12.0,30,47,52,385.0,285.0,25,30,52,1112,3.131429555825889,42.39494759961963
7,52,0,0,0,10.0,20,10.0,14.26073209291013,36,16.333333333333332,7.612928699056093,56,4.714285714285714,20.765095585352242,17,14.705882352941176,38.0,10,38.0,0,0.2,17879,0,9,0.7,128.34658883619116,False,0.017532794284796125,22,0.6000000000000001,16423.0,90,0,0.0,900.0,False,-0.04315526823182488,0,0.2,23164,46,40,1.0,960.5108242361097,False,-0.03073479494473827,56,2.2360000000000007,16513.0,17,0,0.0,242.43244557947222,False,-0.3181021471349621,0,0.2,32297,9,33,1.0,753.7645126081288,False,0.00839090970631637,17,1.1530000000000002,28212.0,163,0,0.0,1240.9073779461432,False,-0.11016438216859843,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,10,0.6420000000000001,43087,114,0,0.0,2367.220896730156,False,-0.03596074978517752,0.3375,223422,0.0,0.0,11,0,0,18,11,11.0,25,43,46,349.0,218.0,25,27,46,480,3.106760485097766,45.50170808471739
8,46,0,0,0,10.0,20,10.0,14.867118511626677,40,16.55,6.843460305931179,25,1.0,20.49969899507831,5,15.0,38.0,11,38.0,31,0.51,17796,0,8,0.8,118.93694809301341,False,0.012559173984717332,0,0.5780000000000001,16303.0,102,0,0.0,1020.0,False,-0.046557786095043664,0,0.2,22502,76,50,1.0,1472.0740221801864,False,-0.04738718491882861,25,2.4300000000000006,15744.0,17,0,0.0,252.7410146976535,False,-0.3494149992888076,0,0.2,32287,9,43,1.0,943.0781995417481,False,0.011003613967374686,5,1.1860000000000004,28102.0,178,0,0.0,1218.13593445575,False,-0.11391062381248458,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,11,0.7420000000000002,42841,119,0,0.0,2439.464180414319,False,-0.04053107246620011,0.35,221422,0.0,0.0,7,0,0,21,11,10.470588235294118,22,43,42,388.0,213.0,25,21,42,200,2.9009495954960585,48.40265768021345
9,42,0,0,0,10.000000000000002,20,10.0,15.280820773340038,17,18.58823529411765,8.792509736812375,38,18.710526315789476,19.9892934745116,10,15.0,38.00000000000001,10,38.0,5,0.5290000000000001,17861,1,10,1.0,162.80820773340037,False,0.01748917454160723,4,0.6180000000000001,16201.0,111,0,0.0,1110.0000000000002,False,-0.04979017806510151,0,0.2,22823,79,40,1.0,1558.8852305663581,False,-0.03244885564961957,18,2.585000000000001,15330.0,21,0,0.0,320.8972362401408,False,-0.36498939828974053,0,0.2,32287,0,52,0.9,1039.4432606746034,False,0.01249063731674893,10,1.2810000000000004,27174.0,216,0,0.0,1899.182103151473,False,-0.1320415081916013,0,0.2,45847,0,5,0.0,190.00000000000003,False,0.0004355211009973433,10,0.8310000000000002,42549,129,0,0.0,2578.6188582119967,False,-0.045374560578676955,0.3625,220072,0.0,0.0,13,0,0,17,10,9.384615384615385,24,41,36,333.0,186.0,25,17,36,781,2.4326812103390694,50.83533889055252
