index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,13,10.0,18.0,0,,28.0,0,,36.0,0,,47.0,0,,0,0.2,33357,0,3,0.3,54.0,False,-8.985533291400844e-05,0,0.2,33287,10,0,0.0,100.0,False,-0.0014975888819001408,0,0.2,54150,0,0,0.0,0.0,False,0.0,0,0.2,54150,0,0,0.0,0.0,False,0.0,0,0.2,67191,0,0,0.0,0.0,False,0.0,0,0.2,67191,0,0,0.0,0.0,False,0.0,0,0.2,86076,0,0,0.0,0.0,False,0.0,0,0.2,86076,0,0,0.0,0.0,False,0.0,0.0375,481478,0.0,0.0,3,0,0,44,0,0.0,136,180,98,0.0,0.0,0,0,98,130,2.310182897374034,2.310182897374034
1,98,0,0,0,10.0,16,10.0,18.0,0,,28.0,0,,36.0,0,,47.0,0,,0,0.2,33317,0,7,0.4,126.0,False,-0.0002096624434660197,0,0.2,33167,22,0,0.0,220.0,False,-0.0032946955401803096,0,0.2,54150,0,0,0.0,0.0,False,0.0,0,0.2,54150,0,0,0.0,0.0,False,0.0,0,0.2,67191,0,0,0.0,0.0,False,0.0,0,0.2,67191,0,0,0.0,0.0,False,0.0,0,0.2,86076,0,0,0.0,0.0,False,0.0,0,0.2,86076,0,0,0.0,0.0,False,0.0,0.05,481318,0.0,0.0,4,0,0,19,0,0.0,25,44,50,521.0,451.0,34,64,50,160,2.412245834246278,4.722428731620312
2,50,0,0,0,10.000000000000002,14,10.0,18.0,0,,21.93220338983051,14,2.4285714285714284,36.0,0,,47.0,0,,0,0.2,33267,0,12,0.5,216.0,False,-0.00035942133165603376,0,0.2,33077,31,0,0.0,310.00000000000006,False,-0.004642525533890436,10,0.30000000000000004,53791,0,0,0.0,0.0,False,-0.006629732225300092,4,0.24000000000000002,54030,0,0,0.0,0.0,False,-0.00221606648199446,0,0.2,67167,0,9,0.9,324.0,False,0.0020538464972987454,0,0.2,67181,0,5,0.5,180.0,False,0.0011906356506079683,0,0.2,86076,0,0,0.0,0.0,False,0.0,0,0.2,86076,0,0,0.0,0.0,False,0.0,0.2375,480665,0.0,0.0,4,0,0,22,4,4.0,13,35,26,393.0,266.0,25,25,26,140,1.649422837421298,6.37185156904161
3,26,0,0,0,10.000000000000002,13,10.0,18.369565217391305,1,35.0,17.585903083700444,15,2.2,36.0,0,,47.0,0,,0,0.2,33302,0,11,0.0,202.06521739130434,False,0.00048020513060938847,0,0.2,32947,44,0,0.0,440.00000000000006,False,-0.006589391080360619,10,0.39,53441,0,0,0.0,0.0,False,-0.0130932594644506,5,0.28600000000000003,53829,1,0,0.0,18.369565217391305,False,-0.005758360431972373,0,0.2,67157,0,14,0.5,504.0,False,0.0032444821479067137,0,0.2,67158,0,15,1.0,540.0,False,0.003527258114926106,0,0.2,86076,0,0,0.0,0.0,False,0.0,0,0.2,86076,0,0,0.0,0.0,False,0.0,0.1875,479986,0.0,0.0,4,0,0,14,4,4.0,7,21,20,168.0,103.0,11,15,20,165,1.0541850654408336,7.426036634482443
4,20,0,0,0,10.000000000000002,20,10.0,20.65082644628099,7,34.142857142857146,15.844133352576133,8,2.5,37.898305084745765,14,44.0,47.0,20,47.0,0,0.2,33451,0,13,0.9,268.4607438016529,False,0.0059373520202721675,0,0.2,32837,55,0,0.0,550.0000000000001,False,-0.008236738850450774,4,0.42000000000000004,53210,3,0,0.0,61.95247933884298,False,-0.016787142388376353,4,0.32100000000000006,53565,5,0,0.0,103.25413223140495,False,-0.009849915676533644,0,0.2,67504,0,6,0.1,227.38983050847457,False,0.006350477225435498,0,0.2,67407,0,17,0.7,644.271186440678,False,0.008009042776865118,10,0.30000000000000004,85585,0,9,0.9,423.0,False,-0.003247130442864445,10,0.30000000000000004,85655,0,5,0.5,235.0,False,-0.0035259538082624657,0.38749999999999996,479214,0.0,0.0,10,0,0,13,7,7.0,6,19,22,120.0,68.0,9,11,22,1055,0.9386610640212893,8.364697698503733
5,22,0,0,0,10.000000000000002,9,10.0,21.31765463917526,3,31.0,14.02805453959446,9,1.4444444444444444,36.330345710627405,25,33.0,47.0,20,47.0,0,0.2,33544,0,10,0.0,213.1765463917526,False,0.007894937346748053,0,0.2,32747,64,0,0.0,640.0000000000001,False,-0.0095845688441609,1,0.42600000000000005,53086,6,0,0.0,127.90592783505156,False,-0.018468089309002338,8,0.3970000000000001,53280,5,0,0.0,106.5882731958763,False,-0.015082287412780518,4,0.24000000000000002,67687,0,3,0.3,108.99103713188222,False,0.008192994873806531,0,0.2,67864,0,8,0.6,290.64276568501924,False,0.012179032650838756,3,0.32000000000000006,85621,0,10,1.0,470.0,False,-0.0025558808494818533,3,0.32000000000000006,85398,5,10,1.0,651.651728553137,False,-0.004091432405356054,0.3625,479227,0.0,0.0,10,0,0,12,7,6.8,10,22,36,170.0,87.0,13,9,36,1571,1.2555618910118937,9.620259589515626
6,36,0,0,0,10.0,8,10.0,23.579581172402953,9,34.111111111111114,13.299419436695535,6,5.5,39.49654121233439,15,54.333333333333336,47.0,20,47.0,0,0.2,33851,0,1,0.0,23.579581172402953,False,0.014250750010069925,0,0.2,32667,72,0,0.0,720.0,False,-0.010782639949681013,3,0.45500000000000007,52724,14,0,0.0,330.11413641364135,False,-0.023286111390455753,3,0.41900000000000004,53164,6,0,0.0,141.47748703441772,False,-0.016902331606330454,7,0.30600000000000005,67894,0,3,0.3,118.48962363700318,False,0.011344448093025828,0,0.2,68118,0,6,0.3,236.97924727400635,False,0.015559965228036446,3,0.34700000000000003,85799,0,5,0.5,235.0,False,-0.0018530136158743436,0,0.31700000000000006,85177,5,13,1.0,808.4827060616719,False,-0.005747927958654673,0.2625,479394,0.0,0.0,9,0,0,14,5,4.15,14,28,34,275.0,147.0,19,17,34,1414,1.3606387302279472,10.980898319743574
7,34,0,0,0,10.0,10,10.0,23.579581172402953,0,,11.437372650025114,13,2.3846153846153846,39.49654121233439,0,,47.00000000000001,20,47.0,0,0.2,33851,0,1,0.0,23.579581172402953,False,0.014250750010069925,0,0.2,32567,82,0,0.0,820.0,False,-0.012280228831581154,5,0.502,52555,14,0,0.0,330.11413641364135,False,-0.026407071685931285,8,0.4960000000000001,52894,6,0,0.0,141.47748703441772,False,-0.021888481190817988,0,0.29900000000000004,67890,0,5,0.2,197.48270606167196,False,0.011872741186034446,0,0.2,68091,1,16,1.0,643.3820320473754,False,0.018182360971315915,5,0.394,85989,0,0,0.0,0.0,False,-0.0010107346995678237,0,0.31700000000000006,85647,0,8,0.5,376.00000000000006,False,-0.002799851294205121,0.2125,479484,0.0,0.0,5,0,0,9,6,6.0,15,24,26,207.0,171.0,14,20,26,805,1.155158070847392,12.136056390590966
8,26,0,0,0,10.0,5,10.0,23.579581172402953,0,,10.2128562886257,14,4.214285714285714,41.05293853228986,10,53.0,47.00000000000001,20,47.0,0,0.2,33851,0,1,0.0,23.579581172402953,False,0.014250750010069925,0,0.2,32517,87,0,0.0,870.0,False,-0.013029023272531224,10,0.5970000000000002,52213,14,0,0.0,330.11413641364135,False,-0.03272286115961549,4,0.528,52767,6,0,0.0,141.47748703441772,False,-0.02423381821759546,0,0.29900000000000004,68110,0,9,0.9,369.47644679060875,False,0.01642687597141448,0,0.2,68342,0,17,0.6,697.8999550489276,False,0.022323673967115567,14,0.5290000000000001,85452,0,5,0.5,235.00000000000003,False,-0.0058843347739207215,0,0.31700000000000006,85664,0,7,0.5,329.00000000000006,False,-0.002875365955667085,0.3125,478916,0.0,0.0,5,0,0,8,9,9.0,11,19,23,140.0,117.0,9,17,23,862,0.9767066827043891,13.112763073295355
9,23,0,0,0,10.0,7,10.0,23.579581172402953,0,,8.970657507855151,23,4.956521739130435,42.40925062070798,10,53.0,47.00000000000001,20,47.0,0,0.2,33851,0,1,0.0,23.579581172402953,False,0.014250750010069925,0,0.2,32447,94,0,0.0,940.0,False,-0.014077335489861323,6,0.6470000000000001,52025,14,0,0.0,330.11413641364135,False,-0.03619469864807348,17,0.6940000000000002,52127,6,0,0.0,141.47748703441772,False,-0.036052839454899246,0,0.29900000000000004,68363,0,11,0.7,466.50175682778774,False,0.020914272423596787,0,0.2,68505,6,22,1.0,986.8274587027064,False,0.026899640269550218,1,0.5250000000000001,85413,0,5,0.5,235.00000000000003,False,-0.006337422742692504,7,0.387,85638,0,5,0.5,235.00000000000003,False,-0.0037234536920860636,0.3375,478369,0.0,0.0,6,0,0,8,11,9.694444444444445,13,21,28,132.0,85.0,11,12,28,788,1.0475274603813887,14.160290533676744
