index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,28.0,0,,38.0,0,,0,0.2,25522,9,0,0.0,90.0,False,-0.0017569889114477588,0,0.2,25502,1,10,1.0,160.0,False,-0.0011713259409651725,0,0.2,38516,0,0,0.0,0.0,False,0.0,0,0.2,38516,0,0,0.0,0.0,False,0.0,0,0.2,47874,0,0,0.0,0.0,False,0.0,0,0.2,47874,0,0,0.0,0.0,False,0.0,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.2,68757,0,0,0.0,0.0,False,0.0,0.125,361318,0.0,0.0,12,0,0,252,0,0.0,743,995,90,0.0,0.0,0,0,90,200,1.4556759189581499,1.4556759189581499
1,90,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,28.0,0,,38.0,0,,0,0.2,25422,19,0,0.0,190.0,False,-0.00370919881305638,0,0.2,25402,1,20,1.0,310.0,False,-0.002147430891769483,0,0.2,38516,0,0,0.0,0.0,False,0.0,0,0.2,38516,0,0,0.0,0.0,False,0.0,0,0.2,47874,0,0,0.0,0.0,False,0.0,0,0.2,47874,0,0,0.0,0.0,False,0.0,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.2,68757,0,0,0.0,0.0,False,0.0,0.125,361118,0.0,0.0,10,0,0,51,0,0.0,33,84,65,1116.0,309.0,62,28,65,200,3.183968754950911,4.639644673909061
2,65,0,0,0,10.0,20,10.0,15.0,0,,22.76086956521739,1,12.0,28.0,0,,38.0,0,,0,0.2,25322,29,0,0.0,290.0,False,-0.0056614087146650005,0,0.2,25302,1,30,1.0,460.0,False,-0.0031235358425737935,0,0.2,38516,0,0,0.0,0.0,False,0.0,1,0.21000000000000002,38500,0,0,0.0,0.0,False,-0.0004154117769238758,0,0.2,47874,0,0,0.0,0.0,False,0.0,0,0.2,47862,0,1,0.1,28.0,False,4.1776329531687346e-05,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.2,68757,0,0,0.0,0.0,False,0.0,0.1375,360890,0.0,0.0,11,0,0,29,1,1.0,25,54,56,393.0,217.0,31,34,56,200,3.541073341970332,8.180718015879393
3,56,0,0,0,10.0,20,10.0,16.473684210526315,12,22.0,22.76086956521739,0,,25.263157894736842,12,15.0,38.0,0,,0,0.2,25212,40,0,0.0,400.0,False,-0.007808839606434484,0,0.2,25476,0,28,1.0,461.2631578947368,False,0.0036948141085182784,0,0.2,38516,0,0,0.0,0.0,False,0.0,0,0.20900000000000002,38236,12,0,0.0,197.68421052631578,False,-0.004703445184776192,6,0.26,47760,0,0,0.0,0.0,False,-0.0023812507833061787,5,0.25,47782,0,0,0.0,0.0,False,-0.001921711158457618,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.2,68577,2,10,1.0,430.5263157894737,False,0.0005128664411584714,0.25,360316,0.0,0.0,12,0,0,23,2,1.8333333333333335,20,43,55,354.0,228.0,23,33,55,464,2.6400949099916033,10.820812925870996
4,55,0,0,0,10.0,20,10.0,18.235059760956172,24,22.0,22.507075471698116,1,12.0,25.263157894736842,0,,38.0,10,38.0,0,0.2,25092,52,0,0.0,520.0,False,-0.01015149148836483,0,0.2,25924,0,12,0.8,218.82071713147405,False,0.016453629492649377,0,0.2,38252,2,10,1.0,261.5408742388935,False,-0.0034590705909375683,1,0.21900000000000003,37956,24,0,0.0,437.6414342629481,False,-0.008858118259126815,0,0.254,47760,0,0,0.0,0.0,False,-0.0023812507833061787,0,0.24500000000000002,47770,0,1,0.1,25.263157894736842,False,-0.0019085186333423882,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.2,68957,0,2,0.2,76.0,False,0.003461465741669939,0.2625,360468,0.0,0.0,16,0,0,27,1,1.0,23,50,50,354.0,112.0,28,27,50,1108,2.988881269004196,13.809694194875192
5,50,0,0,0,10.0,20,10.0,15.516449410304157,45,11.422222222222222,21.98381474103586,2,12.0,24.030874785591767,7,15.0,38.0,10,38.0,32,0.52,24622,61,0,0.0,610.0,False,-0.026745275652038106,1,0.21000000000000002,26054,1,10,1.0,165.16449410304156,False,0.020481893138041524,0,0.2,37990,7,19,1.0,526.3076259518105,False,-0.006824337600584005,1,0.228,37700,54,0,0.0,837.8882681564245,False,-0.010308855175038578,7,0.32400000000000007,47627,0,0,0.0,0.0,False,-0.005159376697163387,0,0.24500000000000002,47746,0,3,0.2,72.0926243567753,False,-0.0019207437820447319,0,0.2,68757,0,0,0.0,0.0,False,0.0,8,0.28,68828,0,7,0.7,266.0,False,0.0029669706357170907,0.3625,359324,0.0,0.0,14,0,0,24,9,8.09090909090909,17,41,37,327.0,111.0,19,31,37,304,2.0790990599780343,15.888793254853226
6,37,0,0,0,10.0,20,10.0,16.110933704171064,15,20.133333333333333,23.018929465030382,31,24.225806451612904,23.10415597742432,6,15.0,38.0,8,38.0,2,0.508,24492,72,0,0.0,720.0,False,-0.02967359050445104,3,0.23900000000000002,26196,0,10,1.0,161.10933704171063,False,0.025947004080932912,0,0.2,38550,0,12,0.9,276.2271535803646,False,0.0044686254229457795,15,0.377,37114,67,0,0.0,1079.4325581794612,False,-0.022387675794741737,6,0.3770000000000001,47403,0,10,1.0,231.04155977424318,False,-0.007425308520551454,0,0.24500000000000002,47105,11,13,1.0,553.5622518218504,False,-0.01028154894283072,0,0.2,68757,0,0,0.0,0.0,False,0.0,1,0.28200000000000003,68997,0,6,0.6,228.0,False,0.005148566691391422,0.5625,358614,0.0,0.0,15,0,0,25,6,5.230769230769231,17,42,27,237.0,52.0,19,18,27,1042,2.1409312930190936,18.02972454787232
7,27,0,0,0,10.0,20,10.0,16.413347226559935,37,17.27027027027027,23.018929465030382,0,,24.31628733877866,7,33.42857142857143,38.0,7,38.0,25,0.7560000000000002,24317,82,0,0.0,820.0,False,-0.034554115258472594,2,0.256,26324,0,10,1.0,164.13347226559935,False,0.031003698896329902,0,0.2,37911,27,22,1.0,949.5768233477866,False,-0.0033807142051642623,0,0.36200000000000004,37114,67,0,0.0,1099.6942641795156,False,-0.022124646066835632,0,0.37100000000000005,47432,0,8,0.0,194.5302987102293,False,-0.007200878360798834,0,0.24500000000000002,47310,1,18,1.0,460.7121015630463,False,-0.006969209784402389,0,0.2,68757,0,0,0.0,0.0,False,0.0,1,0.29100000000000004,68984,0,7,0.7,266.0,False,0.0052358305336183955,0.4625,358149,0.0,0.0,17,0,0,20,3,2.166666666666667,15,35,18,156.0,71.0,12,15,18,662,1.6344007200095803,19.6641252678819
8,18,0,0,0,10.0,20,10.0,15.344789738446615,65,13.246153846153845,25.66939774157207,61,28.295081967213115,25.541587678320905,6,36.5,38.0,10,38.0,53,1.2610000000000001,23338,92,0,0.0,920.0,False,-0.07082617523036076,2,0.274,26464,0,10,1.0,153.44789738446616,False,0.036261281769960706,4,0.24000000000000002,38099,52,10,1.0,1054.6230438149446,False,0.0028640440831725843,35,0.712,36699,97,0,0.0,1488.4446046293217,False,-0.02785278060248577,0,0.37100000000000005,47446,0,7,0.0,178.79111374824635,False,-0.0070728253984600805,0,0.24500000000000002,45789,52,23,1.0,1922.2651991631285,False,-0.023475527434900695,0,0.2,68757,0,0,0.0,0.0,False,0.0,3,0.32000000000000006,69010,0,6,0.6,228.0,False,0.005337638349549864,0.45,355602,0.0,0.0,17,0,0,15,6,4.416666666666667,15,30,20,150.0,39.0,10,8,20,1030,1.5393899829941802,21.20351525087608
9,20,0,0,0,10.000000000000002,20,10.0,15.474985262628621,3,23.0,26.538027176533216,15,32.86666666666666,27.7526295459144,11,38.54545454545455,38.0,8,38.0,0,1.2080000000000002,23268,99,0,0.0,990.0000000000002,False,-0.0721927221614868,0,0.272,26403,3,17,1.0,293.07474946468653,False,0.03660539492161264,4,0.276,38468,42,10,1.0,915.3296527957342,False,0.010636224592321738,1,0.687,36614,100,0,0.0,1547.498526262862,False,-0.029293040213640285,0,0.37100000000000005,47333,0,12,1.0,333.03155455097277,False,-0.007822288146478614,0,0.24500000000000002,45833,47,27,1.0,1996.60827503675,False,-0.021780002976179665,0,0.2,68757,0,0,0.0,0.0,False,0.0,2,0.337,68800,1,10,1.0,407.7526295459144,False,0.003590562630320729,0.625,355476,0.0,0.0,17,0,0,20,3,2.4444444444444446,15,35,21,156.0,54.0,12,8,21,1096,1.5312766100396402,22.73479186091572
