index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,537a41ce-f876-45b7-8a42-d1b96d301437,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,20,2,32,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,20,,-1,-1
1,2edc558d-e238-41f8-89ae-b2655647aa9b,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,8,5,10,0,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,8,,-1,-1
2,4ea15bef-8e4c-4a98-9a56-f9c7e87f3ef8,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,16,1,32,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,16,,-1,-1
3,a1f3108a-ee8b-440c-8157-7e074d84728c,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,11,4,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,11,,-1,-1
4,44a302c1-12ac-4da2-ac5c-d622df4b03b3,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,14,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,14,,-1,-1
5,e5c738cf-70ce-456c-8c9c-8917a2de87c3,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,16,4,10,0,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,16,,-1,-1
6,78f97d4b-a8d3-4dd5-ab5f-4c6a9143fbcc,04Ran@2,BUYER,RandomAgent,_SystemAgent,18,1,32,0,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,True,3,0,-1,04Ran@2:product(1.0),-1,-1
7,d93f1465-b72f-4356-8bd6-01b92c2f27ad,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,19,3,32,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,19,,-1,-1
8,88c9e4aa-7ade-41d5-8604-39a3e982333d,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,30,3,32,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
9,c80e9386-53af-4162-bf06-89e7b1c9387d,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,15,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,15,,-1,-1
10,83e13c09-44d9-4c23-9263-5c9d6290217e,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,24,5,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,24,,-1,-1
11,c9028499-1925-4191-bc8d-8f4ea2e8f340,04Ran@2,BUYER,RandomAgent,_SystemAgent,12,2,32,0,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
12,eb0da401-21a4-499a-8ad9-27e313641861,04Ran@2,BUYER,RandomAgent,_SystemAgent,28,2,32,0,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
13,19a1133b-ec26-43ed-8282-4992c8e23f39,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,27,1,32,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
14,10ad1667-eefb-4d7c-8707-1a69983f4a18,04Ran@2,BUYER,RandomAgent,_SystemAgent,12,4,32,0,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
