index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,22.0,0,,26.0,0,,36.0,0,,0,0.2,23032,2,10,1.0,170.0,False,-0.0015117484450587423,0,0.2,23072,0,8,0.8,120.0,False,-0.0008638562543192813,0,0.2,33837,0,0,0.0,0.0,False,0.0,0,0.2,33837,0,0,0.0,0.0,False,0.0,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,55654,0,0,0.0,0.0,False,0.0,0,0.2,55654,0,0,0.0,0.0,False,0.0,0.225,307544,0.0,0.0,5,0,0,0,0,0.0,222,222,190,0.0,0.0,0,0,190,200,2.5779699129634537,2.5779699129634537
1,190,0,0,0,10.0,20,10.0,15.0,0,,22.0,0,,26.0,0,,36.0,0,,0,0.2,22902,5,20,1.0,350.0,False,-0.0032394609536973047,0,0.2,23002,0,15,0.7,225.0,False,-0.0016197304768486524,0,0.2,33837,0,0,0.0,0.0,False,0.0,0,0.2,33837,0,0,0.0,0.0,False,0.0,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,55654,0,0,0.0,0.0,False,0.0,0,0.2,55654,0,0,0.0,0.0,False,0.0,0.2125,307344,0.0,0.0,5,0,0,61,0,0.0,77,138,95,2285.0,237.0,129,61,95,200,6.43702721100999,9.014997123973444
2,95,0,0,0,10.0,20,10.0,14.702127659574469,2,8.0,22.0,0,,26.0,0,,36.0,0,,0,0.2,22830,3,29,1.0,456.3617021276596,False,-0.004052312929171159,0,0.2,22890,2,24,1.0,372.8510638297872,False,-0.0032642738461085767,0,0.2,33837,0,0,0.0,0.0,False,0.0,0,0.2,33821,0,2,0.2,44.0,False,0.000177320684457842,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,55654,0,0,0.0,0.0,False,0.0,0,0.2,55654,0,0,0.0,0.0,False,0.0,0.275,307144,0.0,0.0,7,0,0,20,0,0.0,17,37,89,191.0,228.0,27,68,89,216,3.659646979998797,12.674644103972241
3,89,0,0,0,10.0,20,10.0,18.15881708652793,49,21.142857142857142,21.0,5,12.0,26.0,0,,36.0,0,,0,0.2,23176,4,17,1.0,348.69989047097476,False,0.008567292036778166,3,0.23,23326,1,10,1.0,191.5881708652793,False,0.011653165403966858,5,0.25,33253,14,10,1.0,464.223439211391,False,-0.01039951178870187,0,0.2,33299,15,12,1.0,524.382256297919,False,-0.008151102989361962,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41169,0,5,0.5,130.0,False,0.00012127386063207936,0,0.2,55654,0,0,0.0,0.0,False,0.0,0,0.2,55654,0,0,0.0,0.0,False,0.0,0.5625,306760,0.0,0.0,11,0,0,23,2,1.2307692307692308,15,38,86,371.0,182.0,28,61,86,950,3.337368943961337,16.01201304793358
4,86,0,0,0,10.0,20,10.0,18.657101736079877,29,20.06896551724138,19.363636363636363,10,12.0,26.0,0,,36.0,20,36.0,0,0.2,23378,4,12,1.0,263.8852208329585,False,0.015460548134782209,4,0.267,23434,1,10,1.0,196.57101736079878,False,0.01642560075502769,0,0.24500000000000002,32973,18,20,1.0,723.1005585221651,False,-0.014849121397845968,0,0.2,33117,20,12,1.0,605.5056710852339,False,-0.012331092131612778,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41049,0,15,1.0,390.0,False,0.0003638215818962381,5,0.25,55619,0,0,0.0,0.0,False,-0.0006288856146907679,15,0.35000000000000003,55425,0,0,0.0,0.0,False,-0.004114708736119596,0.625,306224,0.0,0.0,9,0,0,24,5,4.333333333333333,16,40,82,392.0,174.0,30,56,82,638,3.247681349981576,19.259694397915155
5,82,0,0,0,10.0,20,10.0,18.546159765773574,13,17.692307692307693,19.363636363636363,0,,26.0,0,,36.0,20,36.0,0,0.2,23502,3,11,1.0,234.0077574235093,False,0.020171211070825652,0,0.263,23340,2,18,1.0,353.83087578392434,False,0.01576172416603157,0,0.24500000000000002,32941,12,30,1.0,803.4630080983737,False,-0.014607338001324334,0,0.2,32919,19,22,1.0,778.3770355496979,False,-0.01562820232955498,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41049,0,15,0.0,390.0,False,0.0003638215818962381,12,0.36500000000000005,55466,0,0,0.0,0.0,False,-0.003378014158910411,8,0.41500000000000004,55342,0,0,0.0,0.0,False,-0.005606066050957703,0.5,305788,0.0,0.0,8,0,0,18,5,5.0,17,35,77,383.0,396.0,25,57,77,430,2.971950222970918,22.231644620886073
6,77,0,0,0,10.0,20,10.0,20.000450381024745,65,22.276923076923076,19.363636363636363,0,,29.30188679245283,8,47.875,36.0,20,36.0,23,0.43000000000000005,23620,4,10,1.0,240.00450381024746,False,0.025397471143103124,13,0.393,23684,1,10,1.0,210.00450381024746,False,0.027513918966185366,0,0.24500000000000002,32391,27,40,1.0,1314.5576148331227,False,-0.023309430285883552,0,0.2,32021,49,32,1.0,1599.6584323065763,False,-0.030031349819626796,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41432,0,7,0.0,205.11320754716982,False,0.007411205796249833,11,0.4630000000000001,55316,0,0,0.0,0.0,False,-0.0060732382218708445,9,0.49700000000000005,54863,8,0,0.0,234.41509433962264,False,-0.012106810882060377,0.5,304556,0.0,0.0,8,0,0,15,10,8.467948717948719,13,28,71,305.0,387.0,18,59,71,813,3.4364794870489277,25.668124107935
7,71,0,0,0,10.0,20,10.0,20.000450381024745,0,,19.363636363636363,0,,29.30188679245283,0,,36.0,20,36.0,0,0.40700000000000003,23550,1,20,1.0,410.0090076204949,False,0.026045460599958842,0,0.38000000000000006,23554,4,20,1.0,440.0090076204949,False,0.026866124041562158,0,0.24500000000000002,32391,17,50,1.0,1308.1894746592388,False,-0.023403530533746428,0,0.2,32021,39,42,1.0,1593.2902921326922,False,-0.030125450067489887,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41432,0,7,0.0,205.11320754716982,False,0.007411205796249833,10,0.552,55202,0,0,0.0,0.0,False,-0.008121608509720775,10,0.5880000000000001,54749,8,0,0.0,234.41509433962264,False,-0.014155181169910307,0.5,304128,0.0,0.0,5,0,0,14,4,4.0,19,33,62,364.0,339.0,23,48,62,200,2.692636143998243,28.360760251933243
8,62,0,0,0,10.0,20,10.0,20.375873955092352,39,21.82051282051282,19.363636363636363,0,,30.348230912476723,6,38.666666666666664,36.0,20,36.0,18,0.5870000000000002,23852,6,10,1.0,263.7587395509235,False,0.03593120982098578,0,0.38000000000000006,23519,0,28,0.9,570.5244707425859,False,0.028173040574088377,0,0.24500000000000002,31973,26,60,1.0,1691.590904650583,False,-0.03009145455196111,0,0.2,31588,49,52,1.0,2005.3269147086162,False,-0.03683354146779239,0,0.2,41229,0,0,0.0,0.0,False,0.0,0,0.2,41664,0,1,0.0,30.348230912476723,False,0.010918870587601943,11,0.6520000000000001,54865,5,0,0.0,151.7411545623836,False,-0.012813623867445369,9,0.6680000000000001,54618,9,0,0.0,273.1340782122905,False,-0.016161155728139164,0.4875,303308,0.0,0.0,9,0,0,18,7,6.857142857142858,15,33,51,393.0,234.0,24,38,51,865,2.332527866004966,30.69328811793821
9,51,0,0,0,10.000000000000002,20,10.0,20.624257452439323,22,22.545454545454547,19.363636363636363,0,,31.25314082130133,5,40.0,36.0,20,36.0,0,0.5690000000000001,23962,7,10,1.0,276.24257452439326,False,0.04095202519273489,0,0.38000000000000006,23705,0,25,0.9,515.6064363109831,False,0.03502087155129111,0,0.24500000000000002,31753,26,70,1.0,1891.685239217968,False,-0.03363647428527985,0,0.2,31312,51,62,1.0,2252.3825846198597,False,-0.04133961957886545,0,0.2,41229,0,0,0.0,0.0,False,0.0,4,0.24000000000000002,41740,0,0,0.0,0.0,False,0.01239418855659851,10,0.7410000000000001,54553,10,0,0.0,312.53140821301326,False,-0.016975137382640903,10,0.7590000000000001,54509,9,0,0.0,281.27826739171195,False,-0.01804651716505813,0.4875,302763,0.0,0.0,7,0,0,11,5,4.8,16,27,54,287.0,162.0,17,34,54,696,1.9591044600238092,32.65239257796202
