index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,24.0,0,,34.0,0,,43.0,0,,0,0.2,29251,2,10,1.0,170.0,False,-0.001191651629158013,0,0.2,29291,0,8,0.8,120.0,False,-0.0006809437880902932,0,0.2,43743,0,0,0.0,0.0,False,0.0,0,0.2,43743,0,0,0.0,0.0,False,0.0,0,0.2,58218,0,0,0.0,0.0,False,0.0,0,0.2,58218,0,0,0.0,0.0,False,0.0,0,0.2,87692,0,0,0.0,0.0,False,0.0,0,0.2,87692,0,0,0.0,0.0,False,0.0,0.225,437848,0.0,0.0,8,0,0,0,0,0.0,432,432,178,0.0,0.0,0,0,178,200,9.353044728981331,9.353044728981331
1,178,0,0,0,10.0,20,10.0,15.0,0,,24.0,0,,34.0,0,,43.0,0,,0,0.2,29161,1,20,1.0,310.0,False,-0.0018725954172483061,0,0.2,29181,1,18,1.0,280.0,False,-0.0017023594702257328,0,0.2,43743,0,0,0.0,0.0,False,0.0,0,0.2,43743,0,0,0.0,0.0,False,0.0,0,0.2,58218,0,0,0.0,0.0,False,0.0,0,0.2,58218,0,0,0.0,0.0,False,0.0,0,0.2,87692,0,0,0.0,0.0,False,0.0,0,0.2,87692,0,0,0.0,0.0,False,0.0,0.25,437648,0.0,0.0,10,0,0,77,0,0.0,57,134,52,1905.0,252.0,116,62,52,200,23.33632011699956,32.68936484598089
2,52,0,0,0,10.0,20,10.0,12.402985074626866,22,7.090909090909091,24.0,0,,34.0,0,,43.0,0,,0,0.2,29109,4,19,1.0,275.65671641791045,False,-0.00422769540672931,0,0.2,29189,0,15,0.8,186.044776119403,False,-0.0030294376064927834,0,0.2,43603,10,10,1.0,364.02985074626866,False,0.0009604948305588566,0,0.2,43727,0,2,0.2,48.0,False,0.00018288640468189197,0,0.2,58218,0,0,0.0,0.0,False,0.0,0,0.2,58218,0,0,0.0,0.0,False,0.0,0,0.2,87692,0,0,0.0,0.0,False,0.0,0,0.2,87692,0,0,0.0,0.0,False,0.0,0.375,437448,0.0,0.0,11,0,0,10,0,0.0,24,34,50,227.0,119.0,16,36,50,356,6.820912803988904,39.510277649969794
3,50,0,0,0,10.0,20,10.0,12.402985074626866,0,,24.0,0,,34.0,0,,43.0,0,,0,0.2,28999,5,29,1.0,409.6865671641791,False,-0.005691216384117344,0,0.2,29099,0,24,0.9,297.67164179104475,False,-0.0041933941338217475,0,0.2,43603,0,20,1.0,480.0,False,0.0022860800585236497,0,0.2,43727,0,2,0.0,48.0,False,0.00018288640468189197,0,0.2,58218,0,0,0.0,0.0,False,0.0,0,0.2,58218,0,0,0.0,0.0,False,0.0,0,0.2,87692,0,0,0.0,0.0,False,0.0,0,0.2,87692,0,0,0.0,0.0,False,0.0,0.3625,437248,0.0,0.0,10,0,0,11,0,0.0,26,37,42,241.0,106.0,18,32,42,200,7.755383138952311,47.265660788922105
4,42,0,0,0,10.0,20,10.0,12.261637239165328,2,8.0,24.0,0,,32.666666666666664,9,26.0,43.0,20,43.0,0,0.2,28899,5,39,1.0,528.2038523274477,False,-0.007078345096737497,0,0.2,29015,0,32,1.0,392.3723916532905,False,-0.005441210860146218,0,0.2,43603,0,20,0.0,480.0,False,0.0022860800585236497,0,0.2,43711,0,4,0.2,96.0,False,0.00036577280936378394,9,0.29000000000000004,58083,0,0,0.0,0.0,False,-0.0023188704524373903,0,0.2,58218,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,87523,0,0,0.0,0.0,False,-0.0019271997445605073,10,0.30000000000000004,87289,9,0,0.0,294.0,False,-0.002919308488801715,0.275,436341,0.0,0.0,9,0,0,11,13,13.0,27,38,40,260.0,83.0,19,23,40,216,7.579307637992315,54.84496842691442
5,40,0,0,0,10.0,20,10.0,12.114861374203546,2,8.0,22.0,10,13.0,34.28358208955223,5,50.0,43.0,20,43.0,0,0.2,28779,7,49,1.0,663.6282073359738,False,-0.008858598492799425,0,0.2,28951,0,38,0.8,460.3647322197347,False,-0.006462756933374149,0,0.2,43603,0,20,0.0,440.0,False,0.0018288640468189195,6,0.26,43646,0,2,0.2,44.0,False,-0.001714560043892737,0,0.281,58018,0,5,0.5,171.41791044776116,False,-0.001963156494144713,5,0.25,58198,0,5,0.5,171.41791044776116,False,0.0011286707757718075,11,0.4,87078,5,0,0.0,171.41791044776116,False,-0.006024392701456509,9,0.38000000000000006,87155,9,0,0.0,308.5522388059701,False,-0.004364410443335902,0.375,435428,0.0,0.0,13,0,0,13,14,13.2,23,36,40,243.0,81.0,17,23,40,216,6.669762453995645,61.514730880910065
6,40,0,0,0,10.0,20,10.0,15.500857027102834,44,19.522727272727273,22.0,0,,38.46376811594202,18,49.666666666666664,43.0,20,43.0,0,0.2,29578,3,15,1.0,262.5128554065425,False,0.011516680661307838,0,0.2,28811,4,48,1.0,784.041137300936,False,-0.005719227515220221,0,0.2,43603,0,20,0.0,440.0,False,0.0018288640468189195,0,0.254,42787,34,12,1.0,791.0291389214964,False,-0.012813145658488238,0,0.281,58018,0,5,0.0,192.31884057971007,False,-0.0017836507559542425,13,0.37500000000000006,58469,0,0,0.0,0.0,False,0.004311381359716926,11,0.49900000000000005,86561,14,0,0.0,538.4927536231883,False,-0.00982704948214661,9,0.4610000000000001,86452,18,0,0.0,692.3478260869563,False,-0.01019278938736176,0.375,434279,0.0,0.0,15,0,0,12,11,10.8,27,39,35,221.0,95.0,16,24,35,1331,9.635334908030927,71.15006578894099
7,35,0,0,0,10.0,20,10.0,16.413192047179194,12,23.0,26.16058394160584,19,37.0,34.699731903485244,12,16.0,43.0,20,43.0,0,0.2,29754,3,13,1.0,243.37149661332953,False,0.01718313126235618,0,0.2,28711,4,58,1.0,991.9651387363933,False,-0.005584332526362875,0,0.2,44306,0,1,0.0,26.16058394160584,False,0.013169656675829283,0,0.254,42511,36,22,1.0,1166.4077604137794,False,-0.014831998715065433,7,0.35100000000000003,57220,9,10,1.0,582.442574509305,False,-0.012140209432569797,0,0.3620000000000001,58469,0,0,0.0,0.0,False,0.004311381359716926,11,0.5980000000000001,86182,26,0,0.0,902.1930294906164,False,-0.012075257552053667,9,0.542,86317,18,0,0.0,624.5951742627344,False,-0.012118578808427583,0.5,433470,0.0,0.0,13,0,0,13,10,9.583333333333334,26,39,30,272.0,45.0,20,15,30,1179,6.608975077979267,77.75904086692026
8,30,0,0,0,10.0,20,10.0,18.03510353771148,29,23.0,27.981970379909853,16,35.0,37.71764378331078,16,49.875,43.0,20,43.0,5,0.25,29998,1,10,1.0,190.35103537711478,False,0.0245880466340457,0,0.2,28844,6,57,1.0,1088.0009016495542,False,0.0005788175691933075,0,0.2,44306,0,1,0.0,27.981970379909853,False,0.01319047585190676,0,0.254,42404,55,16,1.0,1439.642220652689,False,-0.01415492512341756,0,0.34400000000000003,56732,15,16,1.0,1023.2118562316202,False,-0.016736989794980787,12,0.4820000000000001,58626,0,0,0.0,0.0,False,0.00700814181181078,9,0.6770000000000002,85724,35,0,0.0,1320.1175324158771,False,-0.014915171666652212,11,0.643,85646,25,0,0.0,942.9410945827694,False,-0.01795522342640843,0.5,432280,0.0,0.0,15,0,0,11,14,13.277777777777779,27,38,31,241.0,48.0,19,11,31,1085,6.117936763970647,83.8769776308909
9,31,0,0,0,10.000000000000002,20,10.0,18.577506661226582,13,23.0,30.864751907469508,33,36.96969696969697,39.25369832321187,7,55.142857142857146,43.00000000000001,20,43.0,3,0.275,30143,1,10,1.0,195.77506661226582,False,0.02961722560709997,0,0.2,28744,6,67,1.0,1304.692946302181,False,0.0008629761721116176,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,16,0.41400000000000003,42825,58,10,1.0,1386.142905425837,False,-0.00514204666545695,0,0.34400000000000003,55548,37,26,1.0,2162.59197697988,False,-0.027288879925625422,7,0.54,58673,0,1,0.1,39.25369832321187,False,0.008152579084846723,9,0.7580000000000002,85348,40,0,0.0,1570.1479329284748,False,-0.017777289074667798,11,0.742,85320,27,0,0.0,1059.8498547267204,False,-0.021006192955305373,0.5125,430943,0.0,0.0,12,0,0,11,14,12.73076923076923,27,38,33,256.0,82.0,17,14,33,236,5.912525625026319,89.78950325591723
