index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,15,10.0,16.0,0,,22.0,0,,30.0,0,,44.0,0,,0,0.2,22727,0,4,0.4,64.0,False,-0.0003513857776606492,0,0.2,22657,1,10,1.0,170.0,False,-0.0010980805551895287,0,0.2,33363,0,0,0.0,0.0,False,0.0,0,0.2,33363,0,0,0.0,0.0,False,0.0,0,0.2,46323,0,0,0.0,0.0,False,0.0,0,0.2,46323,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0.175,333302,0.0,0.0,5,0,0,92,0,0.0,323,415,204,0.0,0.0,0,0,204,150,8.877910448994953,8.877910448994953
1,204,0,0,0,10.0,18,10.0,16.0,0,,22.0,0,,30.0,0,,44.0,0,,0,0.2,22657,0,11,0.7,176.0,False,-0.0009663108885667852,0,0.2,22547,2,20,1.0,340.0,False,-0.0021961611103790573,0,0.2,33363,0,0,0.0,0.0,False,0.0,0,0.2,33363,0,0,0.0,0.0,False,0.0,0,0.2,46323,0,0,0.0,0.0,False,0.0,0,0.2,46323,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0.2125,333122,0.0,0.0,8,0,0,40,0,0.0,46,86,88,1131.0,905.0,67,137,88,180,19.547260296007153,28.425170745002106
2,88,0,0,0,10.0,11,10.0,15.3,5,9.0,20.9,5,11.0,30.0,0,,44.0,0,,0,0.2,22657,0,11,0.0,168.3,False,-0.0011354152940659089,0,0.2,22482,3,25,1.0,412.5,False,-0.0034589537488470155,5,0.25,33288,0,0,0.0,0.0,False,-0.0022479992806402303,0,0.2,33318,0,5,0.5,104.5,False,0.0002173065971285556,0,0.2,46268,0,5,0.5,150.0,False,0.0004317509660427865,0,0.2,46323,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0.25,332882,0.0,0.0,6,0,0,28,1,1.0,27,55,80,560.0,235.0,37,51,80,155,8.969049514038488,37.394220259040594
3,80,0,0,0,10.0,17,10.0,13.558333333333334,15,8.333333333333334,19.34259259259259,9,11.555555555555555,30.0,0,,44.0,0,,0,0.2,22607,0,16,0.5,216.93333333333334,False,-0.002263510051097327,0,0.2,22487,5,20,1.0,321.1666666666667,False,-0.005245164785288702,4,0.28500000000000003,33148,0,10,1.0,193.42592592592592,False,-0.0035454556555776307,0,0.2,33333,0,5,0.5,96.71296296296296,False,0.0005502047622060891,0,0.2,46208,0,10,0.5,300.0,False,0.0007555641905748764,0,0.2,46279,0,4,0.4,120.0,False,0.0003454007728342292,0,0.2,64273,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0.4875,332608,0.0,0.0,11,0,0,29,1,1.0,20,49,66,473.0,194.0,32,48,66,355,8.63463824801147,46.028858507052064
4,66,0,0,0,10.0,18,10.0,13.558333333333334,0,,18.08959044368601,10,12.0,30.0,0,,44.0,20,44.0,0,0.2,22497,1,26,1.0,362.51666666666665,False,-0.0038978199440710226,0,0.2,22417,2,30,1.0,426.75,False,-0.006001010234110774,0,0.281,33208,0,5,0.0,90.44795221843005,False,-0.0032903523031737776,0,0.2,33393,0,0,0.0,0.0,False,0.000899199712256092,0,0.2,46148,0,15,0.5,450.0,False,0.0010793774151069662,0,0.2,46219,0,9,0.5,270.0,False,0.0006692139973663191,12,0.32000000000000006,64059,0,0,0.0,0.0,False,-0.003329547399374543,8,0.28,64161,0,0,0.0,0.0,False,-0.0017425668632240598,0.375,332102,0.0,0.0,10,0,0,24,8,8.0,17,41,61,365.0,130.0,25,41,61,300,8.727082226017956,54.75594073307002
5,61,0,0,0,9.999999999999998,10,10.0,16.110135135135135,20,23.0,17.562261863526153,5,12.0,30.0,11,30.0,44.0,20,44.0,0,0.2,22589,0,23,0.1,370.5331081081081,False,0.0003191704683996452,0,0.2,22685,2,24,1.0,406.6432432432432,False,0.0053288365450705226,0,0.281,32808,10,10,1.0,336.7239699866129,False,-0.01158882639470943,0,0.2,33393,0,0,0.0,0.0,False,0.000899199712256092,0,0.2,46418,0,9,0.5,270.0,False,0.004965136109492045,0,0.2,46219,0,9,0.0,270.0,False,0.0006692139973663191,6,0.36800000000000005,63984,0,0,0.0,0.0,False,-0.004496444852426369,14,0.41200000000000003,63535,11,0,0.0,330.0,False,-0.00891509654131595,0.325,331631,0.0,0.0,9,0,0,26,10,10.0,19,45,57,394.0,141.0,27,34,57,950,8.79334029200254,63.54928102507256
6,57,0,0,0,9.999999999999998,13,10.0,17.444733656174332,16,23.0,16.45600005335752,23,13.956521739130435,31.879432624113477,6,47.666666666666664,43.99999999999999,20,44.0,0,0.2,22589,0,23,0.0,401.2288740920096,False,0.0009932989434710791,0,0.2,22923,5,18,1.0,364.00520581113796,False,0.014846163434162157,13,0.41100000000000003,32358,16,10,1.0,443.6757390323645,False,-0.023473972079363938,0,0.2,33393,0,0,0.0,0.0,False,0.000899199712256092,0,0.2,46375,9,14,1.0,594.4160572178064,False,0.007538545185089567,0,0.2,46227,0,12,0.4,382.5531914893617,False,0.0020567881127017402,11,0.47200000000000003,63561,5,0,0.0,159.39716312056737,False,-0.009837745529844849,9,0.4880000000000001,63343,12,0,0.0,382.5531914893617,False,-0.011493526119137388,0.425,330769,0.0,0.0,10,0,0,22,12,12.0,20,42,67,362.0,112.0,26,31,67,954,8.240141370974015,71.78942239604658
7,67,0,0,0,9.999999999999998,13,10.0,18.35582001389854,12,24.0,15.963445552925643,21,14.380952380952381,38.455497382198956,18,57.0,43.99999999999999,20,44.0,0,0.2,22877,0,11,0.0,201.91402015288395,False,0.009265911629834546,0,0.2,22793,8,28,1.0,593.9629603891591,False,0.014186387323519985,9,0.4880000000000001,32041,18,10,1.0,490.03921577943015,False,-0.032280681956367435,2,0.22000000000000003,33405,0,0,0.0,0.0,False,0.0012588795971585289,0,0.2,46748,5,16,1.0,695.1051858798115,False,0.01667751641603325,0,0.2,46578,5,12,1.0,541.2831963510157,False,0.011347313390227433,9,0.5510000000000002,63434,5,0,0.0,192.27748691099478,False,-0.011557905443102081,11,0.5890000000000002,62123,30,0,0.0,1153.6649214659687,False,-0.02447633593059317,0.5,329999,0.0,0.0,14,0,0,28,13,12.2,21,49,67,437.0,182.0,32,35,67,1537,14.721450919983909,86.51087331603048
8,67,0,0,0,9.999999999999998,14,10.0,20.690941302679594,50,24.32,17.99864359044467,35,22.62857142857143,39.76705938640034,5,56.0,43.99999999999999,20,44.0,0,0.2,22877,0,11,0.0,227.60035432947552,False,0.009830024911702885,22,0.42000000000000004,23379,12,10,1.0,326.9094130267959,False,0.03406046938610266,25,0.7290000000000001,31808,23,10,1.0,655.8780858660773,False,-0.036779095317176574,0,0.21800000000000003,32564,25,10,1.0,697.2599684714365,False,-0.013499086286133787,0,0.2,46715,0,22,0.6,874.8753065008075,False,0.017905525403156163,0,0.2,46099,29,17,1.0,1198.0006736917012,False,0.008095337884978288,10,0.6420000000000001,63272,5,0,0.0,198.8352969320017,False,-0.014027388662953366,10,0.6780000000000002,61684,35,0,0.0,1391.847078524012,False,-0.029453681339567113,0.575,328398,0.0,0.0,10,0,0,30,11,9.992869875222816,20,50,64,477.0,178.0,33,34,64,861,9.229956772993319,95.7408300890238
9,64,0,0,0,10.0,14,10.0,21.130187500792616,27,23.0,22.242415965910563,71,28.408450704225352,39.76705938640034,0,,43.99999999999999,20,44.0,0,0.2,22877,0,11,0.0,232.4320625087188,False,0.009936137007702382,17,0.5680000000000001,23489,16,10,1.0,371.3018750079261,False,0.039866953814905966,24,0.9440000000000002,31943,13,10,1.0,497.1165971694096,False,-0.0351120013612474,27,0.4880000000000001,32499,42,10,1.0,1109.8920346923956,False,-0.00926337507579656,0,0.2,45956,24,32,1.0,1806.3638835466645,False,0.011574853566766725,0,0.2,44841,56,27,1.0,2319.2858975238005,False,-0.006958898414137631,6,0.6920000000000002,63196,5,0,0.0,198.8352969320017,False,-0.015209844748712549,14,0.808,61385,35,0,0.0,1391.847078524012,False,-0.03410571251906706,0.625,326186,0.0,0.0,7,0,0,19,14,12.79033579033579,27,46,68,433.0,207.0,30,34,68,173,9.117282124992926,104.85811221401673
