index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,12,10.0,18.0,0,,28.0,0,,42.0,0,,0,0.2,27051,0,0,0.0,0.0,False,0.0,0,0.2,26931,2,10,1.0,200.0,False,-0.0007393442016930983,0,0.2,42832,0,0,0.0,0.0,False,0.0,0,0.2,42832.0,0,0,0.0,0.0,False,0.0,0,0.2,62489,0,0,0.0,0.0,False,0.0,0,0.2,62489,0,0,0.0,0.0,False,0.0,0.16666666666666666,264624,0.0,0.0,3,0,0,133,0,0.0,399,532,137,0.0,0.0,0,0,137,120,5.228397159953602,5.228397159953602
1,137,0,0,0,9.999999999999998,20,10.0,18.0,0,,24.72222222222222,9,8.333333333333334,42.0,0,,0,0.2,26911,4,10,1.0,220.0,False,-0.0011090163025396474,0,0.2,26871,0,18,0.8,324.0,False,-0.0006654097815237884,0,0.2,42832,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,42577.0,0,0,0.0,0.0,False,-0.00595349271572656,0,0.2,62489,0,0,0.0,0.0,False,0.0,0,0.2,62414,9,0,0.0,222.5,False,0.0005801020979692426,0.3,264094,0.0,0.0,6,0,0,56,2,2.0,86,142,68,2083.0,70.0,131,6,68,200,15.842552613001317,21.07094977295492
2,68,0,0,0,9.999999999999998,16,10.0,16.545454545454547,10,10.0,17.003968253968257,27,3.111111111111111,42.0,0,,0,0.2,26871,0,18,0.8,297.81818181818187,False,-0.001149344168086507,0,0.2,26851,2,18,1.0,317.81818181818187,False,-0.001519016268933056,0,0.2,42732,0,10,1.0,170.03968253968256,False,-0.00034974221913885366,27,0.5510000000000002,41362.0,0,0,0.0,0.0,False,-0.03432013447889429,0,0.2,62485,0,2,0.2,84.0,False,0.0006081070268367233,0,0.2,62334,34,0,0.0,578.1349206349207,False,0.0021454569655053367,0.5,262635,0.0,0.0,6,0,0,18,5,5.0,23,41,39,379.0,121.0,30,38,39,260,3.803079162025824,24.874028934980743
3,39,0,0,0,9.999999999999998,13,10.0,15.445378151260506,10,10.0,10.508800410116201,49,1.489795918367347,42.0,20,42.0,0,0.2,26851,0,20,0.2,308.90756302521015,False,-0.00168371662738509,0,0.2,26841,3,18,1.0,308.0168067226891,False,-0.0020698531159163915,0,0.2,42632,0,20,1.0,210.17600820232403,False,-0.0022159132400737212,49,1.014,38400.0,0,0,0.0,0.0,False,-0.10347403810235338,8,0.28,62458,0,1,0.1,42.0,False,-0.00016002816495703243,10,0.30000000000000004,62125,82,0,0.0,861.7216336295285,False,0.0010699613822394674,0.38333333333333336,259307,0.0,0.0,6,0,0,17,13,12.5,18,35,23,303.0,89.0,23,16,23,230,2.1955434969859198,27.069572431966662
4,23,0,0,0,9.999999999999998,13,10.0,15.702770780856424,6,18.0,9.454227037722603,20,3.9,42.0,20,42.0,0,0.2,26851,0,20,0.0,314.05541561712846,False,-0.0015885657532600007,0,0.2,26819,6,22,1.0,405.46095717884134,False,-0.0010820125470622393,0,0.2,42632,0,20,0.0,189.08454075445206,False,-0.0024621248044166184,20,1.165,37492.0,6,0,0.0,94.21662468513854,False,-0.12357330238273789,8,0.35200000000000004,62384,0,9,0.9,378.0,False,0.0013442365856390726,11,0.4,61892,93,0,0.0,879.2431145082021,False,-0.002518498339642111,0.31666666666666665,258070,0.0,0.0,5,0,0,16,10,9.5,10,26,26,196.0,35.0,15,8,26,238,2.117242881038692,29.186815313005354
5,26,0,0,0,9.999999999999998,6,10.0,17.894666765293294,14,26.285714285714285,9.310489214004242,49,8.979591836734693,42.0,20,42.0,0,0.2,26851,0,20,0.0,357.8933353058659,False,-0.0007782829598560614,0,0.2,27127,2,18,1.0,342.1040017752793,False,0.009132823218647779,0,0.2,42372,0,30,1.0,279.3146764201273,False,-0.0074790498176582594,49,1.6350000000000002,35064.0,10,0,0.0,178.94666765293294,False,-0.17927079441010313,0,0.3440000000000001,62288,31,11,1.0,750.6251656341315,False,0.0027894922757135954,12,0.5090000000000001,61694,101,0,0.0,940.3594106144285,False,-0.005198039570048888,0.5,255396,0.0,0.0,6,0,0,12,7,7.0,16,28,25,223.0,49.0,17,9,25,764,2.316983024997171,31.503798338002525
6,25,0,0,0,9.999999999999998,10,10.0,22.62193605034024,28,32.892857142857146,8.373726536610247,68,6.367647058823529,41.99999999999999,20,42.0,0,0.2,27452,0,2,0.0,45.24387210068048,False,0.015660121106441237,0,0.2,27347,2,18,1.0,427.1948489061243,False,0.018838395048355425,0,0.2,42567,0,17,0.0,142.3533511223742,False,-0.004525199020330833,55,2.1360000000000006,30709.0,38,0,0.0,859.633569912929,False,-0.27300110233105007,0,0.3440000000000001,62487,54,11,1.0,914.1812329769533,False,0.007282731624581607,10,0.5970000000000002,61335,136,0,0.0,1138.8268089789935,False,-0.009355032013802488,0.3333333333333333,251897,0.0,0.0,11,0,0,13,11,11.0,10,23,26,146.0,62.0,12,13,26,1636,2.9045262009603903,34.408324538962916
7,26,0,0,0,9.999999999999998,11,10.0,25.52081891607755,35,32.142857142857146,7.428049144624169,79,5.1265822784810124,42.0,20,42.0,0,0.2,27452,0,2,0.0,51.0416378321551,False,0.01576728471834966,17,0.37000000000000005,27929,3,10,1.0,285.2081891607755,False,0.037728885977612175,0,0.2,42232,2,27,1.0,251.59896473700766,False,-0.01107117383338391,79,2.871000000000001,24361.0,61,0,0.0,1556.7699538807306,False,-0.41307001828211704,0,0.3440000000000001,62655,84,10,1.0,1043.9561281484303,False,0.011009586712448869,9,0.6770000000000002,61104,175,0,0.0,1299.9086003092295,False,-0.011762801450581515,0.5,245733,0.0,0.0,8,0,0,15,13,12.454545454545455,13,28,23,230.0,35.0,17,9,23,962,2.4994377800030634,36.90776231896598
8,23,0,0,0,9.999999999999998,12,10.0,26.20383006904184,36,28.166666666666668,6.849367040867455,38,3.1315789473684212,42.00000000000001,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,24,0.5930000000000001,28143,5,10,1.0,312.0383006904184,False,0.04613578612048382,0,0.2,41280,26,37,1.0,934.7261623071836,False,-0.02532305096298115,38,3.1720000000000006,22399.0,63,0,0.0,1650.8412943496357,False,-0.4577787484316675,0,0.3440000000000001,63033,74,11,1.0,968.8531610241918,False,0.01645772184723865,11,0.7780000000000002,60846,213,0,0.0,1458.915179704768,False,-0.014619251550634775,0.5,243215,0.0,0.0,7,0,0,14,8,7.375,11,25,23,173.0,57.0,14,9,23,560,2.122124827990774,39.02988714695675
9,23,0,0,0,9.999999999999998,10,10.0,26.20383006904184,0,,9.361173052417847,103,15.553398058252426,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.5690000000000002,28043,5,20,1.0,574.0766013808368,False,0.04728247756794275,21,0.41000000000000003,41986,16,10,1.0,512.8730116288478,False,-0.013764556737616155,45,3.584000000000001,19891.0,63,0,0.0,1650.8412943496357,False,-0.5163331003181075,0,0.3440000000000001,61817,125,13,1.0,1716.146631552231,False,0.0029776971271121846,12,0.8870000000000002,60599,255,0,0.0,2387.0991283665508,False,-0.011145168522727601,0.5,239850,0.0,0.0,5,0,0,13,10,9.288461538461538,13,26,22,181.0,50.0,14,9,22,436,2.0657719570444897,41.09565910400124
