index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,33.0,0,,0,0.2,41550,3,10,1.0,210.0,False,-0.0005998080614203454,0,0.2,41610,0,7,0.7,126.0,False,-0.00016794625719769674,0,0.2,56007,0,0,0.0,0.0,False,0.0,0,0.2,56007,0,0,0.0,0.0,False,0.0,0,0.2,70074,0,0,0.0,0.0,False,0.0,0,0.2,70074,0,0,0.0,0.0,False,0.0,0.2833333333333333,335322,0.0,0.0,9,0,0,124,0,0.0,398,522,106,0.0,0.0,0,0,106,200,1.5969492020085454,1.5969492020085454
1,106,0,0,0,10.0,20,10.0,18.0,0,,22.705882352941178,6,13.0,33.0,0,,0,0.2,41430,5,20,1.0,410.0,False,-0.001079654510556622,0,0.2,41530,0,15,0.8,270.0,False,-0.0003598848368522073,0,0.2,56007,0,0,0.0,0.0,False,0.0,6,0.26,55911,0,0,0.0,0.0,False,-0.001714071455353795,0,0.2,70074,0,0,0.0,0.0,False,0.0,0,0.2,69996,0,6,0.6,198.0,False,0.0002996831920541142,0.39999999999999997,334948,0.0,0.0,9,0,0,34,1,1.0,47,81,63,1116.0,267.0,62,44,63,200,4.277634150348604,5.874583352357149
2,63,0,0,0,10.0,20,10.0,17.2,5,10.0,21.927855711422847,4,13.0,33.0,0,,0,0.2,41420,1,25,1.0,440.0,False,-0.0009596928982725527,0,0.2,41390,4,25,1.0,470.0,False,-0.00131957773512476,0,0.2,55957,0,5,0.5,109.63927855711424,False,8.605423033824254e-05,4,0.29400000000000004,55847,0,0,0.0,0.0,False,-0.002856785758922992,0,0.2,70022,0,4,0.4,132.0,False,0.00019978879470274283,0,0.2,69996,0,6,0.0,198.0,False,0.0002996831920541142,0.48333333333333334,334632,0.0,0.0,12,0,0,19,1,1.0,19,38,35,246.0,208.0,17,46,35,250,2.3184104040265083,8.192993756383657
3,35,0,0,0,10.0,20,10.0,15.89090909090909,10,10.0,19.768261094802284,13,12.307692307692308,33.0,13,33.0,0,0.2,41420,1,25,1.0,407.27272727272725,False,-0.0013522945384750401,0,0.2,41290,4,35,1.0,596.1818181818181,False,-0.0022051125458034614,0,0.2,55857,0,15,1.0,296.5239164220343,False,-3.10325814448176e-05,13,0.42000000000000004,55562,0,0,0.0,0.0,False,-0.00794543539200457,9,0.29000000000000004,69887,3,10,1.0,389.3047832844069,False,0.00010920443591347874,0,0.2,69996,0,6,0.0,198.0,False,0.0002996831920541142,0.6666666666666666,334012,0.0,0.0,12,0,0,20,7,7.0,13,33,23,186.0,95.0,12,23,23,432,1.550700156018138,9.743693912401795
4,23,0,0,0,10.0,20,10.0,15.89090909090909,0,,17.79422898265367,20,12.65,33.00000000000001,12,33.0,0,0.2,41330,0,35,1.0,556.1818181818181,False,-0.0017252660966671847,0,0.2,41180,5,45,1.0,765.0909090909091,False,-0.0028180073285639187,0,0.2,55857,0,15,0.0,266.91343473980504,False,-0.00029537883889686387,20,0.6070000000000001,55082,0,0,0.0,0.0,False,-0.016515792668773545,2,0.30100000000000005,69952,13,10,1.0,561.3249767744978,False,0.0022642133799589403,0,0.2,69996,0,6,0.0,198.00000000000006,False,0.0002996831920541142,0.5,333397,0.0,0.0,13,0,0,12,4,4.0,15,27,23,126.0,59.0,7,16,23,530,1.252270970493555,10.99596488289535
5,23,0,0,0,10.0,20,10.0,19.09793103448276,23,26.0,17.379805484707564,5,12.0,33.00000000000001,9,33.0,0,0.2,41460,3,35,1.0,698.4275862068965,False,0.003100138990005876,0,0.2,41448,2,42,1.0,822.1131034482759,False,0.004295982526970757,0,0.2,55857,0,15,0.0,260.69708227061346,False,-0.0003508750489170444,5,0.6370000000000001,54393,23,0,0.0,439.25241379310347,False,-0.024896419967208535,0,0.29900000000000004,70189,8,11,1.0,502.0384438776606,False,0.00522332422779956,0,0.2,69996,0,6,0.0,198.00000000000006,False,0.0002996831920541142,0.5,333343,0.0,0.0,17,0,0,17,2,2.0,13,30,28,99.0,60.0,8,15,28,1095,1.5444500604644418,12.540414943359792
6,28,0,0,0,10.0,20,10.0,22.46082514734774,62,26.0,16.88572444254424,8,13.0,33.000000000000014,8,33.0,0,0.2,41770,1,30,1.0,683.8247544204322,False,0.010362581027116543,5,0.25,42440,4,10,1.0,264.6082514734774,False,0.021408448314221132,0,0.2,55467,5,25,1.0,534.4472368003447,False,-0.00487039801453079,8,0.7120000000000002,53043,70,0,0.0,1572.2577603143418,False,-0.03888569499960413,0,0.29900000000000004,70349,6,13,1.0,530.3143466552656,False,0.00770838218636921,0,0.2,69996,0,6,0.0,198.00000000000009,False,0.0002996831920541142,0.6666666666666666,333065,0.0,0.0,18,0,0,15,2,1.3125,15,30,33,138.0,66.0,11,17,33,1660,1.561830141581595,14.102245084941387
7,33,0,0,0,10.0,20,10.0,24.118381691867594,69,26.869565217391305,20.457119159017427,22,30.818181818181817,33.000000000000014,11,33.0,24,0.44000000000000006,42460,0,10,1.0,241.18381691867594,False,0.021607291469753855,5,0.29500000000000004,42640,5,10,1.0,291.1838169186759,False,0.026525717573400685,0,0.2,54893,39,17,1.0,1288.3879116861324,False,-0.008388345102521691,4,0.7440000000000002,52325,95,0,0.0,2291.2462607274215,False,-0.045286783252741436,0,0.29900000000000004,70034,18,12,1.0,764.2281448623139,False,0.0048821827272762415,0,0.2,69996,0,6,0.0,198.00000000000009,False,0.0002996831920541142,0.6666666666666666,332348,0.0,0.0,20,0,0,12,4,3.2424242424242427,22,34,38,174.0,81.0,11,22,38,1977,1.6142935324460268,15.716538617387414
8,38,0,0,0,10.0,20,10.0,24.381286034796595,12,28.0,20.08996454270922,4,13.0,33.000000000000014,11,33.0,0,0.41600000000000004,42370,0,19,0.9,463.2444346611353,False,0.02211185742155866,2,0.31000000000000005,42822,6,10,1.0,303.81286034796597,False,0.031043820301679112,0,0.2,54893,29,27,1.0,1249.4863376622502,False,-0.008735637173368931,4,0.78,51925,107,0,0.0,2608.797605723236,False,-0.04959382214970245,0,0.29900000000000004,70345,12,11,1.0,604.0795745125108,False,0.00817763774376032,0,0.2,69996,0,6,0.0,198.00000000000009,False,0.0002996831920541142,0.65,332351,0.0,0.0,15,0,0,10,2,1.1666666666666667,22,32,33,141.0,108.0,12,26,33,563,1.6720080180093646,17.38854663539678
9,33,0,0,0,10.000000000000002,20,10.0,25.102879102842664,48,27.5,18.97443442292409,17,14.176470588235293,33.000000000000014,11,33.0,17,0.5860000000000001,42884,2,10,1.0,271.02879102842667,False,0.03213806131272102,2,0.32800000000000007,43010,4,10,1.0,291.02879102842667,False,0.035401017166847695,0,0.2,54425,37,36,1.0,1611.886166030446,False,-0.01385642717847377,16,0.9360000000000002,50757,137,0,0.0,3439.094437089445,False,-0.06303592017882191,0,0.29900000000000004,70503,18,10,1.0,671.5398196126338,False,0.010913747036080668,0,0.2,69960,0,7,0.1,231.0000000000001,False,2.1405942289579588e-05,0.6833333333333332,331539,0.0,0.0,16,0,0,15,5,4.111111111111111,17,32,31,183.0,107.0,11,22,31,1103,2.799278891645372,20.18782552704215
