index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,24.0,0,,34.0,0,,0,0.2,33148,0,6,0.6,114.0,False,-9.033967718622019e-05,0,0.2,33068,4,10,1.0,230.0,False,-0.0007528306432185016,0,0.2,42132,0,0,0.0,0.0,False,0.0,0,0.2,42132.0,0,0,0.0,0.0,False,0.0,0,0.2,59671,0,0,0.0,0.0,False,0.0,0,0.2,59671,0,0,0.0,0.0,False,0.0,0.26666666666666666,269822,0.0,0.0,6,0,0,0,0,0.0,413,413,69,0.0,0.0,0,0,69,200,1.603477924130857,1.603477924130857
1,69,0,0,0,10.0,20,10.0,19.0,0,,24.0,0,,34.0,0,,0,0.2,33068,0,14,0.8,266.0,False,-0.00021079258010118043,0,0.2,32948,6,20,1.0,440.0,False,-0.0012045290291496024,0,0.2,42132,0,0,0.0,0.0,False,0.0,0,0.2,42132.0,0,0,0.0,0.0,False,0.0,0,0.2,59671,0,0,0.0,0.0,False,0.0,0,0.2,59671,0,0,0.0,0.0,False,0.0,0.3,269622,0.0,0.0,6,0,0,33,0,0.0,44,77,53,1170.0,57.0,65,4,53,200,3.587947961874306,5.191425886005163
2,53,0,0,0,10.0,20,10.0,18.617021276595743,2,10.0,23.020408163265305,4,12.0,34.0,0,,0,0.2,33008,0,20,0.8,372.3404255319149,False,-0.0004164595047591198,0,0.2,32828,8,30,1.0,638.5106382978723,False,-0.0018292182862883917,0,0.2,42112,0,2,0.2,46.04081632653061,False,7.168917125372379e-05,4,0.24000000000000002,42064.0,0,0,0.0,0.0,False,-0.0016139751257951201,0,0.2,59671,0,0,0.0,0.0,False,0.0,0,0.2,59623,0,4,0.4,136.0,False,0.00033517118868462066,0.39999999999999997,269306,0.0,0.0,7,0,0,10,1,1.0,10,20,18,114.0,162.0,8,45,18,220,1.5116145722568035,6.703040458261967
3,18,0,0,0,10.0,20,10.0,18.617021276595743,0,,21.820359281437128,6,13.0,34.0,20,34.0,0,0.2,32878,3,30,1.0,588.5106382978723,False,-0.0010763876430698901,0,0.2,32758,5,40,1.0,794.6808510638298,False,-0.0015857496527367412,0,0.2,42112,0,2,0.0,43.640718562874255,False,4.320609706253841e-05,6,0.29600000000000004,41968.0,0,0,0.0,0.0,False,-0.0038925282445647015,10,0.30000000000000004,59565,0,0,0.0,0.0,False,-0.0017764073000284895,6,0.26,59627,0,6,0.6,204.0,False,0.0009719964471854,0.43333333333333335,268908,0.0,0.0,7,0,0,12,5,5.0,10,22,23,120.0,69.0,10,8,23,336,1.0857053585350513,7.788745816797018
4,23,0,0,0,10.0,20,10.0,18.617021276595743,0,,19.965769299340348,11,12.363636363636363,34.0,20,34.0,0,0.2,32818,0,39,0.9,726.063829787234,False,-0.0008120960342803603,0,0.2,32618,9,50,1.0,1020.8510638297871,False,-0.002396243919691212,0,0.2,42112,0,2,0.0,39.931538598680696,False,-8.124632264702548e-07,11,0.4,41734.0,0,0,0.0,0.0,False,-0.009446501471565555,6,0.35000000000000003,59511,0,0,0.0,0.0,False,-0.0026813695094769652,8,0.3340000000000001,59614,1,10,1.0,359.96576929934037,False,0.002061015981794633,0.48333333333333334,268407,0.0,0.0,7,0,0,14,9,8.25,10,24,22,171.0,108.0,12,11,22,302,1.2598921516910195,9.048637968488038
5,22,0,0,0,10.0,20,10.0,20.26315789473684,9,28.0,19.380921789247633,4,12.0,34.0,20,34.0,0,0.2,32930,4,40,1.0,850.5263157894735,False,0.004434568715211404,0,0.2,32558,5,60,1.0,1265.7894736842104,False,-0.0005150946506231391,0,0.2,42112,0,2,0.0,38.76184357849527,False,-1.469377695697968e-05,4,0.42900000000000005,41414.0,9,0,0.0,182.36842105263156,False,-0.014877427833325902,11,0.45400000000000007,59374,0,0,0.0,0.0,False,-0.004977292151966617,0,0.32600000000000007,59872,0,6,0.5,204.0,False,0.005077843508572003,0.4166666666666667,268260,0.0,0.0,10,0,0,15,4,4.0,8,23,21,153.0,77.0,11,11,21,758,1.2220761300995946,10.270714098587632
6,21,0,0,0,10.0,20,10.0,23.10188737148995,19,30.0,17.324754508238275,21,12.523809523809524,34.0,20,34.0,0,0.2,32840,3,50,1.0,1185.0943685744976,False,0.006761840047194961,0,0.2,33018,6,51,1.0,1238.1962559459876,False,0.012921528787430641,0,0.2,42112,0,2,0.0,34.64950901647655,False,-6.349675998667729e-05,21,0.6350000000000001,40285.0,28,0,0.0,646.8528464017186,False,-0.036161909636360554,12,0.5630000000000001,59122,0,6,0.6,204.0,False,-0.007491076067101272,2,0.34600000000000003,59877,5,10,1.0,426.6237725411914,False,0.007027063167545307,0.6,267254,0.0,0.0,8,0,0,9,11,10.666666666666666,10,19,21,126.0,87.0,7,14,21,940,1.0312865003943443,11.302000598981977
7,21,0,0,0,10.0,20,10.0,25.40386927015797,47,28.27659574468085,17.42300867657065,9,18.11111111111111,34.0,20,34.0,0,0.2,33590,4,31,1.0,827.519947374897,False,0.02396289971354635,0,0.2,33397,5,43,1.0,1142.3663786167926,False,0.022891567974837223,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,7,0.6840000000000002,38844.0,75,0,0.0,1905.2901952618477,False,-0.055429481210696845,2,0.5710000000000002,59240,0,2,0.2,68.0,False,-0.006653148095389721,2,0.364,60112,2,10,1.0,374.8460173531413,False,0.01053146434074454,0.5333333333333333,267367,0.0,0.0,15,0,0,14,3,2.333333333333333,9,23,23,190.0,72.0,12,9,23,2077,1.150048221461475,12.452048820443451
8,23,0,0,0,10.0,20,10.0,26.05259487359414,44,27.454545454545453,16.41350078040704,18,12.777777777777779,34.0,20,34.0,0,0.2,33790,3,31,1.0,837.6304410814183,False,0.030137774648901154,0,0.2,34205,6,19,1.0,554.9993025982886,False,0.03837929569077156,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,18,0.8570000000000002,37212.0,119,0,0.0,3100.2587899577024,False,-0.07998363725959241,7,0.6390000000000002,59135,0,8,0.8,272.0,False,-0.006703423773692413,1,0.3720000000000001,60319,2,10,1.0,372.8270015608141,False,0.013983568245553234,0.6333333333333333,266845,0.0,0.0,11,0,0,13,7,5.933333333333333,10,23,24,168.0,81.0,11,12,24,1680,1.3053719671443105,13.757420787587762
9,24,0,0,0,10.000000000000002,20,10.0,26.31748053338565,31,27.387096774193548,16.021832758153078,9,12.777777777777779,33.99999999999999,20,34.0,0,0.2,34076,0,27,0.8,710.5719744014125,False,0.036837087063379396,0,0.2,34568,11,10,1.0,373.1748053338565,False,0.04657273556573495,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,9,0.9290000000000003,36203.0,150,0,0.0,3947.622080007847,False,-0.093876126459605,1,0.6420000000000001,59309,0,7,0.7,237.99999999999994,False,-0.004072329942518141,1,0.38100000000000006,60628,0,4,0.4,135.99999999999997,False,0.01717752342008681,0.48333333333333334,266968,0.0,0.0,12,0,0,12,4,2.8333333333333335,7,19,25,111.0,96.0,7,17,25,1559,1.1709434995427728,14.928364287130535
