index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,26.0,0,,34.0,0,,47.0,0,,0,0.2,33163,8,0,0.0,80.0,False,-0.001203260836867912,0,0.2,33123,2,10,1.0,180.0,False,-0.000902445627650934,0,0.2,57106,0,0,0.0,0.0,False,0.0,0,0.2,57106,0,0,0.0,0.0,False,0.0,0,0.2,67554,0,0,0.0,0.0,False,0.0,0,0.2,67554,0,0,0.0,0.0,False,0.0,0,0.2,94860,0,0,0.0,0.0,False,0.0,0,0.2,94860,0,0,0.0,0.0,False,0.0,0.125,505326,0.0,0.0,8,0,0,0,0,0.0,767,767,71,0.0,0.0,0,0,71,200,4.136402987875044,4.136402987875044
1,71,0,0,0,10.0,20,10.0,16.0,0,,24.470588235294116,6,13.0,34.0,0,,47.0,0,,0,0.2,33093,15,0,0.0,150.0,False,-0.002256114069127335,0,0.2,32993,5,20,1.0,370.0,False,-0.001955298859910357,0,0.2,57106,0,0,0.0,0.0,False,0.0,6,0.26,56998,0,0,0.0,0.0,False,-0.0018912198367947327,0,0.2,67476,0,6,0.6,204.0,False,0.0003552713384847677,0,0.2,67554,0,0,0.0,0.0,False,0.0,0,0.2,94860,0,0,0.0,0.0,False,0.0,0,0.2,94860,0,0,0.0,0.0,False,0.0,0.2,504940,0.0,0.0,8,0,0,20,1,1.0,64,84,48,908.0,42.0,68,3,48,200,5.228769384324551,9.365172372199595
2,48,0,0,0,10.0,20,10.0,16.0,0,,18.7119021134594,44,12.704545454545455,22.84931506849315,28,4.928571428571429,47.0,0,,0,0.2,32993,25,0,0.0,250.0,False,-0.0037601901152122252,0,0.2,32893,5,30,1.0,530.0,False,-0.002556929278344313,25,0.45000000000000007,56136,0,0,0.0,0.0,False,-0.01698595594158232,19,0.44400000000000006,56673,0,0,0.0,0.0,False,-0.007582390641964067,0,0.2,67379,8,16,1.0,515.2842580035656,False,0.0012233491577373617,28,0.48000000000000004,65563,26,0,0.0,486.50945494994437,False,-0.02587182509584974,0,0.2,94827,0,3,0.3,141.0,False,0.00039531941808981655,0,0.2,94755,15,10,1.0,812.7397260273973,False,0.003176996236703492,0.4125,501219,0.0,0.0,8,0,0,8,16,16.0,50,58,42,554.0,39.0,44,4,42,200,2.736538094468415,12.10171046666801
3,42,0,0,0,10.0,20,10.0,15.105263157894736,12,11.75,18.78522967411856,9,19.444444444444443,17.96078431372549,21,2.6666666666666665,47.0,0,,12,0.32000000000000006,32765,35,0,0.0,350.0,False,-0.009114700839274435,0,0.2,32793,5,40,1.0,654.2105263157895,False,-0.003696860597482381,5,0.4750000000000001,55969,6,0,0.0,90.63157894736841,False,-0.01911680402280519,4,0.4650000000000001,56595,6,0,0.0,90.63157894736841,False,-0.008154733487309794,0,0.2,67379,0,24,0.8,431.05882352941177,False,0.000599955765235205,21,0.6620000000000001,64345,35,0,0.0,657.4830385941497,False,-0.04263638690089302,0,0.2,94791,0,13,1.0,611.0,False,0.00249314779675311,0,0.2,94735,16,20,1.0,1227.372549019608,False,0.005151657964471898,0.475,499372,0.0,0.0,7,0,0,12,10,10.0,32,44,15,423.0,51.0,28,14,15,200,1.7802965827286243,13.882007049396634
4,15,0,0,0,10.0,20,10.0,15.105263157894736,0,,17.413568172927338,29,13.586206896551724,15.029991091754924,23,5.086956521739131,47.0,20,47.0,0,0.30800000000000005,32655,46,0,0.0,460.0,False,-0.010769184489967812,0,0.2,32703,4,50,1.0,795.2631578947368,False,-0.004282658636483876,23,0.7000000000000002,55253,6,0,0.0,90.63157894736841,False,-0.03165489108896286,6,0.5210000000000001,56559,6,0,0.0,90.63157894736841,False,-0.008785140099574705,0,0.2,67379,0,24,0.0,360.7197862021182,False,7.934234983959188e-05,23,0.8710000000000002,62832,64,0,0.0,1114.4683630673496,False,-0.06165091361675583,0,0.2,95023,7,16,1.0,857.2099376422844,False,0.006236611520357739,0,0.2,95326,12,17,1.0,979.3598931010591,False,0.010074635742679021,0.375,497730,0.0,0.0,16,0,0,9,10,10.0,16,25,18,90.0,43.0,7,8,18,1140,1.1496925679966807,15.031699617393315
5,18,0,0,0,10.0,20,10.0,18.475113122171944,15,30.0,17.97486806568324,21,20.61904761904762,14.554678858491261,4,3.75,47.0,20,47.0,0,0.30800000000000005,32535,58,0,0.0,580.0,False,-0.012574075745269682,0,0.2,33073,2,45,1.0,851.3800904977375,False,0.007691545445623736,2,0.6970000000000001,54759,21,0,0.0,387.9773755656108,False,-0.037702015763968706,19,0.7050000000000001,56267,6,0,0.0,110.85067873303166,False,-0.013721406868516214,0,0.2,67379,0,24,0.0,349.3122926037903,False,-5.09005681546719e-06,4,0.8880000000000001,62247,85,0,0.0,1527.8637855830752,False,-0.06725091196980879,0,0.2,95399,0,15,0.7,705.0,False,0.009398060299388573,0,0.2,95875,6,15,1.0,792.3280731509476,False,0.014876281220487793,0.3375,497534,0.0,0.0,15,0,0,12,6,6.0,12,24,21,134.0,37.0,9,9,21,1590,1.179760160855949,16.211459778249264
6,21,0,0,0,10.0,20,10.0,19.871378910776357,18,24.5,17.923529673525266,6,17.0,13.48015126636859,10,4.3,47.0,20,47.0,0,0.30800000000000005,32365,75,0,0.0,750.0,False,-0.015131005023613994,0,0.2,33484,0,32,0.5,635.8841251448434,False,0.016813827349289275,6,0.7550000000000001,54579,24,0,0.0,476.9130938586326,False,-0.040075359035314756,0,0.6860000000000002,55922,21,0,0.0,417.2989571263035,False,-0.017079650499717172,0,0.2,67379,0,24,0.0,323.52363039284614,False,-0.00019596448476141975,10,0.9840000000000002,61718,91,0,0.0,1631.0412002907992,False,-0.07431801817589781,0,0.2,95869,0,5,0.0,235.0,False,0.01187539531941809,0,0.2,96302,6,15,1.0,785.8809075982115,False,0.01934366913134205,0.1875,497618,0.0,0.0,17,0,0,13,5,5.0,13,26,19,129.0,39.0,11,10,19,1581,1.1977375177666545,17.40919729601592
7,19,0,0,0,10.0,20,10.0,20.38637261529547,44,21.204545454545453,18.32485773237346,18,20.61111111111111,11.203934560872815,27,3.962962962962963,47.00000000000001,20,47.0,15,0.4580000000000001,32097,86,0,0.0,860.0,False,-0.021538368979935624,0,0.2,34164,0,12,0.9,244.63647138354565,False,0.03138459933495097,5,0.7990000000000002,53998,43,0,0.0,876.6140224577052,False,-0.046749780912183396,13,0.8160000000000001,55307,46,0,0.0,937.7731403035916,False,-0.02329200836774081,0,0.2,67379,0,24,0.0,268.89442946094755,False,-0.0006003017625828694,27,1.2440000000000002,59852,109,0,0.0,1997.409492828707,False,-0.09922869487499845,2,0.22000000000000003,96001,8,10,1.0,559.6314764869826,False,0.014978028022807163,0,0.2,96891,5,12,1.0,620.0196728043642,False,0.024678577233841273,0.3625,495689,0.0,0.0,17,0,0,10,15,14.666666666666666,15,25,20,101.0,53.0,9,10,20,1769,1.1180628230795264,18.527260119095445
8,20,0,0,0,10.0,20,10.0,21.355765210232292,13,29.0,19.099330279473836,30,21.9,11.924476757295423,16,16.5,47.00000000000001,20,47.0,0,0.44300000000000006,31977,98,0,0.0,980.0,False,-0.023343260235237494,1,0.21000000000000002,34442,0,8,0.8,170.84612168185834,False,0.038637399176997475,10,0.8940000000000001,53503,56,0,0.0,1195.9228517730085,False,-0.05262211631200742,20,1.0030000000000003,54944,46,0,0.0,982.3651996706855,False,-0.0292581760264185,0,0.2,67583,0,20,0.0,238.48953514590846,False,0.002194463208291871,12,1.337,58763,139,0,0.0,2654.8069088468633,False,-0.11048341394405319,0,0.21800000000000003,96113,14,12,1.0,730.9426746021361,False,0.017061683926850882,0,0.2,97455,0,5,0.5,235.00000000000003,False,0.028594771241830064,0.2875,494780,0.0,0.0,17,0,0,10,8,7.076923076923077,16,26,16,121.0,82.0,9,11,16,1344,1.157450377009809,19.684710496105254
9,16,0,0,0,10.000000000000002,20,10.0,20.18672296334314,35,16.714285714285715,18.731452449722806,8,13.0,14.898997659731437,28,26.142857142857142,47.00000000000001,20,47.0,22,0.663,31561,105,0,0.0,1050.0000000000002,False,-0.03480431970640436,5,0.259,34607,3,10,1.0,231.8672296334314,False,0.04451865399683281,4,0.9240000000000002,52993,69,0,0.0,1392.8838844706765,False,-0.05982835530005011,4,1.0230000000000004,54725,68,0,0.0,1372.6971615073335,False,-0.02967554056047239,0,0.2,68171,0,8,0.0,119.1919812778515,False,0.010015631800321707,16,1.485,58003,147,0,0.0,2753.5235101092526,False,-0.12100302343229671,0,0.21800000000000003,95957,21,11,1.0,829.8789508543603,False,0.015938640896343854,4,0.24000000000000002,97585,1,10,1.0,484.8989976597315,False,0.03128241090902244,0.375,493602,0.0,0.0,15,0,0,10,12,11.384615384615385,16,26,11,130.0,27.0,10,6,11,1540,1.01148643437773,20.696196930482984
