index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,30.0,0,,36.0,0,,44.0,0,,0,0.2,36626,2,10,1.0,200.0,False,-0.0005442769281010178,0,0.2,36666,8,0,0.0,80.0,False,-0.0010885538562020356,0,0.2,62468,0,0,0.0,0.0,False,0.0,0,0.2,62468,0,0,0.0,0.0,False,0.0,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,90395,0,0,0.0,0.0,False,0.0,0,0.2,90395,0,0,0.0,0.0,False,0.0,0.125,531146,0.0,0.0,7,0,0,0,0,0.0,677,677,288,0.0,0.0,0,0,288,200,7.356005822948646,7.356005822948646
1,288,0,0,0,10.0,20,10.0,18.0,0,,30.0,0,,36.0,0,,44.0,0,,0,0.2,36536,1,20,1.0,370.0,False,-0.0006803461601262722,0,0.2,36556,19,0,0.0,190.0,False,-0.0025853154084798345,0,0.2,62468,0,0,0.0,0.0,False,0.0,0,0.2,62468,0,0,0.0,0.0,False,0.0,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,90395,0,0,0.0,0.0,False,0.0,0,0.2,90395,0,0,0.0,0.0,False,0.0,0.125,530946,0.0,0.0,7,0,0,23,0,0.0,34,57,62,665.0,1199.0,43,245,62,200,11.850881805003155,19.2068876279518
2,62,0,0,0,10.0,20,10.0,15.833333333333334,15,9.333333333333334,30.0,0,,36.0,0,,44.0,0,,0,0.2,36506,3,20,1.0,346.6666666666667,False,-0.0018142564270033266,5,0.25,36416,27,0,0.0,270.0,False,-0.005306700048984924,0,0.2,62468,0,0,0.0,0.0,False,0.0,0,0.2,62328,5,10,1.0,379.1666666666667,False,0.0007937397280741461,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,90395,0,0,0.0,0.0,False,0.0,0,0.2,90395,0,0,0.0,0.0,False,0.0,0.25,530636,0.0,0.0,9,0,0,20,1,1.0,28,48,53,503.0,229.0,34,28,53,290,4.433428936987184,23.640316564938985
3,53,0,0,0,10.0,20,10.0,13.647058823529411,31,9.838709677419354,30.0,0,,36.0,0,,44.0,0,,0,0.2,36456,0,28,0.8,382.11764705882354,False,-0.0026925699796056,31,0.5550000000000002,35556,42,0,0.0,420.0,False,-0.026669569476949873,0,0.2,62308,6,10,1.0,381.88235294117646,False,0.000495312423490225,0,0.2,62183,10,20,1.0,736.4705882352941,False,0.0013324469187047845,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,90395,0,0,0.0,0.0,False,0.0,0,0.2,90395,0,0,0.0,0.0,False,0.0,0.35,529421,0.0,0.0,7,0,0,18,5,5.0,17,35,41,343.0,146.0,23,30,41,200,2.9265391170047224,26.566855681943707
4,41,0,0,0,10.0,20,10.0,13.109826589595375,10,9.0,30.0,0,,36.0,0,,44.0,20,44.0,0,0.2,36326,3,38,1.0,528.1734104046243,False,-0.004243000457129768,10,0.6240000000000001,35336,49,0,0.0,490.0,False,-0.031704131061884286,0,0.2,62308,0,16,0.6,480.0,False,0.0012806556957162068,0,0.2,62093,10,30,1.0,1031.0982658959538,False,0.0022499380954725196,0,0.2,76064,0,0,0.0,0.0,False,0.0,0,0.2,76064,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,90279,0,0,0.0,0.0,False,-0.0012832568173018419,11,0.31000000000000005,90211,0,0,0.0,0.0,False,-0.0020355108136511976,0.325,528681,0.0,0.0,5,0,0,10,8,8.0,14,24,39,152.0,132.0,12,29,39,200,3.3868915389757603,29.953747220919468
5,39,0,0,0,10.0,20,10.0,15.948901379662747,20,27.0,28.857142857142858,4,16.0,38.793103448275865,13,48.46153846153846,44.0,20,44.0,0,0.2,36776,2,28,1.0,466.5692386305569,False,0.007164987190858324,0,0.6140000000000001,35226,60,0,0.0,600.0,False,-0.033200892614162085,0,0.2,62308,0,16,0.0,461.7142857142857,False,0.0011342950447772449,0,0.2,61617,20,36,1.0,1357.8351704503978,False,-0.002754729057674313,5,0.25,76124,0,0,0.0,0.0,False,0.0007888094236432478,8,0.28,75984,0,4,0.4,155.17241379310346,False,-3.173371244543121e-05,9,0.37100000000000005,89605,0,10,1.0,440.0,False,-0.006305658498810775,11,0.40900000000000003,89932,3,0,0.0,116.37931034482759,False,-0.004478238230295699,0.425,527572,0.0,0.0,10,0,0,16,10,10.0,14,30,44,195.0,75.0,17,22,44,804,3.218992992013227,33.172740212932695
6,44,0,0,0,10.0,20,10.0,17.89882453719126,17,28.0,32.506024096385545,14,44.0,42.443729903536976,10,61.5,43.99999999999999,20,44.0,0,0.2,37132,4,21,1.0,415.87531528101647,False,0.016163328189204396,0,0.6140000000000001,35146,68,0,0.0,680.0,False,-0.034289446470364124,0,0.2,62308,0,16,0.0,520.0963855421687,False,0.0016015910989800567,0,0.2,61757,27,32,1.0,1523.4610335885013,False,0.0008121040659898519,10,0.34500000000000003,75648,4,10,1.0,554.4613954209119,False,-0.0018243755559731287,0,0.272,75984,0,4,0.0,169.7749196141479,False,6.425457255822476e-05,0,0.36200000000000004,89957,0,2,0.0,87.99999999999999,False,-0.004358648155318325,12,0.518,89139,13,0,0.0,551.7684887459807,False,-0.010842588147873273,0.375,527071,0.0,0.0,12,0,0,11,6,6.0,18,29,38,193.0,127.0,15,29,38,1644,3.0590602819574997,36.231800494890194
7,38,0,0,0,10.0,20,10.0,17.91998059527344,25,18.0,34.351260234387546,10,44.0,44.60126061934776,17,51.705882352941174,43.99999999999999,20,44.0,0,0.2,37062,1,31,1.0,565.5193984534767,False,0.016294554488290845,25,0.8640000000000001,34916,81,0,0.0,810.0,False,-0.03877973112719752,0,0.2,62308,0,16,0.0,549.6201637502007,False,0.0018379023159873413,0,0.2,61747,42,32,1.0,1851.879512501886,False,0.0032807158265182215,0,0.3350000000000001,75703,0,14,0.9,624.4176486708686,False,-0.0006414489859140016,8,0.35200000000000004,75984,0,5,0.5,223.0063030967388,False,0.000414166380263614,4,0.402,89416,3,10,1.0,573.8037818580433,False,-0.007656376006095281,14,0.6460000000000001,88578,17,0,0.0,758.2214305289119,False,-0.015906734716915154,0.55,525714,0.0,0.0,10,0,0,16,11,10.2,18,34,42,240.0,109.0,22,16,42,1003,3.497184792999178,39.72898528788937
8,42,0,0,0,10.0,20,10.0,19.32731727510702,72,21.430555555555557,34.351260234387546,0,,46.61955150485312,12,57.666666666666664,43.99999999999999,20,44.0,1,0.21000000000000002,37808,1,10,1.0,203.2731727510702,False,0.03166702733292153,40,1.2390000000000003,34456,91,0,0.0,910.0,False,-0.04993740815326838,0,0.2,62308,0,16,0.0,549.6201637502007,False,0.0018379023159873413,0,0.2,60204,104,42,1.0,3452.793926455407,False,-0.008606054888459686,0,0.3350000000000001,76120,0,7,0.0,326.33686053397184,False,0.002881368719328318,0,0.3440000000000001,76259,0,0,0.0,0.0,False,0.0025636306268405555,0,0.398,89581,0,8,0.8,351.99999999999994,False,-0.00705791249516013,10,0.7320000000000002,88017,24,0,0.0,1118.869236116475,False,-0.02011798641453359,0.35,524753,0.0,0.0,13,0,0,17,6,5.055555555555555,19,36,30,295.0,170.0,23,19,30,1696,3.201885961985681,42.930871249875054
9,30,0,0,0,10.000000000000002,20,10.0,18.535266380149928,15,10.0,39.0041585626632,37,46.054054054054056,48.54418135541045,10,62.0,43.99999999999999,20,44.0,0,0.20900000000000002,37718,0,20,1.0,370.7053276029985,False,0.0314960176291706,15,1.3490000000000002,34101,102,0,0.0,1020.0000000000002,False,-0.05810156207478365,0,0.2,62308,0,16,0.0,624.0665370026112,False,0.0024337783905568518,0,0.2,61758,109,15,1.0,2605.40641387629,False,0.009488109222932473,0,0.3350000000000001,75351,12,12,1.0,1050.5800790168837,False,-0.002467789762457359,5,0.394,75729,5,10,1.0,680.4626063674204,False,6.877502082077111e-05,4,0.43800000000000006,89627,0,5,0.5,219.99999999999997,False,-0.007279163670557,8,0.802,87562,29,0,0.0,1407.7812593069032,False,-0.023553397536883066,0.5625,524154,0.0,0.0,14,0,0,14,8,7.25,22,36,29,264.0,85.0,22,8,29,2389,2.860426246013958,45.79129749588901
