index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,36.0,0,,47.0,0,,0,0.2,26897,11,0,0.0,110.0,False,-0.0020365090532084274,0,0.2,26917,0,9,0.9,171.0,False,-0.00016662346798978044,0,0.2,38062,0,0,0.0,0.0,False,0.0,0,0.2,38062,0,0,0.0,0.0,False,0.0,0,0.2,49034,0,0,0.0,0.0,False,0.0,0,0.2,49034.0,0,0,0.0,0.0,False,0.0,0,0.2,68866,0,0,0.0,0.0,False,0.0,0,0.2,68866,0,0,0.0,0.0,False,0.0,0.1125,365738,0.0,0.0,7,0,0,151,0,0.0,464,615,46,0.0,0.0,0,0,46,200,1.1097243465483189,1.1097243465483189
1,46,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,31.0188679245283,8,3.0,47.0,0,,0,0.2,26777,23,0,0.0,230.0,False,-0.004258155293072167,0,0.2,26837,0,17,0.8,323.0,False,-0.0003147332173140297,0,0.2,38062,0,0,0.0,0.0,False,0.0,0,0.2,38062,0,0,0.0,0.0,False,0.0,0,0.2,49034,0,0,0.0,0.0,False,0.0,8,0.28,48714.0,0,0,0.0,0.0,False,-0.0065260839417547005,0,0.2,68842,0,8,0.8,376.0,False,0.002381436412743589,0,0.2,68866,0,0,0.0,0.0,False,0.0,0.2,365194,0.0,0.0,7,0,0,28,1,1.0,31,59,25,730.0,14.0,45,1,25,200,2.818077903240919,3.927802249789238
2,25,0,0,0,10.0,20,10.0,19.0,0,,25.877551020408163,4,2.0,31.0188679245283,0,,47.0,0,,0,0.2,26657,35,0,0.0,350.0,False,-0.006479801532935906,0,0.2,26757,0,25,0.8,475.0,False,-0.00046284296663827895,4,0.24000000000000002,37934,0,0,0.0,0.0,False,-0.0033629341600546476,0,0.2,38062,0,0,0.0,0.0,False,0.0,0,0.2,49026,0,4,0.4,124.0754716981132,False,0.0011020462505416378,0,0.272,48714.0,0,0,0.0,0.0,False,-0.0065260839417547005,0,0.2,68842,0,8,0.0,376.0,False,0.002381436412743589,0,0.2,68866,0,0,0.0,0.0,False,0.0,0.15000000000000002,364858,0.0,0.0,7,0,0,17,1,1.0,15,32,23,147.0,41.0,18,7,23,200,3.261074003763497,7.188876253552735
3,23,0,0,0,10.0,20,10.0,19.0,0,,24.420382165605094,3,3.0,31.0188679245283,0,,47.0,0,,0,0.2,26557,45,0,0.0,450.0,False,-0.00833117339948902,0,0.2,26657,0,35,1.0,665.0,False,-0.0006479801532935905,3,0.266,37839,0,0,0.0,0.0,False,-0.0058588618569702065,0,0.2,38062,0,0,0.0,0.0,False,0.0,0,0.2,49017,0,7,0.3,217.1320754716981,False,0.0018673989014938786,0,0.272,48714.0,0,0,0.0,0.0,False,-0.0065260839417547005,0,0.2,68842,0,8,0.0,376.0,False,0.002381436412743589,0,0.2,68866,0,0,0.0,0.0,False,0.0,0.1625,364554,0.0,0.0,6,0,0,15,2,2.0,14,29,19,156.0,58.0,15,8,19,200,2.003551214002073,9.192427467554808
4,19,0,0,0,10.0,20,10.0,21.955223880597014,22,28.0,21.228860469555258,10,7.7,25.951153324287652,26,16.653846153846153,47.0,10,47.0,0,0.2,26427,58,0,0.0,580.0,False,-0.010737956826008073,0,0.2,27203,0,20,0.7,439.1044776119403,False,0.015386834480170657,6,0.323,37339,11,0,0.0,241.50746268656715,False,-0.015822769918993115,4,0.24000000000000002,37678,11,0,0.0,241.50746268656715,False,-0.006916248979473385,0,0.2,49205,0,12,1.0,311.41383989145186,False,0.0066628649497435565,21,0.48200000000000004,47743.0,0,0,0.0,0.0,False,-0.02632866990251662,0,0.2,68842,0,8,0.0,376.0,False,0.002381436412743589,10,0.30000000000000004,68275,16,10,1.0,885.2184531886024,False,-0.0021547755555092396,0.3375,362712,0.0,0.0,9,0,0,9,9,9.0,14,23,21,115.0,65.0,10,9,21,1081,1.4365451922640204,10.628972659818828
5,21,0,0,0,10.0,20,10.0,22.815078236130866,10,28.0,20.74176457938261,4,15.0,24.951325781152747,14,20.214285714285715,47.0,9,47.0,0,0.2,26287,72,0,0.0,720.0,False,-0.013329877439182434,0,0.2,27423,0,16,0.6,365.04125177809385,False,0.02216168496645487,0,0.31700000000000006,37059,21,0,0.0,479.1166429587482,False,-0.02005784453051933,4,0.276,37602,11,0,0.0,250.96586059743953,False,-0.008788741256404813,0,0.2,49410,0,11,0.4,274.46458359268024,False,0.010466865680881414,9,0.5510000000000002,47374.0,0,0,0.0,0.0,False,-0.03385406044785251,0,0.2,68842,0,8,0.0,376.0,False,0.002381436412743589,0,0.29000000000000004,68415,20,11,1.0,1016.0265156230549,False,0.0008278868790336292,0.25,362412,0.0,0.0,12,0,0,12,2,2.0,12,24,16,155.0,66.0,13,8,16,1168,1.2419279785826802,11.870900638401508
6,16,0,0,0,10.0,20,10.0,24.07419712070875,18,28.5,20.74176457938261,0,,28.173257407010446,35,34.82857142857143,47.00000000000001,11,47.0,0,0.2,26187,82,0,0.0,820.0,False,-0.01518124930573555,2,0.22000000000000003,27790,0,10,1.0,240.7419712070875,False,0.03344951255613515,0,0.31700000000000006,37059,21,0,0.0,505.55813953488376,False,-0.01971049682708626,0,0.272,37089,29,0,0.0,698.1517165005538,False,-0.016392311012288507,0,0.2,49950,0,1,0.0,28.173257407010446,False,0.018968198162570917,25,0.7920000000000003,46743.0,0,0,0.0,0.0,False,-0.046722682220500064,0,0.2,68842,0,8,0.0,376.00000000000006,False,0.002381436412743589,0,0.29000000000000004,67713,45,10,1.0,1737.7965833154701,False,-0.004125427763225147,0.25,361373,0.0,0.0,13,0,0,11,4,3.2222222222222223,13,24,19,165.0,35.0,12,4,19,1518,1.2678838931024075,13.138784531503916
7,19,0,0,0,10.0,20,10.0,24.909375990979882,12,30.0,20.247903778384075,7,17.0,23.538690447859775,40,12.349999999999998,47.00000000000001,10,47.0,0,0.2,26047,96,0,0.0,960.0,False,-0.017773169918909912,2,0.23800000000000002,28044,0,6,0.6,149.4562559458793,False,0.04116444358769725,0,0.31700000000000006,36989,23,0,0.0,572.9156477925372,False,-0.02066476212767928,7,0.342,36680,39,0,0.0,971.4656636482154,False,-0.02354755840932938,0,0.2,49950,0,1,0.0,23.538690447859775,False,0.018920939454744316,40,1.1670000000000003,44692.0,7,0,0.0,141.7353264486885,False,-0.08710552548794012,0,0.2,68842,0,8,0.0,376.00000000000006,False,0.002381436412743589,0,0.29000000000000004,67689,75,10,1.0,2235.4017835894833,False,-0.0008610796068489717,0.2,358933,0.0,0.0,11,0,0,14,6,6.0,14,28,14,198.0,32.0,15,4,14,960,1.5253255516290665,14.664110083132982
8,14,0,0,0,10.0,20,10.0,25.381577929716133,10,29.0,19.068918824618503,4,5.0,22.665600312139265,20,17.3,47.00000000000001,6,47.0,0,0.2,25997,101,0,0.0,1010.0,False,-0.01869885585218647,4,0.276,28092,5,10,1.0,303.8157792971613,False,0.045799529368259366,4,0.35700000000000004,36873,23,0,0.0,583.7762923834711,False,-0.02356975077001383,0,0.3350000000000001,36390,49,0,0.0,1243.6973185560905,False,-0.027590545444851917,4,0.24000000000000002,50023,0,4,0.4,90.66240124855706,False,0.02109416324640612,15,1.2770000000000001,44048.0,7,0,0.0,133.48243177232953,False,-0.10032342423856584,0,0.2,68842,0,8,0.0,376.00000000000006,False,0.002381436412743589,0,0.29000000000000004,67625,85,14,1.0,2584.5760265318377,False,0.000744750867858149,0.3,357890,0.0,0.0,9,0,0,14,5,4.2,10,24,15,147.0,3.0,13,1,15,482,1.8273648843169212,16.491474967449903
9,15,0,0,0,10.000000000000002,20,10.0,25.541373908182816,1,38.0,17.136801362846438,7,4.285714285714286,19.01437905839996,43,8.093023255813952,47.000000000000014,8,47.0,0,0.2,25887,112,0,0.0,1120.0000000000002,False,-0.020735364905394897,0,0.272,28040,4,19,1.0,525.2861042554736,False,0.04797434191608606,7,0.42300000000000004,36612,24,0,0.0,612.9929737963876,False,-0.030043179893379447,0,0.3350000000000001,36390,49,0,0.0,1251.527321500958,False,-0.02748768691213085,1,0.24600000000000002,50215,0,7,0.7,133.10065340879973,False,0.025442556730113735,38,1.6420000000000001,41817.0,7,0,0.0,119.95760953992506,False,-0.14596037841558995,0,0.2,68842,0,8,0.0,376.0000000000001,False,0.002381436412743589,0,0.29000000000000004,67653,118,16,1.0,2995.6967288911956,False,0.004136269921958573,0.3375,355456,0.0,0.0,11,0,0,11,7,6.2,14,25,11,153.0,24.0,13,2,11,614,1.4209785191342235,17.912453486584127
