index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,36.0,0,,51.0,0,,0,0.2,36643,0,9,0.9,144.0,False,-0.0004900225954863474,0,0.2,36623,11,0,0.0,110.0,False,-0.0014972912639860615,0,0.2,50377,0,0,0.0,0.0,False,0.0,0,0.2,50377,0,0,0.0,0.0,False,0.0,0,0.2,76877,0,0,0.0,0.0,False,0.0,0,0.2,76877,0,0,0.0,0.0,False,0.0,0,0.2,112298,0,0,0.0,0.0,False,0.0,0,0.2,112298,0,0,0.0,0.0,False,0.0,0.1125,552370,0.0,0.0,8,0,0,0,0,0.0,536,536,141,0.0,0.0,0,0,141,200,3.134629790962208,3.134629790962208
1,141,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,29.383561643835616,28,18.75,51.0,0,,0,0.2,36543,0,19,1.0,304.0,False,-0.0010344921460267334,0,0.2,36523,21,0,0.0,210.0,False,-0.002858465140337027,0,0.2,50377,0,0,0.0,0.0,False,0.0,0,0.2,50377,0,0,0.0,0.0,False,0.0,0,0.2,76877,0,0,0.0,0.0,False,0.0,28,0.48000000000000004,75638,0,0,0.0,0.0,False,-0.016116653875671526,0,0.2,112298,0,0,0.0,0.0,False,0.0,0,0.2,111773,28,0,0.0,822.7397260273973,False,-0.0010118625174651975,0.125,550406,0.0,0.0,10,0,0,51,7,7.0,93,144,93,2120.0,207.0,127,14,93,200,9.162907702033408,12.297537492995616
2,93,0,0,0,10.0,20,10.0,15.2,5,8.0,15.293333333333333,30,3.7333333333333334,27.03033838973162,20,19.3,51.0,0,,0,0.2,36433,1,29,1.0,450.79999999999995,False,-0.0020308714235156003,5,0.25,36378,30,0,0.0,300.0,False,-0.005580812893038957,30,0.5,49281,0,0,0.0,0.0,False,-0.021755960061139012,0,0.2,50337,0,5,0.5,76.46666666666667,False,-3.506891372392286e-05,0,0.2,76853,4,10,1.0,331.47671723064957,False,0.001843703040120323,20,0.6520000000000001,74840,16,0,0.0,244.69333333333333,False,-0.02490541167492664,0,0.2,112203,0,5,0.5,255.0,False,0.0002894085379971148,0,0.2,111482,43,0,0.0,1162.3045507584598,False,-0.002091290357983016,0.375,547807,0.0,0.0,8,0,0,28,9,9.0,53,81,70,620.0,216.0,66,27,70,200,6.625751522020437,18.923289015016053
3,70,0,0,0,10.0,20,10.0,13.138461538461538,20,8.5,12.229378531073445,21,2.380952380952381,26.038931897228764,12,19.666666666666668,51.0,0,,0,0.2,36398,0,33,0.9,433.5692307692307,False,-0.003218233866424781,15,0.395,36038,42,0,0.0,420.0,False,-0.01320338660060436,21,0.6800000000000002,48583,0,0,0.0,0.0,False,-0.035611489370149074,0,0.2,50167,10,15,1.0,314.82529335071706,False,-0.001043876239645896,0,0.2,76853,0,14,0.4,364.5450465612027,False,0.002058776009477437,12,0.7520000000000002,74454,37,0,0.0,452.4870056497175,False,-0.028574950858841288,0,0.2,112127,0,9,0.4,459.0,False,0.0005209353683948067,0,0.2,111322,51,0,0.0,1327.985526758667,False,-0.0027783864059971967,0.3375,545942,0.0,0.0,10,0,0,29,8,8.0,25,54,54,612.0,470.0,38,32,54,245,3.8835940919816494,22.806883106997702
4,54,0,0,0,10.0,20,10.0,12.733858267716537,5,8.0,10.063386396526772,24,2.875,25.068750881073985,12,18.583333333333332,51.0,20,51.0,0,0.2,36288,1,43,1.0,557.555905511811,False,-0.004525142167644809,5,0.43000000000000005,35893,51,0,0.0,510.0,False,-0.01592573435330629,24,0.8990000000000002,47848,0,0,0.0,0.0,False,-0.05020148083450781,0,0.2,50127,5,25,1.0,315.25395125175197,False,-0.0018336348804836116,0,0.2,76853,0,14,0.0,350.9625123350358,False,0.001970436621714177,12,0.8600000000000001,74006,61,0,0.0,613.8665701881331,False,-0.03335284564832043,5,0.25,112518,0,0,0.0,0.0,False,0.001959073180288162,6,0.26,111013,63,0,0.0,1579.331305507661,False,-0.004410891977115987,0.25,544546,0.0,0.0,11,0,0,17,13,12.5,24,41,52,381.0,311.0,24,30,52,608,3.9856091759866104,26.792492282984313
5,52,0,0,0,10.0,20,10.0,13.321322099805572,20,15.0,10.063386396526772,0,,24.743733282142824,4,18.0,51.0,20,51.0,0,0.2,36208,0,52,0.9,692.7087491898898,False,-0.004863355168514883,20,0.6250000000000001,35693,63,0,0.0,630.0,False,-0.019737021207088992,0,0.8750000000000002,47548,20,0,0.0,266.42644199611146,False,-0.05351225319097891,0,0.2,50127,0,30,0.5,301.90159189580316,False,-0.0019661592403695835,0,0.2,76853,0,14,0.0,346.41226594999955,False,0.0019408422932086253,4,0.8880000000000001,73906,61,0,0.0,613.8665701881331,False,-0.0346536248150413,12,0.36500000000000005,112262,0,0,0.0,0.0,False,-0.00032057561131988103,8,0.3340000000000001,110806,67,0,0.0,1657.8301299035693,False,-0.005904690511391269,0.175,543403,0.0,0.0,9,0,0,18,11,11.0,23,41,52,407.0,241.0,25,27,52,200,3.0689959850278683,29.86148826801218
6,52,0,0,0,10.0,20,10.0,15.330149869025636,47,18.29787234042553,8.318050045174214,34,3.5294117647058822,23.60588963465331,15,17.666666666666668,50.99999999999999,20,51.0,0,0.2,36600,0,40,1.0,613.2059947610254,False,0.0047260772978115735,25,0.8550000000000002,35369,73,0,0.0,730.0,False,-0.02719625404949228,34,1.215,45920,47,0,0.0,720.5170438442049,False,-0.08132166421338904,0,0.2,49667,10,40,1.0,486.023500497225,False,-0.00926987017391647,0,0.2,76853,0,14,0.0,330.48245488514635,False,0.0018372364613938278,15,1.0340000000000003,73316,95,0,0.0,790.2147542915503,False,-0.041181271678840566,12,0.4730000000000001,111924,0,5,0.5,254.99999999999997,False,-0.0021950524497319633,8,0.406,110514,77,0,0.0,1817.6535018683048,False,-0.007793311092502511,0.3125,540163,0.0,0.0,13,0,0,15,15,15.0,20,35,45,301.0,285.0,20,32,45,692,2.6324853590340354,32.493973627046216
7,45,0,0,0,10.0,20,10.0,16.14990399267967,34,18.676470588235293,7.748680895351404,19,4.315789473684211,23.347033462474887,5,19.0,50.99999999999999,20,51.0,0,0.2,37109,1,17,1.0,284.5483678755544,False,0.01410922559926436,1,0.8400000000000001,35276,82,0,0.0,820.0,False,-0.02850298097078921,19,1.3710000000000002,45374,48,0,0.0,775.1953916486241,False,-0.09161725200340806,0,0.2,49048,33,50,1.0,920.3808765259993,False,-0.017246155224348376,0,0.2,76853,0,14,0.0,326.8584684746484,False,0.001813666431277532,5,1.0690000000000002,73114,114,0,0.0,883.34962207006,False,-0.043203106117108744,4,0.5010000000000001,112139,0,0,0.0,0.0,False,-0.0014158756166628079,11,0.508,110196,82,0,0.0,1914.4567439229406,False,-0.01019405179111414,0.25,539109,0.0,0.0,12,0,0,15,10,10.0,22,37,38,270.0,206.0,19,26,38,1074,2.4802666859468445,34.97424031299306
8,38,0,0,0,10.0,20,10.0,16.57747023201208,27,18.555555555555557,7.577157483745231,8,5.0,22.770486244558704,8,17.0,51.0,20,51.0,5,0.25,37333,2,10,1.0,185.77470232012078,False,0.018862803233061862,5,0.8890000000000002,35159,91,0,0.0,910.0,False,-0.0304630713527346,8,1.4320000000000002,45118,53,0,0.0,878.6059222966402,False,-0.09567256960223273,0,0.2,48619,45,60,1.0,1200.6156094652574,False,-0.022980570404497545,0,0.2,76853,0,14,0.0,318.78680742382187,False,0.0017611691885989038,8,1.1440000000000003,72866,122,0,0.0,924.4132130169182,False,-0.04616196513250432,10,0.5970000000000002,111942,0,0,0.0,0.0,False,-0.0031701366008299345,10,0.597,109867,90,0,0.0,2049.343762010283,False,-0.012523180457308778,0.25,537757,0.0,0.0,10,0,0,15,15,14.454545454545455,20,35,33,322.0,189.0,20,18,33,453,2.4941821420216,37.46842245501466
9,33,0,0,0,10.000000000000002,20,10.0,17.03175827822681,28,19.25,11.917063428996014,21,35.76190476190476,25.699990083582925,14,42.285714285714285,51.00000000000001,20,51.0,3,0.275,37505,0,9,0.9,153.2858245040413,False,0.02310301125015709,15,1.0340000000000003,34984,104,0,0.0,1040.0000000000002,False,-0.03345765388070672,0,1.4240000000000002,45118,53,0,0.0,902.683188746021,False,-0.09543359877775559,0,0.2,48831,63,49,1.0,1656.9368795490936,False,-0.014243237196050895,0,0.2,77373,0,4,0.0,102.7999603343317,False,0.007120464900648566,4,1.1760000000000004,72015,143,0,0.0,1704.14007034643,False,-0.05216033358256424,8,0.6670000000000001,111807,0,0,0.0,0.0,False,-0.004372295143279488,12,0.7070000000000001,109020,104,0,0.0,2672.7989686926244,False,-0.01728971589568545,0.2375,536653,0.0,0.0,11,0,0,13,12,11.23076923076923,21,34,33,285.0,176.0,19,14,33,1471,2.2577344300225377,39.7261568850372
