index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,32.0,0,,42.0,0,,51.0,0,,0,0.2,39732,1,10,1.0,220.0,False,0.0,0,0.2,39752,9,0,0.0,90.0,False,-0.0011294613724210632,0,0.2,60759,0,0,0.0,0.0,False,0.0,0,0.2,60759,0,0,0.0,0.0,False,0.0,0,0.2,78356,0,0,0.0,0.0,False,0.0,0,0.2,78356,0,0,0.0,0.0,False,0.0,0,0.2,100269,0,0,0.0,0.0,False,0.0,0,0.2,100269,0,0,0.0,0.0,False,0.0,0.125,558252,0.0,0.0,5,0,0,136,0,0.0,420,556,212,0.0,0.0,0,0,212,200,9.029756337986328,9.029756337986328
1,212,0,0,0,10.0,20,10.0,21.0,0,,32.0,0,,42.0,0,,51.0,0,,0,0.2,39652,0,19,0.9,399.0,False,0.00023844184528889112,0,0.2,39632,21,0,0.0,210.0,False,-0.0026354098689824806,0,0.2,60759,0,0,0.0,0.0,False,0.0,0,0.2,60759,0,0,0.0,0.0,False,0.0,0,0.2,78356,0,0,0.0,0.0,False,0.0,0,0.2,78356,0,0,0.0,0.0,False,0.0,0,0.2,100269,0,0,0.0,0.0,False,0.0,0,0.2,100269,0,0,0.0,0.0,False,0.0,0.1125,558052,0.0,0.0,5,0,0,78,0,0.0,60,138,106,1986.0,649.0,128,84,106,200,15.566540090017952,24.59629642800428
2,106,0,0,0,10.0,20,10.0,20.183673469387756,4,11.0,32.0,0,,42.0,0,,51.0,0,,0,0.2,39574,0,27,1.0,544.9591836734694,False,0.00011243390986240925,2,0.22000000000000003,39503,31,0,0.0,310.0,False,-0.004618242056121681,0,0.2,60737,0,2,0.2,64.0,False,0.00016458467058378182,0,0.2,60737,0,2,0.2,64.0,False,0.00016458467058378182,0,0.2,78356,0,0,0.0,0.0,False,0.0,0,0.2,78356,0,0,0.0,0.0,False,0.0,0,0.2,100269,0,0,0.0,0.0,False,0.0,0,0.2,100269,0,0,0.0,0.0,False,0.0,0.175,557801,0.0,0.0,8,0,0,24,2,2.0,31,55,71,615.0,351.0,44,62,71,222,5.193727759004105,29.790024187008385
3,71,0,0,0,10.0,20,10.0,22.140819964349372,12,29.333333333333332,32.0,0,,42.0,0,,51.0,0,,0,0.2,39836,0,24,0.9,531.3796791443849,False,0.006517992057933703,0,0.21800000000000003,39393,42,0,0.0,420.0,False,-0.005998694844636314,0,0.2,60726,0,3,0.1,96.0,False,0.0002468770058756727,0,0.2,60396,1,12,1.0,406.14081996434936,False,-0.0026321958889683147,0,0.2,78356,0,0,0.0,0.0,False,0.0,0,0.2,78356,0,0,0.0,0.0,False,0.0,0,0.2,100269,0,0,0.0,0.0,False,0.0,0,0.2,100269,0,0,0.0,0.0,False,0.0,0.25,557601,0.0,0.0,7,0,0,16,0,0.0,23,39,58,452.0,208.0,29,42,58,552,3.5950468240189366,33.38507101102732
4,58,0,0,0,10.0,20,10.0,21.80570709190096,21,21.0,33.84615384615385,20,38.0,41.78947368421053,12,41.0,51.0,12,51.0,0,0.2,40036,1,24,1.0,533.3369702056231,False,0.011562383542563406,11,0.32800000000000007,39119,51,0,0.0,510.0,False,-0.011746398273179057,3,0.23,60654,0,5,0.5,169.23076923076923,False,-0.00033549952080542906,2,0.22000000000000003,60597,7,10,1.0,491.1014881048452,False,0.0013751171686897973,0,0.2,77647,7,10,1.0,654.8178137651822,False,-0.0048699664750295425,12,0.32000000000000006,78197,0,3,0.3,125.36842105263159,False,-0.0012292075842779062,0,0.2,100269,0,0,0.0,0.0,False,0.0,12,0.32000000000000006,99546,12,0,0.0,501.47368421052636,False,-0.004709961781754411,0.475,556065,0.0,0.0,7,0,0,20,9,8.142857142857142,19,39,42,341.0,139.0,28,30,42,561,3.595368077978492,36.98043908900581
5,42,0,0,0,10.0,20,10.0,23.718451318298293,18,30.555555555555557,31.81954887218045,8,17.0,41.78947368421053,0,,50.99999999999999,15,51.0,0,0.2,40515,0,14,0.7,332.0583184561761,False,0.021058911681845406,1,0.32700000000000007,38965,65,0,0.0,650.0,False,-0.013854726168365042,0,0.227,60700,0,3,0.2,95.45864661654136,False,-0.0001854980610565128,0,0.21800000000000003,60137,13,16,1.0,817.4526490927651,False,-0.0035101577618725835,0,0.2,77579,1,20,1.0,867.609022556391,False,-0.004379951614704702,0,0.30800000000000005,78129,0,7,0.4,292.5263157894737,False,-0.0010303849367663865,0,0.2,100269,0,0,0.0,0.0,False,0.0,15,0.4580000000000001,99189,12,0,0.0,501.47368421052636,False,-0.0082703842453274,0.4125,555483,0.0,0.0,10,0,0,14,5,5.0,17,31,39,246.0,107.0,20,22,39,875,3.025691104005091,40.006130193010904
6,39,0,0,0,10.0,20,10.0,25.336873784700163,18,32.0,35.153592617007256,16,47.625,40.375987361769354,12,34.333333333333336,50.99999999999999,10,51.0,4,0.24000000000000002,40891,0,10,1.0,253.36873784700163,False,0.029508668463518472,0,0.32600000000000007,38865,75,0,0.0,750.0,False,-0.01510968324883289,0,0.227,60412,0,12,0.9,421.84311140408704,False,-0.002239642592833269,0,0.21800000000000003,60611,12,10,1.0,655.5784115864745,False,0.002959054721000023,0,0.2,77474,2,18,1.0,797.0749577458629,False,-0.006170076587971072,0,0.30800000000000005,77884,0,12,0.5,484.5118483412323,False,-0.0029320546713637943,0,0.2,100269,0,0,0.0,0.0,False,0.0,10,0.543,98608,24,0,0.0,969.0236966824646,False,-0.011733318888776819,0.55,555014,0.0,0.0,11,0,0,11,4,3.4444444444444446,16,27,36,198.0,82.0,17,22,36,1662,2.318168208003044,42.32429840101395
7,36,0,0,0,10.0,20,10.0,26.63198974967105,20,32.0,36.79499137545519,10,48.0,40.375987361769354,0,,50.99999999999999,12,51.0,10,0.336,41191,0,9,0.9,239.68790774703945,False,0.03686672240031922,0,0.32600000000000007,38755,86,0,0.0,860.0,False,-0.016490136037347523,0,0.227,60092,0,22,1.0,809.4898102600142,False,-0.004316316839809636,0,0.21800000000000003,60771,12,10,1.0,687.5337907506046,False,0.0058553777279958825,0,0.2,77239,0,25,0.7,1009.3996840442338,False,-0.007814336591682567,0,0.30800000000000005,77639,0,17,0.5,686.391785150079,False,-0.004770586903682719,0,0.2,100269,0,0,0.0,0.0,False,0.0,12,0.653,98386,24,0,0.0,969.0236966824646,False,-0.013947363109822208,0.5125,554342,0.0,0.0,8,0,0,8,4,4.0,16,24,41,186.0,95.0,13,23,41,1000,3.1688057580031455,45.49310415901709
8,41,0,0,0,10.0,20,10.0,25.25660372300181,56,22.982142857142858,38.06366354419837,10,47.0,40.375987361769354,0,,50.99999999999999,10,51.0,2,0.34600000000000003,41363,3,10,1.0,282.5660372300181,False,0.04172187687904747,45,0.7760000000000002,37949,93,0,0.0,930.0,False,-0.03584157421816174,0,0.227,59576,20,27,1.0,1532.850990153392,False,-0.006856177766640349,0,0.21800000000000003,60470,28,15,1.0,1278.1398574070263,False,0.00576161438969551,0,0.2,76769,0,35,1.0,1413.1595576619275,False,-0.011236155765596032,0,0.30800000000000005,77639,0,17,0.0,686.391785150079,False,-0.004770586903682719,0,0.2,100269,0,0,0.0,0.0,False,0.0,10,0.7410000000000001,98218,24,0,0.0,969.0236966824646,False,-0.015622856033856556,0.5,552253,0.0,0.0,7,0,0,15,7,6.181818181818182,12,27,39,216.0,87.0,17,24,39,670,3.0277969450107776,48.52090110402787
9,39,0,0,0,10.000000000000002,20,10.0,24.542726688622427,58,22.896551724137932,39.59745361987262,15,47.0,44.64936689073003,7,79.42857142857143,50.99999999999999,7,51.0,0,0.3440000000000001,41583,3,10,1.0,275.4272668862243,False,0.04715409952921822,48,1.211,37057,103,0,0.0,1030.0000000000002,False,-0.0569750514532403,0,0.227,58987,44,32,1.0,2346.9984901353105,False,-0.009850404959468421,0,0.21800000000000003,60436,42,15,1.0,1624.7563252202312,False,0.008054414368408286,0,0.2,76455,0,43,1.0,1919.9227763013912,False,-0.012009783703217421,0,0.30800000000000005,77804,0,17,0.5,759.0392371424105,False,-0.0022012402551021995,0,0.2,100269,0,0,0.0,0.0,False,0.0,7,0.8010000000000002,97567,31,0,0.0,1384.1303736126308,False,-0.020045425936168565,0.5625,550158,0.0,0.0,11,0,0,12,4,4.0,16,28,35,254.0,65.0,17,22,35,1781,2.9735373299918137,51.494438434019685
