index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,35.0,0,,0,0.2,44362,7,0,0.0,70.0,False,-0.000787720561757292,0,0.2,44302,3,10,1.0,210.0,False,-0.0005626575441123515,0,0.2,59329,0,0,0.0,0.0,False,0.0,0,0.2,59329,0,0,0.0,0.0,False,0.0,0,0.2,76448,0,0,0.0,0.0,False,0.0,0,0.2,76448,0,0,0.0,0.0,False,0.0,0.16666666666666666,360218,0.0,0.0,6,0,0,2,0,0.0,486,488,46,0.0,0.0,0,0,46,200,1.20909938699333,1.20909938699333
1,46,0,0,0,10.0,20,10.0,16.641509433962263,8,9.0,24.0,0,,35.0,0,,8,0.28,44138,19,0,0.0,190.0,False,-0.004478754051134318,0,0.2,44222,1,20,1.0,342.8301886792452,False,-0.0008684035303469692,0,0.2,59329,0,0,0.0,0.0,False,0.0,0,0.2,59257,0,8,0.8,192.0,False,0.0004045239259047009,0,0.2,76448,0,0,0.0,0.0,False,0.0,0,0.2,76448,0,0,0.0,0.0,False,0.0,0.3,359842,0.0,0.0,5,0,0,25,1,1.0,20,45,39,630.0,123.0,35,11,39,200,2.9108281749649905,4.11992756195832
2,39,0,0,0,10.0,20,10.0,14.819165378670787,17,9.705882352941176,24.0,0,,35.0,0,,17,0.44200000000000006,43776,26,0,0.0,260.0,False,-0.011838314728123875,0,0.2,44092,4,30,1.0,484.5749613601236,False,-0.0021991474459835034,0,0.2,59234,0,10,1.0,240.0,False,0.00042137908948406343,0,0.2,59187,0,15,0.7,360.0,False,0.0006404962160157764,0,0.2,76448,0,0,0.0,0.0,False,0.0,0,0.2,76448,0,0,0.0,0.0,False,0.0,0.45,359185,0.0,0.0,6,0,0,26,3,3.0,13,39,53,324.0,80.0,28,11,53,200,3.085254553996492,7.205182115954813
3,53,0,0,0,10.0,20,10.0,14.039572035761394,10,9.5,24.0,0,,35.0,20,35.0,5,0.4750000000000001,43596,38,0,0.0,380.0,False,-0.014539070939863162,0,0.2,44057,2,35,1.0,511.38502125164877,False,-0.00268517035861929,0,0.2,59139,0,20,1.0,480.0,False,0.0008427581789681269,0,0.2,59187,0,15,0.0,360.0,False,0.0006404962160157764,10,0.30000000000000004,76327,0,0,0.0,0.0,False,-0.0015827752197572207,10,0.30000000000000004,76326,0,0,0.0,0.0,False,-0.0015958560066973628,0.3333333333333333,358632,0.0,0.0,6,0,0,21,7,7.0,14,35,41,299.0,172.0,23,30,41,245,2.6190679619903676,9.82425007794518
4,41,0,0,0,10.0,20,10.0,13.660126191515952,5,9.0,21.53448275862069,13,13.0,35.0,20,35.0,5,0.52,43431,48,0,0.0,480.0,False,-0.01712729564277998,0,0.2,43957,2,45,1.0,634.7056786182178,False,-0.0035480545708248333,0,0.2,59263,0,12,0.5,258.41379310344826,False,0.0010653625807231647,0,0.2,59187,0,15,0.0,323.01724137931035,False,0.0003288209929318236,8,0.37000000000000005,76155,0,7,0.7,245.0,False,-0.002230274173294265,12,0.41000000000000003,76084,0,6,0.6,210.0,False,-0.0033879238174968607,0.46666666666666673,358077,0.0,0.0,8,0,0,17,6,6.0,11,28,38,228.0,104.0,16,25,38,369,1.9731748580234125,11.797424935968593
5,38,0,0,0,10.0,20,10.0,13.377562096337137,5,10.0,20.400332225913623,8,13.0,35.0,20,35.0,5,0.5650000000000001,43271,58,0,0.0,580.0,False,-0.019602988836874325,0,0.2,43857,2,55,1.0,755.7659152985425,False,-0.004436375638070047,0,0.2,59317,0,9,0.5,183.6029900332226,False,0.0013450672523826579,0,0.2,59187,0,15,0.0,306.0049833887043,False,0.00018544879728886704,2,0.382,76386,0,0,0.0,0.0,False,-0.0008110087902888237,5,0.44800000000000006,76146,0,8,0.8,280.0,False,-0.0021190874843030555,0.3833333333333333,358164,0.0,0.0,10,0,0,15,4,3.0,11,26,36,254.0,99.0,14,24,36,619,1.6508040089975111,13.448228944966104
6,36,0,0,0,10.0,20,10.0,17.268783106143744,23,27.130434782608695,20.400332225913623,0,,34.99999999999999,20,35.0,0,0.56,43151,70,0,0.0,700.0,False,-0.020953366942743967,0,0.2,44401,0,42,1.0,725.2888904580373,False,0.007464089962842459,0,0.2,58693,13,19,1.0,612.1004926722276,False,-0.00556135707097521,0,0.2,59187,0,15,0.0,306.0049833887043,False,0.00018544879728886704,9,0.4700000000000001,76281,0,0,0.0,0.0,False,-0.0021844914190037672,3,0.4730000000000001,76405,0,0,0.0,0.0,False,-0.0005624738384261197,0.3333333333333333,358118,0.0,0.0,9,0,0,16,4,4.0,9,25,22,204.0,76.0,13,23,22,1104,1.748397974006366,15.19662691897247
7,22,0,0,0,10.0,20,10.0,18.754345822310423,15,26.0,19.55361229159856,7,13.0,35.0,20,35.0,0,0.56,43041,81,0,0.0,810.0,False,-0.02219121353979114,0,0.2,44701,0,36,0.9,675.1564496031752,False,0.013651832571155684,0,0.2,58394,18,22,1.0,767.757695216756,False,-0.009289237175607559,0,0.2,59187,0,15,0.0,293.30418437397844,False,7.84117747979696e-05,9,0.5510000000000002,76176,0,0,0.0,0.0,False,-0.0035579740477187107,11,0.5800000000000001,76167,0,7,0.7,245.0,False,-0.0020733047300125576,0.4333333333333333,357666,0.0,0.0,8,0,0,13,6,6.0,8,21,17,150.0,51.0,10,12,17,681,1.365514118981082,16.562141037953552
8,17,0,0,0,10.0,20,10.0,18.754345822310423,0,,19.800529637499608,8,21.5,35.0,20,35.0,0,0.56,42951,90,0,0.0,900.0,False,-0.023203997119193374,0,0.2,44591,1,46,1.0,872.6999078262795,False,0.013399125718246694,0,0.2,58531,8,25,1.0,645.0480075159736,False,-0.008014225694719513,0,0.2,59222,0,14,0.0,277.2074149249945,False,0.000532685658994729,12,0.6620000000000001,75876,0,7,0.7,245.0,False,-0.005879813729593972,1,0.5790000000000002,76369,0,1,0.1,35.0,False,-0.0008044683968187526,0.46666666666666673,357540,0.0,0.0,11,0,0,14,4,3.3333333333333335,8,22,19,120.0,66.0,10,7,19,547,1.3127122489968315,17.874853286950383
9,19,0,0,0,10.000000000000002,20,10.0,20.295391843278868,16,27.9375,19.21951979901393,9,15.555555555555555,35.00000000000001,20,35.0,0,0.56,42861,99,0,0.0,990.0000000000002,False,-0.024216780698595605,0,0.2,44928,2,40,1.0,831.8156737311547,False,0.020523672957903662,0,0.2,58224,14,26,1.0,783.8430005802663,False,-0.012019054757536233,0,0.2,59222,0,14,0.0,269.073277186195,False,0.000464134547912445,4,0.6900000000000002,76093,0,0,0.0,0.0,False,-0.004643679363750523,8,0.6580000000000001,76183,0,9,0.9,315.00000000000006,False,-0.0014061845960652993,0.48333333333333334,357511,0.0,0.0,12,0,0,12,3,2.75,8,20,18,129.0,76.0,8,11,18,1032,1.3690349649987184,19.2438882519491
