index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,14,10.0,19.0,0,,31.0,0,,40.0,0,,47.0,0,,0,0.2,35965,0,2,0.2,38.0,False,-2.778935667639294e-05,0,0.2,35865,12,0,0.0,120.0,False,-0.0016673614005835765,0,0.2,61400,0,0,0.0,0.0,False,0.0,0,0.2,61400,0,0,0.0,0.0,False,0.0,0,0.2,77032,0,0,0.0,0.0,False,0.0,0,0.2,77032,0,0,0.0,0.0,False,0.0,0,0.2,103457,0,0,0.0,0.0,False,0.0,0,0.2,103457,0,0,0.0,0.0,False,0.0,0.025,555608,0.0,0.0,6,0,0,114,0,0.0,327,441,166,0.0,0.0,0,0,166,140,6.209779246011749,6.209779246011749
1,166,0,0,0,10.0,16,10.0,19.0,0,,31.0,0,,33.64179104477612,22,20.636363636363637,47.0,0,,0,0.2,35905,0,8,0.6,152.0,False,-0.00011115742670557176,0,0.2,35765,22,0,0.0,220.0,False,-0.0030568292344032235,0,0.2,61400,0,0,0.0,0.0,False,0.0,0,0.2,61400,0,0,0.0,0.0,False,0.0,0,0.2,77032,0,0,0.0,0.0,False,0.0,22,0.42000000000000004,76046,0,0,0.0,0.0,False,-0.012799875376466922,0,0.2,103457,0,0,0.0,0.0,False,0.0,0,0.2,103003,22,0,0.0,740.1194029850747,False,-0.000811354461345832,0.075,554008,0.0,0.0,6,0,0,33,7,7.0,80,113,72,1716.0,389.0,97,69,72,160,11.514247265004087,17.724026511015836
2,72,0,0,0,10.0,14,10.0,18.804347826086957,1,10.0,27.896551724137932,13,17.153846153846153,32.497737556561084,6,21.0,47.0,0,,0,0.2,35845,0,14,0.6,263.2608695652174,False,-0.00023258483305243677,1,0.21000000000000002,35672,30,0,0.0,300.0,False,-0.004529665138252049,5,0.25,61397,0,1,0.1,27.896551724137932,False,0.00017831068179271136,8,0.28,61099,0,0,0.0,0.0,False,-0.004902280130293159,0,0.2,77001,0,7,0.7,227.4841628959276,False,0.0010741260962712914,6,0.4580000000000001,75670,6,0,0.0,167.3793103448276,False,-0.016594536618906166,0,0.2,103373,0,4,0.4,188.0,False,9.665851513189055e-05,0,0.2,102961,24,0,0.0,779.9457013574661,False,-0.0010248426817060616,0.225,553018,0.0,0.0,5,0,0,17,9,9.0,35,52,47,503.0,220.0,36,36,47,140,4.4305875090067275,22.154614020022564
3,47,0,0,0,10.0,20,10.0,20.777153558052436,12,27.583333333333332,28.530674846625768,13,31.076923076923077,30.65634156550858,12,21.5,47.0,0,,0,0.2,36045,0,13,0.7,270.10299625468167,False,0.005420355651725365,4,0.24900000000000003,35508,43,0,0.0,430.0,False,-0.007280811449214951,8,0.32500000000000007,61446,0,1,0.1,28.530674846625768,False,0.0009815201534741416,4,0.31200000000000006,60650,11,0,0.0,228.5486891385768,False,-0.010353838036330776,0,0.2,76781,0,16,0.9,490.5014650481373,False,-7.463479431829498e-05,12,0.5720000000000001,75114,10,0,0.0,285.30674846625766,False,-0.023046871764550798,0,0.2,103373,0,4,0.0,188.0,False,9.665851513189055e-05,0,0.2,102703,36,0,0.0,1103.628296358309,False,-0.0019542984217679467,0.2125,551620,0.0,0.0,9,0,0,19,8,7.75,23,42,46,395.0,161.0,27,20,46,470,2.7867577809956856,24.94137180101825
4,46,0,0,0,10.0,17,10.0,19.880580705588514,16,17.1875,19.159225671433557,56,9.339285714285714,28.335472313902557,17,19.529411764705884,47.0,20,47.0,0,0.2,35965,0,21,0.8,417.4921948173588,False,0.005245132622166983,16,0.405,35265,52,0,0.0,520.0,False,-0.012783104071140753,3,0.34700000000000003,61509,0,1,0.1,19.159225671433557,False,0.0019312640526989878,52,0.8280000000000001,57166,26,0,0.0,516.8950983453013,False,-0.06474841125125981,0,0.2,76538,8,26,1.0,889.9960855329349,False,-0.0006361246914727586,17,0.7300000000000002,74200,48,0,0.0,919.6428322288107,False,-0.03079471627227128,8,0.28,103371,0,3,0.3,141.0,False,-0.00014982069845443033,8,0.28,102313,50,0,0.0,1416.7736156951278,False,-0.0042105724325317345,0.275,546327,0.0,0.0,9,0,0,18,21,20.25,19,37,39,314.0,166.0,22,24,39,264,2.3203143080463633,27.261686109064613
5,39,0,0,0,10.0,7,10.0,19.656188142143463,6,17.5,14.977630977306095,63,8.126984126984127,27.577245745992453,8,20.625,47.0,20,47.0,0,0.2,35965,0,21,0.0,412.77995098501276,False,0.005179657509865439,6,0.44900000000000007,35151,59,0,0.0,590.0,False,-0.014978463248575796,3,0.374,61572,0,1,0.1,14.977630977306095,False,0.002923270610564337,59,1.3660000000000003,53518,31,0,0.0,609.3418324064473,False,-0.1234092684657456,0,0.2,76197,14,36,1.0,1202.4676805380136,False,-0.003034662993703818,8,0.7930000000000001,73768,95,0,0.0,1422.874942844079,False,-0.03313639174080841,10,0.372,103293,0,2,0.2,94.0,False,-0.0011309046270431193,7,0.342,102093,56,0,0.0,1544.3257617755773,False,-0.005720609713332237,0.1625,541557,0.0,0.0,3,0,0,20,20,19.0,17,37,45,286.0,136.0,21,18,45,70,2.3546813490102068,29.61636745807482
6,45,0,0,0,10.0,8,10.0,18.073244520392684,23,14.130434782608695,16.836718255088655,19,31.473684210526315,28.23400150057161,21,30.523809523809526,47.0,20,47.0,0,0.2,35965,0,21,0.0,379.5381349282464,False,0.004717773168379043,23,0.673,34730,67,0,0.0,670.0,False,-0.025566208142281506,11,0.48100000000000004,61657,0,0,0.0,0.0,False,0.0041856677524429965,7,1.3770000000000002,52960,54,0,0.0,975.9552041012049,False,-0.12951176543891527,0,0.2,76371,8,38,1.0,1207.5858030624304,False,-0.0007426407008618353,13,0.9150000000000003,72953,110,0,0.0,1852.0390080597522,False,-0.04093078845116482,6,0.42200000000000004,102949,0,8,0.8,376.0,False,-0.0030930724842204976,12,0.45500000000000007,101574,69,0,0.0,1948.146103539441,False,-0.008785552917929932,0.225,539159,0.0,0.0,5,0,0,20,18,17.25,20,40,41,331.0,155.0,22,23,41,438,2.529974132019561,32.14634159009438
7,41,0,0,0,10.000000000000002,10,10.0,19.40415083370195,7,33.142857142857146,17.118054068759225,45,18.066666666666666,28.957589452768065,32,30.874999999999996,47.00000000000001,20,47.0,0,0.2,36187,0,15,0.0,291.06226250552925,False,0.009657666562533357,1,0.6600000000000001,34617,77,0,0.0,770.0000000000001,False,-0.027316937612894263,4,0.51,61687,0,1,0.1,17.118054068759225,False,0.004813664935413385,41,1.7800000000000002,51075,60,0,0.0,1164.249050022117,False,-0.158678753664315,0,0.2,76177,26,36,1.0,1487.5426260873903,False,-0.001443928327919701,20,1.1020000000000003,72112,127,0,0.0,2173.9928667324216,False,-0.049758588205340556,0,0.41600000000000004,102689,4,10,1.0,585.8303578110723,False,-0.004592099336869112,12,0.5630000000000001,100995,87,0,0.0,2519.3102823908216,False,-0.011621686872851394,0.2625,535539,0.0,0.0,10,0,0,21,14,14.0,19,40,41,353.0,160.0,24,17,41,1292,3.162961815018207,35.30930340511259
8,41,0,0,0,10.000000000000002,7,10.0,20.628575473481472,9,30.333333333333332,17.22952602680837,36,17.77777777777778,31.732497499504642,25,43.4,47.00000000000001,20,47.0,0,0.2,36403,0,9,0.0,185.65717926133325,False,0.014195597877745443,3,0.6890000000000001,34535,84,0,0.0,840.0000000000001,False,-0.02862303737668473,0,0.506,61733,0,0,0.0,0.0,False,0.005423452768729642,35,2.089000000000001,49570,69,0,0.0,1423.3717076702217,False,-0.1810800349538256,0,0.2,76454,41,31,1.0,1690.117989583787,False,0.0034668578615626297,10,1.1820000000000004,71800,138,0,0.0,2377.674591699555,False,-0.05248679385385582,3,0.44600000000000006,102633,9,10,1.0,755.5924774955419,False,-0.0043129393008904705,7,0.6210000000000002,100305,97,0,0.0,3078.0522574519505,False,-0.01559076593438841,0.25,533433,0.0,0.0,11,0,0,16,10,9.25,22,38,44,320.0,180.0,21,20,44,1556,2.326820841000881,37.63612424611347
9,44,0,0,0,10.000000000000002,9,10.0,21.272491303516066,42,22.38095238095238,16.742880024828946,61,15.21311475409836,31.03044819465048,7,19.285714285714285,47.00000000000001,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,33,1.016,34274,93,0,0.0,930.0000000000001,False,-0.03462553841878561,4,0.546,61155,23,10,1.0,656.6961002291589,False,0.0013574600995860308,57,2.6240000000000006,46395,78,0,0.0,1659.254321674253,False,-0.23086926448148007,0,0.2,76287,35,40,1.0,1827.2187286550322,False,0.002188822363790489,6,1.2320000000000002,70886,195,0,0.0,3264.8616048416443,False,-0.05859343126985111,1,0.45300000000000007,103073,0,10,1.0,470.00000000000006,False,-0.0014402118754651692,9,0.7040000000000002,100041,103,0,0.0,3196.1361640489995,False,-0.017571859980238132,0.375,528836,0.0,0.0,10,0,0,17,13,12.25,21,38,38,317.0,217.0,21,23,38,762,2.1200639589806087,39.75618820509408
