index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,41.0,0,,52.0,0,,0,0.2,26429,0,10,1.0,160.0,False,-0.0007538919672810886,0,0.2,26429,10,0,0.0,100.0,False,-0.0018847299182027215,0,0.2,45098,0,0,0.0,0.0,False,0.0,0,0.2,45098.0,0,0,0.0,0.0,False,0.0,0,0.2,69921,0,0,0.0,0.0,False,0.0,0,0.2,69921,0,0,0.0,0.0,False,0.0,0,0.2,86123,0,0,0.0,0.0,False,0.0,0,0.2,86123,0,0,0.0,0.0,False,0.0,0.125,455142,0.0,0.0,11,0,0,146,0,0.0,487,633,120,0.0,0.0,0,0,120,200,2.6749025660101324,2.6749025660101324
1,120,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,34.40298507462686,22,20.90909090909091,52.0,0,,0,0.2,26339,0,19,0.9,304.0,False,-0.0014323947378340684,0,0.2,26319,21,0,0.0,210.0,False,-0.003957932828225715,0,0.2,45098,0,0,0.0,0.0,False,0.0,0,0.2,45098.0,0,0,0.0,0.0,False,0.0,0,0.2,69921,0,0,0.0,0.0,False,0.0,22,0.42000000000000004,68942,0,0,0.0,0.0,False,-0.014001515996624763,0,0.2,85969,0,7,0.7,364.0,False,0.0003251164032836757,0,0.2,85817,15,0,0.0,516.044776119403,False,-0.0005570824511488906,0.2,453503,0.0,0.0,12,0,0,38,4,4.0,68,106,66,1500.0,314.0,86,34,66,200,8.43246783799259,11.107370404002722
2,66,0,0,0,10.0,20,10.0,14.083333333333334,15,8.333333333333334,24.48148148148148,9,1.8888888888888888,33.81516587677724,3,22.0,52.0,0,,0,0.2,26199,4,29,1.0,448.4166666666667,False,-0.00398777438526397,15,0.35000000000000003,26039,27,0,0.0,270.0,False,-0.013381582419239323,0,0.2,44973,5,10,1.0,315.23148148148147,False,0.0007232192279200239,9,0.29000000000000004,44770.0,0,0,0.0,0.0,False,-0.007273049802652002,0,0.2,69921,0,0,0.0,0.0,False,0.0,3,0.42800000000000005,68844,9,0,0.0,220.33333333333331,False,-0.013827510094725883,0,0.2,85969,0,7,0.0,364.0,False,0.0003251164032836757,0,0.2,85751,18,0,0.0,608.6729857819904,False,-0.0007856612880298944,0.25,452466,0.0,0.0,11,0,0,27,6,6.0,44,71,48,723.0,68.0,52,14,48,200,4.686938200960867,15.79430860496359
3,48,0,0,0,10.0,20,10.0,13.567796610169491,5,8.0,17.37830687830688,27,4.592592592592593,29.654694467879956,26,20.53846153846154,52.0,0,,0,0.2,26129,1,39,1.0,539.1440677966102,False,-0.004916429797643912,5,0.385,25854,40,0,0.0,400.0,False,-0.017904934222925856,0,0.2,44933,0,20,1.0,347.5661375661376,False,0.0001947551728030498,27,0.5510000000000002,43568.0,0,0,0.0,0.0,False,-0.03392611645749257,0,0.2,69871,0,5,0.5,148.27347233939977,False,0.00034520009967970735,26,0.685,67533,31,0,0.0,538.7275132275133,False,-0.030300428245966703,0,0.2,85969,0,7,0.0,364.0,False,0.0003251164032836757,0,0.2,85217,44,0,0.0,1304.806556586718,False,-0.002944587644492591,0.3125,449074,0.0,0.0,11,0,0,16,10,10.0,34,50,29,431.0,71.0,29,19,29,200,2.7968321839580312,18.59114078892162
4,29,0,0,0,10.0,20,10.0,15.953055141579734,14,25.0,13.23933102652826,36,5.416666666666667,27.15509252624841,30,20.933333333333334,52.0,9,52.0,0,0.2,26359,3,35,1.0,588.3569299552906,False,0.0046808573627971466,0,0.38000000000000006,25774,48,0,0.0,480.0,False,-0.019412718157488032,0,0.2,44583,4,30,1.0,460.9921513621668,False,-0.006308570764089687,36,0.8840000000000001,42216.0,0,0,0.0,0.0,False,-0.06390527296110693,0,0.2,69694,20,15,1.0,672.1130084242914,False,0.0015597103046601911,30,0.9590000000000003,65987,37,0,0.0,489.85524798154563,False,-0.05276057802390158,0,0.2,85969,0,7,0.0,364.0,False,0.0003251164032836757,9,0.29000000000000004,84420,74,0,0.0,2009.4768469423823,False,-0.00810772472543695,0.375,445002,0.0,0.0,12,0,0,10,12,12.0,25,35,31,183.0,57.0,13,16,31,550,1.998103871010244,20.589244659931865
5,31,0,0,0,10.0,20,10.0,18.733027849452803,52,21.96153846153846,12.219325768908025,16,6.25,26.522573388782725,26,24.23076923076923,52.00000000000001,7,52.0,0,0.2,27005,8,17,1.0,398.46147344069766,False,0.025452551423738184,24,0.6200000000000001,25499,53,0,0.0,530.0,False,-0.02883636774850164,0,0.2,44308,11,35,1.0,633.7397082557617,False,-0.0104911558355608,11,0.9580000000000002,41006.0,35,0,0.0,655.6559747308481,False,-0.0834664954684149,0,0.2,69716,26,23,1.0,927.7216579336114,False,0.0037021900282719717,24,1.1690000000000003,64889,37,0,0.0,452.1150534495969,False,-0.06873389215364771,0,0.2,85969,0,7,0.0,364.00000000000006,False,0.0003251164032836757,7,0.35100000000000003,83675,100,0,0.0,2652.2573388782725,False,-0.013026384712107904,0.375,442067,0.0,0.0,15,0,0,8,15,15.0,28,36,40,215.0,66.0,14,17,40,1188,2.7064606599742547,23.29570531990612
6,40,0,0,0,10.0,20,10.0,16.777141301480206,77,14.207792207792208,10.484403248371967,52,7.1923076923076925,25.888886621724602,31,23.677419354838708,52.00000000000001,11,52.0,0,0.2,27340,7,10,1.0,237.77141301480208,False,0.03505166823127147,60,1.1960000000000002,24077,64,0,0.0,640.0,False,-0.08036488371216405,0,0.2,43762,51,36,1.0,1233.0727233168814,False,-0.015953338026998012,43,1.377,38581.0,62,0,0.0,1040.1827606917727,False,-0.13297504589237016,0,0.2,69796,19,31,1.0,1001.7591469925301,False,0.005375775139032084,29,1.4350000000000003,63104,86,0,0.0,901.6586793599892,False,-0.09104804937457998,0,0.2,85969,0,7,0.0,364.00000000000006,False,0.0003251164032836757,11,0.45400000000000007,82703,131,0,0.0,3391.4441474459227,False,-0.02002110848759373,0.375,435332,0.0,0.0,15,0,0,16,18,18.0,28,44,29,268.0,85.0,22,18,29,892,4.709776508971117,28.005481828877237
7,29,0,0,0,10.0,20,10.0,17.709812552827216,57,20.333333333333332,9.288133969145106,32,4.21875,25.436459799981947,13,21.076923076923077,52.0,10,52.0,29,0.49000000000000005,27534,7,10,1.0,247.09812552827216,False,0.04254020365502422,18,1.316,23797,74,0,0.0,740.0,False,-0.08903464133589657,0,0.2,43243,78,41,1.0,1762.1788718554722,False,-0.021595426938495338,27,1.6040000000000003,36754.0,82,0,0.0,1452.2046293318317,False,-0.16891874773457993,0,0.2,69716,14,41,1.0,1172.9287273672912,False,0.0054556479982214336,13,1.5360000000000005,62602,113,0,0.0,1049.5591385133969,False,-0.097169955102806,0,0.2,85969,0,7,0.0,364.0,False,0.0003251164032836757,10,0.543,82227,144,0,0.0,3662.8502111974003,False,-0.023972398713483077,0.375,431842,0.0,0.0,13,0,0,15,15,14.5,22,37,32,222.0,51.0,15,14,32,280,2.1568134039989673,30.162295232876204
8,32,0,0,0,10.0,20,10.0,17.70264003368083,39,17.666666666666668,10.916270165207617,31,18.838709677419356,24.81093300702476,22,21.272727272727273,52.00000000000001,5,52.0,6,0.5210000000000001,27805,9,10,1.0,267.0264003368083,False,0.05313103396918102,23,1.5280000000000002,23464,82,0,0.0,820.0,False,-0.10007915865656451,0,0.2,43621,91,28,1.0,1916.5958076907687,False,-0.011501665177050313,8,1.657,35967.0,98,0,0.0,1734.8587233007213,False,-0.18323585609893203,0,0.2,69454,19,51,1.0,1472.7667164972077,False,0.0038526817157734697,22,1.7430000000000003,61342,129,0,0.0,1408.1988513117826,False,-0.11262568576456441,0,0.2,85969,0,7,0.0,364.00000000000006,False,0.0003251164032836757,5,0.5830000000000001,81691,166,0,0.0,4118.614879166111,False,-0.027550045405024644,0.375,429313,0.0,0.0,16,0,0,11,11,10.857142857142858,30,41,28,298.0,33.0,21,11,28,1050,2.2169912790413946,32.3792865119176
9,28,0,0,0,10.000000000000002,20,10.0,18.46415816039798,22,25.772727272727273,13.405181814168204,51,21.392156862745097,25.366840181754167,2,62.0,52.00000000000001,10,52.0,7,0.5850000000000001,28149,4,10,1.0,224.64158160397977,False,0.06529913644698218,5,1.5550000000000002,23259,97,0,0.0,970.0000000000002,False,-0.10497945644389159,0,0.2,44573,86,10,1.0,1721.9694199359083,False,0.007450102221117426,23,1.879,34494.0,115,0,0.0,2123.3781884457676,False,-0.21159055625032405,0,0.2,69109,30,59,1.0,1898.7990251485421,False,0.001965067899118517,0,1.7210000000000005,60720,159,0,0.0,2131.4239084527444,False,-0.1163497096118995,0,0.2,85969,0,7,0.0,364.00000000000006,False,0.0003251164032836757,10,0.6780000000000002,81365,168,0,0.0,4261.6291505347,False,-0.03050503843029917,0.375,427638,0.0,0.0,15,0,0,18,11,10.411764705882353,20,38,31,253.0,26.0,19,9,31,1316,2.5022409689845517,34.88152748090215
