index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,13.0,0,,18.0,0,,25.0,0,,0,0.2,28838,0,9,0.9,117.0,False,-0.0010889103982300885,0,0.2,28818,1,10,1.0,140.0,False,-0.0013827433628318584,0,0.2,40632,0,0,0.0,0.0,False,0.0,0,0.2,40632,0,0,0.0,0.0,False,0.0,0,0.2,58118,0,0,0.0,0.0,False,0.0,0,0.2,58118,0,0,0.0,0.0,False,0.0,0.31666666666666665,255156,0.0,0.0,6,0,0,0,0,0.0,588,588,202,0.0,0.0,0,0,202,200,3.799014439980965,3.799014439980965
1,202,0,0,0,10.0,20,10.0,13.0,0,,18.0,0,,25.0,0,,0,0.2,28748,0,18,0.9,234.0,False,-0.002177820796460177,0,0.2,28708,2,20,1.0,280.0,False,-0.0027654867256637168,0,0.2,40632,0,0,0.0,0.0,False,0.0,0,0.2,40632,0,0,0.0,0.0,False,0.0,0,0.2,58118,0,0,0.0,0.0,False,0.0,0,0.2,58118,0,0,0.0,0.0,False,0.0,0.31666666666666665,254956,0.0,0.0,6,0,0,82,0,0.0,56,138,123,2235.0,306.0,126,76,123,200,10.274871475994587,14.073885915975552
2,123,0,0,0,10.0,20,10.0,12.294117647058824,6,7.0,18.0,0,,25.0,0,,0,0.2,28665,0,26,0.9,319.64705882352945,False,-0.0035666644976574333,0,0.2,28633,3,25,1.0,337.3529411764706,False,-0.004366825546590354,0,0.2,40618,0,2,0.2,36.0,False,9.844457570387872e-05,0,0.2,40604,0,4,0.4,72.0,False,0.00019688915140775743,0,0.2,58118,0,0,0.0,0.0,False,0.0,0,0.2,58118,0,0,0.0,0.0,False,0.0,0.4166666666666667,254756,0.0,0.0,9,0,0,36,0,0.0,30,66,93,260.0,254.0,53,70,93,242,13.638415347028058,27.71230126300361
3,93,0,0,0,10.0,20,10.0,13.861435726210352,14,19.0,18.0,0,,25.0,20,25.0,0,0.2,28851,0,20,0.8,277.228714524207,False,0.002129921088983131,0,0.2,28513,5,35,1.0,535.1502504173623,False,-0.005096269178350348,0,0.2,40352,4,12,1.0,271.4457429048414,False,-0.0035508251759101897,0,0.2,40604,0,4,0.0,72.0,False,0.00019688915140775743,9,0.29000000000000004,58043,0,0,0.0,0.0,False,-0.0012904779930486253,11,0.31000000000000005,58012,0,0,0.0,0.0,False,-0.0018238755635087236,0.4666666666666666,254375,0.0,0.0,8,0,0,46,6,6.0,10,56,66,344.0,159.0,43,50,66,466,6.848859595018439,34.56116085802205
4,66,0,0,0,10.0,20,10.0,13.861435726210352,0,,18.0,0,,25.0,20,25.0,0,0.2,28741,1,30,1.0,425.8430717863106,False,0.0008960707927666695,0,0.2,28423,4,45,1.0,663.7646076794658,False,-0.0059844336338588456,0,0.2,40352,0,16,0.4,288.0,False,-0.0033471155739318763,0,0.2,40604,0,4,0.0,72.0,False,0.00019688915140775743,9,0.37100000000000005,57966,0,0,0.0,0.0,False,-0.002615368732578547,11,0.40900000000000003,57906,0,0,0.0,0.0,False,-0.003647751127017447,0.39999999999999997,253992,0.0,0.0,6,0,0,27,6,6.0,14,41,44,235.0,123.0,28,38,44,200,4.292466407001484,38.85362726502353
5,44,0,0,0,10.0,20,10.0,14.889530090684254,31,16.677419354838708,18.0,0,,25.0,20,25.0,0,0.2,28929,0,23,0.9,342.4591920857378,False,0.005953733270287173,0,0.2,28552,6,40,1.0,655.5812036273701,False,-0.0016665306342061152,0,0.2,39835,21,26,1.0,780.6801319043693,False,-0.010008366165776071,0,0.2,40604,0,4,0.0,72.0,False,0.00019688915140775743,13,0.4920000000000001,57830,0,0,0.0,0.0,False,-0.004955435493306721,7,0.468,57856,0,0,0.0,0.0,False,-0.0045080697890498645,0.48333333333333334,253606,0.0,0.0,10,0,0,25,6,6.0,10,35,36,267.0,104.0,24,20,36,717,3.5283771399990655,42.3820044050226
6,36,0,0,0,10.0,20,10.0,16.144983192713973,28,19.571428571428573,18.0,0,,24.999999999999996,20,25.0,0,0.2,29047,1,21,1.0,349.0446470469934,False,0.010146651117377465,0,0.2,28782,5,34,1.0,598.9294285522751,False,0.005305057877355458,0,0.2,39287,39,36,1.0,1277.654344515845,False,-0.017379721100169252,0,0.2,40604,0,4,0.0,72.0,False,0.00019688915140775743,11,0.5890000000000002,57733,0,0,0.0,0.0,False,-0.00662445369764961,9,0.5510000000000002,57786,0,0,0.0,0.0,False,-0.005712515915895247,0.5,253239,0.0,0.0,8,0,0,17,5,5.0,10,27,35,209.0,77.0,15,21,35,748,2.392161257972475,44.774165662995074
7,35,0,0,0,10.0,20,10.0,15.916315997067203,30,15.2,18.0,0,,24.999999999999996,20,25.0,9,0.29000000000000004,29239,3,10,1.0,189.16315997067204,False,0.014020380945289587,0,0.2,28702,3,44,1.0,730.3179038709569,False,0.004810527929185509,0,0.2,38831,59,46,1.0,1767.062643826965,False,-0.022579953683956384,0,0.2,40604,0,4,0.0,72.0,False,0.00019688915140775743,10,0.6780000000000002,57641,0,0,0.0,0.0,False,-0.008207440035789257,10,0.6420000000000001,57700,0,0,0.0,0.0,False,-0.007192264014591005,0.5,252717,0.0,0.0,7,0,0,15,7,6.473684210526316,13,28,35,296.0,144.0,17,18,35,409,2.1709006150485948,46.94506627804367
8,35,0,0,0,10.0,20,10.0,16.456236337721005,17,20.0,23.29230769230769,20,35.2,25.0,20,25.0,0,0.281,29149,2,20,1.0,349.1247267544201,False,0.013674030813647967,0,0.2,28932,4,37,1.0,648.8807444956772,False,0.011353718620293081,0,0.2,39067,66,40,1.0,2017.8039059818939,False,-0.013686209071890401,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,7,0.738,57599,0,0,0.0,0.0,False,-0.008930107711896486,13,0.7620000000000002,56866,20,0,0.0,465.8461538461538,False,-0.017534617899392993,0.5,252345,0.0,0.0,8,0,0,21,6,6.0,10,31,27,246.0,48.0,19,16,27,1244,2.452619775023777,49.397686053067446
9,27,0,0,0,10.000000000000002,20,10.0,16.83108698123188,20,19.0,26.407741935483873,19,36.0,24.999999999999996,20,25.0,0,0.281,29419,3,10,1.0,198.3108698123188,False,0.020400837766391,0,0.2,28842,3,47,1.0,821.0610881178984,False,0.011218561395843159,0,0.2,39371,76,31,1.0,2097.802610573623,False,-0.005219991502096614,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,11,0.841,57502,0,0,0.0,0.0,False,-0.010599125916239375,9,0.8390000000000002,56106,39,0,0.0,1029.901935483871,False,-0.02575878440858368,0.5,251972,0.0,0.0,9,0,0,16,6,6.0,11,27,28,220.0,96.0,15,12,28,1264,1.817483322985936,51.21516937605338
