index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,25.0,0,,35.0,0,,54.0,0,,0,0.2,48920,13,0,0.0,130.0,False,-0.0013251783893985728,0,0.2,48980,0,7,0.7,175.0,False,0.0003567787971457696,0,0.2,76641,0,0,0.0,0.0,False,0.0,0,0.2,76641,0,0,0.0,0.0,False,0.0,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.2,105334,0,0,0.0,0.0,False,0.0,0.11666666666666665,461850,0.0,0.0,10,0,0,107,0,0.0,362,469,68,0.0,0.0,0,0,68,200,1.1472377080353908,1.1472377080353908
1,68,0,0,0,10.0,20,10.0,25.0,0,,35.0,0,,54.0,0,,0,0.2,48820,23,0,0.0,230.0,False,-0.002344546381243629,0,0.2,48880,0,17,1.0,425.0,False,0.0008664627930682977,0,0.2,76641,0,0,0.0,0.0,False,0.0,0,0.2,76641,0,0,0.0,0.0,False,0.0,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.2,105334,0,0,0.0,0.0,False,0.0,0.16666666666666666,461650,0.0,0.0,10,0,0,45,0,0.0,32,77,46,1080.0,84.0,60,8,46,200,3.343874901998788,4.491112610034179
2,46,0,0,0,10.0,20,10.0,24.48936170212766,2,13.0,35.0,0,,54.0,0,,1,0.21000000000000002,48733,30,0,0.0,300.0,False,-0.003404689092762487,0,0.2,48763,3,26,1.0,666.7234042553191,False,0.0009451927039278011,0,0.2,76628,0,1,0.1,35.0,False,5.871530903824324e-05,0,0.2,76628,0,1,0.1,35.0,False,5.871530903824324e-05,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.2,105334,0,0,0.0,0.0,False,0.0,0.20000000000000004,461420,0.0,0.0,12,0,0,22,1,1.0,23,45,53,300.0,88.0,24,22,53,213,3.3171535350265913,7.80826614506077
3,53,0,0,0,10.0,20,10.0,23.728476821192054,3,13.0,30.174603174603174,18,18.11111111111111,54.0,11,54.0,1,0.21900000000000003,48596,42,0,0.0,420.0,False,-0.004974515800203873,0,0.2,48709,1,34,1.0,816.7682119205298,False,0.0013737840154997695,7,0.27,76457,0,1,0.1,30.174603174603174,False,-0.0022039469528410695,9,0.29000000000000004,76414,0,2,0.2,60.34920634920635,False,-0.002568147555817374,0,0.2,105334,0,0,0.0,0.0,False,0.0,11,0.31000000000000005,104762,8,10,1.0,781.3968253968254,False,-0.0017212067072510577,0.3833333333333333,460272,0.0,0.0,11,0,0,25,9,8.775,20,45,41,348.0,97.0,26,27,41,226,4.545392001979053,12.353658147039823
4,41,0,0,0,10.0,20,10.0,23.226794482113633,2,13.0,28.643835616438356,9,19.0,54.0,12,54.0,1,0.228,48489,51,0,0.0,510.0,False,-0.006238532110091743,0,0.2,48612,2,43,1.0,1018.7521627308862,False,0.0014551698545452478,8,0.3430000000000001,76266,0,2,0.2,57.28767123287671,False,-0.00451920205090691,0,0.281,76414,0,2,0.0,57.28767123287671,False,-0.0025881207758713543,0,0.2,105334,0,0,0.0,0.0,False,0.0,2,0.31900000000000006,105111,7,10,1.0,740.5068493150685,False,0.001397966702655722,0.3666666666666667,460226,0.0,0.0,17,0,0,17,3,2.5555555555555554,18,35,27,247.0,164.0,16,25,27,699,1.8448233649833128,14.198481512023136
5,27,0,0,0,10.0,20,10.0,26.0372109169656,22,30.954545454545453,29.771607918879766,3,52.0,54.0,11,54.0,6,0.28700000000000003,48267,63,0,0.0,630.0,False,-0.009541284403669725,0,0.2,49130,0,37,1.0,963.3768039277271,False,0.011451343567051174,1,0.34500000000000003,75769,7,10,1.0,479.97655560755686,False,-0.008246391907676415,0,0.281,76344,0,7,0.5,208.40125543215837,False,-0.002515616605784325,0,0.2,105334,0,0,0.0,0.0,False,0.0,1,0.32700000000000007,105485,0,10,1.0,540.0,False,0.003996810146771223,0.5833333333333334,460329,0.0,0.0,17,0,0,18,4,3.3333333333333335,15,33,24,144.0,87.0,13,14,24,1338,1.9052460989914834,16.10372761101462
6,24,0,0,0,10.0,20,10.0,24.825781677825812,6,13.833333333333334,28.10762577252159,19,23.210526315789473,54.00000000000001,10,54.0,6,0.3410000000000001,48095,70,0,0.0,700.0,False,-0.012334352701325178,0,0.2,49000,3,47,1.0,1196.8117388578132,False,0.011180547796715701,4,0.38400000000000006,75854,0,8,0.8,224.86100618017272,False,-0.008801679217519514,0,0.281,76449,0,7,0.5,196.75338040765112,False,-0.001221582570636882,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.32600000000000007,105584,9,10,1.0,792.9686319526944,False,0.006137470484139408,0.5499999999999999,460316,0.0,0.0,17,0,0,11,3,2.6666666666666665,16,27,19,136.0,134.0,9,15,19,1067,1.7581839929916896,17.86191160400631
7,19,0,0,0,10.0,20,10.0,27.89906865458046,91,29.736263736263737,30.266161270147578,13,41.46153846153846,54.00000000000001,11,54.0,50,0.8350000000000002,46874,78,0,0.0,780.0,False,-0.036411824668705406,0,0.2,50372,5,16,1.0,496.38509847328737,False,0.03201208051450852,0,0.38000000000000006,75696,0,14,0.9,423.7262577820661,False,-0.009565857323220728,3,0.31100000000000005,74314,72,10,1.0,2311.394555831269,False,-0.015282978067670896,0,0.2,105334,0,0,0.0,0.0,False,0.0,1,0.3360000000000001,105575,12,10,1.0,903.193935241771,False,0.006575246051805604,0.65,458165,0.0,0.0,20,0,0,15,7,6.333333333333333,19,34,18,192.0,30.0,14,5,18,2507,1.7476451760157943,19.609556780022103
8,18,0,0,0,10.0,20,10.0,28.10303486575545,3,37.0,36.88669043645456,46,47.30434782608695,54.00000000000001,11,54.0,0,0.7850000000000001,46734,92,0,0.0,920.0,False,-0.03783893985728848,0,0.2,50423,1,23,1.0,656.3698019123754,False,0.03468266872489673,0,0.38000000000000006,75897,0,5,0.3,184.4334521822728,False,-0.008504368078559291,24,0.548,75170,62,10,1.0,2111.2550660413835,False,-0.005419716169926221,0,0.2,105334,0,0,0.0,0.0,False,0.0,1,0.34500000000000003,103929,48,10,1.0,2310.5611409498188,False,-0.0023707390730922174,0.5499999999999999,457487,0.0,0.0,18,0,0,12,2,1.10752688172043,18,30,21,157.0,55.0,11,7,21,1214,1.4575019319890998,21.067058712011203
9,21,0,0,0,10.000000000000002,20,10.0,28.4397586271762,26,30.0,36.87799933745327,17,36.8235294117647,54.00000000000001,6,54.0,8,0.8650000000000002,46520,99,0,0.0,990.0000000000002,False,-0.04148827726809378,0,0.2,50977,4,15,1.0,466.596379407643,False,0.044042776548497836,9,0.4700000000000001,75614,0,9,0.9,331.9019940370794,False,-0.011234835179361616,0,0.524,74891,69,17,1.0,2589.2693340118635,False,-0.0059415369448998796,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,103627,55,14,1.0,2784.2899635599297,False,-0.0029891110013864613,0.65,456963,0.0,0.0,17,0,0,10,3,2.75,21,31,21,198.0,45.0,11,10,21,1526,1.5151473459554836,22.582206057966687
