index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,24.0,0,,31.0,0,,0,0.2,31859,9,0,0.0,90.0,False,-0.0014084947885692823,0,0.2,31839,11,0,0.0,110.0,False,-0.0017214936304735672,0,0.2,47581,0,0,0.0,0.0,False,0.0,0,0.2,47581,0,0,0.0,0.0,False,0.0,0,0.2,61045,0,0,0.0,0.0,False,0.0,0,0.2,61045,0,0,0.0,0.0,False,0.0,0.0,280950,0.0,0.0,11,0,0,1,0,0.0,966,967,75,0.0,0.0,0,0,75,200,2.0270293860230595,2.0270293860230595
1,75,0,0,0,10.0,20,10.0,14.5625,3,8.0,24.0,0,,31.0,0,,0,0.2,31739,21,0,0.0,210.0,False,-0.0032864878399949922,3,0.23,31729,19,0,0.0,190.0,False,-0.0039124855238035616,0,0.2,47557,0,3,0.3,72.0,False,0.0002522015090056956,0,0.2,47581,0,0,0.0,0.0,False,0.0,0,0.2,61045,0,0,0.0,0.0,False,0.0,0,0.2,61045,0,0,0.0,0.0,False,0.0,0.049999999999999996,280696,0.0,0.0,10,0,0,17,1,1.0,26,43,22,401.0,253.0,24,51,22,200,3.6460450640297495,5.673074450052809
2,22,0,0,0,10.0,20,10.0,10.08815028901734,26,2.6538461538461537,24.0,0,,31.0,0,,22,0.42000000000000004,31133,32,0,0.0,320.0,False,-0.020532724028921093,4,0.267,31596,28,0,0.0,280.0,False,-0.006666875332561269,0,0.2,47517,5,13,1.0,362.4407514450867,False,0.0024635963036200035,0,0.2,47552,1,10,1.0,250.08815028901734,False,0.0020185383902083976,0,0.2,61045,0,0,0.0,0.0,False,0.0,0,0.2,61045,0,0,0.0,0.0,False,0.0,0.3333333333333333,279888,0.0,0.0,12,0,0,16,7,7.0,17,33,25,142.0,50.0,9,13,25,200,1.0466610160074197,6.719735466060229
3,25,0,0,0,10.0,20,10.0,9.412752675386447,5,1.0,24.0,0,,31.0,20,31.0,5,0.44800000000000006,30968,40,0,0.0,400.0,False,-0.024445209552724653,0,0.263,31476,40,0,0.0,400.0,False,-0.00854486838398698,0,0.2,47517,0,18,0.5,432.0,False,0.003194552447405477,0,0.2,47547,0,16,0.6,384.0,False,0.003320653201908325,11,0.31000000000000005,60905,0,0,0.0,0.0,False,-0.0022933901220411174,9,0.29000000000000004,60944,0,0,0.0,0.0,False,-0.0016545171594725204,0.18333333333333335,279357,0.0,0.0,9,0,0,18,12,12.0,16,34,24,128.0,45.0,10,15,24,200,1.0107885419856757,7.730524008045904
4,24,0,0,0,10.0,20,10.0,9.308568364959713,1,3.0,24.0,0,,31.0,20,31.0,1,0.45300000000000007,30863,49,0,0.0,490.0,False,-0.026323202604150366,0,0.263,31366,51,0,0.0,510.0,False,-0.010266362014460547,0,0.2,47517,0,18,0.0,432.0,False,0.003194552447405477,0,0.2,47544,0,17,0.1,408.0,False,0.0035098043336625963,7,0.369,60835,0,0,0.0,0.0,False,-0.003440085183061676,13,0.41100000000000003,60756,0,0,0.0,0.0,False,-0.004734212466213449,0.016666666666666666,278881,0.0,0.0,12,0,0,13,13,13.0,14,27,25,104.0,52.0,6,18,25,200,1.0216314849676564,8.75215549301356
5,25,0,0,0,10.0,20,10.0,9.308568364959713,0,,25.14,5,35.4,31.0,20,31.0,0,0.45200000000000007,30753,60,0,0.0,600.0,False,-0.028044696234623932,0,0.263,31276,60,0,0.0,600.0,False,-0.01167485680302983,0,0.2,47622,0,15,0.0,377.1,False,0.004824404699354846,0,0.2,47616,0,15,0.0,377.1,False,0.004698303944851998,8,0.44200000000000006,60612,0,4,0.4,124.0,False,-0.006077483823408961,12,0.5180000000000001,60556,0,1,0.1,31.0,False,-0.00775657301990335,0.08333333333333333,278435,0.0,0.0,14,0,0,12,11,11.0,15,27,31,104.0,57.0,6,19,31,377,1.1290664249681868,9.881221917981748
6,31,0,0,0,10.0,20,10.0,9.308568364959713,0,,25.37608695652174,1,36.0,31.0,20,31.0,0,0.45200000000000007,30633,72,0,0.0,720.0,False,-0.02992268928604964,0,0.263,31196,68,0,0.0,680.0,False,-0.012926852170646968,0,0.2,47622,0,15,0.0,380.64130434782606,False,0.004861618128536855,0,0.2,47652,0,14,0.0,355.26521739130436,False,0.005225459925088884,6,0.49400000000000005,60644,0,1,0.1,31.0,False,-0.006315013514620362,9,0.5960000000000001,60487,0,0,0.0,0.0,False,-0.00914079777213531,0.016666666666666666,278234,0.0,0.0,13,0,0,14,8,7.0,17,31,22,118.0,69.0,7,24,22,329,1.0122712040320039,10.893493122013751
7,22,0,0,0,10.0,20,10.0,9.308568364959713,0,,26.63649789029536,6,35.333333333333336,31.0,20,31.0,0,0.45200000000000007,30543,81,0,0.0,810.0,False,-0.03133118407461893,0,0.263,31086,79,0,0.0,790.0,False,-0.014648345801120536,0,0.2,47762,0,11,0.0,293.00147679324897,False,0.006883015035342305,0,0.2,47724,0,12,0.0,319.6379746835443,False,0.006364283796930966,13,0.6180000000000001,60312,0,5,0.5,155.0,False,-0.010737980178556802,6,0.6470000000000001,60401,0,1,0.1,31.0,False,-0.010295683512163159,0.09999999999999999,277828,0.0,0.0,16,0,0,12,10,9.666666666666666,12,24,23,71.0,51.0,5,17,23,412,1.2348473779857159,12.128340499999467
8,23,0,0,0,10.0,20,10.0,9.308568364959713,0,,27.251708278580814,3,36.0,31.0,20,31.0,0,0.45200000000000007,30453,90,0,0.0,900.0,False,-0.03273967886318821,0,0.263,30976,90,0,0.0,900.0,False,-0.016369839431594105,0,0.2,47762,0,11,0.0,299.76879106438895,False,0.006954128654971387,0,0.2,47832,0,9,0.0,245.26537450722734,False,0.007852560628267913,4,0.645,60362,0,2,0.2,62.0,False,-0.010680645425505774,10,0.7410000000000001,60276,0,1,0.1,31.0,False,-0.012343353263985585,0.05000000000000001,277661,0.0,0.0,19,0,0,11,8,7.5,16,27,19,49.0,71.0,3,20,19,463,0.8792461009579711,13.007586600957438
9,19,0,0,0,10.000000000000002,20,10.0,8.761104736140318,7,4.428571428571429,28.20067036924545,5,36.0,31.0,20,31.0,5,0.502,30294,98,0,0.0,980.0000000000002,False,-0.0364643650818492,2,0.28300000000000003,30836,102,0,0.0,1020.0000000000002,False,-0.018873830166828382,0,0.2,47798,0,10,0.0,282.0067036924545,False,0.007524082130393006,0,0.2,47945,0,12,0.7,338.40804443094544,False,0.011206238250887447,11,0.7510000000000001,60211,0,2,0.2,62.0,False,-0.013154230485707265,6,0.7910000000000001,60143,0,3,0.3,93.0,False,-0.014014251781472684,0.19999999999999998,277227,0.0,0.0,18,0,0,11,13,12.0,15,26,16,100.0,39.0,6,13,16,380,0.8950388379744254,13.902625438931864
10,16,0,0,0,10.000000000000002,20,10.0,8.642814928393877,1,2.0,29.950556421848532,12,36.0,31.0,20,31.0,1,0.5070000000000001,30148,111,0,0.0,1110.0000000000002,False,-0.03899965570127391,0,0.281,30766,109,0,0.0,1090.0000000000002,False,-0.01996932611349338,0,0.2,48158,0,0,0.0,0.0,False,0.012126689224690528,0,0.2,48015,0,11,0.1,329.45612064033384,False,0.012583343358066565,9,0.8300000000000001,59775,1,10,1.0,339.95055642184855,False,-0.01801989879251502,6,0.8450000000000002,60147,0,1,0.1,31.0,False,-0.014456548447866329,0.20000000000000004,277009,0.0,0.0,17,0,0,11,9,9.0,14,25,15,66.0,36.0,4,12,15,787,0.8830405829939991,14.785666021925863
11,15,0,0,0,10.000000000000002,20,10.0,8.052485131775061,7,3.7142857142857144,30.305458663872557,3,36.0,30.999999999999996,20,31.0,5,0.556,29968,121,0,0.0,1210.0000000000002,False,-0.04306864064602961,2,0.30100000000000005,30646,119,0,0.0,1190.0000000000002,False,-0.022160318006823373,0,0.2,48158,0,0,0.0,0.0,False,0.012126689224690528,0,0.2,48097,0,15,0.7,454.58187995808834,False,0.015621591391081402,3,0.8510000000000002,60028,0,2,0.2,61.99999999999999,False,-0.016152019002375298,6,0.899,60052,0,2,0.2,61.99999999999999,False,-0.015758866410025392,0.18333333333333332,276949,0.0,0.0,19,0,0,13,7,6.666666666666667,11,24,15,34.0,39.0,2,13,15,618,0.7616137709701434,15.547279792896006
12,15,0,0,0,10.000000000000002,20,10.0,7.794139412530891,2,1.0,30.54261992174256,2,36.0,31.0,20,31.0,2,0.5710000000000002,29864,128,0,0.0,1280.0000000000002,False,-0.04522833265516918,0,0.29900000000000004,30516,132,0,0.0,1320.0000000000002,False,-0.024194810479201228,0,0.2,48158,0,0,0.0,0.0,False,0.012126689224690528,0,0.2,48167,0,15,0.2,458.1392988261384,False,0.01713014962722658,1,0.8580000000000001,60048,0,1,0.1,31.0,False,-0.01607830289130969,15,1.0430000000000001,59847,0,1,0.1,31.0,False,-0.019370955852240152,0.06666666666666667,276600,0.0,0.0,14,0,0,12,9,8.333333333333332,15,27,15,68.0,33.0,4,11,15,334,0.8364622789667919,16.383742071862798
