index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,22.0,0,,30.0,0,,0,0.2,34551,0,8,0.8,144.0,False,-0.00023100690133117727,0,0.2,34511,2,10,1.0,200.0,False,-0.0005775172533279432,0,0.2,41990.0,0,0,0.0,0.0,False,0.0,0,0.2,41990,0,0,0.0,0.0,False,0.0,0,0.2,57899,0,0,0.0,0.0,False,0.0,0,0.2,57899,0,0,0.0,0.0,False,0.0,0.3,268840,0.0,0.0,7,0,0,148,0,0.0,467,615,146,0.0,0.0,0,0,146,200,1.8177734020282514,1.8177734020282514
1,146,0,0,0,10.0,20,10.0,18.0,0,,20.705882352941178,6,11.0,30.0,0,,0,0.2,34461,0,17,0.9,306.0,False,-0.0004908896653287517,0,0.2,34401,3,20,1.0,390.0,False,-0.0010106551933239006,6,0.26,41900.0,0,0,0.0,0.0,False,-0.0021433674684448677,0,0.2,41990,0,0,0.0,0.0,False,0.0,0,0.2,57899,0,0,0.0,0.0,False,0.0,0,0.2,57833,0,6,0.6,180.0,False,0.00041451493117325,0.4166666666666667,268484,0.0,0.0,7,0,0,61,1,1.0,83,144,80,2322.0,186.0,129,17,80,200,7.542222819000017,9.359996221028268
2,80,0,0,0,10.0,20,10.0,16.454545454545453,10,9.5,20.705882352941178,0,,30.0,0,,0,0.2,34361,0,27,1.0,444.27272727272725,False,-0.0013821037903508323,0,0.2,34396,3,20,1.0,359.09090909090907,False,-0.0016012978387728951,0,0.254,41900.0,0,0,0.0,0.0,False,-0.0021433674684448677,0,0.2,41895,0,10,1.0,207.05882352941177,False,0.00020312959668269373,0,0.2,57899,0,0,0.0,0.0,False,0.0,0,0.2,57833,0,6,0.0,180.0,False,0.00041451493117325,0.5,268284,0.0,0.0,9,0,0,25,0,0.0,23,48,75,267.0,165.0,34,46,75,295,5.8165577159961686,15.176553937024437
3,75,0,0,0,10.0,20,10.0,15.285714285714283,10,9.5,20.705882352941178,0,,30.0,14,30.0,0,0.2,34336,2,27,1.0,432.71428571428567,False,-0.002270880342550174,0,0.2,34316,1,30,1.0,468.5714285714285,False,-0.0023306946295019665,0,0.254,41900.0,0,0,0.0,0.0,False,-0.0021433674684448677,0,0.2,41800,0,20,1.0,414.11764705882354,False,0.00040625919336538746,14,0.34,57704,0,0,0.0,0.0,False,-0.003367933815782656,0,0.2,57833,0,6,0.0,180.0,False,0.00041451493117325,0.5,267889,0.0,0.0,9,0,0,35,5,5.0,15,50,67,381.0,130.0,37,38,67,295,4.205434825038537,19.381988762062974
4,67,0,0,0,10.0,20,10.0,16.473887814313343,24,19.125,19.265306122448983,8,11.0,30.000000000000004,13,30.0,0,0.2,34665,5,13,1.0,264.16054158607346,False,0.004795711091017709,0,0.2,34246,0,38,0.8,626.007736943907,False,-0.0020789504065157004,8,0.3340000000000001,41416.0,14,0,0.0,230.6344294003868,False,-0.010923619559414219,0,0.2,41705,0,30,1.0,577.9591836734695,False,9.477475200614691e-05,13,0.45600000000000007,57454,0,8,0.8,240.00000000000003,False,-0.005613223026304427,0,0.2,57833,0,6,0.0,180.00000000000003,False,0.00041451493117325,0.6,267319,0.0,0.0,11,0,0,27,6,6.0,11,38,56,393.0,112.0,24,43,56,659,3.0772142150090076,22.459202977071982
5,56,0,0,0,10.0,20,10.0,19.65547020373109,35,26.0,18.128325508607197,9,12.0,30.0,9,30.0,12,0.32000000000000006,34941,6,10,1.0,256.5547020373109,False,0.012655636597806951,0,0.2,34416,0,37,0.9,727.2523975380504,False,0.0042917097042829595,9,0.41600000000000004,41030.0,24,0,0.0,471.7312848895462,False,-0.017245400275189896,0,0.2,41055,15,40,1.0,1019.9650734002541,False,-0.010121873381754586,1,0.45300000000000007,57580,0,9,0.9,270.0,False,-0.003177947805661583,0,0.2,57833,0,6,0.0,180.0,False,0.00041451493117325,0.6333333333333333,266855,0.0,0.0,11,0,0,33,3,2.1333333333333333,10,43,50,389.0,84.0,28,28,50,900,3.1927294530323707,25.651932430104353
6,50,0,0,0,10.0,20,10.0,23.34694188796859,86,27.3953488372093,17.307920145919443,8,12.0,29.999999999999996,13,30.0,16,0.4680000000000001,35131,4,10,1.0,273.4694188796859,False,0.0183862640247132,23,0.43000000000000005,35365,2,10,1.0,253.46941887968592,False,0.024854457261986165,8,0.4870000000000001,39794.0,66,0,0.0,1540.898164605927,False,-0.03394977179559507,0,0.2,39823,49,50,1.0,2009.3961598064332,False,-0.027680445822738337,4,0.4920000000000001,57724,0,8,0.8,239.99999999999997,False,-0.0009499300506053645,0,0.2,57833,0,6,0.0,179.99999999999997,False,0.00041451493117325,0.6333333333333333,265670,0.0,0.0,11,0,0,30,7,5.911764705882353,10,40,43,390.0,75.0,25,25,43,1282,2.644519659981597,28.29645209008595
7,43,0,0,0,10.0,20,10.0,23.829238704117465,25,26.96,18.22128053354816,13,22.0,30.0,16,30.0,3,0.48200000000000004,35273,7,10,1.0,308.29238704117466,False,0.022989408146475356,2,0.42700000000000005,35587,0,9,0.9,214.4631483370572,False,0.030701728918267755,13,0.6090000000000001,39068.0,91,0,0.0,2168.4607220746893,False,-0.043766840651647015,0,0.2,39823,39,60,1.0,2022.6171414734708,False,-0.027523015700482604,8,0.5680000000000001,57599,3,10,1.0,354.6638416006445,False,-0.002118656266942035,0,0.2,57833,0,6,0.0,180.0,False,0.00041451493117325,0.65,265183,0.0,0.0,9,0,0,24,7,5.397435897435898,9,33,44,327.0,87.0,19,24,44,440,2.283442154992372,30.57989424507832
8,44,0,0,0,10.0,20,10.0,23.829238704117465,0,,19.692651481588307,73,20.904109589041095,30.000000000000004,10,30.0,0,0.4790000000000001,35173,7,20,1.0,546.5847740823493,False,0.023542271001160117,0,0.42500000000000004,35487,0,19,1.0,452.75553537823185,False,0.03125459177295252,73,1.326,38120.0,91,0,0.0,2168.4607220746893,False,-0.06634364465259962,0,0.2,39823,29,70,1.0,2069.533526130588,False,-0.02696435429708754,0,0.56,56373,66,10,1.0,1599.7149977848283,False,-0.012541537869524248,0,0.2,57833,0,6,0.0,180.00000000000003,False,0.00041451493117325,0.6666666666666666,262809,0.0,0.0,10,0,0,24,2,2.0,7,31,45,327.0,90.0,19,25,45,500,2.3182629449875094,32.89815719006583
9,45,0,0,0,10.000000000000002,20,10.0,24.14909014957118,14,28.0,19.692651481588307,0,,30.000000000000004,6,30.0,0,0.4790000000000001,35093,5,30,1.0,774.4727044871354,False,0.024522432278697406,0,0.42500000000000004,35759,2,15,1.0,382.2363522435677,False,0.03809067529444086,0,1.2530000000000003,37728.0,105,0,0.0,2535.654465704974,False,-0.07130680560008375,0,0.2,39823,19,80,1.0,2034.244831368917,False,-0.027384557854621055,0,0.56,56553,56,14,1.0,1522.7884829689451,False,-0.010096992323106247,0,0.2,57833,0,6,0.0,180.00000000000003,False,0.00041451493117325,0.6666666666666666,262789,0.0,0.0,11,0,0,26,0,0.0,10,36,43,378.0,87.0,21,24,43,772,2.0845679759513587,34.98272516601719
