index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,38.0,0,,0,0.2,36814,8,0,0.0,80.0,False,-0.0010841871306987586,0,0.2,36774,2,10,1.0,190.0,False,-0.0006776169566867241,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0.16666666666666666,374532,0.0,0.0,11,0,0,0,0,0.0,775,775,118,0.0,0.0,0,0,118,200,3.981922624632716,3.981922624632716
1,118,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,38.0,0,,0,0.2,36754,14,0,0.0,140.0,False,-0.0018973274787228275,0,0.2,36634,6,20,1.0,400.0,False,-0.0016262806960481379,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0.16666666666666666,374332,0.0,0.0,11,0,0,26,0,0.0,29,55,33,541.0,416.0,33,85,33,200,4.148072202689946,8.129994827322662
2,33,0,0,0,10.0,20,10.0,16.2,5,9.0,30.0,0,,38.0,0,,5,0.25,36570,26,0,0.0,260.0,False,-0.005258307583888979,0,0.2,36554,4,30,1.0,526.0,False,-0.0020870602265951103,0,0.2,64518,0,5,0.5,150.0,False,0.00046466242274987224,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0.25,374023,0.0,0.0,8,0,0,12,2,2.0,25,37,26,164.0,75.0,15,18,26,200,1.7687052357941866,9.898700063116848
3,26,0,0,0,10.0,20,10.0,17.771929824561404,12,23.666666666666668,30.0,0,,38.0,20,38.0,1,0.255,36468,35,0,0.0,350.0,False,-0.00680327424513471,0,0.2,36719,5,29,1.0,565.3859649122808,False,0.002918983641137788,0,0.2,64518,0,5,0.0,150.0,False,0.00046466242274987224,0,0.2,64279,2,10,1.0,335.5438596491228,False,-0.0018002272226419975,12,0.32000000000000006,85714,0,0,0.0,0.0,False,-0.0022698436717922452,8,0.28,85811,0,0,0.0,0.0,False,-0.001140741947875077,0.3333333333333333,373509,0.0,0.0,13,0,0,13,11,11.0,18,31,22,117.0,42.0,12,14,22,475,1.6955468710511923,11.59424693416804
4,22,0,0,0,10.0,20,10.0,18.98444790046656,13,23.76923076923077,30.0,0,,38.0,20,38.0,1,0.264,36356,45,0,0.0,450.0,False,-0.008483764297717786,0,0.2,36919,5,27,1.0,562.5800933125971,False,0.008301893171147086,0,0.2,64518,0,5,0.0,150.0,False,0.00046466242274987224,0,0.2,63970,5,20,1.0,694.9222395023328,False,-0.0038030896991904117,11,0.41800000000000004,85543,0,0,0.0,0.0,False,-0.004260321968594676,9,0.36200000000000004,85682,0,0,0.0,0.0,False,-0.002642330838445332,0.3333333333333333,372988,0.0,0.0,9,0,0,9,13,13.0,21,30,21,116.0,33.0,11,11,21,500,1.577916351146996,13.172163285315037
5,21,0,0,0,10.0,20,10.0,18.650910305662265,2,9.0,31.27659574468085,2,60.0,38.0,20,38.0,0,0.263,36236,57,0,0.0,570.0,False,-0.010110044993765924,0,0.2,36857,3,35,1.0,682.7818606981792,False,0.008250418234647566,0,0.2,64518,0,5,0.0,156.38297872340425,False,0.0005140945953827965,0,0.2,64072,0,25,0.7,781.9148936170212,False,-0.0015495338381346588,10,0.5070000000000001,85394,0,0,0.0,0.0,False,-0.005994715338323109,10,0.45300000000000007,85413,2,0,0.0,62.5531914893617,False,-0.005409484504013751,0.2833333333333333,372490,0.0,0.0,12,0,0,15,12,12.0,18,33,17,147.0,21.0,14,7,17,338,1.6581816989928484,14.830344984307885
6,17,0,0,0,10.0,20,10.0,18.30551330458279,2,9.0,31.16630669546436,4,30.0,38.0,20,38.0,2,0.28300000000000003,36082,70,0,0.0,700.0,False,-0.012522361359570662,0,0.2,36787,0,45,1.0,823.7480987062255,False,0.008263513019816636,0,0.2,64518,0,5,0.0,155.8315334773218,False,0.0005098239973151921,0,0.2,64174,0,23,0.2,716.8250539956803,False,-0.00047376164369934096,12,0.6170000000000001,85197,0,0,0.0,0.0,False,-0.008287839458031172,8,0.5230000000000001,85189,6,0,0.0,186.99784017278617,False,-0.007292612880066199,0.19999999999999998,371947,0.0,0.0,9,0,0,8,13,13.0,22,30,16,85.0,46.0,8,9,16,320,3.1456684013828635,17.97601338569075
7,16,0,0,0,10.0,20,10.0,17.860615481809354,26,17.0,31.16630669546436,0,,38.0,20,38.0,26,0.5410000000000001,35888,79,0,0.0,790.0,False,-0.01656095842142354,0,0.2,36677,1,55,1.0,992.3338514995145,False,0.0075667297053655345,0,0.2,64518,0,5,0.0,155.8315334773218,False,0.0005098239973151921,0,0.2,63732,16,33,1.0,1314.2579686592735,False,-0.0026930442462456835,10,0.7050000000000001,85046,0,0,0.0,0.0,False,-0.010045513275675424,10,0.6150000000000001,85049,6,0,0.0,186.99784017278617,False,-0.008922244234173453,0.3333333333333333,370910,0.0,0.0,12,0,0,11,11,11.0,17,28,20,75.0,47.0,8,8,20,200,1.5214216783642769,19.497435064055026
8,20,0,0,0,10.0,20,10.0,17.860615481809354,0,,37.427064447008405,19,51.1578947368421,38.0,20,38.0,0,0.5150000000000001,35798,88,0,0.0,880.0,False,-0.01778066894345964,0,0.2,36567,2,65,1.0,1180.940006317608,False,0.007141269668748502,0,0.2,64750,0,1,0.0,37.427064447008405,False,0.0031862449425135828,0,0.2,64472,6,28,1.0,1155.1214974070913,False,0.007536216543586031,11,0.8050000000000002,84430,0,10,1.0,380.0,False,-0.015004248681744636,9,0.6950000000000001,84404,15,0,0.0,561.405966705126,False,-0.01425109146477599,0.5,370421,0.0,0.0,14,0,0,10,9,9.0,19,29,17,119.0,63.0,9,11,17,1172,1.5568645717576146,21.05429963581264
9,17,0,0,0,10.000000000000002,20,10.0,17.637718807798784,24,17.0,35.66851343032596,12,27.666666666666668,37.99999999999999,20,38.0,24,0.7550000000000001,35572,101,0,0.0,1010.0000000000002,False,-0.022144522144522144,0,0.2,36497,0,74,0.9,1305.19119177711,False,0.006927836393141252,0,0.2,64750,0,1,0.0,35.66851343032596,False,0.0031726260662478982,0,0.2,64396,20,26,1.0,1280.1357253444507,False,0.007327228639812617,0,0.7940000000000003,84478,2,10,1.0,451.33702686065186,False,-0.014030328447190328,10,0.786,84259,15,0,0.0,535.0277014548894,False,-0.01609244839623976,0.48333333333333334,369952,0.0,0.0,14,0,0,12,6,6.0,18,30,18,90.0,38.0,9,8,18,912,1.4529211390763521,22.507220774888992
