index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,42.0,0,,0,0.2,47250,10,0,0.0,100.0,False,-0.0010559662090813093,0,0.2,47250,0,10,1.0,210.0,False,0.00010559662090813094,0,0.2,69316,0,0,0.0,0.0,False,0.0,0,0.2,69316,0,0,0.0,0.0,False,0.0,0,0.2,93779,0,0,0.0,0.0,False,0.0,0,0.2,93779,0,0,0.0,0.0,False,0.0,0.16666666666666666,420690,0.0,0.0,9,0,0,11,0,0.0,823,834,84,0.0,0.0,0,0,84,200,2.2513389119994827,2.2513389119994827
1,84,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,42.0,0,,0,0.2,47120,23,0,0.0,230.0,False,-0.0024287222808870115,0,0.2,47180,0,17,0.7,357.0,False,0.0001795142555438226,0,0.2,69316,0,0,0.0,0.0,False,0.0,0,0.2,69316,0,0,0.0,0.0,False,0.0,0,0.2,93779,0,0,0.0,0.0,False,0.0,0,0.2,93779,0,0,0.0,0.0,False,0.0,0.11666666666666665,420490,0.0,0.0,9,0,0,28,0,0.0,21,49,39,504.0,333.0,28,56,39,200,3.533470210037194,5.784809122036677
2,39,0,0,0,10.0,20,10.0,20.375,3,11.0,30.0,0,,42.0,0,,3,0.23,46946,36,0,0.0,360.0,False,-0.004730728616684266,0,0.2,47110,0,24,0.7,489.0,False,9.503695881731785e-05,0,0.2,69316,0,0,0.0,0.0,False,0.0,0,0.2,69283,0,3,0.3,90.0,False,0.000173120203127705,0,0.2,93779,0,0,0.0,0.0,False,0.0,0,0.2,93779,0,0,0.0,0.0,False,0.0,0.16666666666666666,420213,0.0,0.0,12,0,0,17,2,2.0,16,33,41,195.0,174.0,15,24,41,200,2.0956182910013013,7.880427413037978
3,41,0,0,0,10.0,20,10.0,22.162361623616235,11,29.181818181818183,30.0,0,,42.0,20,42.0,1,0.23700000000000002,46872,42,0,0.0,420.0,False,-0.005659978880675818,0,0.2,47280,4,24,1.0,571.8966789667896,False,0.004560682988033688,0,0.2,68995,1,10,1.0,322.1623616236162,False,-0.0023070982051503048,0,0.2,69283,0,3,0.0,90.0,False,0.000173120203127705,5,0.25,93725,0,0,0.0,0.0,False,-0.0005758218790987321,15,0.35000000000000003,93453,0,0,0.0,0.0,False,-0.0034762580108553087,0.3333333333333333,419608,0.0,0.0,12,0,0,22,13,13.0,17,39,38,249.0,158.0,18,23,38,510,1.9898622310138308,9.870289644051809
4,38,0,0,0,10.0,20,10.0,21.938127762153478,1,11.0,30.0,0,,42.0,20,42.0,0,0.23600000000000002,46782,51,0,0.0,510.0,False,-0.006610348468848997,0,0.2,47181,5,33,1.0,773.9582161510648,False,0.004603571448268876,0,0.2,68984,0,12,0.2,360.0,False,-0.0021928559062842634,0,0.2,69283,0,3,0.0,90.0,False,0.000173120203127705,10,0.34500000000000003,93565,0,0,0.0,0.0,False,-0.0022819607801320124,10,0.43500000000000005,93288,0,0,0.0,0.0,False,-0.005235713752545879,0.19999999999999998,419083,0.0,0.0,11,0,0,16,11,11.0,17,33,22,166.0,137.0,12,26,22,211,1.7860756459995173,11.656365290051326
5,22,0,0,0,10.0,20,10.0,21.699314440417453,1,11.0,30.0,0,,42.0,20,42.0,0,0.23600000000000002,46682,61,0,0.0,610.0,False,-0.007666314677930306,0,0.2,47092,5,42,1.0,961.371206497533,False,0.004702969445591617,0,0.2,68973,0,13,0.1,390.0,False,-0.0021351491719083615,0,0.2,69283,0,3,0.0,90.0,False,0.000173120203127705,11,0.44500000000000006,93374,0,0,0.0,0.0,False,-0.004318664093240491,9,0.5150000000000001,93151,0,0,0.0,0.0,False,-0.006696595186555626,0.18333333333333335,418555,0.0,0.0,11,0,0,15,11,11.0,14,29,21,63.0,76.0,6,16,21,211,1.5819256500108168,13.238290940062143
6,21,0,0,0,10.0,20,10.0,23.30032915672624,10,29.9,31.6,5,46.0,41.99999999999999,20,42.0,1,0.24600000000000002,46578,70,0,0.0,700.0,False,-0.008912354804646251,0,0.2,47270,6,43,1.0,1061.9141537392284,False,0.009523908698407899,0,0.2,68904,0,18,1.0,568.8000000000001,False,-0.0018408448265913471,0,0.2,69283,0,3,0.0,94.80000000000001,False,0.00020774424375316202,10,0.534,92981,0,5,0.5,209.99999999999997,False,-0.007389714115100396,10,0.6060000000000001,92988,0,0,0.0,0.0,False,-0.00843472419198328,0.4166666666666667,418004,0.0,0.0,13,0,0,15,12,12.0,11,26,15,90.0,60.0,5,16,15,718,1.2160717969527468,14.45436273701489
7,15,0,0,0,10.0,20,10.0,22.470802481344567,26,21.0,35.28125,19,44.0,42.0,20,42.0,26,0.5050000000000001,46394,78,0,0.0,780.0,False,-0.011953537486800423,0,0.2,47150,8,53,1.0,1270.9525315112621,False,0.009196964429897097,1,0.21000000000000002,69158,16,10,1.0,712.345339701513,False,0.0028589744049102007,0,0.2,69283,0,3,0.0,105.84375,False,0.000287406587223729,2,0.544,92559,4,10,1.0,561.125,False,-0.010017567898996577,13,0.7260000000000002,92524,0,5,0.5,210.0,False,-0.012262873351176703,0.5833333333333334,417068,0.0,0.0,13,0,0,16,9,7.738095238095238,12,28,16,66.0,39.0,7,8,16,588,1.406454231007956,15.860816968022846
8,16,0,0,0,10.0,20,10.0,21.799327751614666,42,20.761904761904763,35.28125,0,,42.00000000000001,20,42.0,26,0.7390000000000001,46143,89,0,0.0,890.0,False,-0.016092925026399155,0,0.2,47396,7,47,1.0,1094.5684043258893,False,0.012529761397316739,0,0.20900000000000002,68286,48,20,1.0,1751.992732077504,False,-0.002221761699481239,0,0.2,69283,0,3,0.0,105.84375,False,0.000287406587223729,2,0.562,92963,0,4,0.4,168.00000000000003,False,-0.007805585472227258,3,0.7430000000000001,92706,0,0,0.0,0.0,False,-0.011441794005054436,0.39999999999999997,416777,0.0,0.0,17,0,0,13,5,5.0,11,24,16,75.0,63.0,5,11,16,1166,1.1805147010018118,17.041331669024657
9,16,0,0,0,10.000000000000002,20,10.0,21.634450856708888,25,21.0,37.07082152974504,13,45.0,42.0,20,42.0,25,0.9630000000000001,45913,102,0,0.0,1020.0000000000002,False,-0.019577613516367477,0,0.2,47326,4,57,1.0,1273.1636988324067,False,0.012937314665600871,0,0.20900000000000002,68211,63,20,1.0,2104.386834567561,False,-0.0007618238605260095,0,0.2,69418,0,0,0.0,0.0,False,0.0014715217265854925,4,0.6000000000000001,92738,0,8,0.8,336.0,False,-0.009309120378762836,12,0.8600000000000001,92259,0,5,0.5,210.0,False,-0.015088665906013073,0.5499999999999999,415865,0.0,0.0,17,0,0,15,9,8.5,12,27,18,96.0,57.0,7,9,18,911,1.34479988302337,18.386131552048028
10,18,0,0,0,10.000000000000002,20,10.0,22.704550949782938,16,30.0,38.01305412020669,10,44.0,42.0,20,42.0,0,0.9380000000000002,45823,111,0,0.0,1110.0000000000002,False,-0.020527983104540654,0,0.2,47696,5,51,1.0,1207.9320984389299,False,0.020062640955004585,0,0.20900000000000002,68171,69,20,1.0,2326.875097939156,False,0.0002659926852325763,0,0.2,69418,0,0,0.0,0.0,False,0.0014715217265854925,0,0.5960000000000001,92854,0,5,0.5,210.0,False,-0.008743961867795563,7,0.9180000000000004,92159,0,5,0.5,210.0,False,-0.016155002719158873,0.5,416121,0.0,0.0,22,0,0,14,4,3.5,14,28,22,147.0,57.0,9,9,22,1624,1.4262567249825224,19.81238827703055
11,22,0,0,0,10.000000000000002,20,10.0,23.005759734908228,16,25.125,38.01305412020669,0,,42.0,20,42.0,5,0.9880000000000002,45648,121,0,0.0,1210.0000000000002,False,-0.02316789862724393,0,0.2,47948,5,50,1.0,1200.2879867454114,False,0.025303991412306416,0,0.20900000000000002,67769,75,30,1.0,2865.8236037243178,False,-0.0016459143363415077,0,0.2,69418,0,0,0.0,0.0,False,0.0014715217265854925,0,0.5960000000000001,93022,0,1,0.0,42.0,False,-0.00784823894475309,11,1.0210000000000004,92190,0,0,0.0,0.0,False,-0.016944091960886767,0.3333333333333333,415995,0.0,0.0,14,0,0,20,6,5.333333333333333,13,33,22,147.0,69.0,14,8,22,846,1.8222688349778764,21.634657112008426
12,22,0,0,0,10.000000000000002,20,10.0,21.815528506066613,34,17.764705882352942,40.56955618736515,33,45.696969696969695,42.0,18,42.0,34,1.3230000000000004,44962,137,0,0.0,1370.0000000000002,False,-0.035966209081309396,0,0.2,47908,0,59,0.9,1287.11618185793,False,0.025376094845384663,3,0.23900000000000002,68565,99,10,1.0,2565.432883974246,False,0.007670904870262653,0,0.2,69418,0,0,0.0,0.0,False,0.0014715217265854925,4,0.6360000000000001,91516,23,10,1.0,1353.0997923093985,False,-0.01691690147949223,13,1.1400000000000001,91940,0,0,0.0,0.0,False,-0.019609933993751265,0.48333333333333334,414309,0.0,0.0,10,0,0,15,12,11.266666666666666,14,29,20,150.0,66.0,10,12,20,1488,1.4438420729711652,23.07849918497959
13,20,0,0,0,10.000000000000002,20,10.0,21.347952805942533,23,18.608695652173914,40.56955618736515,0,,42.0,18,42.0,15,1.4390000000000005,44582,150,0,0.0,1500.0000000000002,False,-0.042618796198521644,0,0.2,48086,0,58,0.7,1238.181262744667,False,0.028618598339436783,0,0.23600000000000002,68137,112,20,1.0,3202.361838012867,False,0.00609067053791964,0,0.2,69418,0,0,0.0,0.0,False,0.0014715217265854925,0,0.6320000000000001,91852,13,12,1.0,1031.404230435747,False,-0.015049188888579762,10,1.227,91774,0,0,0.0,0.0,False,-0.021380053103573295,0.45,413849,0.0,0.0,15,0,0,16,8,8.0,12,28,18,147.0,48.0,9,11,18,784,1.2053063929779455,24.283805577957537
