index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,26.0,0,,36.0,0,,0,0.2,35356.0,10,0,0.0,100.0,False,-0.0014101985559566788,0,0.2,35356,10,0,0.0,100.0,False,-0.0014101985559566788,0,0.2,53893,0,0,0.0,0.0,False,0.0,0,0.2,53893,0,0,0.0,0.0,False,0.0,0,0.2,72803,0,0,0.0,0.0,False,0.0,0,0.2,72803,0,0,0.0,0.0,False,0.0,0.0,324104,0.0,0.0,12,0,0,251,0,0.0,784,1035,56,0.0,0.0,0,0,56,200,1.04630102700321,1.04630102700321
1,56,0,0,0,10.0,20,10.0,19.0,0,,26.0,0,,36.0,0,,0,0.2,35206.0,25,0,0.0,250.0,False,-0.0035254963898916965,0,0.2,35306,15,0,0.0,150.0,False,-0.002115297833935018,0,0.2,53893,0,0,0.0,0.0,False,0.0,0,0.2,53893,0,0,0.0,0.0,False,0.0,0,0.2,72803,0,0,0.0,0.0,False,0.0,0,0.2,72803,0,0,0.0,0.0,False,0.0,0.0,323904,0.0,0.0,11,0,0,37,0,0.0,27,64,34,767.0,133.0,45,11,34,200,2.001013597997371,3.047314625000581
2,34,0,0,0,10.0,20,10.0,16.60377358490566,8,3.125,24.58823529411765,6,14.0,36.0,0,,7,0.27,34919.0,38,0,0.0,380.0,False,-0.00978677797833935,1,0.21000000000000002,35223,22,0,0.0,220.0,False,-0.0034690884476534295,0,0.2,53871,0,7,0.7,172.11764705882354,False,0.0011886297576570728,6,0.26,53788,0,1,0.1,24.58823529411765,False,-0.0017201841120914436,0,0.2,72803,0,0,0.0,0.0,False,0.0,0,0.2,72719,0,6,0.6,216.0,False,0.0003296567449143579,0.2333333333333333,323323,0.0,0.0,9,0,0,18,5,5.0,17,35,32,258.0,129.0,17,17,32,200,1.7610342900152318,4.808348915015813
3,32,0,0,0,10.0,20,10.0,14.020797227036395,10,1.7,23.364161849710985,6,14.0,36.0,8,36.0,10,0.36300000000000004,34577.0,48,0,0.0,480.0,False,-0.018022337545126353,0,0.20900000000000002,35123,32,0,0.0,320.0,False,-0.004879287003610108,0,0.2,53858,0,16,0.9,373.82658959537576,False,0.002818794552125331,5,0.30400000000000005,53713,0,1,0.1,23.364161849710985,False,-0.003123187038671944,0,0.2,72803,0,0,0.0,0.0,False,0.0,2,0.22000000000000003,72835,0,6,0.6,216.0,False,0.0019229976786670879,0.26666666666666666,322909,0.0,0.0,13,0,0,19,6,5.833333333333334,15,34,29,198.0,84.0,15,17,29,416,1.692792497051414,6.501141412067227
4,29,0,0,0,10.0,20,10.0,11.416405199462124,15,2.4,22.298235628912924,6,14.0,35.99999999999999,11,36.0,15,0.5030000000000001,34115.0,56,0,0.0,560.0,False,-0.02992441335740072,0,0.20900000000000002,35003,44,0,0.0,440.0,False,-0.0065715252707581225,0,0.2,53842,0,26,1.0,579.754126351736,False,0.004432432100196075,5,0.34900000000000003,53622,0,5,0.5,111.49117814456461,False,-0.003994107044100627,0,0.2,72803,0,0,0.0,0.0,False,0.0,5,0.268,72920,0,6,0.6,215.99999999999994,False,0.0030905319835721054,0.35000000000000003,322305,0.0,0.0,16,0,0,20,7,6.833333333333333,12,32,28,177.0,64.0,13,16,28,416,1.636631042987574,8.137772455054801
5,28,0,0,0,10.0,20,10.0,10.032116505391974,12,3.0833333333333335,21.10077743105035,8,14.0,36.0,9,36.0,11,0.5980000000000001,33744.0,67,0,0.0,670.0,False,-0.03883686823104693,1,0.21900000000000003,34900,53,0,0.0,530.0,False,-0.00820735559566787,0,0.2,53949,0,23,0.5,485.317880914158,False,0.00554170189926478,0,0.3440000000000001,53590,0,12,0.7,253.2093291726042,False,-0.003273065804718562,0,0.2,72803,0,0,0.0,0.0,False,0.0,3,0.29300000000000004,72999,0,8,0.8,288.0,False,0.004670137219620071,0.3333333333333333,321985,0.0,0.0,14,0,0,21,6,6.0,19,40,30,208.0,54.0,17,11,30,528,1.6577943619922735,9.795566817047074
6,30,0,0,0,10.0,20,10.0,7.979945390705358,29,3.3793103448275863,23.92224739586377,10,38.0,36.0,6,36.0,25,0.8370000000000002,32921.0,77,0,0.0,770.0,False,-0.060638537906137185,4,0.258,34745,63,0,0.0,630.0,False,-0.011168772563176896,0,0.2,54102,2,28,1.0,685.7828178655964,False,0.01024050264288118,0,0.3440000000000001,53719,7,17,1.0,462.5378234646216,False,0.0010626410059248843,0,0.2,72803,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,72835,0,12,1.0,432.0,False,0.0034064530307816986,0.5,321125,0.0,0.0,16,0,0,21,7,7.0,18,39,26,315.0,69.0,20,10,26,796,1.5854499999550171,11.381016817002092
7,26,0,0,0,10.0,20,10.0,7.485603491989657,12,4.0,25.117189387289052,5,38.0,36.0,10,36.0,11,0.9220000000000002,32571.0,87,0,0.0,870.0,False,-0.06909972924187725,1,0.264,34632,73,0,0.0,730.0,False,-0.01294562274368231,0,0.2,54244,4,33,1.0,858.8096637484973,False,0.014480634439987565,0,0.3440000000000001,53719,0,24,0.7,602.8125452949373,False,0.002364059760033136,0,0.2,72803,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,73005,0,7,0.5,252.0,False,0.0045053088471628915,0.3666666666666667,320974,0.0,0.0,18,0,0,18,4,4.0,15,33,23,183.0,68.0,13,13,23,750,1.0946139639709145,12.475630780973006
8,23,0,0,0,10.0,20,10.0,7.349920213237714,28,6.928571428571429,27.161592192186657,10,38.0,35.99999999999999,11,36.0,10,1.0110000000000001,32239.0,97,0,0.0,970.0,False,-0.07705324909747292,18,0.44300000000000006,34250,83,0,0.0,830.0,False,-0.02230934115523466,0,0.2,54384,6,38,1.0,1076.2400245825193,False,0.019095615614110478,0,0.3440000000000001,53765,6,29,1.0,831.7856948528394,False,0.005341933969651301,0,0.2,72803,0,0,0.0,0.0,False,0.0,4,0.33000000000000007,72844,0,10,1.0,359.99999999999994,False,0.0030355891927530457,0.5,320285,0.0,0.0,14,0,0,16,8,8.0,13,29,33,147.0,68.0,11,12,33,832,1.1413203550036997,13.616951135976706
9,33,0,0,0,10.000000000000002,20,10.0,6.777521845320263,17,3.2941176470588234,27.58330568915177,7,31.0,35.99999999999999,13,36.0,16,1.161,31722.0,108,0,0.0,1080.0000000000002,False,-0.09008348375451264,1,0.43500000000000005,34147,92,0,0.0,920.0000000000001,False,-0.023945171480144405,0,0.2,54553,3,43,1.0,1206.414710169487,False,0.023439173085275298,0,0.3440000000000001,53757,6,37,1.0,1061.2474415705371,False,0.007322355793614537,0,0.2,72803,0,0,0.0,0.0,False,0.0,3,0.35600000000000004,72960,0,7,0.7,251.99999999999994,False,0.0038872024504484704,0.45,319942,0.0,0.0,18,0,0,21,8,8.0,16,37,29,247.0,91.0,16,17,29,777,1.2655734440195374,14.882524579996243
