index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,27.0,0,,34.0,0,,0,0.2,37960,11,0,0.0,110.0,False,-0.0014447071184659837,0,0.2,37980,9,0,0.0,90.0,False,-0.001182033096926714,0,0.2,48328,0,0,0.0,0.0,False,0.0,0,0.2,48328,0,0,0.0,0.0,False,0.0,0,0.2,65883,0,0,0.0,0.0,False,0.0,0,0.2,65883,0,0,0.0,0.0,False,0.0,0.0,304362,0.0,0.0,11,0,0,1,0,0.0,1090,1091,34,0.0,0.0,0,0,34,200,1.2503162020002492,1.2503162020002492
1,34,0,0,0,10.0,20,10.0,18.617021276595743,2,10.0,27.0,0,,34.0,0,,0,0.2,37870,20,0,0.0,200.0,False,-0.002626740215392698,2,0.22000000000000003,37844,20,0,0.0,200.0,False,-0.003309692671394799,0,0.2,48328,0,0,0.0,0.0,False,0.0,0,0.2,48308,0,2,0.2,54.0,False,0.00014484356894553882,0,0.2,65883,0,0,0.0,0.0,False,0.0,0,0.2,65883,0,0,0.0,0.0,False,0.0,0.03333333333333333,304116,0.0,0.0,12,0,0,28,1,1.0,27,55,14,585.0,0.0,34,0,14,200,2.0662283599958755,3.3165445619961247
2,14,0,0,0,10.0,20,10.0,14.662522202486675,14,2.7142857142857144,27.0,0,,34.0,0,,12,0.32000000000000006,37476,30,0,0.0,300.0,False,-0.011662726556343577,2,0.23800000000000002,37718,30,0,0.0,300.0,False,-0.005306015235093249,0,0.2,48328,0,0,0.0,0.0,False,0.0,0,0.2,48270,4,12,1.0,382.6500888099467,False,0.0027587536087768988,0,0.2,65883,0,0,0.0,0.0,False,0.0,0,0.2,65883,0,0,0.0,0.0,False,0.0,0.16666666666666666,303558,0.0,0.0,11,0,0,19,3,3.0,13,32,24,112.0,9.0,11,3,24,200,1.8806194349890575,5.197163996985182
3,24,0,0,0,10.0,20,10.0,14.1224147568474,3,5.0,29.363636363636363,10,40.0,34.0,20,34.0,3,0.3380000000000001,37322,40,0,0.0,400.0,False,-0.014394536380351984,0,0.23600000000000002,37618,40,0,0.0,400.0,False,-0.006619385342789598,10,0.30000000000000004,48358,0,3,0.3,88.0909090909091,False,0.001532143985794071,0,0.2,48270,0,16,0.4,469.8181818181818,False,0.0036605920151690174,10,0.30000000000000004,65549,0,5,0.5,170.0,False,-0.0037794271663403305,10,0.30000000000000004,65557,0,5,0.5,170.0,False,-0.003657999787502087,0.2833333333333333,302674,0.0,0.0,9,0,0,19,14,14.0,11,30,26,172.0,42.0,10,14,26,200,1.5146087919711135,6.711772788956296
4,26,0,0,0,10.0,20,10.0,11.861654405167771,13,3.4615384615384617,31.15126050420168,10,40.0,34.0,20,34.0,12,0.45500000000000007,36934,50,0,0.0,500.0,False,-0.0232729183083793,1,0.24600000000000002,37505,50,0,0.0,500.0,False,-0.008274231678486997,7,0.36000000000000004,48474,3,10,1.0,347.0975682575201,False,0.0066120837636310485,0,0.2,48270,0,16,0.0,498.4201680672269,False,0.0039565072842578505,3,0.32000000000000006,65494,0,5,0.5,170.0,False,-0.004614240395853255,7,0.36000000000000004,65453,0,5,0.5,170.0,False,-0.005236555712399253,0.3333333333333333,302130,0.0,0.0,14,0,0,19,12,10.65,12,31,29,210.0,72.0,12,14,29,438,1.529362178989686,8.241134967945982
5,29,0,0,0,10.0,20,10.0,11.828512782899876,1,10.0,32.543666404405975,10,40.0,34.0,20,34.0,0,0.44300000000000006,36854,58,0,0.0,580.0,False,-0.02432361439453638,1,0.255,37372,62,0,0.0,620.0,False,-0.010191752035723667,0,0.35300000000000004,48864,0,4,0.4,130.1746656176239,False,0.012437662075997617,0,0.2,48270,0,16,0.0,520.6986624704956,False,0.004186999901408111,5,0.36700000000000005,65415,0,5,0.5,170.0,False,-0.00581333576188091,5,0.403,65378,0,5,0.5,170.0,False,-0.006374937389007787,0.2333333333333333,302153,0.0,0.0,15,0,0,18,7,6.75,12,30,28,166.0,42.0,12,17,28,906,1.6081665080273524,9.849301475973334
6,28,0,0,0,10.0,20,10.0,11.277951647480002,3,2.0,34.918050381968555,22,41.09090909090909,34.0,20,34.0,3,0.4730000000000001,36711,66,0,0.0,660.0,False,-0.02702915681639086,0,0.254,37252,74,0,0.0,740.0,False,-0.011767796164959286,6,0.41300000000000003,49056,0,3,0.3,104.75415114590567,False,0.016147514392752634,0,0.2,48774,0,4,0.0,139.67220152787422,False,0.010673648832228514,7,0.43200000000000005,64809,7,10,1.0,584.4263526737799,False,-0.011866290600960963,3,0.42800000000000005,65327,0,5,0.5,170.0,False,-0.007149036929101589,0.3,301929,0.0,0.0,15,0,0,20,8,6.7,13,33,31,166.0,48.0,12,16,31,1010,1.7728036209591664,11.6221050969325
7,31,0,0,0,10.0,20,10.0,10.851508226961515,3,4.0,35.31673342029878,5,41.0,34.0,20,34.0,2,0.49000000000000005,36587,74,0,0.0,740.0,False,-0.029235618597320726,1,0.264,37119,86,0,0.0,860.0,False,-0.013685316522195954,2,0.42700000000000005,49185,0,3,0.3,105.95020026089634,False,0.018829148736352563,0,0.2,48774,0,4,0.0,141.26693368119513,False,0.010690147881985556,3,0.45500000000000007,64923,2,10,1.0,410.6334668405976,False,-0.011454901364232118,2,0.44500000000000006,65483,0,0,0.0,0.0,False,-0.006071368941912177,0.21666666666666667,302071,0.0,0.0,19,0,0,23,5,4.066666666666666,15,38,35,255.0,56.0,17,14,35,676,2.050688918970991,13.672794015903492
8,35,0,0,0,10.0,20,10.0,10.851508226961515,0,,35.31673342029878,0,,34.0,20,34.0,0,0.4880000000000001,36467,86,0,0.0,860.0,False,-0.030811662726556343,0,0.263,37039,94,0,0.0,940.0,False,-0.014736012608353034,0,0.42500000000000004,49185,0,3,0.0,105.95020026089634,False,0.018829148736352563,0,0.2,48774,0,4,0.0,141.26693368119513,False,0.010690147881985556,0,0.45200000000000007,65229,0,3,0.2,102.0,False,-0.009152588679932608,11,0.553,65330,0,0,0.0,0.0,False,-0.008393667562193586,0.03333333333333333,302024,0.0,0.0,12,0,0,23,6,6.0,13,36,35,223.0,65.0,15,20,35,506,1.778837414982263,15.451631430885755
9,35,0,0,0,10.000000000000002,20,10.0,10.441710844883378,2,1.0,32.47918540788412,10,13.0,33.99999999999999,20,34.0,2,0.508,36303,98,0,0.0,980.0000000000002,False,-0.03354347255056475,0,0.263,36959,102,0,0.0,1020.0000000000002,False,-0.015786708694510113,7,0.49500000000000005,49089,0,2,0.2,64.95837081576823,False,0.016418622442639603,0,0.2,48774,0,4,0.0,129.91674163153647,False,0.010572719144507659,11,0.562,65052,0,10,1.0,339.99999999999994,False,-0.010032937176509873,6,0.6020000000000001,65267,0,0,0.0,0.0,False,-0.009349908170544754,0.19999999999999998,301444,0.0,0.0,13,0,0,24,10,9.7,12,36,32,231.0,66.0,13,22,32,302,2.3058539060293697,17.757485336915124
