index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,10,10.0,21.0,0,,31.0,0,,37.0,0,,0,0.2,36407,0,0,0.0,0.0,False,0.0,0,0.2,36307,0,10,1.0,210.0,False,0.00013733622654983933,0,0.2,57180,0,0,0.0,0.0,False,0.0,0,0.2,57180,0,0,0.0,0.0,False,0.0,0,0.2,70352,0,0,0.0,0.0,False,0.0,0,0.2,70352,0,0,0.0,0.0,False,0.0,0.16666666666666666,327778,0.0,0.0,3,0,0,169,0,0.0,500,669,139,0.0,0.0,0,0,139,100,3.108360899030231,3.108360899030231
1,139,0,0,0,10.0,16,10.0,21.0,0,,31.0,0,,37.0,0,,0,0.2,36347,0,6,0.6,126.0,False,8.240173592990359e-05,0,0.2,36207,0,20,1.0,420.0,False,0.00027467245309967866,0,0.2,57180,0,0,0.0,0.0,False,0.0,0,0.2,57180,0,0,0.0,0.0,False,0.0,0,0.2,70352,0,0,0.0,0.0,False,0.0,0,0.2,70352,0,0,0.0,0.0,False,0.0,0.26666666666666666,327618,0.0,0.0,7,0,0,32,0,0.0,64,96,57,1458.0,204.0,81,58,57,160,7.93741835502442,11.04577925405465
2,57,0,0,0,10.0,10,10.0,21.0,0,,22.287037037037038,63,16.063492063492063,37.0,0,,0,0.2,36347,0,6,0.0,126.0,False,8.240173592990359e-05,0,0.2,36107,0,30,1.0,630.0,False,0.00041200867964951793,63,0.8300000000000001,53183,0,0,0.0,0.0,False,-0.0699020636586219,0,0.2,57180,0,0,0.0,0.0,False,0.0,0,0.2,69610,35,10,1.0,1150.0462962962963,False,-0.002373448542356351,0,0.2,70082,8,10,1.0,548.2962962962963,False,5.8962760804895275e-05,0.5,322509,0.0,0.0,4,0,0,13,10,10.0,14,27,33,189.0,155.0,13,44,33,100,2.6503685459611006,13.696147800015751
3,33,0,0,0,10.0,16,10.0,23.24137931034483,13,31.0,20.976072607260726,24,15.666666666666666,37.0,20,37.0,0,0.2,36339,0,11,0.7,255.6551724137931,False,0.0016432989866481324,0,0.2,36358,0,28,0.9,650.7586206896552,False,0.007591378315841077,8,0.8470000000000002,52945,2,0,0.0,46.48275862068966,False,-0.07365789822822057,16,0.36000000000000004,56407,1,10,1.0,233.0021053829521,False,-0.011481268753209557,1,0.21000000000000002,69853,33,10,1.0,1062.210396039604,False,0.00045635089293545817,0,0.2,70159,14,11,1.0,700.6650165016501,False,0.002236361556897083,0.7666666666666666,322061,0.0,0.0,13,0,0,14,4,3.5,15,29,26,235.0,96.0,16,17,26,1229,1.7794165390077978,15.475564339023549
4,26,0,0,0,10.0,12,10.0,23.158671586715865,2,21.0,19.117009815657173,58,15.620689655172415,37.0,20,37.0,0,0.2,36370,0,10,0.0,231.58671586715866,False,0.0021642364911577555,0,0.2,36249,2,37,1.0,876.870848708487,False,0.007702788594342853,58,1.4190000000000003,49452,3,0,0.0,69.47601476014759,False,-0.1345446308607892,0,0.3440000000000001,56396,0,12,0.2,229.4041177878861,False,-0.011705105650683084,1,0.21900000000000003,70006,37,10,1.0,1077.3293631793154,False,0.002738581441745123,0,0.2,69796,48,12,1.0,1361.6164711515444,False,0.0017740538374995045,0.5333333333333333,318269,0.0,0.0,12,0,0,15,8,7.333333333333333,12,27,20,168.0,45.0,11,15,20,791,1.586596431036014,17.062160770059563
5,20,0,0,0,9.999999999999998,10,10.0,23.158671586715865,0,,18.49338836699716,34,15.735294117647058,37.0,20,37.0,0,0.2,36370,0,10,0.0,231.58671586715866,False,0.0021642364911577555,0,0.2,36149,2,47,1.0,1108.4575645756456,False,0.008136588630972634,34,1.7010000000000005,48077,3,0,0.0,69.47601476014759,False,-0.15859150039559156,0,0.3440000000000001,56396,0,12,0.0,221.9206604039659,False,-0.01177054336827593,2,0.23800000000000002,70295,31,10,1.0,943.295039376912,False,0.005893898107920978,0,0.2,69624,68,14,1.0,1775.550408955807,False,0.002271082619938374,0.5,316911,0.0,0.0,10,0,0,14,6,5.5,10,24,13,135.0,30.0,10,10,13,692,1.3344209879869595,18.396581758046523
6,13,0,0,0,9.999999999999998,8,10.0,26.951214078859437,41,31.463414634146343,18.701193468586474,15,21.0,37.0,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.2,37039,0,26,1.0,700.7315660503454,False,0.026982881946471172,10,1.7670000000000003,46878,33,0,0.0,889.3900646023615,False,-0.1723907829258275,0,0.3440000000000001,56210,1,17,1.0,344.8715030448295,False,-0.013948307948191355,0,0.23600000000000002,70394,31,13,1.0,1060.7369975261809,False,0.008135781481167332,0,0.2,69950,63,11,1.0,1585.1751885209478,False,0.005551904626172336,0.6666666666666666,317161,0.0,0.0,15,0,0,14,2,2.0,7,21,11,111.0,30.0,7,6,11,2265,1.237017315987032,19.633599074033555
7,11,0,0,0,10.0,9,10.0,27.397105790621353,10,31.0,18.486570975894388,41,17.634146341463413,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.2,37259,0,25,0.9,684.9276447655338,False,0.032808630823269264,29,2.0470000000000006,45784,33,0,0.0,904.1044910905047,False,-0.1913946791615031,0,0.3440000000000001,56174,1,15,1.0,304.6956704290372,False,-0.014929208897962268,0,0.23600000000000002,70525,40,11,1.0,1146.4628390357755,False,0.01060711023876921,0,0.2,69836,75,13,1.0,1867.4928231920794,False,0.005937946491870118,0.65,316268,0.0,0.0,13,0,0,12,4,4.0,7,19,11,90.0,48.0,5,6,11,1414,1.0284984760219231,20.662097550055478
8,11,0,0,0,10.0,11,10.0,27.608834168447984,11,29.181818181818183,20.6618883256512,86,25.302325581395348,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.2,37470,1,24,1.0,672.6120200427516,False,0.038435081440969514,86,2.878000000000001,41228,44,0,0.0,1214.7887034117114,False,-0.26835616733637885,0,0.3440000000000001,56174,0,16,0.1,330.5902132104192,False,-0.014702778828170482,0,0.23600000000000002,70761,34,13,1.0,1183.504203072141,False,0.014224927529225452,0,0.2,68164,147,11,1.0,3444.2975838707266,False,-0.0066217194687376675,0.5166666666666667,310487,0.0,0.0,13,0,0,16,5,5.0,3,19,12,78.0,45.0,6,5,12,1171,0.988809484988451,21.65090703504393
9,12,0,0,0,10.0,12,10.0,28.457781865220966,20,32.0,25.134739222235044,106,35.367924528301884,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.2,37990,3,14,1.0,428.4089461130935,False,0.0493642561336157,67,3.462000000000001,39248,54,0,0.0,1536.720220721932,False,-0.300168588486167,23,0.5740000000000001,56687,0,10,1.0,251.34739222235044,False,-0.006424034695502367,0,0.23600000000000002,69469,63,11,1.0,1990.4885710008077,False,0.0015954668737264705,0,0.2,66447,204,13,1.0,5608.486801335949,False,-0.01564641515993904,0.6666666666666666,306531,0.0,0.0,14,0,0,12,5,4.5,11,23,13,129.0,42.0,8,4,13,1876,1.2103133430355228,22.86122037807945
10,13,0,0,0,10.0,12,10.0,28.870319197900677,34,30.0,25.404925842751318,92,26.32608695652174,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,20,0.4,38339,5,10,1.0,338.70319197900676,False,0.05771833976953611,88,4.275000000000001,34727,54,0,0.0,1558.9972366866366,False,-0.37903989824513257,0,0.5510000000000002,55855,24,16,1.0,1099.3664742336373,False,-0.013559229851052462,0,0.23600000000000002,69465,66,12,1.0,2120.7251056215873,False,0.0024642164090686123,0,0.2,64769,273,12,1.0,7379.54475507111,False,-0.026910786082335183,0.6666666666666666,299845,0.0,0.0,11,0,0,13,7,6.176470588235294,7,20,13,111.0,63.0,7,6,13,1048,1.098499808984343,23.959720187063795
11,13,0,0,0,10.0,13,10.0,28.870319197900677,0,,25.923910749405938,72,28.555555555555557,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.38000000000000006,38209,8,20,1.0,657.4063839580135,False,0.058524547256819014,61,4.797000000000001,34361,54,0,0.0,1558.9972366866366,False,-0.3854407376994872,0,0.5510000000000002,56020,14,15,1.0,793.0431300116986,False,-0.013352193686501354,0,0.23600000000000002,69761,56,14,1.0,1969.7390019667328,False,0.005598554426076883,0,0.2,63157,335,10,1.0,9054.51010105099,False,-0.03791995891338567,0.6666666666666666,298198,0.0,0.0,13,0,0,15,1,1.0,8,23,13,150.0,24.0,10,3,13,1035,1.2664269710076042,25.2261471580714
12,13,0,0,0,10.0,7,10.0,29.235397556963225,18,31.555555555555557,26.35790232640658,79,28.518987341772153,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.38000000000000006,38707,5,12,1.0,400.8247706835587,False,0.06867944036426447,75,5.4860000000000015,31774,64,0,0.0,1871.0654436456464,False,-0.42795500661380165,0,0.5510000000000002,55956,12,21,1.0,904.3407195380969,False,-0.01349824484489244,0,0.23600000000000002,69724,55,18,1.0,2115.684627952362,False,0.006109880514785467,4,0.24000000000000002,61499,395,10,1.0,10781.3714189306,False,-0.04921415582406619,0.6666666666666666,294350,0.0,0.0,11,0,0,14,5,4.5,6,20,15,93.0,36.0,6,7,15,1377,1.157114782021381,26.38326194009278
13,15,0,0,0,10.0,10,10.0,29.372024520281883,10,31.0,26.58486625390712,59,28.220338983050848,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.38000000000000006,38917,5,12,1.0,402.4642942433826,False,0.07447007847726242,11,5.521000000000002,31186,74,0,0.0,2173.529814500859,False,-0.4355934783621821,27,0.8210000000000002,56445,2,10,1.0,324.59271157963497,False,-0.010015803501402267,0,0.23600000000000002,69769,56,22,1.0,2302.7525102187988,False,0.008079034783792882,4,0.276,60343,433,10,1.0,11881.247087941783,False,-0.05782886706886943,0.6666666666666666,293350,0.0,0.0,8,0,0,13,6,4.729166666666666,8,21,16,108.0,41.0,6,9,16,817,1.0875371069996618,27.47079904709244
14,16,0,0,0,10.0,11,10.0,29.215319173210247,1,11.0,26.10694415339413,21,16.19047619047619,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.38000000000000006,38818,6,21,1.0,673.5217026374152,False,0.07547342135629709,21,5.7200000000000015,30517,74,0,0.0,2161.9336188175585,False,-0.4473947742320955,0,0.794,56434,0,13,0.3,339.39027399412373,False,-0.010078783893020934,0,0.23600000000000002,70234,47,19,1.0,1930.0263752095243,False,0.012039646173595167,0,0.272,60278,443,13,1.0,12046.3762599536,False,-0.05757919988093019,0.5499999999999999,292971,0.0,0.0,11,0,0,11,4,4.0,11,22,18,114.0,72.0,7,9,18,861,1.129182339005638,28.59998138609808
15,18,0,0,0,10.0,9,10.0,29.215319173210247,0,,25.78342186095642,37,22.18918918918919,37.0,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.38000000000000006,38728,5,31,1.0,955.6748943695177,False,0.07687635474454793,30,5.999000000000002,29389,74,0,0.0,2161.9336188175585,False,-0.4671219515668279,0,0.7940000000000003,56763,0,6,0.0,154.7005311657385,False,-0.005940009346224718,0,0.23600000000000002,70164,44,22,1.0,1948.4705618820824,False,0.011175734605143234,0,0.272,60267,463,10,1.0,12307.724321622822,False,-0.05587812484632414,0.5,292001,0.0,0.0,11,0,0,16,4,4.0,10,26,25,150.0,69.0,10,8,25,1159,1.3138027009554207,29.9137840870535
