index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,29.0,0,,41.0,0,,50.0,0,,0,0.2,35947,3,10,1.0,230.0,False,-0.00041577736508024505,0,0.2,36007,0,7,0.7,140.0,False,0.0,0,0.2,56132,0,0,0.0,0.0,False,0.0,0,0.2,56132.0,0,0,0.0,0.0,False,0.0,0,0.2,73321,0,0,0.0,0.0,False,0.0,0,0.2,73321.0,0,0,0.0,0.0,False,0.0,0,0.2,92209,0,0,0.0,0.0,False,0.0,0,0.2,92209,0,0,0.0,0.0,False,0.0,0.2125,515278,0.0,0.0,11,0,0,0,0,0.0,1014,1014,185,0.0,0.0,0,0,185,200,5.648525896016508,5.648525896016508
1,185,0,0,0,10.0,20,10.0,20.0,0,,29.0,0,,29.08653846153846,59,20.0,50.0,0,,0,0.2,35837,4,20,1.0,440.0,False,-0.0005543698201069934,0,0.2,35917,0,16,0.9,320.0,False,0.0,0,0.2,56132,0,0,0.0,0.0,False,0.0,0,0.2,56132.0,0,0,0.0,0.0,False,0.0,0,0.2,73321,0,0,0.0,0.0,False,0.0,59,0.79,68502.0,0,0,0.0,0.0,False,-0.06572469006151034,0,0.2,92209,0,0,0.0,0.0,False,0.0,0,0.2,91029,59,0,0.0,1716.105769230769,False,-0.003491493405032153,0.2375,509079,0.0,0.0,10,0,0,37,8,8.0,88,125,97,1926.0,384.0,107,78,97,200,21.300898994028103,26.94942489004461
2,97,0,0,0,10.0,20,10.0,19.0,5,10.0,29.0,0,,28.37106299212598,8,20.0,50.0,0,,0,0.2,35827,0,25,1.0,475.0,False,-0.00034648113756687086,0,0.2,35777,4,26,1.0,534.0,False,-0.0009147102031765391,0,0.2,56132,0,0,0.0,0.0,False,0.0,0,0.2,56082.0,0,5,0.5,145.0,False,0.0004008408750801682,0,0.2,73321,0,0,0.0,0.0,False,0.0,8,0.8110000000000002,68270.0,0,0,0.0,0.0,False,-0.06888885858076131,0,0.2,92209,0,0,0.0,0.0,False,0.0,0,0.2,90869,67,0,0.0,1900.8612204724407,False,-0.004224852126839929,0.3125,508487,0.0,0.0,9,0,0,38,1,1.0,45,83,85,1128.0,152.0,66,31,85,250,9.66289198899176,36.61231687903637
3,85,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,27.545839905362772,10,20.0,50.0,0,,0,0.2,35767,0,31,0.6,589.0,False,-0.00042963661058291984,0,0.2,35637,8,36,1.0,764.0,False,-0.0016076724783102808,0,0.2,56132,0,0,0.0,0.0,False,0.0,0,0.2,56082.0,0,5,0.0,145.0,False,0.0004008408750801682,0,0.2,73321,0,0,0.0,0.0,False,0.0,10,0.903,67980.0,0,0,0.0,0.0,False,-0.07284406922982502,0,0.2,92209,0,0,0.0,0.0,False,0.0,0,0.2,90669,77,0,0.0,2121.0296727129335,False,-0.005199982253831342,0.2,507797,0.0,0.0,9,0,0,15,1,1.0,28,43,52,406.0,213.0,24,61,52,200,8.049994956003502,44.66231183503987
4,52,0,0,0,10.0,20,10.0,20.486486486486488,29,22.79310344827586,28.695652173913043,1,15.0,27.53602291389693,11,27.454545454545453,50.0,20,50.0,0,0.2,35712,1,36,1.0,747.5135135135135,False,0.0002427240833982952,0,0.2,36153,7,22,1.0,520.7027027027027,False,0.009323151907069699,0,0.2,56132,0,0,0.0,0.0,False,0.0,0,0.2,55436.0,19,14,1.0,790.9823736780259,False,-0.005353609583855701,2,0.22000000000000003,73330,0,1,0.1,27.53602291389693,False,0.00031052510818117704,9,0.9830000000000001,67719.0,0,0,0.0,0.0,False,-0.07640375881398236,10,0.30000000000000004,92026,0,0,0.0,0.0,False,-0.001984621891572406,10,0.30000000000000004,90180,88,0,0.0,2423.1700164229296,False,-0.008864807033896225,0.3875,506688,0.0,0.0,14,0,0,9,12,12.0,30,39,48,303.0,135.0,21,31,48,876,3.8505005890037864,48.51281242404366
5,48,0,0,0,10.0,20,10.0,23.588353413654616,33,29.848484848484848,27.32758620689655,5,16.0,26.738570734737305,29,24.20689655172414,50.0,20,50.0,0,0.2,35562,6,46,1.0,1145.0642570281123,False,0.0015947037867353883,11,0.31000000000000005,36824,2,10,1.0,255.88353413654616,False,0.024252065500686704,0,0.2,56132,0,0,0.0,0.0,False,0.0,0,0.2,54531.0,42,19,1.0,1509.9349813045283,False,-0.015072196061920772,1,0.228,73323,0,5,0.5,133.69285367368653,False,0.0009389728295691643,27,1.2440000000000002,66420.0,0,0,0.0,0.0,False,-0.09412037479030565,9,0.38000000000000006,91619,2,10,1.0,553.4771414694746,False,-0.0033972977612300092,11,0.4,89522,105,0,0.0,2807.549927147417,False,-0.013916483601668896,0.5625,503933,0.0,0.0,13,0,0,14,15,14.078947368421053,27,41,46,348.0,126.0,21,27,46,714,3.8402858640183695,52.35309828806203
6,46,0,0,0,10.0,20,10.0,25.192864189411374,32,29.6875,23.010033444816056,30,17.0,26.25171254680937,28,24.357142857142858,50.0,20,50.0,0,0.2,36422,5,24,1.0,654.6287405458729,False,0.018635539825177697,0,0.29900000000000004,36714,3,20,1.0,533.8572837882275,False,0.025055537929819884,0,0.2,56132,0,0,0.0,0.0,False,0.0,11,0.31000000000000005,53706.0,64,10,1.0,1842.4436425704885,False,-0.026807848975891724,0,0.227,73445,0,3,0.0,78.7551376404281,False,0.0022282506897098367,26,1.4770000000000003,64680.0,30,0,0.0,690.3010033444817,False,-0.11314424923729567,1,0.38100000000000006,91856,0,10,1.0,500.0,False,-0.0011170276220325566,9,0.47900000000000004,88936,125,0,0.0,3281.464068351171,False,-0.01770182916878413,0.5,501891,0.0,0.0,17,0,0,15,10,8.866666666666667,23,38,37,294.0,130.0,18,28,37,1722,3.3863003450096585,55.73939863307169
7,37,0,0,0,10.0,20,10.0,26.141865324864582,36,29.02777777777778,21.64464566201608,22,17.636363636363637,25.4858343616288,42,23.238095238095237,49.99999999999999,20,50.0,0,0.2,36951,3,13,1.0,369.84424922323956,False,0.029351723386412985,0,0.29900000000000004,37030,5,15,1.0,442.12797987296875,False,0.03254328214475936,0,0.2,56132,0,0,0.0,0.0,False,0.0,12,0.41900000000000004,52601.0,90,10,1.0,2569.2143358579733,False,-0.04001982527027384,0,0.227,73569,0,1,0.0,25.4858343616288,False,0.0035561833196603707,40,1.8510000000000004,61896.0,52,0,0.0,1125.5215744248362,False,-0.14814635933480966,0,0.38000000000000006,92182,0,3,0.2,149.99999999999997,False,0.0005205565617239098,11,0.5800000000000001,87875,165,0,0.0,4205.162669668752,False,-0.024199575585524408,0.4,498236,0.0,0.0,21,0,0,14,11,10.90909090909091,17,31,33,252.0,142.0,14,23,33,1945,3.0141787310130894,58.75357736408478
8,33,0,0,0,10.0,20,10.0,26.757522924275854,19,31.0,20.77520085162911,10,14.0,25.633926299977418,11,27.636363636363637,49.99999999999999,20,50.0,0,0.2,36861,2,23,1.0,635.4230272583446,False,0.03053778068102048,4,0.3390000000000001,37413,6,10,1.0,327.57522924275855,False,0.04157184950581762,0,0.2,56132,0,0,0.0,0.0,False,0.0,0,0.4070000000000001,52152.0,99,10,1.0,2856.7467780196007,False,-0.045457610827873564,1,0.23700000000000002,73644,0,0,0.0,0.0,False,0.004405286343612335,9,1.9010000000000005,61495.0,62,0,0.0,1288.0624528010048,False,-0.15250704127875364,5,0.43000000000000005,92145,0,2,0.2,99.99999999999999,False,-0.00015182899716947369,12,0.6890000000000001,87435,174,0,0.0,4460.303176196071,False,-0.027587853809302457,0.4,497277,0.0,0.0,10,0,0,8,13,10.960526315789473,23,31,34,198.0,140.0,11,22,34,340,2.733766352990642,61.48734371707542
9,34,0,0,0,10.000000000000002,20,10.0,27.599525759999846,34,30.941176470588236,22.99949492839199,30,28.866666666666667,25.219603651750017,39,23.692307692307693,50.0,20,50.0,11,0.31000000000000005,37541,1,10,1.0,285.99525759999847,False,0.04454354931951094,0,0.3350000000000001,37303,7,20,1.0,621.9905151999969,False,0.04260318922305069,0,0.2,56132,0,0,0.0,0.0,False,0.0,20,0.6070000000000001,51051.0,123,10,1.0,3624.736617763901,False,-0.05823116388366792,2,0.256,73424,0,9,0.9,226.97643286575016,False,0.002952608617352106,37,2.2620000000000005,58774.0,83,0,0.0,1908.958079056535,False,-0.18538373672579112,8,0.5050000000000001,91986,0,2,0.2,100.0,False,-0.001876172607879925,10,0.7770000000000001,86469,211,0,0.0,5321.336370519253,False,-0.03339513295600621,0.5125,492680,0.0,0.0,12,0,0,15,21,20.5625,18,33,36,222.0,90.0,14,20,36,936,2.643567591032479,64.1309113081079
