index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,40.0,0,,49.0,0,,0,0.2,37063,0,8,0.8,144.0,False,-0.00021538378698543467,0,0.2,37023,2,10,1.0,200.0,False,-0.0005384594674635866,0,0.2,57447,0,0,0.0,0.0,False,0.0,0,0.2,57447,0,0,0.0,0.0,False,0.0,0,0.2,87161,0,0,0.0,0.0,False,0.0,0,0.2,87161,0,0,0.0,0.0,False,0.0,0,0.2,109694,0,0,0.0,0.0,False,0.0,0,0.2,109694,0,0,0.0,0.0,False,0.0,0.225,582690,0.0,0.0,7,0,0,0,0,0.0,569,569,231,0.0,0.0,0,0,231,200,4.573684871022124,4.573684871022124
1,231,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,33.74626865671642,22,20.954545454545453,49.0,0,,0,0.2,36943,2,18,1.0,344.0,False,-0.0007538432544490213,0,0.2,36943,0,20,1.0,360.0,False,-0.0005384594674635866,0,0.2,57447,0,0,0.0,0.0,False,0.0,0,0.2,57447,0,0,0.0,0.0,False,0.0,0,0.2,87161,0,0,0.0,0.0,False,0.0,22,0.42000000000000004,86206,0,0,0.0,0.0,False,-0.010956735237089983,0,0.2,109694,0,0,0.0,0.0,False,0.0,0,0.2,109233,22,0,0.0,742.4179104477612,False,-0.0008185593084045087,0.25,581074,0.0,0.0,8,0,0,28,5,5.0,101,129,91,2052.0,666.0,114,117,91,200,17.395964374998584,21.96964924602071
2,91,0,0,0,10.0,20,10.0,15.23076923076923,20,9.0,27.0,0,,28.690550363447556,36,20.22222222222222,49.0,0,,2,0.22000000000000003,36959,4,10,1.0,192.3076923076923,False,-0.0023650796609362757,0,0.2,36863,0,28,0.8,426.46153846153845,False,-0.0017976262221477567,0,0.2,57312,5,10,1.0,346.15384615384613,False,0.0006628183034261486,0,0.2,57402,0,5,0.5,135.0,False,0.00039166536111546297,0,0.2,87161,0,0,0.0,0.0,False,0.0,36,0.758,84198,0,0,0.0,0.0,False,-0.033994561787955624,0,0.2,109477,0,10,1.0,490.0,False,0.0002552555290170839,0,0.2,108722,48,0,0.0,1377.1464174454827,False,-0.0025837948408961565,0.5375,578094,0.0,0.0,11,0,0,16,9,8.4,23,39,51,405.0,389.0,25,66,51,335,5.765134506975301,27.73478375299601
3,51,0,0,0,10.0,20,10.0,15.23076923076923,0,,27.0,0,,26.335778919051112,36,20.666666666666668,49.0,0,,0,0.21800000000000003,36879,2,20,1.0,324.6153846153846,False,-0.0027378592922570845,0,0.2,36743,2,38,1.0,598.7692307692307,False,-0.0027088653209321524,0,0.2,57312,0,15,0.5,405.0,False,0.0011749960833463888,0,0.2,57402,0,5,0.0,135.0,False,0.00039166536111546297,0,0.2,87161,0,0,0.0,0.0,False,0.0,36,1.0820000000000003,82308,0,0,0.0,0.0,False,-0.055678571838322186,0,0.2,109477,0,10,0.0,490.0,False,0.0002552555290170839,0,0.2,107978,84,0,0.0,2212.2054292002936,False,-0.00555998765110085,0.3125,575260,0.0,0.0,7,0,0,13,4,4.0,19,32,51,291.0,236.0,17,34,51,200,2.987712581991218,30.722496334987227
4,51,0,0,0,10.0,20,10.0,15.23076923076923,0,,27.282608695652176,1,40.0,25.878034035113515,12,21.666666666666668,49.0,20,49.0,0,0.21800000000000003,36749,5,30,1.0,506.9230769230769,False,-0.0037837132579075726,0,0.2,36673,0,47,0.9,715.8461538461538,False,-0.003017444015747838,0,0.2,57312,0,15,0.0,409.2391304347826,False,0.0012118920956253928,0,0.2,57442,0,4,0.0,109.1304347826087,False,0.0008627990563702897,0,0.2,87161,0,0,0.0,0.0,False,0.0,12,1.1660000000000001,81882,1,0,0.0,27.282608695652176,False,-0.0604095718916967,0,0.2,109897,0,2,0.1,98.0,False,0.002297299761153755,11,0.31000000000000005,107546,95,0,0.0,2458.413233335784,False,-0.008375967539994119,0.25,574662,0.0,0.0,11,0,0,19,6,6.0,18,37,40,375.0,168.0,25,26,40,681,3.26855300902389,33.99104934401112
5,40,0,0,0,10.0,20,10.0,19.262032085561497,35,26.0,27.58254716981132,1,40.0,27.575577297717906,33,33.24242424242424,49.0,20,49.0,5,0.268,37469,3,10,1.0,222.62032085561498,False,0.011773689805018587,0,0.2,36553,2,57,1.0,1117.9358288770054,False,-0.0008354760132864635,0,0.2,56402,25,25,1.0,1171.1144813843205,False,-0.007997680632719485,0,0.2,57482,0,3,0.0,82.74764150943396,False,0.001329465781585008,10,0.30000000000000004,87231,0,0,0.0,0.0,False,0.0008031114833469097,23,1.3840000000000001,80935,2,0,0.0,55.16509433962264,False,-0.07111457478494046,8,0.28,109159,5,10,1.0,627.8778864885895,False,-0.002015252035259006,10,0.399,106975,113,0,0.0,3116.0402346421233,False,-0.010583804790407257,0.5,572206,0.0,0.0,10,0,0,16,15,13.894117647058824,17,33,46,276.0,144.0,17,23,46,708,2.9775374970049597,36.96858684101608
6,46,0,0,0,10.0,20,10.0,20.431291816778177,13,28.0,27.58254716981132,0,,26.57112318838487,27,21.77777777777778,49.0,20,49.0,3,0.29300000000000004,37657,4,10,1.0,244.3129181677818,False,0.01712722340909161,0,0.2,36463,1,67,1.0,1378.896551724138,False,0.00025437567945703034,0,0.2,56038,28,35,1.0,1537.4653218131853,False,-0.011145357270064701,0,0.2,57482,0,3,0.0,82.74764150943396,False,0.001329465781585008,4,0.33000000000000007,87123,0,0,0.0,0.0,False,-0.0004359748052454653,23,1.5910000000000004,80031,2,0,0.0,55.16509433962264,False,-0.08148618594130627,0,0.272,109362,0,12,0.7,588.0,False,-0.0003464182179517567,15,0.5390000000000001,106066,138,0,0.0,3666.814999997112,False,-0.016359987784212805,0.4625,570222,0.0,0.0,9,0,0,8,11,10.23076923076923,22,30,37,240.0,181.0,15,31,37,445,2.6874233310227282,39.656010172038805
7,37,0,0,0,10.0,20,10.0,22.024391291278395,29,26.82758620689655,32.67644431209053,29,39.37931034482759,28.08718778665207,27,35.96296296296296,49.00000000000001,20,49.0,0,0.29000000000000004,37567,3,20,1.0,470.4878258255679,False,0.01774880631378137,0,0.2,37131,2,48,1.0,1077.170781981363,False,0.014177244460347307,0,0.2,56362,47,17,1.0,1590.6459439956234,False,-0.005042509234636941,0,0.2,57522,0,2,0.0,65.35288862418106,False,0.0018743614864499786,10,0.42600000000000005,87193,0,0,0.0,0.0,False,0.00036713667810144446,17,1.7380000000000004,78360,31,0,0.0,1012.9697736748064,False,-0.09516314765964812,0,0.272,109386,0,12,0.8,588.0000000000001,False,-0.00012762776450854195,12,0.6440000000000001,105230,157,0,0.0,4409.688482504375,False,-0.020595071368970194,0.475,568751,0.0,0.0,15,0,0,11,9,9.0,21,32,34,276.0,90.0,17,20,34,2512,2.8952605350059457,42.55127070704475
8,34,0,0,0,10.0,20,10.0,23.446556692800346,38,27.36842105263158,33.85802907273864,10,41.0,28.410149921415744,18,31.11111111111111,49.00000000000001,20,49.0,6,0.35000000000000003,38053,4,10,1.0,274.46556692800345,False,0.0281946203447218,0,0.2,37353,1,46,1.0,1088.5416078688158,False,0.02030721277049261,0,0.2,55732,75,17,1.0,2334.0782461965828,False,-0.009538546432393455,0,0.2,57522,0,2,0.0,67.71605814547728,False,0.0018949297452041092,5,0.4660000000000001,87053,0,5,0.5,142.05074960707873,False,-0.0004242106583959961,13,1.8510000000000004,77714,36,0,0.0,1218.889046618591,False,-0.10139346125779536,0,0.272,109522,0,8,0.5,392.00000000000006,False,0.00021879045344321476,11,0.742,104776,170,0,0.0,4829.7254866406765,False,-0.022819272309147844,0.5,567725,0.0,0.0,13,0,0,13,8,7.461538461538462,17,30,20,273.0,84.0,16,18,20,1727,3.2700124440016225,45.82128315104637
9,20,0,0,0,10.000000000000002,20,10.0,23.446556692800346,0,,34.83105493762909,10,41.0,29.291393635773247,8,46.0,49.00000000000001,20,49.0,0,0.3440000000000001,37943,5,20,1.0,518.9311338560069,False,0.028523963248202992,0,0.2,37263,0,56,1.0,1313.0071747968193,False,0.020905785407705595,0,0.2,56142,65,17,1.0,2116.1541189717173,False,-0.004298273896184966,0,0.2,57522,0,2,0.0,69.66210987525818,False,0.0019118675463927724,0,0.4610000000000001,87153,0,5,0.5,146.45696817886625,False,0.0007483677801932985,3,1.8680000000000003,77428,41,0,0.0,1428.0732524427926,False,-0.1034747579052398,5,0.322,109491,0,8,0.8,392.00000000000006,False,-6.381388225427098e-05,7,0.8010000000000002,104673,170,0,0.0,4979.536918081452,False,-0.023075387359010248,0.5375,567615,0.0,0.0,12,0,0,13,6,5.8,15,28,19,174.0,35.0,13,7,19,1258,2.7394976840005256,48.5607808350469
