index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,37.0,0,,52.0,0,,0,0.2,25455,2,10,1.0,190.0,False,-0.0009775171065493646,0,0.2,25495,0,8,0.8,136.0,False,-0.000469208211143695,0,0.2,37449,0,0,0.0,0.0,False,0.0,0,0.2,37449,0,0,0.0,0.0,False,0.0,0,0.2,57908,0,0,0.0,0.0,False,0.0,0,0.2,57908.0,0,0,0.0,0.0,False,0.0,0,0.2,77637,0,0,0.0,0.0,False,0.0,0,0.2,77637,0,0,0.0,0.0,False,0.0,0.225,396938,0.0,0.0,9,0,0,192,0,0.0,604,796,192,0.0,0.0,0,0,192,200,14.138571903982665,14.138571903982665
1,192,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,29.166666666666668,33,18.484848484848484,52.0,0,,0,0.2,25345,3,20,1.0,370.0,False,-0.0017595307917888563,0,0.2,25405,0,17,0.9,289.0,False,-0.000997067448680352,0,0.2,37449,0,0,0.0,0.0,False,0.0,0,0.2,37449,0,0,0.0,0.0,False,0.0,0,0.2,57908,0,0,0.0,0.0,False,0.0,33,0.53,56313.0,0,0,0.0,0.0,False,-0.027543689991020238,0,0.2,77477,0,8,0.8,416.0,False,0.000618261911202133,0,0.2,77187,25,0,0.0,729.1666666666667,False,-0.001100205657955247,0.3375,394533,0.0,0.0,9,0,0,49,4,4.0,97,146,121,2340.0,381.0,130,62,121,200,53.97932432795642,68.11789623193908
2,121,0,0,0,10.0,20,10.0,16.659574468085108,2,9.0,23.102040816326532,4,13.0,27.5,14,19.142857142857142,52.0,0,,0,0.2,25274,1,29,1.0,493.1276595744681,False,-0.002128491503920407,0,0.2,25294,2,26,1.0,453.1489361702128,False,-0.0021280755391943004,4,0.24000000000000002,37376,0,1,0.1,23.102040816326532,False,-0.0016408710403971898,0,0.2,37440,0,1,0.1,23.102040816326532,False,6.811985388570165e-05,0,0.2,57856,0,4,0.4,110.0,False,5.180631346273399e-05,14,0.6370000000000001,55877.0,0,0,0.0,0.0,False,-0.03507287421427091,0,0.2,77477,0,8,0.0,416.0,False,0.000618261911202133,0,0.2,76919,39,0,0.0,1072.5,False,-0.0023410229658539098,0.325,393513,0.0,0.0,9,0,0,28,3,3.0,45,73,87,859.0,206.0,55,66,87,218,35.57681251101894,103.69470874295803
3,87,0,0,0,10.0,20,10.0,16.152317880794705,3,9.0,23.102040816326532,0,,25.409495849362223,23,18.52173913043478,52.0,0,,0,0.2,25233,0,34,0.6,549.17880794702,False,-0.0026358004311432905,0,0.2,25162,7,34,1.0,619.17880794702,False,-0.004043425064574376,0,0.23600000000000002,37367,0,2,0.1,46.204081632653065,False,-0.0015727511865116825,0,0.2,37422,0,3,0.2,69.3061224489796,False,0.00020435956165691066,0,0.2,57856,0,4,0.0,101.63798339744889,False,-2.0394562085983665e-05,23,0.8530000000000002,54978.0,0,0,0.0,0.0,False,-0.05059749948193686,0,0.2,77477,0,8,0.0,416.0,False,0.000618261911202133,0,0.2,76493,62,0,0.0,1575.3887426604579,False,-0.00458937914486351,0.23750000000000002,391988,0.0,0.0,12,0,0,13,3,3.0,30,43,52,393.0,180.0,26,61,52,227,15.199729093990754,118.89443783694878
4,52,0,0,0,10.0,20,10.0,17.254690164866403,12,21.0,22.25138632162662,10,18.5,24.102882568106136,21,18.571428571428573,52.0,11,52.0,0,0.2,25366,1,33,1.0,579.4047754405913,False,0.00315551858143873,0,0.2,25081,6,43,1.0,801.9516770892553,False,-0.003637308365801393,3,0.266,37102,1,10,1.0,239.76855338113262,False,-0.006064667235692129,2,0.22000000000000003,37475,0,1,0.1,22.25138632162662,False,0.0009913667430589599,0,0.2,57791,0,9,0.5,216.92594311295522,False,-0.00014742399052841362,21,1.0400000000000003,54057.0,5,0,0.0,111.2569316081331,False,-0.06554140246936403,0,0.2,77477,0,8,0.0,416.0,False,0.000618261911202133,11,0.31000000000000005,75880,83,0,0.0,2000.5392531528094,False,-0.009747032644532765,0.45,390229,0.0,0.0,12,0,0,16,10,9.0,25,41,43,369.0,101.0,23,29,43,452,12.670370934996754,131.56480877194554
5,43,0,0,0,10.0,20,10.0,18.936072581804876,29,21.689655172413794,20.808112324492985,9,13.0,24.102882568106136,0,,52.00000000000001,12,52.0,0,0.2,25592,2,27,1.0,531.2739597087316,False,0.011051299310043691,0,0.2,25284,5,40,1.0,807.442903272195,False,0.004407485889974514,0,0.263,36926,4,11,1.0,304.6335258966423,False,-0.009898348074759769,0,0.21800000000000003,37139,6,11,1.0,342.5056710602521,False,-0.0037049631357279076,0,0.2,57674,0,18,0.9,433.85188622591045,False,-0.00029484798105695284,0,1.0190000000000001,54057.0,5,0,0.0,104.04056162246492,False,-0.06560371139028753,0,0.2,77477,0,8,0.0,416.00000000000006,False,0.000618261911202133,12,0.41900000000000004,75616,83,0,0.0,2000.5392531528094,False,-0.013147473156144496,0.6125,389765,0.0,0.0,15,0,0,15,5,5.0,22,37,40,300.0,83.0,20,23,40,946,11.827312084031291,143.39212085597683
6,40,0,0,0,10.0,20,10.0,22.01580435282708,62,25.43548387096774,18.90853394300743,15,12.333333333333334,23.08012036997327,27,19.333333333333332,52.00000000000001,7,52.0,15,0.35000000000000003,26170,5,10,1.0,270.1580435282708,False,0.028546589316290793,0,0.2,25723,2,30,1.0,680.4741305848123,False,0.019090403334991488,4,0.30300000000000005,35952,35,10,1.0,959.638491779022,False,-0.027161760103353527,0,0.21800000000000003,36605,17,21,1.0,771.3478868012164,False,-0.012238672770952266,0,0.2,57489,5,28,1.0,740.7860400742887,False,-0.0008393828134774656,27,1.2890000000000001,52947.0,5,0,0.0,94.54266971503715,False,-0.08485405583239759,0,0.2,77477,0,8,0.0,416.00000000000006,False,0.000618261911202133,7,0.4770000000000001,74987,110,0,0.0,2538.8132406970594,False,-0.01778267294784024,0.625,387350,0.0,0.0,14,0,0,14,9,8.466666666666667,22,36,41,327.0,78.0,19,21,41,1434,10.641588488011621,154.03370934398845
7,41,0,0,0,10.0,20,10.0,22.66681981222843,23,26.0,16.697884351998,26,11.576923076923077,22.651194525071073,47,21.617021276595743,52.00000000000001,14,52.0,2,0.35500000000000004,26330,6,10,1.0,286.66819812228425,False,0.03512547796915516,0,0.2,25919,1,29,1.0,667.3377745546244,False,0.026497317195593822,16,0.4590000000000001,35091,48,10,1.0,1254.9861945069447,False,-0.0462096959263673,0,0.21800000000000003,36605,7,31,1.0,676.302153597537,False,-0.013507675056776653,0,0.2,57772,5,23,1.0,604.4668958366248,False,0.002870647370282377,32,1.582,51260.0,21,0,0.0,350.655571391958,False,-0.11177509522525426,0,0.2,77477,0,8,0.0,416.00000000000006,False,0.000618261911202133,14,0.6100000000000001,73630,157,0,0.0,3556.2375404361583,False,-0.028709007686823603,0.625,384084,0.0,0.0,12,0,0,18,14,12.541666666666666,20,38,41,336.0,84.0,20,21,41,894,10.31445620796876,164.3481655519572
8,41,0,0,0,10.0,20,10.0,23.497021407939553,58,25.310344827586206,17.67020484677065,59,18.949152542372882,22.193358326714907,21,19.047619047619047,52.0,6,52.0,1,0.36300000000000004,26445,11,10,1.0,344.97021407939553,False,0.040761881018170014,18,0.38000000000000006,26620,0,6,0.6,140.9821284476373,False,0.04361646389926949,48,0.923,33453,63,10,1.0,1657.014397167898,False,-0.0845815055519788,0,0.21800000000000003,35823,30,40,1.0,1411.7188361090125,False,-0.024570498062578328,0,0.2,56855,38,33,1.0,1403.8486089588766,False,-0.006062645843761919,21,1.7600000000000002,50325.0,37,0,0.0,653.7975793305139,False,-0.12530395127330846,0,0.2,77477,0,8,0.0,416.0,False,0.000618261911202133,6,0.6560000000000001,73150,178,0,0.0,3950.4177821552535,False,-0.03235301607380989,0.575,380148,0.0,0.0,10,0,0,16,12,9.731934731934732,21,37,31,297.0,112.0,19,22,31,716,11.66086224198807,176.00902779394528
9,31,0,0,0,10.000000000000002,20,10.0,23.62558802587567,9,26.0,17.132416098757172,16,13.0,22.558223924004977,21,25.142857142857142,52.0,12,52.0,0,0.36200000000000004,26579,11,11,1.0,369.8814682846324,False,0.046488396251899024,0,0.36200000000000004,26520,0,16,1.0,378.0094084140107,False,0.04434035989079193,6,0.935,33487,53,10,1.0,1423.4803263589822,False,-0.08679163226843192,0,0.21800000000000003,35589,29,50,1.0,1541.762857688253,False,-0.029082714389059038,0,0.2,56893,38,40,1.0,1553.3607687129715,False,-0.00411548690411541,18,1.919,49663.0,43,0,0.0,736.6938922465584,False,-0.13602011904877942,0,0.2,77477,0,8,0.0,416.0,False,0.000618261911202133,12,0.77,72358,199,0,0.0,4489.086560876991,False,-0.03908518772700528,0.625,378566,0.0,0.0,13,0,0,9,8,8.0,25,34,32,291.0,42.0,17,14,32,732,9.010816249006893,185.01984404295217
