index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,25.0,0,,32.0,0,,40.0,0,,0,0.2,26715,0,8,0.8,112.0,False,-0.0008956894943086397,0,0.2,26675,2,10,1.0,160.0,False,-0.0014928158238477329,0,0.2,48353,0,0,0.0,0.0,False,0.0,0,0.2,48353.0,0,0,0.0,0.0,False,0.0,0,0.2,71007.0,0,0,0.0,0.0,False,0.0,0,0.2,71007.0,0,0,0.0,0.0,False,0.0,0,0.2,82334,0,0,0.0,0.0,False,0.0,0,0.2,82334,0,0,0.0,0.0,False,0.0,0.225,456778,0.0,0.0,9,0,0,149,0,0.0,462,611,124,0.0,0.0,0,0,124,200,4.0126063115894794,4.0126063115894794
1,124,0,0,0,10.0,20,10.0,14.0,0,,25.0,0,,20.30392156862745,57,11.070175438596491,40.0,0,,0,0.2,26575,4,18,1.0,292.0,False,-0.0027617092741183055,0,0.2,26615,0,18,0.8,252.0,False,-0.002015301362194439,0,0.2,48353,0,0,0.0,0.0,False,0.0,0,0.2,48353.0,0,0,0.0,0.0,False,0.0,24,0.44000000000000006,69839.0,0,0,0.0,0.0,False,-0.01644908248482544,33,0.53,69590.0,0,0,0.0,0.0,False,-0.019955779007703466,0,0.2,82263,1,10,1.0,420.30392156862746,False,0.001690091101905743,0,0.2,81774,46,0,0.0,933.9803921568628,False,-0.0011296645847592287,0.35,453362,0.0,0.0,9,0,0,33,10,10.0,108,141,84,1987.0,13.0,123,1,84,200,10.884417660534382,14.897023972123861
2,84,0,0,0,10.0,20,10.0,12.909090909090908,10,8.0,21.392857142857142,11,6.636363636363637,15.801914580265095,44,6.409090909090909,40.0,0,,0,0.2,26495,6,23,1.0,356.9090909090909,False,-0.004536124446555547,0,0.2,26575,0,21,0.8,271.09090909090907,False,-0.0031518770462602773,0,0.2,48273,0,10,1.0,213.92857142857142,False,0.0005576548655571029,11,0.31000000000000005,48051.0,0,0,0.0,0.0,False,-0.006245734494240275,35,0.7660000000000002,67794.0,6,0,0.0,128.35714285714286,False,-0.044345225521025176,9,0.5870000000000002,69356.0,5,0,0.0,106.96428571428571,False,-0.022498033393085964,0,0.2,82263,0,11,0.1,440.0,False,0.001809701945733233,0,0.2,81492,90,0,0.0,1422.1723122238586,False,-0.0015900338121320034,0.3625,450299,0.0,0.0,12,0,0,28,10,10.0,69,97,47,1158.0,24.0,81,3,47,280,6.919444255530834,21.816468227654696
3,47,0,0,0,10.0,20,10.0,12.084033613445378,10,8.0,18.76086956521739,14,9.285714285714286,15.423861514150266,17,12.705882352941176,40.0,0,,0,0.2,26435,6,28,1.0,398.3529411764706,False,-0.0060019977388231305,0,0.2,26515,0,26,1.0,314.1848739495798,False,-0.0045869588738649695,0,0.2,48193,0,20,1.0,375.2173913043478,False,0.0005709820621714436,14,0.43900000000000006,47704.0,0,0,0.0,0.0,False,-0.013422124790602445,7,0.8010000000000002,67428.0,20,0,0.0,375.2173913043478,False,-0.047761365842069435,10,0.6780000000000002,69088.0,5,0,0.0,93.80434782608695,False,-0.026364975651512662,0,0.2,82263,0,11,0.0,440.0,False,0.001809701945733233,0,0.2,81276,107,0,0.0,1650.3531820140784,False,-0.002827791787025543,0.375,448902,0.0,0.0,10,0,0,11,9,9.0,27,38,29,301.0,78.0,22,25,29,280,2.4433996863663197,24.259867914021015
4,29,0,0,0,10.0,20,10.0,13.345616973757675,36,15.222222222222221,13.8719105531581,44,7.431818181818182,14.01645271979111,21,5.619047619047618,40.0,13,40.0,0,0.2,26498,1,27,1.0,370.33165829145725,False,-0.004173695497453707,0,0.2,26800,5,11,1.0,196.80178671133442,False,0.0038589622450333574,0,0.2,47793,15,30,1.0,616.3415712011081,False,-0.005208140433880994,44,0.8650000000000002,45602.0,11,0,0.0,146.80178671133442,False,-0.05537606987455445,16,0.9540000000000002,66463.0,35,0,0.0,485.5168693605335,False,-0.060574894944438414,5,0.7180000000000002,68922.0,34,0,0.0,471.6449588073754,False,-0.026042186271723996,0,0.2,82263,0,11,0.0,440.0,False,0.001809701945733233,13,0.33000000000000007,80922,128,0,0.0,1794.105948133262,False,-0.006254366676383702,0.375,445263,0.0,0.0,13,0,0,14,15,15.0,28,42,30,299.0,31.0,23,6,30,748,2.168584458529949,26.428452372550964
5,30,0,0,0,10.0,20,10.0,15.577052350476539,28,22.0,12.540846999098228,28,8.178571428571429,12.689894897869214,43,8.627906976744185,40.0,7,40.0,0,0.2,26588,4,27,1.0,460.58041346286655,False,0.0008691997287341549,7,0.27,27007,2,10,1.0,175.77052350476538,False,0.011191836602066968,0,0.2,47309,33,29,1.0,877.7272905395744,False,-0.012514970213434737,17,0.9910000000000003,45101.0,11,0,0.0,171.34757585524193,False,-0.06548355245946232,30,1.238,64856.0,43,0,0.0,539.2564209612239,False,-0.08282805624120708,13,0.8430000000000002,68442.0,54,0,0.0,677.2057379513043,False,-0.03135461477071768,0,0.2,82263,0,11,0.0,440.0,False,0.001809701945733233,7,0.38700000000000007,80471,171,0,0.0,2169.972027535636,False,-0.009449486071758705,0.375,442037,0.0,0.0,11,0,0,12,11,10.38888888888889,27,39,31,280.0,47.0,22,8,31,552,2.0741453375667334,28.502597710117698
6,31,0,0,0,10.0,20,10.0,18.0240478244328,35,24.857142857142858,11.267606931414885,42,8.0,11.368917921638216,56,7.660714285714286,40.00000000000001,4,40.0,8,0.28,27222,4,10,1.0,220.240478244328,False,0.020045539806761083,0,0.263,26907,2,20,1.0,380.480956488656,False,0.01127973421326092,0,0.2,47253,33,27,1.0,899.0189653544843,False,-0.013452950537148881,30,1.2740000000000002,43278.0,36,0,0.0,648.8657216795807,False,-0.09824761936509023,37,1.5780000000000003,62585.0,67,0,0.0,754.9296644047973,False,-0.11329214257464193,19,1.0200000000000002,67684.0,72,0,0.0,811.2676990618718,False,-0.04108561339683507,0,0.2,82263,0,11,0.0,440.00000000000006,False,0.001809701945733233,4,0.42000000000000004,80004,227,0,0.0,2580.744368211875,False,-0.01262695625007979,0.375,437196,0.0,0.0,12,0,0,15,16,15.8,25,40,21,326.0,34.0,23,8,21,934,2.038823272101581,30.54142098221928
7,21,0,0,0,10.0,20,10.0,18.0240478244328,0,,10.727416199276691,30,8.3,10.652013976918335,30,6.066666666666666,40.00000000000001,12,40.0,0,0.272,27122,4,20,1.0,400.480956488656,False,0.019676823222404417,0,0.263,26807,2,30,1.0,560.721434732984,False,0.010911017628904392,0,0.2,47301,23,35,1.0,790.0126669366387,False,-0.013587443727000976,28,1.5240000000000002,42274.0,36,0,0.0,648.8657216795807,False,-0.11901158437243207,24,1.7810000000000001,61203.0,80,0,0.0,858.1932959421353,False,-0.13202787544930683,6,1.0610000000000002,67523.0,89,0,0.0,954.7400417356255,False,-0.042342726479532924,0,0.2,82263,0,11,0.0,440.00000000000006,False,0.001809701945733233,12,0.536,79610,257,0,0.0,2737.567592068012,False,-0.01645998255843259,0.375,434103,0.0,0.0,10,0,0,11,16,16.0,22,33,23,212.0,33.0,16,5,23,248,1.7635986385867,32.30501962080598
8,23,0,0,0,10.0,20,10.0,20.040060082340823,54,24.5,10.891786419370877,22,12.0,10.835458756116136,16,13.125,40.00000000000001,12,40.0,17,0.44200000000000006,27597,6,10,1.0,260.40060082340824,False,0.03479008398625502,0,0.263,27150,0,23,1.0,460.92138189383894,False,0.021849624592159674,0,0.2,47162,33,23,1.0,911.8330703627773,False,-0.015202437590606865,0,1.4960000000000002,41354.0,70,0,0.0,1402.8042057638577,False,-0.13024213383074626,6,1.8170000000000002,61010.0,80,0,0.0,871.3429135496701,False,-0.13465332352057072,10,1.1550000000000002,67004.0,111,0,0.0,1208.9882925501674,False,-0.04786156088448904,0,0.2,82263,0,11,0.0,440.00000000000006,False,0.001809701945733233,12,0.6440000000000001,79190,273,0,0.0,2958.080240419705,False,-0.02022202103371805,0.375,432730,0.0,0.0,14,0,0,15,11,10.25,21,36,23,272.0,31.0,19,4,23,1227,1.6758952923119068,33.980914913117886
9,23,0,0,0,10.000000000000002,20,10.0,19.77202404020342,27,18.22222222222222,9.966725317450221,126,8.841269841269842,10.433610490718364,30,7.833333333333333,40.00000000000001,13,40.0,6,0.48500000000000004,27718,6,10,1.0,257.7202404020342,False,0.039255835797761436,0,0.263,27215,0,22,1.0,434.98452888447525,False,0.02379146349849736,0,0.2,47296,38,12,1.0,870.9376173371327,False,-0.012854035764718554,105,2.5460000000000007,33252.0,82,0,0.0,1621.3059712966804,False,-0.2955420969609261,25,2.0610000000000004,59292.0,103,0,0.0,1026.5727076973728,False,-0.15775506141861104,5,1.1950000000000003,66321.0,214,0,0.0,2132.8792179343473,False,-0.05097469814289888,0,0.2,82263,0,11,0.0,440.00000000000006,False,0.001809701945733233,13,0.7620000000000002,78717,303,0,0.0,3161.3839786876642,False,-0.024732285697964006,0.375,422074,0.0,0.0,13,0,0,10,21,20.333333333333332,26,36,17,264.0,39.0,18,5,17,799,1.663989552296698,35.644904465414584
