index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,32.0,0,,46.0,0,,58.0,0,,0,0.2,45250,10,0,0.0,100.0,False,-0.0011025358324145535,0,0.2,45250,10,0,0.0,100.0,False,-0.0011025358324145535,0,0.2,69892,0,0,0.0,0.0,False,0.0,0,0.2,69892,0,0,0.0,0.0,False,0.0,0,0.2,98835,0,0,0.0,0.0,False,0.0,0,0.2,98835,0,0,0.0,0.0,False,0.0,0,0.2,137649,0,0,0.0,0.0,False,0.0,0,0.2,137649,0,0,0.0,0.0,False,0.0,0.0,703252,0.0,0.0,7,0,0,0,0,0.0,527,527,86,0.0,0.0,0,0,86,200,5.029094334982801,5.029094334982801
1,86,0,0,0,10.0,20,10.0,21.0,0,,32.0,0,,46.0,0,,58.0,0,,0,0.2,45130,22,0,0.0,220.0,False,-0.0024255788313120178,0,0.2,45170,18,0,0.0,180.0,False,-0.001984564498346196,0,0.2,69892,0,0,0.0,0.0,False,0.0,0,0.2,69892,0,0,0.0,0.0,False,0.0,0,0.2,98835,0,0,0.0,0.0,False,0.0,0,0.2,98835,0,0,0.0,0.0,False,0.0,0,0.2,137649,0,0,0.0,0.0,False,0.0,0,0.2,137649,0,0,0.0,0.0,False,0.0,0.0,703052,0.0,0.0,8,0,0,31,0,0.0,30,61,28,736.0,225.0,46,40,28,200,4.4555565789924,9.484650913975202
2,28,0,0,0,10.0,20,10.0,19.448979591836736,4,2.0,29.660377358490567,8,16.5,46.0,0,,58.0,0,,0,0.2,45020,33,0,0.0,330.0,False,-0.0036383682469680267,4,0.24000000000000002,44988,27,0,0.0,270.0,False,-0.005005512679162073,0,0.2,69884,0,4,0.4,118.64150943396227,False,0.0007342865380442357,8,0.28,69692,0,0,0.0,0.0,False,-0.0028615578320837862,0,0.2,98835,0,0,0.0,0.0,False,0.0,0,0.2,98703,0,8,0.8,368.0,False,0.0005261294075985228,0,0.2,137649,0,0,0.0,0.0,False,0.0,0,0.2,137649,0,0,0.0,0.0,False,0.0,0.15000000000000002,702420,0.0,0.0,8,0,0,22,3,3.0,18,40,34,174.0,27.0,23,5,34,200,3.379280035966076,12.863930949941278
3,34,0,0,0,10.0,20,10.0,17.136986301369863,7,2.5714285714285716,29.660377358490567,0,,46.0,0,,58.0,0,,6,0.26,44820,39,0,0.0,390.0,False,-0.007386990077177508,1,0.24600000000000002,44826,41,0,0.0,410.0,False,-0.0070341786108048514,0,0.2,69866,0,11,0.7,326.26415094339626,False,0.0019620568229797644,0,0.272,69692,0,0,0.0,0.0,False,-0.0028615578320837862,0,0.2,98835,0,0,0.0,0.0,False,0.0,0,0.2,98703,0,8,0.0,368.0,False,0.0005261294075985228,0,0.2,137649,0,0,0.0,0.0,False,0.0,0,0.2,137649,0,0,0.0,0.0,False,0.0,0.0875,702040,0.0,0.0,8,0,0,22,3,3.0,17,39,23,356.0,96.0,23,11,23,200,2.443336900032591,15.307267849973869
4,23,0,0,0,10.0,20,10.0,15.060751991109466,8,3.125,28.911242603550292,3,17.0,52.64150943396226,8,90.0,58.0,20,58.0,5,0.30400000000000005,44615,48,0,0.0,480.0,False,-0.01091510474090408,3,0.275,44656,52,0,0.0,520.0,False,-0.009570011025358325,0,0.2,69892,0,16,0.8,462.5798816568047,False,0.003309247708298507,0,0.272,69692,0,0,0.0,0.0,False,-0.0028615578320837862,0,0.2,98784,0,3,0.3,157.9245283018868,False,0.0002829186437086924,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,11,0.31000000000000005,136685,8,0,0.0,421.1320754716981,False,-0.005473588346185998,9,0.29000000000000004,137476,0,0,0.0,0.0,False,-0.0012568198824546492,0.1375,701223,0.0,0.0,10,0,0,10,9,9.0,20,30,18,186.0,57.0,14,9,18,971,1.9368757030460984,17.244143553019967
5,18,0,0,0,10.0,20,10.0,9.112168905129767,45,2.688888888888889,30.895121469484494,5,49.0,50.79722703639514,10,42.0,58.0,20,58.0,35,0.649,43537,60,0,0.0,600.0,False,-0.03336273428886439,10,0.372,44309,60,0,0.0,600.0,False,-0.016339581036383683,0,0.2,70038,27,21,1.0,894.8261112976782,False,0.008490428885263522,0,0.272,69670,8,0,0.0,72.89735124103814,False,-0.0026548292276581706,7,0.27,98574,0,5,0.5,253.98613518197573,False,-0.0013558651531240405,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,11,0.40900000000000003,136020,18,0,0.0,914.3500866551126,False,-0.008513138175158851,9,0.37100000000000005,137293,0,0,0.0,0.0,False,-0.002586288313028064,0.1875,698864,0.0,0.0,9,0,0,9,16,15.7,20,29,18,175.0,31.0,12,6,18,445,1.8001428680145182,19.044286421034485
6,18,0,0,0,10.0,20,10.0,8.661407994290268,6,2.3333333333333335,32.68530860047066,5,49.0,52.48375197611101,5,70.0,57.99999999999999,20,58.0,0,0.6140000000000001,43407,73,0,0.0,730.0,False,-0.03479603087100331,6,0.42200000000000004,44091,67,0,0.0,670.0,False,-0.02037486218302095,0,0.2,70278,22,26,1.0,1040.3689994866231,False,0.012965496762766943,0,0.272,69661,9,0,0.0,77.95267194861242,False,-0.0027474340986907183,0,0.263,98679,0,5,0.5,262.41875988055506,False,-0.0002508283508850187,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,12,0.518,135747,18,0,0.0,944.7075355699982,False,-0.010386172309388294,8,0.44200000000000006,136807,0,5,0.5,289.99999999999994,False,-0.00506360380387798,0.25,698093,0.0,0.0,11,0,0,11,10,10.0,16,27,7,145.0,20.0,12,6,7,795,1.9098074920475483,20.954093913082033
7,7,0,0,0,10.0,20,10.0,7.783238065136993,17,3.588235294117647,33.44315199421689,35,34.42857142857143,54.57923257423569,8,68.0,58.0,20,58.0,17,0.784,42827,83,0,0.0,830.0,False,-0.046482910694597576,0,0.41600000000000004,43991,77,0,0.0,770.0,False,-0.021477398015435502,0,0.2,70504,20,31,1.0,1192.4024731234636,False,0.017286688556082622,30,0.5720000000000001,69439,18,0,0.0,140.09828517246586,False,-0.005479180126677911,3,0.29300000000000004,97853,25,10,1.0,1381.8711255977792,False,-0.0029449530753388542,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,9,0.5960000000000001,135578,18,0,0.0,982.4261863362424,False,-0.011476922511837127,6,0.49400000000000005,136472,0,8,0.8,464.0,False,-0.006865287797223373,0.35,696087,0.0,0.0,10,0,0,8,11,10.375,13,21,12,27.0,9.0,4,3,12,735,1.745009428996127,22.69910334207816
8,12,0,0,0,10.0,20,10.0,7.532848484528358,4,2.0,32.58292133838055,4,17.0,55.901466732289194,5,70.0,58.0,20,58.0,0,0.7670000000000001,42727,93,0,0.0,930.0,False,-0.047585446527012125,4,0.456,43799,87,0,0.0,870.0,False,-0.024608599779492833,0,0.2,70496,14,41,1.0,1441.3596536569996,False,0.01895323966732252,4,0.5820000000000001,69355,18,0,0.0,135.59127272151045,False,-0.006713277108098898,0,0.29000000000000004,98135,19,15,1.0,1457.5975064135682,False,0.0002913821339280437,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,11,0.6970000000000001,135324,18,0,0.0,1006.2264011812055,False,-0.013235743081383835,1,0.4980000000000001,136575,0,5,0.5,290.0,False,-0.006749050120233347,0.3125,695834,0.0,0.0,12,0,0,8,8,8.0,18,26,15,141.0,23.0,9,3,15,1014,1.619019698991906,24.318123041070066
9,15,0,0,0,10.000000000000002,20,10.0,7.091123797069401,8,2.5,31.726873768177356,4,17.0,59.34779090520358,9,79.44444444444444,58.0,20,58.0,5,0.8170000000000002,42507,103,0,0.0,1030.0000000000002,False,-0.05133406835722161,3,0.48200000000000004,43633,97,0,0.0,970.0000000000002,False,-0.0271664829106946,0,0.2,70544,12,47,1.0,1576.2565526691687,False,0.020605051741752714,0,0.5780000000000001,69355,18,0,0.0,127.64022834724922,False,-0.006770158041354936,0,0.29000000000000004,98782,13,16,1.0,1362.014013469563,False,0.006354095277328722,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,10,0.786,134777,22,0,0.0,1305.6513999144788,False,-0.016121979092058546,5,0.5470000000000002,136442,0,5,0.5,290.0,False,-0.007715275810212933,0.3125,695463,0.0,0.0,13,0,0,13,7,6.666666666666666,14,27,15,183.0,6.0,13,2,15,1215,2.2056593620218337,26.5237824030919
