index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,12,10.0,21.0,0,,33.0,0,,44.0,0,,0,0.2,30640,0,2,0.2,42.0,False,3.2615786040443576e-05,0,0.2,30560,10,0,0.0,100.0,False,-0.0016307893020221786,0,0.2,47432,0,0,0.0,0.0,False,0.0,0,0.2,47432,0,0,0.0,0.0,False,0.0,0,0.2,68173,0,0,0.0,0.0,False,0.0,0,0.2,68173,0,0,0.0,0.0,False,0.0,0.03333333333333333,292410,0.0,0.0,8,0,0,228,0,0.0,675,903,136,0.0,0.0,0,0,136,120,3.0998365497216582,3.0998365497216582
1,136,0,0,0,9.999999999999998,15,10.0,21.0,0,,33.0,0,,44.0,0,,0,0.2,30590,0,7,0.5,147.0,False,0.00011415525114155251,0,0.2,30460,20,0,0.0,199.99999999999997,False,-0.0032615786040443573,0,0.2,47432,0,0,0.0,0.0,False,0.0,0,0.2,47432,0,0,0.0,0.0,False,0.0,0,0.2,68173,0,0,0.0,0.0,False,0.0,0,0.2,68173,0,0,0.0,0.0,False,0.0,0.08333333333333333,292260,0.0,0.0,9,0,0,61,0,0.0,47,108,55,1216.0,408.0,86,50,55,150,6.251456959173083,9.351293508894742
2,55,0,0,0,9.999999999999998,17,10.0,20.574468085106382,2,11.0,34.30612244897959,4,49.0,44.0,0,,0,0.2,30550,0,11,0.4,226.3191489361702,False,0.00010305200482991972,2,0.22000000000000003,30301,33,0,0.0,329.99999999999994,False,-0.006327462491846053,4,0.24000000000000002,47461,0,1,0.1,34.30612244897959,False,0.0009730363725857996,0,0.2,47421,0,1,0.1,34.30612244897959,False,0.0001297238409615797,0,0.2,67977,0,4,0.4,176.0,False,-0.0015842048904991712,0,0.2,68173,0,0,0.0,0.0,False,0.0,0.16666666666666666,291883,0.0,0.0,10,0,0,30,3,3.0,25,55,34,559.0,81.0,33,22,34,170,2.5630202097818255,11.914313718676567
3,34,0,0,0,10.0,18,10.0,19.356997971602432,7,12.0,34.30612244897959,0,,44.0,20,44.0,0,0.2,30500,0,16,0.5,309.7119675456389,False,-0.00016777613265424776,7,0.28800000000000003,30080,46,0,0.0,460.0,False,-0.01141552511415525,0,0.23600000000000002,47461,0,1,0.0,34.30612244897959,False,0.0009730363725857996,0,0.2,47337,0,8,0.7,274.44897959183675,False,0.000890211034658399,1,0.21000000000000002,68145,0,0,0.0,0.0,False,-0.00041071978642571105,15,0.35000000000000003,67842,0,0,0.0,0.0,False,-0.004855294618103942,0.19999999999999998,291365,0.0,0.0,13,0,0,21,9,8.5,17,38,33,201.0,69.0,14,20,33,312,1.8716067895293236,13.78592050820589
4,33,0,0,0,10.0,9,10.0,19.356997971602432,0,,31.542372881355934,9,18.0,44.0,20,44.0,0,0.2,30500,0,16,0.0,309.7119675456389,False,-0.00016777613265424776,0,0.281,29990,55,0,0.0,550.0,False,-0.012883235485975211,0,0.23600000000000002,47461,0,1,0.0,31.542372881355934,False,0.0009439025645277671,1,0.21000000000000002,47460,0,0,0.0,0.0,False,0.0005903187721369539,10,0.30900000000000005,67816,0,9,0.9,396.0,False,-0.002332301644346002,10,0.43500000000000005,67673,0,0,0.0,0.0,False,-0.007334281900459126,0.15,290900,0.0,0.0,6,0,0,25,12,11.11111111111111,16,41,25,223.0,58.0,19,14,25,90,4.6426540883257985,18.42857459653169
5,25,0,0,0,10.000000000000002,13,10.0,19.17280141062376,1,11.0,34.80602386815685,5,66.0,43.99999999999999,20,44.0,0,0.2,30500,0,16,0.0,306.76482256998014,False,-0.00021583785763239834,1,0.29100000000000004,29846,68,0,0.0,680.0000000000001,False,-0.015459882583170255,4,0.276,47635,0,0,0.0,0.0,False,0.004279811097992916,0,0.20900000000000002,47449,0,1,0.1,34.80602386815685,False,0.0007253122772405768,5,0.34900000000000003,68153,0,0,0.0,0.0,False,-0.000293371276018365,6,0.48500000000000004,67268,5,0,0.0,174.03011934078424,False,-0.011998664285415198,0.016666666666666666,290851,0.0,0.0,12,0,0,18,9,8.466666666666667,17,35,19,186.0,67.0,11,14,19,482,1.5116951512172818,19.94026974774897
6,19,0,0,0,10.000000000000002,7,10.0,18.791189036490554,2,11.0,34.80602386815685,0,,43.99999999999999,20,44.0,0,0.2,30500,0,16,0.0,300.65902458384886,False,-0.00031541055799327395,2,0.31000000000000005,29747,75,0,0.0,750.0000000000001,False,-0.017547292889758644,0,0.272,47624,0,1,0.1,34.80602386815685,False,0.004414804603096539,0,0.20900000000000002,47438,0,2,0.1,69.6120477363137,False,0.000860305782344353,11,0.45400000000000007,67952,0,0,0.0,0.0,False,-0.0032417526000029337,9,0.5690000000000001,67127,5,0,0.0,174.03011934078424,False,-0.01406693178134467,0.03333333333333333,290388,0.0,0.0,4,0,0,20,14,14.0,12,32,16,113.0,40.0,9,10,16,70,1.4063636334612966,21.346633381210268
7,16,0,0,0,10.000000000000002,8,10.0,18.791189036490554,0,,37.08663228638872,19,42.78947368421053,43.99999999999999,20,44.0,0,0.2,30500,0,16,0.0,300.65902458384886,False,-0.00031541055799327395,0,0.30800000000000005,29667,83,0,0.0,830.0000000000001,False,-0.018851924331376387,9,0.36200000000000004,47785,0,0,0.0,0.0,False,0.007442233091583741,7,0.279,47423,0,0,0.0,0.0,False,-0.00018974531961544948,8,0.523,67509,1,10,1.0,477.08663228638864,False,-0.006240838511680561,12,0.6800000000000002,66409,13,0,0.0,482.1262197230534,False,-0.022339296937768226,0.16666666666666666,289293,0.0,0.0,5,0,0,23,16,15.8,11,34,17,134.0,39.0,9,7,17,212,1.4857043754309416,22.83233775664121
8,17,0,0,0,10.000000000000002,11,10.0,20.59586271224153,41,22.29268292682927,39.27015918738106,27,44.111111111111114,43.99999999999999,20,44.0,0,0.2,30710,0,9,0.0,185.36276441017378,False,0.0046536654339558465,34,0.6480000000000001,29376,94,0,0.0,940.0000000000001,False,-0.02654924983692107,13,0.4830000000000001,47261,24,10,1.0,887.0022969676074,False,0.00574509083495959,14,0.41200000000000003,46977,0,7,0.7,274.8911143116674,False,-0.006694941028085774,3,0.5450000000000002,67379,7,10,1.0,714.8911143116674,False,-0.0064036266974339465,7,0.738,65661,24,0,0.0,942.4838204971454,False,-0.029934990241758865,0.45,287364,0.0,0.0,13,0,0,22,14,13.5,12,34,19,144.0,41.0,11,6,19,716,1.6691601453348994,24.50149790197611
9,19,0,0,0,10.0,8,10.0,21.646021148032883,9,30.0,41.61585216333595,27,48.407407407407405,43.99999999999999,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,0,0.6140000000000001,29296,102,0,0.0,1020.0,False,-0.027853881278538814,7,0.5400000000000001,47945,14,10,1.0,719.2028177058198,False,0.01839689257996525,3,0.42800000000000005,46920,0,9,0.9,374.54266947002355,False,-0.0068461938198892194,0,0.542,66957,15,13,1.0,1196.237782450039,False,-0.009063428465447878,13,0.861,64828,33,0,0.0,1373.3231213900865,False,-0.03899400700137821,0.48333333333333334,286926,0.0,0.0,14,0,0,19,9,8.05,16,35,23,179.0,43.0,13,6,23,1183,1.6458162385970354,26.147314140573144
10,23,0,0,0,10.0,10,10.0,19.992838100675556,12,10.0,40.11703730712874,16,31.25,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,12,0.7340000000000002,29016,112,0,0.0,1120.0,False,-0.035355512067840836,0,0.5330000000000001,48145,4,16,1.0,721.8439493167621,False,0.02264129648040108,3,0.455,46983,2,10,1.0,441.1560492726385,False,-0.004815777858063732,0,0.542,67109,9,15,1.0,1021.0533357641586,False,-0.008118658884278568,12,0.9680000000000002,64296,45,0,0.0,1805.2666788207932,False,-0.04362968712818281,0.5,286529,0.0,0.0,12,0,0,19,10,9.25,16,35,27,146.0,69.0,12,11,27,652,1.4352938197553158,27.58260796032846
11,27,0,0,0,10.0,9,10.0,19.87617183035431,1,11.0,40.40783529272414,5,46.2,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,1,0.7320000000000002,28912,121,0,0.0,1210.0,False,-0.037279843444227,0,0.533,48345,0,16,0.4,646.5253646835862,False,0.026063895309955218,0,0.45200000000000007,47003,0,12,0.3,484.8940235126896,False,-0.00393306181994546,0,0.542,67393,3,14,1.0,737.2235058781724,False,-0.006034474748960874,9,1.046,64119,46,0,0.0,1858.7604234653104,False,-0.04583368471781122,0.2833333333333333,286752,0.0,0.0,11,0,0,18,7,7.0,18,36,23,192.0,47.0,14,13,23,805,1.6799333868548274,29.262541347183287
12,23,0,0,0,10.0,7,10.0,19.103261112105727,6,10.166666666666666,41.882595772325836,7,61.714285714285715,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,6,0.7910000000000001,28747,128,0,0.0,1280.0,False,-0.041519895629484674,0,0.5330000000000001,48334,0,17,0.1,712.0041281295393,False,0.0265222226358739,0,0.452,47385,0,10,0.5,418.82595772325834,False,0.0034241225093107285,0,0.542,67833,0,7,0.3,308.0,False,-0.002728352866970795,10,1.1370000000000002,63527,53,0,0.0,2219.7775759332694,False,-0.05186967292085377,0.15,286806,0.0,0.0,13,0,0,20,8,8.0,14,34,18,178.0,47.0,12,11,18,942,1.5520956572145224,30.81463700439781
