index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,13.0,0,,18.0,0,,25.0,0,,0,0.2,28318,4,10,1.0,170.0,False,-0.0019326727106613254,0,0.2,28398,6,0,0.0,60.0,False,-0.0010541851149061775,0,0.2,38807,0,0,0.0,0.0,False,0.0,0,0.2,38807,0,0,0.0,0.0,False,0.0,0,0.2,56399,0,0,0.0,0.0,False,0.0,0,0.2,56399,0,0,0.0,0.0,False,0.0,0.16666666666666666,247128,0.0,0.0,10,0,0,0,0,0.0,974,974,93,0.0,0.0,0,0,93,200,4.108440858311951,4.108440858311951
1,93,0,0,0,10.0,20,10.0,13.0,0,,18.0,0,,25.0,0,,0,0.2,28218,4,20,1.0,300.0,False,-0.0031625553447185324,0,0.2,28298,16,0,0.0,160.0,False,-0.0028111603064164734,0,0.2,38807,0,0,0.0,0.0,False,0.0,0,0.2,38807,0,0,0.0,0.0,False,0.0,0,0.2,56399,0,0,0.0,0.0,False,0.0,0,0.2,56399,0,0,0.0,0.0,False,0.0,0.16666666666666666,246928,0.0,0.0,10,0,0,54,0,0.0,53,107,72,1303.0,66.0,86,7,72,200,5.3663880582898855,9.474828916601837
2,72,0,0,0,10.0,20,10.0,12.192307692307692,7,7.0,18.0,0,,25.0,0,,0,0.2,28118,4,30,1.0,405.7692307692308,False,-0.004818166582872406,7,0.27,28129,26,0,0.0,260.0,False,-0.006992761262210978,0,0.2,38807,0,0,0.0,0.0,False,0.0,0,0.2,38758,0,7,0.7,126.0,False,0.00036075965676295516,0,0.2,56399,0,0,0.0,0.0,False,0.0,0,0.2,56399,0,0,0.0,0.0,False,0.0,0.2833333333333333,246610,0.0,0.0,12,0,0,18,2,2.0,43,61,22,659.0,93.0,41,31,22,200,3.1265865303575993,12.601415446959436
3,22,0,0,0,10.0,20,10.0,12.0836820083682,1,7.0,16.666666666666668,9,10.0,25.0,20,25.0,0,0.2,28038,2,40,1.0,503.347280334728,False,-0.005914904766063586,1,0.273,28000,38,0,0.0,380.0,False,-0.009417387026495186,9,0.29000000000000004,38692,0,1,0.1,16.666666666666668,False,-0.0027486450039081673,0,0.2,38758,0,7,0.0,116.66666666666667,False,0.0002405064378420326,10,0.30000000000000004,56213,0,9,0.9,225.0,False,-0.0013032145960034753,10,0.30000000000000004,56298,0,0,0.0,0.0,False,-0.0017908118938279047,0.3333333333333333,245999,0.0,0.0,12,0,0,10,13,13.0,22,32,19,170.0,27.0,12,10,19,200,1.5423210253939033,14.14373647235334
4,19,0,0,0,10.0,20,10.0,13.428571428571429,19,16.473684210526315,16.666666666666668,0,,25.0,20,25.0,0,0.2,28237,2,33,1.0,463.14285714285717,False,0.00037147475477642604,2,0.29200000000000004,27882,48,0,0.0,480.0,False,-0.011806873286949189,0,0.281,38379,9,11,1.0,304.1904761904762,False,-0.007109664800287662,0,0.2,38758,0,7,0.0,116.66666666666667,False,0.0002405064378420326,1,0.30000000000000004,56433,0,0,0.0,0.0,False,0.0006028475682192946,10,0.39,56201,0,0,0.0,0.0,False,-0.0035107005443358926,0.3333333333333333,245890,0.0,0.0,15,0,0,10,7,6.5,21,31,16,133.0,24.0,11,8,16,699,1.4127998789772391,15.556536351330578
5,16,0,0,0,10.0,20,10.0,12.998696044668828,4,7.0,16.666666666666668,0,,25.0,20,25.0,0,0.2,28168,1,40,1.0,529.9478417867531,False,-0.0008794040026222792,1,0.30000000000000004,27763,59,0,0.0,590.0,False,-0.014055801532082367,0,0.281,38351,3,21,1.0,388.99608813400647,False,-0.006738525418944927,0,0.2,38758,0,7,0.0,116.66666666666667,False,0.0002405064378420326,11,0.40900000000000003,56321,0,0,0.0,0.0,False,-0.001383003244738382,9,0.4700000000000001,56127,0,0,0.0,0.0,False,-0.004822780545754357,0.3333333333333333,245488,0.0,0.0,11,0,0,12,10,10.0,17,29,14,149.0,29.0,11,5,14,221,1.2846578946337104,16.84119424596429
6,14,0,0,0,10.0,20,10.0,15.905408087899982,58,18.603448275862068,16.043956043956047,6,11.0,24.999999999999996,20,25.0,14,0.34,28875,1,10,1.0,169.05408087899983,False,0.0176234113584757,4,0.3390000000000001,27627,69,0,0.0,690.0,False,-0.017077798861480076,0,0.281,37338,51,25,1.0,1212.2747135818004,False,-0.022234716499835,0,0.2,38758,0,7,0.0,112.30769230769234,False,0.00018434422021397983,10,0.49800000000000005,56223,0,0,0.0,0.0,False,-0.003120622706076349,10,0.5610000000000002,55965,6,0,0.0,96.26373626373629,False,-0.00684175485147137,0.3333333333333333,244786,0.0,0.0,12,0,0,15,16,15.285714285714285,15,30,15,153.0,57.0,10,4,15,851,1.292401005513966,18.133595251478255
7,15,0,0,0,10.0,20,10.0,15.905408087899982,0,,17.910184913413563,19,22.736842105263158,24.999999999999996,20,25.0,0,0.32600000000000007,28775,1,20,1.0,328.10816175799965,False,0.01690400171758378,0,0.3350000000000001,27527,79,0,0.0,790.0,False,-0.01883477405299037,0,0.281,37770,41,16,1.0,938.6846902185162,False,-0.014627712909803378,0,0.2,38758,0,7,0.0,125.37129439389494,False,0.00035265924181060237,13,0.6180000000000001,55997,0,8,0.8,199.99999999999997,False,-0.005354704870653735,7,0.6210000000000001,55558,17,0,0.0,304.47314352803056,False,-0.012212334052660274,0.4666666666666666,244385,0.0,0.0,13,0,0,14,10,10.0,19,33,13,143.0,14.0,11,4,13,632,1.36574403103441,19.499339282512665
8,13,0,0,0,10.0,20,10.0,16.306772922834927,15,19.0,18.006446034116816,15,18.4,25.0,20,25.0,0,0.32600000000000007,28980,0,14,0.9,228.294820919689,False,0.02235390436642932,0,0.3350000000000001,27407,91,0,0.0,910.0,False,-0.020943144282802726,0,0.281,37575,46,17,1.0,1056.2211370303926,False,-0.01813820783582344,0,0.2,38944,0,1,0.0,18.006446034116816,False,0.003762290901565744,0,0.6050000000000001,56107,0,9,0.9,225.0,False,-0.003182680543981276,12,0.7340000000000002,55241,23,0,0.0,414.1482587846868,False,-0.016860686725077713,0.4666666666666666,244254,0.0,0.0,18,0,0,12,6,6.0,17,29,14,124.0,57.0,9,4,14,961,1.364535465836525,20.86387474834919
9,14,0,0,0,10.000000000000002,20,10.0,16.716825447592015,13,20.0,20.665844358204783,20,29.8,24.999999999999996,20,25.0,0,0.32600000000000007,29140,0,11,1.0,183.88507992351217,False,0.027195956847345475,0,0.3350000000000001,27307,101,0,0.0,1010.0000000000002,False,-0.022700119474313024,3,0.31100000000000005,37843,49,10,1.0,1025.7828905140566,False,-0.011624411955136145,0,0.2,38944,0,1,0.0,20.665844358204783,False,0.00379655531680107,0,0.6050000000000001,56257,0,3,0.0,74.99999999999999,False,-0.0018528697317328321,14,0.8620000000000001,54473,43,0,0.0,888.6313074028056,False,-0.026271464853961948,0.3333333333333333,243964,0.0,0.0,16,0,0,12,10,9.5,18,30,17,107.0,27.0,10,4,17,1060,1.3601410016417503,22.22401574999094
