index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,26.0,0,,34.0,0,,0,0.2,46705,0,8,0.8,152.0,False,-8.549748851127498e-05,0,0.2,46665,12,0,0.0,120.0,False,-0.0012824623276691247,0,0.2,66084,0,0,0.0,0.0,False,0.0,0,0.2,66084,0,0,0.0,0.0,False,0.0,0,0.2,88599,0,0,0.0,0.0,False,0.0,0,0.2,88599,0,0,0.0,0.0,False,0.0,0.13333333333333333,402736,0.0,0.0,6,0,0,0,0,0.0,691,691,205,0.0,0.0,0,0,205,200,5.59109949041158,5.59109949041158
1,205,0,0,0,10.0,20,10.0,19.0,0,,26.0,0,,34.0,0,,0,0.2,46605,0,18,1.0,342.0,False,-0.0001923693491503687,0,0.2,46565,22,0,0.0,220.0,False,-0.002351180934060062,0,0.2,66084,0,0,0.0,0.0,False,0.0,0,0.2,66084,0,0,0.0,0.0,False,0.0,0,0.2,88599,0,0,0.0,0.0,False,0.0,0,0.2,88599,0,0,0.0,0.0,False,0.0,0.16666666666666666,402536,0.0,0.0,5,0,0,90,0,0.0,61,151,130,2449.0,246.0,138,67,130,200,19.77703235205263,25.36813184246421
2,130,0,0,0,10.0,20,10.0,17.78846153846154,7,10.0,26.0,0,,34.0,0,,0,0.2,46475,5,26,1.0,512.5,False,-0.0011488725018702576,5,0.25,46442,27,0,0.0,270.0,False,-0.004445869402586299,0,0.2,66024,0,6,0.6,156.0,False,0.00027238060650081714,0,0.2,66074,0,1,0.1,26.0,False,4.539676775013619e-05,0,0.2,88599,0,0,0.0,0.0,False,0.0,0,0.2,88599,0,0,0.0,0.0,False,0.0,0.2833333333333334,402213,0.0,0.0,8,0,0,95,3,3.0,32,127,60,475.0,80.0,114,16,60,220,32.37640042975545,57.74453227221966
3,60,0,0,0,10.0,20,10.0,17.46926229508197,2,10.0,26.0,0,,34.0,20,34.0,0,0.2,46405,3,35,1.0,641.4241803278688,False,-0.0012672418475166078,1,0.255,46309,39,0,0.0,390.0,False,-0.0060061985679170675,0,0.2,66024,0,6,0.0,156.0,False,0.00027238060650081714,0,0.2,66054,0,3,0.2,78.0,False,0.00013619030325040857,11,0.31000000000000005,88450,0,0,0.0,0.0,False,-0.0016817345568234405,9,0.29000000000000004,88494,0,0,0.0,0.0,False,-0.0011851149561507466,0.19999999999999998,401736,0.0,0.0,8,0,0,21,8,8.0,25,46,52,519.0,347.0,33,27,52,210,5.166139761917293,62.91067203413695
4,52,0,0,0,10.0,20,10.0,19.250728332119447,11,26.363636363636363,26.0,0,,34.0,20,34.0,0,0.2,46625,0,34,1.0,654.5247632920612,False,0.003575128388287544,0,0.254,46179,52,0,0.0,520.0,False,-0.007395532756225286,0,0.2,66024,0,6,0.0,156.0,False,0.00027238060650081714,0,0.2,65764,1,13,1.0,357.2507283321194,False,-0.0021393171695711713,5,0.34900000000000003,88405,0,0,0.0,0.0,False,-0.0021896409666023317,15,0.43100000000000005,88253,0,0,0.0,0.0,False,-0.003905235950744365,0.3333333333333333,401250,0.0,0.0,8,0,0,11,7,7.0,24,35,38,298.0,302.0,21,31,38,490,4.761728537268937,67.67240057140589
5,38,0,0,0,10.0,20,10.0,20.156108518492722,8,25.75,26.0,0,,34.0,20,34.0,0,0.2,46731,0,36,1.0,725.619906665738,False,0.0066006188593111335,0,0.254,46079,62,0,0.0,620.0,False,-0.008464251362616223,0,0.2,66024,0,6,0.0,156.0,False,0.00027238060650081714,0,0.2,65558,0,22,0.9,572.0,False,-0.0036317414200108954,9,0.43400000000000005,88309,0,0,0.0,0.0,False,-0.0032731746407973,11,0.526,88109,0,0,0.0,0.0,False,-0.005530536462036818,0.31666666666666665,400810,0.0,0.0,8,0,0,12,7,7.0,18,30,34,242.0,214.0,16,22,34,406,3.4236342757940292,71.09603484719992
6,34,0,0,0,10.0,20,10.0,21.427708753477333,10,28.0,24.62962962962963,9,17.77777777777778,34.0,20,34.0,0,0.2,46891,2,36,1.0,791.397515125184,False,0.010723495940207115,0,0.254,45999,70,0,0.0,700.0,False,-0.009319226247728973,0,0.2,66072,0,5,0.0,123.14814814814815,False,0.0007501675757229132,0,0.2,65390,0,24,1.0,591.1111111111111,False,-0.006029363301925397,11,0.5350000000000001,88058,0,8,0.8,272.0,False,-0.004571157688010022,9,0.6050000000000001,87960,1,0,0.0,24.62962962962963,False,-0.007073276054867239,0.4666666666666666,400370,0.0,0.0,8,0,0,11,6,6.0,18,29,31,213.0,212.0,15,19,31,640,3.2848058519884944,74.38084069918841
7,31,0,0,0,10.0,20,10.0,21.851458864360584,17,23.235294117647058,24.952830188679243,15,26.0,34.0,20,34.0,0,0.2,47206,0,29,1.0,633.6923070664569,False,0.015770998258698977,0,0.254,45879,82,0,0.0,820.0,False,-0.010601688575398097,0,0.2,66072,0,5,0.0,124.76415094339622,False,0.0007623944596528915,0,0.2,65385,7,19,1.0,627.0639856354297,False,-0.005833000532387271,0,0.524,87940,5,10,1.0,464.7641509433962,False,-0.004815155075433113,12,0.7160000000000002,87790,1,0,0.0,24.952830188679243,False,-0.00899020965141438,0.5,400272,0.0,0.0,13,0,0,15,4,4.0,15,30,31,255.0,171.0,17,14,31,1257,3.026530490256846,77.40737118944526
8,31,0,0,0,10.0,20,10.0,22.522834296403307,8,28.0,28.02315357561547,11,44.0,34.0,20,34.0,0,0.2,47350,0,29,0.8,653.162194595696,False,0.019056986155773233,0,0.254,45759,94,0,0.0,940.0,False,-0.011884150903067223,0,0.2,66072,0,5,0.0,140.11576787807735,False,0.0008785467577482658,0,0.2,65645,5,18,1.0,617.030935843095,False,-0.001974525332583554,1,0.534,88273,0,5,0.5,170.0,False,-0.0027201209945936183,9,0.794,87198,12,0,0.0,336.27784290738566,False,-0.013915067648013067,0.3833333333333333,400297,0.0,0.0,12,0,0,16,4,3.333333333333333,14,30,25,239.0,173.0,18,13,25,1180,3.42851316742599,80.83588435687125
9,25,0,0,0,10.000000000000002,20,10.0,22.522834296403307,0,,30.28445149592021,18,38.0,33.99999999999999,20,34.0,0,0.2,47230,2,39,1.0,898.390537559729,False,0.019112862429835675,0,0.254,45679,102,0,0.0,1020.0000000000002,False,-0.012739125788179971,0,0.2,66072,0,5,0.0,151.42225747960106,False,0.0009640931048332453,0,0.2,66329,0,5,0.5,151.42225747960106,False,0.004853082875428245,2,0.553,87745,8,10,1.0,582.2756119673616,False,-0.006352918136957685,13,0.9150000000000003,87014,12,0,0.0,363.4134179510425,False,-0.015838703495801142,0.4166666666666667,400069,0.0,0.0,9,0,0,17,5,4.333333333333334,12,29,24,207.0,132.0,16,9,24,918,2.404136970639229,83.24002132751048
