index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,40.0,0,,0,0.2,41754,12,0,0.0,120.0,False,-0.001432870038687491,0,0.2,41794,0,8,0.8,160.0,False,0.0,0,0.2,59731,0,0,0.0,0.0,False,0.0,0,0.2,59731,0,0,0.0,0.0,False,0.0,0,0.2,86703,0,0,0.0,0.0,False,0.0,0,0.2,86703,0,0,0.0,0.0,False,0.0,0.13333333333333333,376416,0.0,0.0,10,0,0,0,0,0.0,1043,1043,92,0.0,0.0,0,0,92,200,3.405599201039877,3.405599201039877
1,92,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,40.0,0,,0,0.2,41684,19,0,0.0,190.0,False,-0.0022687108945885276,0,0.2,41664,3,18,1.0,390.0,False,-0.00035821750967187277,0,0.2,59731,0,0,0.0,0.0,False,0.0,0,0.2,59731,0,0,0.0,0.0,False,0.0,0,0.2,86703,0,0,0.0,0.0,False,0.0,0,0.2,86703,0,0,0.0,0.0,False,0.0,0.16666666666666666,376216,0.0,0.0,11,0,0,55,0,0.0,50,105,62,1476.0,105.0,82,10,62,200,8.705365998030175,12.110965199070051
2,62,0,0,0,10.0,20,10.0,16.695652173913043,24,10.5,28.0,0,,40.0,0,,19,0.39,41221,28,0,0.0,280.0,False,-0.012251038830778048,0,0.2,41604,4,23,1.0,424.0,False,-0.0013851077040645747,0,0.2,59626,0,10,1.0,280.0,False,0.0005859603890776984,0,0.2,59584,4,10,1.0,346.7826086956522,False,0.0004418359703976861,0,0.2,86703,0,0,0.0,0.0,False,0.0,0,0.2,86703,0,0,0.0,0.0,False,0.0,0.5,375441,0.0,0.0,12,0,0,18,3,3.0,58,76,28,867.0,70.0,54,8,28,250,7.956812639022246,20.067777838092297
3,28,0,0,0,10.0,20,10.0,16.271236959761552,5,11.0,28.0,0,,40.0,20,40.0,5,0.42100000000000004,41046,39,0,0.0,390.0,False,-0.015116778908153031,0,0.2,41514,3,33,1.0,566.9508196721313,False,-0.001827496541145711,0,0.2,59571,0,15,0.5,420.0,False,0.0008370862701109976,0,0.2,59584,0,14,0.4,392.0,False,0.0008203445447087777,12,0.32000000000000006,86489,0,0,0.0,0.0,False,-0.0024681960255123815,8,0.28,86589,0,0,0.0,0.0,False,-0.001314833396768278,0.31666666666666665,374793,0.0,0.0,12,0,0,20,13,13.0,17,37,27,279.0,45.0,18,10,27,200,2.8975659720017575,22.965343810094055
4,27,0,0,0,10.0,20,10.0,18.35926690132298,22,24.09090909090909,28.0,0,,40.0,20,40.0,6,0.4760000000000001,40853,50,0,0.0,500.0,False,-0.01841237999713426,0,0.2,41888,2,27,1.0,515.7002063357204,False,0.006492097797388849,0,0.2,59041,12,25,1.0,920.3112028158757,False,-0.003847991806466664,0,0.2,59584,0,14,0.0,392.0,False,0.0008203445447087777,11,0.41800000000000004,86309,0,0,0.0,0.0,False,-0.004544248757251767,9,0.36200000000000004,86453,0,0,0.0,0.0,False,-0.0028834065718602586,0.3333333333333333,374128,0.0,0.0,12,0,0,16,13,13.0,19,35,25,219.0,56.0,13,14,25,664,2.0439547360292636,25.00929854612332
5,25,0,0,0,10.0,20,10.0,17.662850735049474,7,10.285714285714286,31.559322033898304,14,43.0,40.0,20,40.0,6,0.53,40695,57,0,0.0,570.0,False,-0.021349763576443616,0,0.2,41769,5,36,1.0,685.862626461781,False,0.005682077499901823,0,0.2,58969,9,35,1.0,1263.5419278018858,False,-0.002180258761766238,0,0.2,60186,0,0,0.0,0.0,False,0.007617485058010079,9,0.49700000000000005,86175,0,0,0.0,0.0,False,-0.006089754679768866,11,0.4630000000000001,85665,14,0,0.0,441.8305084745763,False,-0.009423950102795862,0.3333333333333333,373459,0.0,0.0,13,0,0,13,13,13.0,17,30,15,186.0,55.0,12,13,15,813,1.9886583079933189,26.997956854116637
6,15,0,0,0,10.0,20,10.0,17.17186833239573,5,10.0,31.559322033898304,0,,40.0,20,40.0,5,0.5740000000000001,40501,69,0,0.0,690.0,False,-0.024549839996179015,0,0.2,41689,3,46,1.0,819.9059432902035,False,0.0053721395530663355,0,0.2,58919,4,45,1.0,1488.8569648550065,False,-0.0011312637922100438,0,0.2,60186,0,0,0.0,0.0,False,0.007617485058010079,9,0.5780000000000001,86041,0,0,0.0,0.0,False,-0.007635260602285965,11,0.562,85495,14,0,0.0,441.8305084745763,False,-0.011384666571660838,0.3333333333333333,372831,0.0,0.0,10,0,0,11,11,11.0,17,28,15,126.0,51.0,7,8,15,200,1.5452651199884713,28.54322197410511
7,15,0,0,0,10.0,20,10.0,20.158078076569243,46,24.717391304347824,31.559322033898304,0,,40.0,20,40.0,3,0.5990000000000002,40350,80,0,0.0,800.0,False,-0.026842432058079,0,0.2,42703,2,13,1.0,282.05501499540014,False,0.023165389203269413,0,0.2,57782,40,55,1.0,2542.0858349271766,False,-0.011350171310314803,0,0.2,60186,0,0,0.0,0.0,False,0.007617485058010079,7,0.6390000000000002,85949,0,0,0.0,0.0,False,-0.00869635422073054,13,0.681,85251,14,0,0.0,441.8305084745763,False,-0.01419887138579645,0.3333333333333333,372221,0.0,0.0,23,0,0,17,13,13.0,15,32,15,168.0,12.0,11,4,15,1304,1.6791238180012442,30.222345792106353
8,15,0,0,0,10.0,20,10.0,20.88706539593315,20,24.7,28.506912442396317,12,15.0,40.0,20,40.0,6,0.6560000000000001,40156,91,0,0.0,910.0,False,-0.030161914314371686,1,0.21000000000000002,43023,1,10,1.0,218.8706539593315,False,0.030052904594250918,0,0.2,57468,50,53,1.0,2555.219629243662,False,-0.016497131897643968,0,0.2,60186,0,0,0.0,0.0,False,0.007617485058010079,12,0.7520000000000002,85611,0,8,0.8,320.0,False,-0.010749339699895045,8,0.748,85085,18,0,0.0,513.1244239631337,False,-0.015702314660604972,0.4666666666666666,371529,0.0,0.0,11,0,0,16,13,12.071428571428571,16,32,16,129.0,66.0,8,7,16,380,1.5340072970138863,31.75635308912024
9,16,0,0,0,10.000000000000002,20,10.0,20.334180050629666,6,10.0,28.506912442396317,0,,40.0,20,40.0,6,0.7100000000000002,39912,107,0,0.0,1070.0000000000002,False,-0.03407842575345083,0,0.20900000000000002,42983,0,15,0.5,305.012700759445,False,0.030126244217885106,0,0.2,57408,46,63,1.0,2731.3077661999328,False,-0.016027625804021974,0,0.2,60186,0,0,0.0,0.0,False,0.007617485058010079,1,0.7500000000000002,85923,0,0,0.0,0.0,False,-0.008996228504204007,11,0.8500000000000001,84901,18,0,0.0,513.1244239631337,False,-0.017824501897494124,0.25,371313,0.0,0.0,14,0,0,9,8,7.5,21,30,20,147.0,66.0,9,7,20,480,1.5931967730284669,33.349549862148706
10,20,0,0,0,10.000000000000002,20,10.0,20.050620285741044,3,10.0,28.578801574573554,10,29.0,40.0,20,40.0,3,0.7340000000000002,39760,118,0,0.0,1180.0000000000002,False,-0.03639489898266227,0,0.20900000000000002,42893,0,24,0.9,481.214886857785,False,0.030080896103283405,0,0.2,57668,39,63,1.0,2582.4386903420345,False,-0.012920939793892298,0,0.2,60186,0,0,0.0,0.0,False,0.007617485058010079,11,0.8590000000000002,85739,0,0,0.0,0.0,False,-0.011118415741093157,9,0.9290000000000003,84475,28,0,0.0,800.2064440880595,False,-0.021082278328961805,0.31666666666666665,370721,0.0,0.0,12,0,0,20,13,13.0,18,38,20,243.0,57.0,16,4,20,490,1.9765344799961895,35.326084342144895
