index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,25.0,0,,38.0,0,,0,0.2,33575,9,0,0.0,90.0,False,-0.0013366998366255755,0,0.2,33555,1,10,1.0,150.0,False,-0.0010396554284865587,0,0.2,57230,0,0,0.0,0.0,False,0.0,0,0.2,57230,0,0,0.0,0.0,False,0.0,0,0.2,91175,0,0,0.0,0.0,False,0.0,0,0.2,91175,0,0,0.0,0.0,False,0.0,0.16666666666666666,363940,0.0,0.0,11,0,0,0,0,0.0,744,744,114,0.0,0.0,0,0,114,200,2.7301008609938435,2.7301008609938435
1,114,0,0,0,10.0,20,10.0,12.943396226415095,8,7.0,25.0,0,,38.0,0,,8,0.28,33355,23,0,0.0,230.0,False,-0.005792365958710828,0,0.2,33495,0,17,0.7,220.03773584905662,False,-0.0017817059876867462,0,0.2,57174,0,8,0.8,200.0,False,0.0007688275380045431,0,0.2,57230,0,0,0.0,0.0,False,0.0,0,0.2,91175,0,0,0.0,0.0,False,0.0,0,0.2,91175,0,0,0.0,0.0,False,0.0,0.25,363604,0.0,0.0,12,0,0,18,1,1.0,27,45,47,415.0,813.0,23,91,47,200,5.234020555973984,7.964121416967828
2,47,0,0,0,10.0,20,10.0,11.884678747940692,13,8.0,25.0,0,,38.0,0,,13,0.402,33086,35,0,0.0,350.0,False,-0.012000594088816279,0,0.2,33415,0,25,0.8,297.11696869851727,False,-0.0030132634977198406,0,0.2,57110,0,16,0.8,400.0,False,0.001397868250917351,0,0.2,57190,0,5,0.5,125.0,False,0.00039315044557050496,0,0.2,91175,0,0,0.0,0.0,False,0.0,0,0.2,91175,0,0,0.0,0.0,False,0.0,0.35000000000000003,363151,0.0,0.0,8,0,0,20,2,2.0,24,44,43,363.0,174.0,24,23,43,200,2.1368479190277867,10.100969335995615
3,43,0,0,0,10.0,20,10.0,10.904207956340658,15,7.333333333333333,25.0,0,,38.0,20,38.0,10,0.4890000000000001,32911,41,0,0.0,410.0,False,-0.01630773800683202,0,0.2,33310,4,30,1.0,367.12623869021974,False,-0.005092436674733053,0,0.2,57110,0,16,0.0,400.0,False,0.001397868250917351,0,0.2,57080,5,15,1.0,429.5210397817033,False,0.001131583433354002,10,0.30000000000000004,91025,0,0,0.0,0.0,False,-0.0016451878256100905,10,0.30000000000000004,91039,0,0,0.0,0.0,False,-0.001491636961886482,0.3333333333333333,362475,0.0,0.0,12,0,0,16,11,11.0,23,39,35,279.0,180.0,18,25,35,235,2.08902248297818,12.189991818973795
4,35,0,0,0,10.0,20,10.0,10.366934096632585,10,7.0,25.0,0,,38.0,20,38.0,10,0.5790000000000002,32691,51,0,0.0,510.0,False,-0.021357492945195306,0,0.2,33210,4,40,1.0,454.6773638653034,False,-0.006762552148146289,0,0.2,57110,0,16,0.0,400.0,False,0.001397868250917351,0,0.2,57010,5,25,1.0,676.8346704831629,False,0.002069147916155546,9,0.38000000000000006,90902,0,0,0.0,0.0,False,-0.0029942418426103646,11,0.4,90868,0,0,0.0,0.0,False,-0.0033671510830819854,0.3333333333333333,361791,0.0,0.0,10,0,0,13,14,14.0,20,33,25,214.0,135.0,15,20,25,200,1.9790173969813623,14.169009215955157
5,25,0,0,0,10.0,20,10.0,9.863154739472366,15,7.666666666666667,25.566666666666666,15,27.266666666666666,38.0,20,38.0,15,0.7190000000000001,32406,60,0,0.0,600.0,False,-0.02848655874053171,0,0.2,33100,5,50,1.0,543.1577369736183,False,-0.008715910634581632,0,0.2,57414,0,8,0.0,204.53333333333333,False,0.00500203855786598,0,0.2,57000,10,28,1.0,814.4982140613903,False,0.0030971362402707195,11,0.4810000000000001,90640,0,7,0.7,266.0,False,-0.004409103372635043,9,0.47900000000000004,90439,8,0,0.0,204.53333333333333,False,-0.006950735764555385,0.45,360999,0.0,0.0,11,0,0,17,11,11.0,17,34,23,170.0,75.0,15,10,23,609,1.978162051003892,16.14717126695905
6,23,0,0,0,10.0,20,10.0,11.09394784645558,10,20.0,24.009836065573772,7,12.0,38.0,20,38.0,0,0.7040000000000002,32296,71,0,0.0,710.0,False,-0.0301203029852963,0,0.2,33210,4,50,1.0,594.697392322779,False,-0.004682943824108453,0,0.2,57414,0,8,0.0,192.07868852459018,False,0.004893226354399709,0,0.2,56884,10,31,1.0,855.2443964973428,False,0.001426213493773807,1,0.48000000000000004,90899,0,0,0.0,0.0,False,-0.0030271455991225664,12,0.5900000000000001,90165,15,0,0.0,360.1475409836066,False,-0.009102563526275852,0.3333333333333333,360868,0.0,0.0,16,0,0,11,7,6.25,20,31,20,165.0,144.0,10,13,20,636,1.5895466380170546,17.736717904976103
7,20,0,0,0,10.0,20,10.0,11.826879585854693,25,14.0,25.53481717011129,8,36.0,38.0,20,38.0,25,0.9540000000000002,32111,82,0,0.0,820.0,False,-0.03398188029110352,0,0.2,33120,3,60,1.0,739.6127751512815,False,-0.005204028291232985,0,0.2,57702,0,0,0.0,0.0,False,0.008247422680412371,0,0.2,56534,25,41,1.0,1342.5994936209302,False,-0.0004315962465408723,10,0.5790000000000001,90470,0,8,0.8,304.0,False,-0.006065259117082534,10,0.6780000000000002,90033,15,0,0.0,383.0222575516693,False,-0.01042488479543917,0.4666666666666666,359970,0.0,0.0,11,0,0,14,9,9.0,15,29,16,153.0,72.0,11,9,16,488,1.5688316749874502,19.305549579963554
8,16,0,0,0,10.0,20,10.0,11.707949022331432,39,11.435897435897436,25.53481717011129,0,,38.0,20,38.0,39,1.3190000000000002,31488,91,0,0.0,910.0,False,-0.05115104708153869,0,0.2,33010,4,70,1.0,859.5564315632002,False,-0.006690087159316689,0,0.2,57702,0,0,0.0,0.0,False,0.008247422680412371,0,0.2,56088,54,51,1.0,1934.504922881573,False,-0.003053425450973467,3,0.5990000000000002,90749,0,0,0.0,0.0,False,-0.004672333424732657,9,0.758,89910,15,0,0.0,383.0222575516693,False,-0.011773938812439445,0.3333333333333333,358947,0.0,0.0,14,0,0,7,11,10.5,20,27,17,111.0,87.0,7,9,17,466,1.3726396599668078,20.67818923993036
9,17,0,0,0,10.000000000000002,20,10.0,12.338102721854405,60,13.55,23.517358985570617,12,14.0,37.99999999999999,20,38.0,37,1.6500000000000001,30897,101,0,0.0,1010.0000000000002,False,-0.0672211495618595,0,0.2,33305,4,57,1.0,743.2718551457011,False,0.000345638721902679,0,0.2,57702,0,0,0.0,0.0,False,0.008247422680412371,0,0.2,55443,104,49,1.0,2435.5132733658183,False,-0.009946590307829593,9,0.6860000000000002,90624,0,0,0.0,0.0,False,-0.006043323279407733,11,0.8590000000000002,89575,27,0,0.0,634.9686926104066,False,-0.014066527597420244,0.3333333333333333,357546,0.0,0.0,14,0,0,11,14,14.0,16,27,18,147.0,39.0,9,8,18,763,1.3921771879540756,22.070366427884437
