index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,32.0,0,,45.0,0,,0,0.2,44856,10,0,0.0,100.0,False,-0.001112198594180977,0,0.2,44856,0,10,1.0,190.0,False,-0.00011121985941809769,0,0.2,65319,0,0,0.0,0.0,False,0.0,0,0.2,65319,0,0,0.0,0.0,False,0.0,0,0.2,98771,0,0,0.0,0.0,False,0.0,0,0.2,98771,0,0,0.0,0.0,False,0.0,0.16666666666666666,417892,0.0,0.0,8,0,0,189,0,0.0,598,787,154,0.0,0.0,0,0,154,200,3.1803550419863313,3.1803550419863313
1,154,0,0,0,10.0,20,10.0,19.0,0,,32.0,0,,45.0,0,,0,0.2,44726,23,0,0.0,230.0,False,-0.002558056766616247,0,0.2,44786,0,17,0.7,323.0,False,-0.0001890737610107661,0,0.2,65319,0,0,0.0,0.0,False,0.0,0,0.2,65319,0,0,0.0,0.0,False,0.0,0,0.2,98771,0,0,0.0,0.0,False,0.0,0,0.2,98771,0,0,0.0,0.0,False,0.0,0.11666666666666665,417692,0.0,0.0,9,0,0,63,0,0.0,52,115,77,1746.0,636.0,97,57,77,200,12.173791420005728,15.354146461992059
2,77,0,0,0,10.0,20,10.0,18.804347826086957,1,10.0,32.0,0,,45.0,0,,0,0.2,44666,29,0,0.0,290.0,False,-0.003225375923124833,0,0.2,44656,4,26,1.0,528.9130434782609,False,-0.0007906281310808742,0,0.2,65319,0,0,0.0,0.0,False,0.0,0,0.2,65309,0,1,0.1,32.0,False,9.185688697010058e-05,0,0.2,98771,0,0,0.0,0.0,False,0.0,0,0.2,98771,0,0,0.0,0.0,False,0.0,0.18333333333333335,417492,0.0,0.0,9,0,0,19,0,0.0,35,54,49,687.0,232.0,39,38,49,210,3.809048368013464,19.163194830005523
3,49,0,0,0,10.0,20,10.0,18.20945945945946,3,10.0,32.0,0,,45.0,8,45.0,2,0.22000000000000003,44559,37,0,0.0,370.0,False,-0.004715722039327342,0,0.2,44546,6,35,1.0,697.331081081081,False,-0.0013643219917132319,0,0.2,65299,0,2,0.2,64.0,False,0.00018371377394020116,0,0.2,65299,0,2,0.1,64.0,False,0.00018371377394020116,0,0.2,98771,0,0,0.0,0.0,False,0.0,8,0.28,98652,0,0,0.0,0.0,False,-0.0012048070790009213,0.21666666666666667,417126,0.0,0.0,10,0,0,22,6,6.0,26,48,31,438.0,118.0,29,20,31,210,4.624853564018849,23.788048394024372
4,31,0,0,0,10.0,20,10.0,17.636173184357542,3,10.0,32.0,0,,45.0,6,45.0,2,0.23800000000000002,44442,46,0,0.0,460.0,False,-0.006317288014947949,0,0.2,44446,7,44,1.0,845.9916201117319,False,-0.0019353187548744293,0,0.2,65279,0,4,0.2,128.0,False,0.0003674275478804023,0,0.2,65289,0,3,0.1,96.0,False,0.00027557066091030174,0,0.2,98771,0,0,0.0,0.0,False,0.0,6,0.332,98580,0,0,0.0,0.0,False,-0.0019337659839426553,0.21666666666666667,416807,0.0,0.0,10,0,0,12,4,4.0,17,29,27,161.0,100.0,12,19,27,210,2.3939844830310903,26.182032877055462
5,27,0,0,0,10.0,20,10.0,19.68380527311421,29,22.413793103448278,32.0,0,,44.99999999999999,9,45.0,0,0.23600000000000002,44362,54,0,0.0,540.0,False,-0.007207046890292731,0,0.2,44976,9,25,1.0,582.0951318278553,False,0.006918933310657677,0,0.2,64965,7,14,1.0,585.7866369117994,False,-0.0009355115899524007,0,0.2,64953,2,13,1.0,455.36761054622843,False,-0.0021175491775270454,0,0.2,98771,0,0,0.0,0.0,False,0.0,9,0.41600000000000004,98435,0,0,0.0,0.0,False,-0.003401808223061425,0.5,416462,0.0,0.0,12,0,0,8,4,4.0,21,29,21,168.0,91.0,11,16,21,850,1.8150241510011256,27.997057028056588
6,21,0,0,0,10.0,20,10.0,21.02968687433262,35,23.37142857142857,32.18181818181818,10,33.0,44.99999999999999,8,45.0,1,0.24600000000000002,44249,64,0,0.0,640.0,False,-0.008608417118960762,9,0.29000000000000004,45477,9,10,1.0,300.2968687433262,False,0.014929006903898603,0,0.2,64887,14,19,1.0,905.8701616952021,False,0.000320505225854668,0,0.2,64543,10,18,1.0,789.5695960160534,False,-0.00583620695344347,0,0.2,98771,0,0,0.0,0.0,False,0.0,8,0.48700000000000004,97983,10,0,0.0,321.8181818181818,False,-0.006348937533192048,0.5,415910,0.0,0.0,12,0,0,11,6,5.529411764705882,16,27,24,150.0,77.0,10,11,24,1015,1.8174455600092188,29.814502588065807
7,24,0,0,0,10.0,20,10.0,22.17988265320691,93,23.247311827956988,32.18181818181818,0,,44.99999999999999,11,45.0,45,0.6950000000000001,43465,75,0,0.0,750.0,False,-0.024824272622119406,38,0.661,45407,8,10,1.0,301.7988265320691,False,0.013388633625456831,0,0.2,63248,77,29,1.0,2641.123691569659,False,-0.011488818784965596,0,0.2,64020,20,28,1.0,1344.6885621550473,False,-0.009593773923704845,0,0.2,98771,0,0,0.0,0.0,False,0.0,11,0.5890000000000001,97802,10,0,0.0,321.8181818181818,False,-0.008181459224781685,0.5,412713,0.0,0.0,9,0,0,15,10,9.473684210526315,14,29,17,186.0,97.0,12,12,17,200,1.9581726629985496,31.772675251064356
8,17,0,0,0,10.0,20,10.0,22.17988265320691,0,,33.72477064220183,5,49.0,44.99999999999999,10,45.0,0,0.6500000000000001,43365,85,0,0.0,850.0,False,-0.025936471216300383,0,0.6230000000000001,45307,8,20,1.0,523.5976530641382,False,0.013631079867694353,0,0.2,63493,67,34,1.0,2632.694339599725,False,-0.00780252040294767,0,0.2,64020,10,38,1.0,1503.3401109357387,False,-0.008379337475039909,0,0.2,98771,0,0,0.0,0.0,False,0.0,10,0.6780000000000002,97382,15,0,0.0,505.87155963302746,False,-0.011502001804006089,0.5,412338,0.0,0.0,11,0,0,10,5,5.0,18,28,23,140.0,66.0,10,7,23,445,1.7228612979524769,33.49553654901683
9,23,0,0,0,10.000000000000002,20,10.0,22.30568200900211,35,22.885714285714286,35.972904318374255,10,47.0,44.99999999999999,11,45.0,18,0.8300000000000001,43243,90,0,0.0,900.0000000000001,False,-0.02809413648901148,0,0.6230000000000001,45616,13,13,1.0,419.97386611702746,False,0.019351964878069967,0,0.2,63621,75,34,1.0,2896.0048974998826,False,-0.003827332801329789,0,0.2,63561,17,48,1.0,2105.896001435,False,-0.010793980301022663,0,0.2,98771,0,0,0.0,0.0,False,0.0,11,0.778,96716,25,0,0.0,899.3226079593563,False,-0.0162531380265495,0.5,411528,0.0,0.0,11,0,0,14,6,6.0,17,31,26,225.0,85.0,15,8,26,1129,2.3019619040424004,35.797498453059234
