index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,23.0,0,,34.0,0,,42.0,0,,0,0.2,25535,0,10,1.0,170.0,False,-0.0005851375073142189,0,0.2,25535,10,0,0.0,100.0,False,-0.0019504583577140628,0,0.2,39460,0,0,0.0,0.0,False,0.0,0,0.2,39460.0,0,0,0.0,0.0,False,0.0,0,0.2,52185,0,0,0.0,0.0,False,0.0,0,0.2,52185,0,0,0.0,0.0,False,0.0,0,0.2,69397,0,0,0.0,0.0,False,0.0,0,0.2,69397,0,0,0.0,0.0,False,0.0,0.125,373154,0.0,0.0,10,0,0,0,0,0.0,910,910,68,0.0,0.0,0,0,68,200,5.973512155993376,5.973512155993376
1,68,0,0,0,10.0,20,10.0,16.319148936170212,2,1.0,23.0,0,,34.0,0,,42.0,0,,0,0.2,25455,0,18,0.8,293.74468085106383,False,-0.0012922824097705303,2,0.22000000000000003,25375,22,0,0.0,220.0,False,-0.005851375073142188,0,0.2,39458,0,2,0.2,46.0,False,0.0005321844906234161,0,0.2,39460.0,0,0,0.0,0.0,False,0.0,0,0.2,52185,0,0,0.0,0.0,False,0.0,0,0.2,52185,0,0,0.0,0.0,False,0.0,0,0.2,69397,0,0,0.0,0.0,False,0.0,0,0.2,69397,0,0,0.0,0.0,False,0.0,0.125,372912,0.0,0.0,7,0,0,33,1,1.0,37,70,45,830.0,163.0,51,17,45,200,9.526373087021057,15.499885243014432
2,45,0,0,0,10.0,20,10.0,14.677932405566601,8,6.0,20.84,5,1.4,31.58490566037736,8,18.0,42.0,0,,0,0.2,25335,2,28,1.0,430.98210735586485,False,-0.0032966236131097473,8,0.29800000000000004,25175,30,0,0.0,300.0,False,-0.01209284181782719,0,0.2,39410,0,10,0.8,208.4,False,0.0013735428281803621,5,0.25,39321.0,0,0,0.0,0.0,False,-0.0035225544855549923,0,0.2,52178,0,5,0.5,157.9245283018868,False,0.00137898369552441,8,0.28,51977,0,0,0.0,0.0,False,-0.00398581967998467,0,0.2,69325,0,4,0.4,168.0,False,0.00017291813767165726,0,0.2,69325,0,4,0.4,168.0,False,0.00017291813767165726,0.3875,372046,0.0,0.0,9,0,0,24,5,5.0,16,40,43,274.0,124.0,22,23,43,200,8.76841451600194,24.268299759016372
3,43,0,0,0,10.0,20,10.0,11.40303461356093,18,3.1666666666666665,17.925,11,6.0,28.854271356783922,12,18.0,42.0,0,,0,0.2,25252,3,35,1.0,429.1062114746326,False,-0.0065709730549126,15,0.44000000000000006,24760,39,0,0.0,390.0,False,-0.026526233664911254,0,0.2,39353,8,20,1.0,449.72427690848747,False,0.0029868762912884463,11,0.35500000000000004,39035.0,0,0,0.0,0.0,False,-0.010770400405473897,1,0.21000000000000002,52244,0,1,0.1,28.854271356783922,False,0.0014070544347684934,6,0.332,51774,0,10,1.0,288.5427135678392,False,-0.005111212862241709,0,0.2,69109,2,14,1.0,645.7085427135678,False,0.0005022446410765256,0,0.2,69325,0,4,0.0,168.0,False,0.00017291813767165726,0.5125,370852,0.0,0.0,10,0,0,20,8,7.166666666666667,14,34,33,180.0,94.0,15,28,33,227,22.114722177037038,46.38302193605341
4,33,0,0,0,10.0,20,10.0,11.40303461356093,0,,16.848736462093864,5,6.0,28.854271356783922,0,,42.0,20,42.0,0,0.2,25182,0,45,1.0,513.1365576102419,False,-0.00766263784649425,0,0.42500000000000004,24630,52,0,0.0,520.0,False,-0.029061829529939538,0,0.2,39353,0,28,0.8,471.7646209386282,False,0.003266150797499105,5,0.394,38925.0,0,0,0.0,0.0,False,-0.013558033451596554,0,0.20900000000000002,52214,0,6,0.5,173.12562814070353,False,0.0022144833586346343,0,0.32600000000000007,51774,0,10,0.0,288.5427135678392,False,-0.005111212862241709,0,0.2,69487,0,7,0.2,294.0,False,0.003415133219015231,7,0.27,69409,0,0,0.0,0.0,False,0.00017291813767165726,0.3125,370974,0.0,0.0,15,0,0,18,4,3.5,12,30,38,169.0,99.0,14,19,38,704,6.92798182903789,53.3110037650913
5,38,0,0,0,10.0,20,10.0,17.945245635308382,28,31.25,14.372421597154867,12,4.083333333333333,30.38573172385732,20,34.5,42.0,20,42.0,0,0.2,25977,0,25,0.8,448.63114088270953,False,0.02209149874941895,0,0.42500000000000004,24510,64,0,0.0,640.0,False,-0.03140237955919641,0,0.2,39353,0,28,0.0,402.42780472033627,False,0.0023875798874853096,12,0.5090000000000001,37712.0,28,0,0.0,502.4668777886347,False,-0.03793123570972327,4,0.24900000000000003,52515,0,8,0.8,243.08585379085855,False,0.008652734059508138,0,0.32600000000000007,51950,0,4,0.4,121.54292689542928,False,-0.003338670816370296,4,0.24000000000000002,69403,0,10,1.0,420.0,False,0.003112526478089831,9,0.35300000000000004,68941,0,10,1.0,420.0,False,-0.0035448218222689743,0.5,370361,0.0,0.0,16,0,0,23,9,8.8,12,35,46,221.0,80.0,20,18,46,1809,7.596468041010667,60.90747180610197
6,46,0,0,0,10.0,20,10.0,17.945245635308382,0,,16.3733508786824,15,23.8,34.24789507971042,15,51.333333333333336,42.0,20,42.0,0,0.2,25847,3,35,1.0,658.0835972357934,False,0.021105589959738567,0,0.42500000000000004,24440,71,0,0.0,710.0,False,-0.032767700409596257,0,0.2,39703,0,18,0.0,294.7203158162832,False,0.00989255341885819,5,0.5470000000000002,37573.0,28,0,0.0,502.4668777886347,False,-0.041453790195278256,0,0.24500000000000002,52425,0,13,1.0,445.22263603623543,False,0.008864833151635913,6,0.38600000000000007,52202,0,5,0.5,171.2394753985521,False,0.001966460433060815,0,0.23600000000000002,69531,0,6,0.5,252.0,False,0.0037465596495525745,1,0.35400000000000004,68833,0,10,1.0,420.0,False,-0.00510108506131389,0.5,370554,0.0,0.0,18,0,0,20,5,3.45,17,37,36,291.0,118.0,21,25,36,1482,7.915338370017707,68.82281017611967
7,36,0,0,0,10.0,20,10.0,20.72382521333453,16,34.0,18.454348900799644,8,35.0,36.260853891972374,10,51.0,41.99999999999999,20,42.0,0,0.2,26251,7,29,1.0,670.9909311867013,False,0.03711704566387169,0,0.42500000000000004,24380,77,0,0.0,770.0,False,-0.03393797542422469,0,0.2,39983,0,10,0.0,184.54348900799644,False,0.01559228952113523,0,0.542,37029.0,44,0,0.0,911.8483093867193,False,-0.050052606317958374,0,0.24500000000000002,52395,0,16,0.8,580.173662271558,False,0.009582961217510342,0,0.38000000000000006,52462,0,0,0.0,0.0,False,0.005308038708441123,4,0.276,69743,0,0,0.0,0.0,False,0.004985806302866118,0,0.35300000000000004,68743,0,10,1.0,419.99999999999994,False,-0.00639797109385132,0.35,370986,0.0,0.0,20,0,0,15,2,1.6666666666666665,16,31,30,164.0,86.0,16,20,30,2164,6.739587174030021,75.5623973501497
8,30,0,0,0,10.0,20,10.0,22.58206347172225,23,29.304347826086957,20.224531615214428,13,29.0,36.696079256714555,25,38.0,42.0,20,42.0,0,0.2,26865,3,16,1.0,391.313015547556,False,0.05561367301633624,0,0.42500000000000004,24240,91,0,0.0,910.0,False,-0.03666861712502438,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,3,0.5720000000000001,36315.0,67,0,0.0,1512.9982526053907,False,-0.060529672420103986,0,0.24500000000000002,52458,3,11,1.0,464.3304666695034,False,0.0096802765801428,10,0.48000000000000004,52522,0,0,0.0,0.0,False,0.006457794385359777,4,0.31200000000000006,69013,10,10,1.0,786.9607925671455,False,0.00013661103914538368,6,0.41300000000000003,68833,0,5,0.5,210.0,False,-0.006614118765940891,0.4375,370559,0.0,0.0,19,0,0,20,10,9.25,14,34,34,167.0,47.0,15,15,34,1938,6.647582104953472,82.20997945510317
9,34,0,0,0,10.000000000000002,20,10.0,22.58206347172225,0,,19.03026333417699,8,8.625,38.59828335637849,15,50.0,42.00000000000001,20,42.0,0,0.2,26765,3,26,1.0,617.1336502647785,False,0.056117293744193004,0,0.42500000000000004,24140,101,0,0.0,1010.0000000000002,False,-0.03861907548273844,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,8,0.6490000000000001,36142.0,67,0,0.0,1512.9982526053907,False,-0.06491385893809688,0,0.24500000000000002,52947,0,5,0.4,192.99141678189244,False,0.016451005238879882,5,0.52,52509,0,7,0.7,270.1879834946494,False,0.008797432054178834,3,0.338,68905,10,10,1.0,805.9828335637849,False,-0.0012825998705723108,2,0.42700000000000005,68777,0,5,0.5,210.00000000000003,False,-0.007421070075075292,0.45,370498,0.0,0.0,15,0,0,18,7,6.0,13,31,36,177.0,106.0,14,20,36,1162,6.570250759017654,88.78023021412082
