index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,26.0,0,,34.0,0,,51.0,0,,0,0.2,39673,1,10,1.0,220.0,False,0.0,0,0.2,39693,9,0,0.0,90.0,False,-0.0011311364150516552,0,0.2,48055,0,0,0.0,0.0,False,0.0,0,0.2,48055.0,0,0,0.0,0.0,False,0.0,0,0.2,66690,0,0,0.0,0.0,False,0.0,0,0.2,66690,0,0,0.0,0.0,False,0.0,0,0.2,86475,0,0,0.0,0.0,False,0.0,0,0.2,86475,0,0,0.0,0.0,False,0.0,0.125,481806,0.0,0.0,9,0,0,0,0,0.0,678,678,68,0.0,0.0,0,0,68,200,3.189482918998692,3.189482918998692
1,68,0,0,0,10.0,20,10.0,21.0,0,,26.0,0,,34.0,0,,51.0,0,,0,0.2,39593,0,19,0.9,399.0,False,0.00023879546539979388,0,0.2,39573,21,0,0.0,210.0,False,-0.0026393183017871954,0,0.2,48055,0,0,0.0,0.0,False,0.0,0,0.2,48055.0,0,0,0.0,0.0,False,0.0,0,0.2,66690,0,0,0.0,0.0,False,0.0,0,0.2,66690,0,0,0.0,0.0,False,0.0,0,0.2,86475,0,0,0.0,0.0,False,0.0,0,0.2,86475,0,0,0.0,0.0,False,0.0,0.1125,481606,0.0,0.0,9,0,0,38,0,0.0,29,67,48,768.0,309.0,47,21,48,200,6.371509743039496,9.560992662038188
2,48,0,0,0,10.0,20,10.0,19.367346938775512,4,1.0,19.73015873015873,18,4.055555555555555,34.0,0,,51.0,0,,0,0.2,39433,6,29,1.0,621.6530612244899,False,-0.0009846786161866008,4,0.24000000000000002,39437,25,0,0.0,250.0,False,-0.005555136616142573,3,0.23,48000,0,4,0.4,78.92063492063492,False,-0.00032337285484719514,15,0.35000000000000003,47544.0,0,0,0.0,0.0,False,-0.010633648943918427,0,0.2,66659,5,10,1.0,438.6507936507937,False,0.0028238925899744995,0,0.2,66648,0,3,0.3,102.0,False,0.0001349527665317139,0,0.2,86475,0,0,0.0,0.0,False,0.0,0,0.2,86475,0,0,0.0,0.0,False,0.0,0.3375,480671,0.0,0.0,10,0,0,30,4,4.0,20,50,42,377.0,150.0,32,16,42,200,9.159076517971698,18.720069180009887
3,42,0,0,0,10.0,20,10.0,19.367346938775512,0,,14.228536880290205,26,2.230769230769231,34.0,0,,51.0,0,,0,0.2,39373,2,39,1.0,775.3265306122449,False,-0.000561464311235346,0,0.23600000000000002,39297,39,0,0.0,390.0,False,-0.00731468215066737,0,0.227,48000,0,4,0.0,56.91414752116082,False,-0.00055234473497903,26,0.5950000000000001,46624.0,0,0,0.0,0.0,False,-0.029778378940797004,0,0.2,66659,0,15,0.5,510.0,False,0.00335882441145599,0,0.2,66590,16,13,1.0,669.6565900846433,False,0.0035211920084317937,0,0.2,86475,0,0,0.0,0.0,False,0.0,0,0.2,86475,0,0,0.0,0.0,False,0.0,0.3125,479493,0.0,0.0,9,0,0,22,3,3.0,18,40,37,264.0,146.0,21,21,37,200,5.134089961997233,23.85415914200712
4,37,0,0,0,10.0,20,10.0,18.45571658615137,18,16.22222222222222,13.366032574909857,6,2.6666666666666665,34.0,0,,51.0,20,51.0,0,0.2,39552,2,40,1.0,758.2286634460548,False,0.003723055871176904,9,0.32600000000000007,38977,49,0,0.0,490.0,False,-0.014101500640977302,0,0.227,47708,8,14,1.0,334.77018873794896,False,-0.00373769442578346,6,0.6290000000000002,46447.0,0,0,0.0,0.0,False,-0.033461658516283424,0,0.2,66659,0,15,0.0,510.0,False,0.00335882441145599,0,0.2,66574,12,23,1.0,942.3923908989183,False,0.0053260788041604714,7,0.27,86363,0,0,0.0,0.0,False,-0.0012951720150332466,13,0.33000000000000007,86185,0,0,0.0,0.0,False,-0.003353570396068228,0.375,478465,0.0,0.0,9,0,0,20,13,13.0,17,37,31,218.0,132.0,19,18,31,479,4.5138284909771755,28.367987632984295
5,31,0,0,0,10.0,20,10.0,17.104450648710795,5,2.0,13.366032574909857,0,,32.11764705882353,6,18.0,51.0,20,51.0,0,0.2,39462,1,50,1.0,865.2225324355397,False,0.002805501501087633,5,0.36700000000000005,38752,60,0,0.0,600.0,False,-0.018374682653394665,0,0.227,47698,3,24,1.0,372.09813374396896,False,-0.0035574015841850644,0,0.6230000000000001,46447.0,0,0,0.0,0.0,False,-0.033461658516283424,0,0.2,66659,0,15,0.0,481.7647058823529,False,0.0031471337972885705,0,0.2,66682,2,27,1.0,893.908535738055,False,0.006582010314425462,10,0.36300000000000004,86062,0,6,0.6,306.0,False,-0.003006649320612894,10,0.4170000000000001,85989,0,0,0.0,0.0,False,-0.0056201214223764095,0.45,477751,0.0,0.0,10,0,0,17,11,11.0,15,32,21,131.0,96.0,12,19,21,308,3.2721063080243766,31.640093941008672
6,21,0,0,0,10.0,20,10.0,22.447600907256803,25,34.16,13.66563477545542,20,14.75,35.49552772808587,10,51.0,50.99999999999999,20,51.0,0,0.2,40196,3,35,1.0,815.6660317539881,False,0.02063275810966988,0,0.36200000000000004,38672,68,0,0.0,680.0,False,-0.019380137244551694,0,0.227,47654,3,24,1.0,395.3180373327005,False,-0.004231421940144574,10,0.7230000000000001,45587.0,15,0,0.0,336.71401360885204,False,-0.04785439586298141,0,0.2,66919,0,10,0.0,354.9552772808587,False,0.006095031318644871,0,0.2,66637,12,32,1.0,1299.844504604213,False,0.008950701039167817,2,0.37300000000000005,85836,0,10,1.0,509.99999999999994,False,-0.004440589765828274,12,0.5270000000000001,85725,0,0,0.0,0.0,False,-0.008673026886383347,0.5,477226,0.0,0.0,17,0,0,16,10,9.333333333333334,11,27,24,143.0,89.0,11,10,24,2023,2.8999488970148377,34.54004283802351
7,24,0,0,0,10.0,20,10.0,25.573225539117132,48,30.25,13.940277905017378,14,15.571428571428571,35.49552772808587,0,,50.99999999999999,20,51.0,3,0.23,41470,1,10,1.0,265.7322553911713,False,0.045744818834567096,10,0.4620000000000001,38291,80,0,0.0,800.0,False,-0.027448910338586832,0,0.227,47835,2,29,1.0,455.4145103237382,False,0.00016038404249025902,9,0.8030000000000002,43865.0,54,0,0.0,1380.9541791123252,False,-0.07282328395471523,0,0.2,66919,0,10,0.0,354.9552772808587,False,0.006095031318644871,0,0.2,66419,16,42,1.0,1713.8566110598845,False,0.00878584953561172,1,0.38100000000000006,86336,0,0,0.0,0.0,False,-0.0016074009829430472,9,0.6050000000000001,85563,0,0,0.0,0.0,False,-0.010546400693842151,0.375,476698,0.0,0.0,17,0,0,16,12,11.333333333333332,15,31,20,217.0,96.0,14,10,20,1969,3.255732555000577,37.79577539302409
8,20,0,0,0,10.0,20,10.0,25.437077789825967,13,24.307692307692307,13.940277905017378,0,,36.806725727716504,5,50.0,51.0,20,51.0,0,0.227,41690,0,10,1.0,254.37077789825966,False,0.051132025964586186,3,0.48200000000000004,38112,91,0,0.0,910.0,False,-0.030565819571173616,0,0.227,47829,0,34,0.5,473.9694487705909,False,0.00022858650265930274,0,0.7940000000000003,43555.0,64,0,0.0,1627.9729785488619,False,-0.0767040580735734,0,0.2,66919,0,10,0.0,368.067257277165,False,0.006193336761712197,0,0.2,66669,6,47,1.0,1813.55777663278,False,0.013282034612631406,10,0.4800000000000001,85895,0,5,0.5,255.0,False,-0.005232726221451286,10,0.6960000000000002,85377,0,0,0.0,0.0,False,-0.012697311361665221,0.375,476046,0.0,0.0,13,0,0,17,9,9.0,13,30,25,187.0,68.0,14,6,25,760,3.5467581279808655,41.34253352100495
9,25,0,0,0,10.000000000000002,20,10.0,27.10440073273578,16,38.4375,13.66273542380618,17,12.235294117647058,38.010953102466274,5,50.0,51.00000000000001,20,51.0,6,0.28700000000000003,42030,2,10,1.0,291.0440073273578,False,0.06013930582569645,0,0.47900000000000004,38032,99,0,0.0,990.0000000000002,False,-0.031571274162330645,0,0.227,48019,0,29,0.0,396.21932729037917,False,0.0033734192830130304,12,0.9140000000000001,42525.0,80,0,0.0,2168.3520586188624,False,-0.09251532557882772,0,0.2,66919,0,10,0.0,380.1095310246627,False,0.006283622214909842,0,0.2,66711,13,52,1.0,2154.1851218377265,False,0.016465625444877136,5,0.52,86083,0,0,0.0,0.0,False,-0.004533102052616363,10,0.786,84932,0,5,0.5,255.00000000000003,False,-0.016368892743567506,0.3125,475251,0.0,0.0,13,0,0,18,13,11.59090909090909,18,36,32,221.0,90.0,17,8,32,844,4.2911174180335365,45.63365093903849
