index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,20.0,0,,28.0,0,,0,0.2,29675,13,0,0.0,130.0,False,-0.0021808421405804393,0,0.2,29735,7,0,0.0,70.0,False,-0.0011742996141586982,0,0.2,39663,0,0,0.0,0.0,False,0.0,0,0.2,39663,0,0,0.0,0.0,False,0.0,0,0.2,58004,0,0,0.0,0.0,False,0.0,0,0.2,58004,0,0,0.0,0.0,False,0.0,0.0,254744,0.0,0.0,8,0,0,162,0,0.0,502,664,116,0.0,0.0,0,0,116,200,5.178062828024849,5.178062828024849
1,116,0,0,0,10.0,20,10.0,16.0,0,,20.0,0,,28.0,0,,0,0.2,29555,25,0,0.0,250.0,False,-0.004193927193423922,0,0.2,29655,15,0,0.0,150.0,False,-0.0025163563160543532,0,0.2,39663,0,0,0.0,0.0,False,0.0,0,0.2,39663,0,0,0.0,0.0,False,0.0,0,0.2,58004,0,0,0.0,0.0,False,0.0,0,0.2,58004,0,0,0.0,0.0,False,0.0,0.0,254544,0.0,0.0,10,0,0,51,0,0.0,51,102,47,1091.0,176.0,78,38,47,200,10.093280647008214,15.271343475033063
2,47,0,0,0,10.0,20,10.0,12.421052631578947,31,7.225806451612903,20.0,0,,28.0,0,,25,0.45000000000000007,28995,35,0,0.0,350.0,False,-0.021305150142593526,6,0.26,29446,25,0,0.0,250.0,False,-0.007851031706089582,0,0.2,39574,1,10,1.0,212.42105263157896,False,0.000433918924836407,0,0.2,39528,10,10,1.0,324.2105263157895,False,0.0006833891323876965,0,0.2,58004,0,0,0.0,0.0,False,0.0,0,0.2,58004,0,0,0.0,0.0,False,0.0,0.3333333333333333,253551,0.0,0.0,9,0,0,17,7,7.0,47,64,22,632.0,22.0,42,5,22,200,5.2694135020137765,20.54075697704684
3,22,0,0,0,10.0,20,10.0,11.00221238938053,22,6.590909090909091,20.0,0,,28.0,9,28.0,16,0.5850000000000001,28636,47,0,0.0,470.0,False,-0.031337023989263545,6,0.31400000000000006,29255,33,0,0.0,330.0,False,-0.01291729575574568,0,0.2,39484,1,20,1.0,411.00221238938053,False,0.0006681568765522886,0,0.2,39473,12,20,1.0,532.0265486725664,False,0.0019164781871337183,0,0.2,58004,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,57913,0,0,0.0,0.0,False,-0.0015688573201848147,0.3333333333333333,252765,0.0,0.0,12,0,0,12,10,10.0,20,32,24,144.0,63.0,10,12,24,200,3.216662165010348,23.757419142057188
4,24,0,0,0,10.0,20,10.0,10.509413309982484,10,6.5,20.0,0,,28.0,14,28.0,5,0.6190000000000001,28516,54,0,0.0,540.0,False,-0.034188894480791814,5,0.35800000000000004,29050,46,0,0.0,460.0,False,-0.017614494212380472,0,0.2,39464,0,26,0.6,520.0,False,0.0015379572901696795,0,0.2,39428,7,30,1.0,673.5658931698774,False,0.002566193847791025,0,0.2,58004,0,0,0.0,0.0,False,0.0,14,0.42100000000000004,57721,0,0,0.0,0.0,False,-0.004878973863871457,0.26666666666666666,252183,0.0,0.0,10,0,0,11,9,9.0,25,36,20,225.0,24.0,16,8,20,200,3.2790862979600206,27.03650544001721
5,20,0,0,0,10.0,20,10.0,9.77607920638611,21,6.904761904761905,21.78,5,37.8,28.0,10,28.0,16,0.774,28153,66,0,0.0,660.0,False,-0.0443549739976514,5,0.403,28874,54,0,0.0,540.0,False,-0.0221774869988257,0,0.2,39567,1,31,1.0,684.9560792063862,False,0.006214306522532156,0,0.2,39369,7,40,1.0,939.6325544447028,False,0.004432752873518174,0,0.2,58004,0,0,0.0,0.0,False,0.0,10,0.5070000000000001,57422,5,0,0.0,108.9,False,-0.009095062409489051,0.3333333333333333,251389,0.0,0.0,11,0,0,11,13,13.0,20,31,22,150.0,40.0,11,9,22,389,3.167002414003946,30.203507854021154
6,22,0,0,0,10.0,20,10.0,9.074034837626199,30,6.9,24.72407407407407,9,39.44444444444444,28.0,11,28.0,23,0.9880000000000002,27617,77,0,0.0,770.0,False,-0.06049320583794665,7,0.468,28653,63,0,0.0,630.0,False,-0.028082536487166583,0,0.2,39872,1,32,1.0,800.2444052079965,False,0.015357441509820179,0,0.2,39212,17,50,1.0,1390.4622959433489,False,0.006157656959172872,0,0.2,58004,0,0,0.0,0.0,False,0.0,11,0.6070000000000001,56938,14,0,0.0,346.137037037037,False,-0.015394308693908676,0.3333333333333333,250296,0.0,0.0,14,0,0,18,14,14.0,18,36,24,213.0,30.0,16,6,24,555,3.0106929690227844,33.21420082304394
7,24,0,0,0,10.0,20,10.0,8.98510913118042,11,8.090909090909092,23.708823529411767,16,20.625,28.0,10,28.0,6,1.0250000000000001,27482,84,0,0.0,840.0,False,-0.06384834759268579,5,0.5110000000000001,28463,76,0,0.0,760.0,False,-0.032276463680590506,0,0.2,39972,1,37,1.0,886.2115797194157,False,0.018962402991697713,0,0.2,39353,8,49,1.0,1233.6132259906199,False,0.0077353355266950976,0,0.2,58004,0,0,0.0,0.0,False,0.0,10,0.6960000000000002,56501,30,0,0.0,711.264705882353,False,-0.019780836615730386,0.3333333333333333,249775,0.0,0.0,14,0,0,16,8,8.0,20,36,22,159.0,39.0,11,13,22,530,3.17893210897455,36.39313293201849
8,22,0,0,0,10.0,20,10.0,8.13625310384027,14,1.5,23.708823529411767,0,,28.0,6,28.0,0,1.0190000000000001,27382,94,0,0.0,940.0,False,-0.06552591847005536,14,0.6460000000000001,28062,86,0,0.0,860.0,False,-0.044053011239724875,0,0.2,39963,0,41,0.4,972.0617647058824,False,0.019817736488741175,0,0.2,39341,9,59,1.0,1472.0468661698567,False,0.010438530446131838,0,0.2,58004,0,0,0.0,0.0,False,0.0,6,0.746,56455,30,0,0.0,711.264705882353,False,-0.020573885370988643,0.2333333333333333,249207,0.0,0.0,10,0,0,12,6,6.0,19,31,18,105.0,33.0,11,11,18,200,2.9038465640041977,39.296979496022686
9,18,0,0,0,10.000000000000002,20,10.0,7.772232165648536,20,5.75,24.3773470722931,3,37.333333333333336,28.0,9,28.0,11,1.1290000000000002,27151,102,0,0.0,1020.0000000000002,False,-0.07193423922160712,9,0.7220000000000002,27772,98,0,0.0,980.0000000000002,False,-0.0517698372756249,0,0.2,39913,4,50,1.0,1249.956282277249,False,0.022060311654151756,0,0.2,39388,5,67,1.0,1672.1434146718805,False,0.014145972501725564,0,0.2,58004,0,0,0.0,0.0,False,0.0,9,0.8300000000000001,56256,33,0,0.0,804.4524533856724,False,-0.023201395995227272,0.3333333333333333,248484,0.0,0.0,12,0,0,13,11,11.0,19,32,17,129.0,27.0,9,9,17,312,3.0071040169568732,42.30408351297956
