index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,42.0,0,,0,0.2,34522,10,0,0.0,100.0,False,-0.0014441684478077523,0,0.2,34522,10,0,0.0,100.0,False,-0.0014441684478077523,0,0.2,46842,0,0,0.0,0.0,False,0.0,0,0.2,46842,0,0,0.0,0.0,False,0.0,0,0.2,69651,0,0,0.0,0.0,False,0.0,0,0.2,69651,0,0,0.0,0.0,False,0.0,0.0,302030,0.0,0.0,12,0,0,1,0,0.0,1224,1225,87,0.0,0.0,0,0,87,200,13.662065173964947,13.662065173964947
1,87,0,0,0,10.0,20,10.0,16.272727272727273,10,4.0,30.0,0,,42.0,0,,0,0.2,34422,20,0,0.0,200.0,False,-0.0028883368956155045,10,0.30000000000000004,34232,20,0,0.0,200.0,False,-0.008376176997284964,0,0.2,46842,0,0,0.0,0.0,False,0.0,0,0.2,46802,0,10,1.0,300.0,False,0.0023483198838649077,0,0.2,69651,0,0,0.0,0.0,False,0.0,0,0.2,69651,0,0,0.0,0.0,False,0.0,0.16666666666666666,301600,0.0,0.0,11,0,0,51,1,1.0,58,109,63,1200.0,16.0,86,1,63,200,21.51854242599802,35.18060759996297
2,63,0,0,0,10.0,20,10.0,15.467289719626168,4,5.5,30.0,0,,42.0,0,,2,0.22000000000000003,34296,30,0,0.0,300.0,False,-0.005083472936283288,2,0.31000000000000005,34087,30,0,0.0,300.0,False,-0.011120097048119693,0,0.2,46841,0,1,0.1,30.0,False,0.00029887707612826094,0,0.2,46781,0,13,0.3,390.0,False,0.0028606805857990694,0,0.2,69651,0,0,0.0,0.0,False,0.0,0,0.2,69651,0,0,0.0,0.0,False,0.0,0.06666666666666667,301307,0.0,0.0,12,0,0,18,3,3.0,63,81,21,894.0,9.0,60,3,21,200,9.378255977993831,44.5588635779568
3,21,0,0,0,10.0,20,10.0,12.170693686671862,16,2.25,33.05882352941177,6,56.0,42.0,20,42.0,1,0.228,34183,40,0,0.0,400.0,False,-0.006903125180521056,15,0.4580000000000001,33586,40,0,0.0,400.0,False,-0.02414649644734562,0,0.2,46805,6,11,1.0,436.6712209435606,False,0.0038712183611242534,0,0.2,47117,0,7,0.0,231.41176470588238,False,0.00834093083884002,9,0.29000000000000004,69509,0,0,0.0,0.0,False,-0.0020387359836901123,11,0.31000000000000005,69123,6,0,0.0,198.3529411764706,False,-0.006156746197639117,0.16666666666666666,300323,0.0,0.0,12,0,0,8,18,18.0,27,35,24,150.0,35.0,11,10,24,536,4.873188161989674,49.43205173994647
4,24,0,0,0,10.0,20,10.0,11.618918251420103,3,1.0,35.30056710775048,7,50.0,42.0,20,42.0,0,0.227,34053,53,0,0.0,530.0,False,-0.008780544162671135,3,0.4730000000000001,33448,47,0,0.0,470.0,False,-0.02712148344982959,0,0.2,46802,0,20,0.9,706.0113421550096,False,0.006682158555943437,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,13,0.41100000000000003,69254,0,0,0.0,0.0,False,-0.00569984637693644,7,0.369,68693,13,0,0.0,458.90737240075623,False,-0.010459954829071035,0.15,299717,0.0,0.0,12,0,0,12,12,12.0,24,36,16,196.0,33.0,13,11,16,550,5.500502579961903,54.93255431990838
5,16,0,0,0,10.0,20,10.0,9.384282813130206,16,1.75,32.82658853689801,7,16.0,42.0,20,42.0,0,0.227,33923,66,0,0.0,660.0,False,-0.010657963144821212,16,0.6300000000000001,32953,54,0,0.0,540.0,False,-0.04040783316966091,0,0.2,46886,6,23,1.0,811.3172332274354,False,0.009599475184956244,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,12,0.5180000000000001,68917,0,7,0.7,294.0,False,-0.00842773255229645,8,0.44200000000000006,68576,13,0,0.0,426.7456509796741,False,-0.012370636092951564,0.2833333333333333,298722,0.0,0.0,14,0,0,15,17,17.0,15,30,8,101.0,22.0,8,8,8,312,5.293173799000215,60.22572811890859
6,8,0,0,0,10.0,20,10.0,8.634117061216733,9,3.3333333333333335,32.14348341455155,4,23.75,41.99999999999999,20,42.0,1,0.23700000000000002,33790,78,0,0.0,780.0,False,-0.012766449078620531,8,0.694,32693,62,0,0.0,620.0,False,-0.04676217434001502,0,0.2,46951,5,29,1.0,975.3316043280786,False,0.01273783788403654,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,7,0.5760000000000001,69117,0,0,0.0,0.0,False,-0.007666795882327605,6,0.49400000000000005,68414,17,0,0.0,546.4392180473762,False,-0.013837280024354524,0.16666666666666666,298432,0.0,0.0,13,0,0,12,10,10.0,17,29,7,64.0,9.0,5,3,7,589,2.973620130040217,63.19934824894881
7,7,0,0,0,10.0,20,10.0,8.674686346337387,2,10.0,32.14348341455155,0,,42.0,20,42.0,2,0.256,33673,87,0,0.0,870.0,False,-0.014846051643463693,0,0.6860000000000002,32583,73,0,0.0,730.0,False,-0.048350759632603546,0,0.2,46931,0,36,0.7,1157.1654029238557,False,0.014251797563339056,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,10,0.669,68950,0,0,0.0,0.0,False,-0.010064464257512454,10,0.5880000000000001,68247,17,0,0.0,546.4392180473762,False,-0.016234948399539376,0.11666666666666665,297851,0.0,0.0,9,0,0,8,14,14.0,19,27,6,80.0,6.0,5,2,6,200,3.236176209000405,66.43552445794921
8,6,0,0,0,10.0,20,10.0,8.59569448138956,3,7.0,32.14348341455155,0,,42.00000000000001,20,42.0,2,0.274,33527,99,0,0.0,990.0,False,-0.01733002137369303,1,0.6960000000000002,32481,81,0,0.0,810.0,False,-0.05014152850788516,0,0.2,46910,0,39,0.3,1253.5958531675103,False,0.014832798056952236,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,10,0.7590000000000001,68788,0,0,0.0,0.0,False,-0.012390346154398357,10,0.6780000000000002,68092,17,0,0.0,546.4392180473762,False,-0.01846032922680675,0.049999999999999996,297265,0.0,0.0,13,0,0,10,11,11.0,17,27,5,58.0,6.0,4,2,5,200,3.202639422030188,69.6381638799794
9,5,0,0,0,10.000000000000002,20,10.0,7.378460671889265,15,2.7333333333333334,30.082642005613298,7,16.0,42.0,20,42.0,2,0.29200000000000004,33371,112,0,0.0,1120.0000000000002,False,-0.019958407948703138,13,0.8250000000000002,32085,88,0,0.0,880.0000000000001,False,-0.06056842470105713,0,0.2,46981,5,42,1.0,1300.363267595205,False,0.01684773566025373,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,13,0.8790000000000002,68431,0,7,0.7,294.0,False,-0.015405378242954158,7,0.738,68013,17,0,0.0,511.4049140954261,False,-0.019846054513966663,0.2833333333333333,296348,0.0,0.0,14,0,0,6,15,15.0,20,26,5,60.0,3.0,4,1,5,312,3.056447768001817,72.69461164798122
10,5,0,0,0,10.000000000000002,20,10.0,6.758039379465208,11,3.090909090909091,29.66455503377241,16,28.375,42.0,20,42.0,0,0.29000000000000004,33221,127,0,0.0,1270.0000000000002,False,-0.022124660620414766,11,0.9219999999999999,31786,93,0,0.0,930.0000000000001,False,-0.06848246779504362,0,0.2,47401,6,36,1.0,1108.4722174925978,False,0.0237657680873212,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,4,0.9060000000000001,68531,1,10,1.0,449.6645550337724,False,-0.012852187656790389,9,0.8210000000000002,67571,22,0,0.0,652.620210742993,False,-0.025178244312766614,0.3333333333333333,295977,0.0,0.0,19,0,0,8,11,10.666666666666668,20,28,8,58.0,3.0,4,1,8,906,3.068751317972783,75.763362965954
11,8,0,0,0,10.000000000000002,20,10.0,6.626335137960412,8,5.5,28.739684351609654,10,23.3,42.0,20,42.0,4,0.33000000000000007,33065,137,0,0.0,1370.0000000000002,False,-0.0251862977297672,4,0.9510000000000001,31598,103,0,0.0,1030.0000000000002,False,-0.072468372710993,0,0.2,47590,4,36,1.0,1061.1339772097892,False,0.02729531165631042,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,1,0.9120000000000001,68943,0,1,0.1,42.0,False,-0.009863462118275402,9,0.9020000000000001,67213,32,0,0.0,919.6698992515089,False,-0.028401100492085427,0.18333333333333335,295876,0.0,0.0,18,0,0,10,8,7.5,19,29,9,95.0,3.0,7,1,9,811,3.7279417749959975,79.49130474095
12,9,0,0,0,10.000000000000002,20,10.0,6.626335137960412,0,,29.879635812732708,5,44.0,42.0,20,42.0,0,0.32600000000000007,32965,147,0,0.0,1470.0000000000002,False,-0.026630466177574953,0,0.9470000000000003,31498,113,0,0.0,1130.0000000000002,False,-0.07391254115880076,0,0.2,47810,0,35,0.4,1045.7872534456449,False,0.03182813771236967,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,8,0.9910000000000001,68650,0,5,0.5,210.0,False,-0.012864136911171413,11,1.0030000000000001,67025,32,0,0.0,956.1483460074467,False,-0.030838406153483423,0.15,295415,0.0,0.0,10,0,0,11,12,11.5,20,31,6,130.0,0.0,9,0,6,420,4.23942017700756,83.73072491795756
13,6,0,0,0,10.000000000000002,20,10.0,6.67468616117172,1,10.0,29.307585505767726,8,25.0,42.0,20,42.0,1,0.3360000000000001,32882,154,0,0.0,1540.0000000000002,False,-0.028016867887470393,0,0.9470000000000003,31368,126,0,0.0,1260.0000000000002,False,-0.07578996014095084,0,0.2,48000,0,28,0.1,820.6123941614964,False,0.033480769332666124,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,5,1.0330000000000001,68820,0,0,0.0,0.0,False,-0.011930912693285093,10,1.0920000000000003,66661,40,0,0.0,1172.303420230709,False,-0.034512760619153225,0.016666666666666666,295198,0.0,0.0,13,0,0,10,8,8.0,19,29,6,91.0,0.0,6,0,6,610,3.2776927469531074,87.00841766491067
14,6,0,0,0,10.000000000000002,20,10.0,6.777324083250374,2,10.0,28.65326800666308,11,25.0,42.0,20,42.0,2,0.3550000000000001,32766,163,0,0.0,1630.0000000000002,False,-0.030067587083357404,0,0.9470000000000003,31258,137,0,0.0,1370.0000000000002,False,-0.07737854543353936,0,0.2,48255,0,19,0.2,544.4120921265985,False,0.0359763896943619,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,11,1.1380000000000001,68634,0,0,0.0,0.0,False,-0.014601369686005944,9,1.1720000000000004,66242,51,0,0.0,1461.3166683398172,False,-0.03845374317425571,0.03333333333333333,294622,0.0,0.0,13,0,0,12,13,13.0,18,30,6,73.0,0.0,6,0,6,475,3.644419192976784,90.65283685788745
15,6,0,0,0,10.000000000000002,20,10.0,6.6828229071575525,11,6.181818181818182,28.184476846660445,3,18.0,42.0,20,42.0,6,0.41300000000000003,32568,174,0,0.0,1740.0000000000002,False,-0.03419790884408758,5,0.9970000000000001,31056,146,0,0.0,1460.0000000000002,False,-0.08191323435965571,0,0.2,48241,1,26,1.0,739.4792209203291,False,0.037759694514755235,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,8,1.2070000000000003,68522,0,0,0.0,0.0,False,-0.01620938679990237,12,1.2830000000000004,65974,54,0,0.0,1521.961749719664,False,-0.0418661487292382,0.16666666666666666,293828,0.0,0.0,14,0,0,9,15,15.0,20,29,5,95.0,0.0,6,0,5,254,3.1251364430063404,93.77797330089379
16,5,0,0,0,10.000000000000002,20,10.0,6.377894105830045,8,4.0,27.867176954838055,4,23.0,42.0,20,42.0,2,0.42700000000000005,32461,182,0,0.0,1820.0000000000002,False,-0.03613309456414996,6,1.0520000000000003,30801,158,0,0.0,1580.0000000000002,False,-0.08754549130610595,0,0.2,48301,0,31,0.9,863.8824855999796,False,0.04036849926988584,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,10,1.2990000000000002,68357,0,0,0.0,0.0,False,-0.01857834058376764,10,1.3710000000000002,65721,58,0,0.0,1616.2962633806071,False,-0.04482135027938855,0.15,293108,0.0,0.0,11,0,0,8,15,15.0,14,22,5,69.0,0.0,5,0,5,292,2.76871014398057,96.54668344487436
17,5,0,0,0,10.000000000000002,20,10.0,6.458145865633123,2,9.0,27.867176954838055,0,,42.0,20,42.0,2,0.44500000000000006,32333,192,0,0.0,1920.0000000000005,False,-0.03838599734273006,0,1.0460000000000003,30701,168,0,0.0,1680.0000000000002,False,-0.0889896597539137,0,0.2,48283,0,33,0.2,919.6168395096558,False,0.040579147341164565,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,15,1.4390000000000003,68029,0,0,0.0,0.0,False,-0.023287533560178604,5,1.411,65673,58,0,0.0,1616.2962633806071,False,-0.045510500471058445,0.03333333333333333,292486,0.0,0.0,13,0,0,8,13,13.0,18,26,7,60.0,3.0,4,1,7,200,2.4663492309628054,99.01303267583717
18,7,0,0,0,10.000000000000002,20,10.0,6.397523661811277,14,6.142857142857143,27.52391393947298,8,25.0,42.0,20,42.0,6,0.5030000000000001,32144,202,0,0.0,2020.0000000000005,False,-0.04240078562763561,8,1.1260000000000003,30428,178,0,0.0,1780.0000000000002,False,-0.09543065103113627,0,0.2,48397,4,35,1.0,988.9270825287994,False,0.04375269077461249,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,11,1.5340000000000003,67844,0,0,0.0,0.0,False,-0.025943633257239668,9,1.4960000000000004,65343,66,0,0.0,1816.5783200052167,False,-0.04881065368763399,0.16666666666666666,291623,0.0,0.0,13,0,0,9,15,15.0,23,32,8,86.0,3.0,6,1,8,400,7.212341479025781,106.22537415486295
19,8,0,0,0,10.000000000000002,20,10.0,6.451670939407461,1,10.0,28.942107161809695,5,46.0,42.0,20,42.0,1,0.5070000000000001,32041,211,0,0.0,2110.0000000000005,False,-0.0440760210270926,0,1.118,30318,189,0,0.0,1890.0000000000002,False,-0.0970192363237248,0,0.2,48617,0,35,0.5,1012.9737506633393,False,0.04870600903743797,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,9,1.613,67472,0,5,0.5,210.0,False,-0.02977703119840347,11,1.5970000000000002,65153,66,0,0.0,1910.1790726794397,False,-0.05086661302293271,0.16666666666666666,291068,0.0,0.0,15,0,0,9,14,14.0,23,32,6,100.0,3.0,7,1,6,430,3.8292959830141626,110.05467013787711
20,6,0,0,0,10.000000000000002,20,10.0,6.074326566588317,8,3.25,27.548803136183444,14,21.714285714285715,42.0,20,42.0,1,0.516,31918,222,0,0.0,2220.0000000000005,False,-0.04604009011611114,7,1.1880000000000004,30063,198,0,0.0,1980.0000000000005,False,-0.10308474380451736,0,0.2,48895,0,29,0.8,798.9152909493199,False,0.052355955029133185,0,0.2,47467,0,0,0.0,0.0,False,0.013342726612868793,5,1.6540000000000004,67534,0,6,0.6,252.0,False,-0.02858537565864094,10,1.6860000000000004,64791,74,0,0.0,2038.6114320775748,False,-0.0551419833736948,0.2333333333333333,290668,0.0,0.0,16,0,0,7,13,13.0,18,25,7,73.0,3.0,5,1,7,714,2.452692210965324,112.50736234884243
