index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,34.0,0,,46.0,0,,58.0,0,,0,0.2,51227,12,0,0.0,120.0,False,-0.0011685200693321907,0,0.2,51267,8,0,0.0,80.0,False,-0.0007790133795547939,0,0.2,78237,0,0,0.0,0.0,False,0.0,0,0.2,78237,0,0,0.0,0.0,False,0.0,0,0.2,102153,0,0,0.0,0.0,False,0.0,0,0.2,102153,0,0,0.0,0.0,False,0.0,0,0.2,137961,0,0,0.0,0.0,False,0.0,0,0.2,137961,0,0,0.0,0.0,False,0.0,0.0,739196,0.0,0.0,7,0,0,0,0,0.0,622,622,123,0.0,0.0,0,0,123,200,4.467044590972364,4.467044590972364
1,123,0,0,0,10.0,20,10.0,22.0,0,,34.0,0,,46.0,0,,58.0,0,,0,0.2,51137,21,0,0.0,210.0,False,-0.002044910121331334,0,0.2,51157,19,0,0.0,190.0,False,-0.0018501567764426354,0,0.2,78237,0,0,0.0,0.0,False,0.0,0,0.2,78237,0,0,0.0,0.0,False,0.0,0,0.2,102153,0,0,0.0,0.0,False,0.0,0,0.2,102153,0,0,0.0,0.0,False,0.0,0,0.2,137961,0,0,0.0,0.0,False,0.0,0,0.2,137961,0,0,0.0,0.0,False,0.0,0.0,738996,0.0,0.0,6,0,0,35,0,0.0,31,66,44,898.0,828.0,53,70,44,200,8.621892004972324,13.088936595944688
2,44,0,0,0,10.0,20,10.0,22.0,0,,34.0,0,,46.0,0,,58.0,0,,0,0.2,51027,32,0,0.0,320.0,False,-0.0031160535182191756,0,0.2,51067,28,0,0.0,280.0,False,-0.0027265468284417785,0,0.2,78237,0,0,0.0,0.0,False,0.0,0,0.2,78237,0,0,0.0,0.0,False,0.0,0,0.2,102153,0,0,0.0,0.0,False,0.0,0,0.2,102153,0,0,0.0,0.0,False,0.0,0,0.2,137961,0,0,0.0,0.0,False,0.0,0,0.2,137961,0,0,0.0,0.0,False,0.0,0.0,738796,0.0,0.0,7,0,0,14,0,0.0,21,35,43,315.0,246.0,21,23,43,200,4.685262619983405,17.774199215928093
3,43,0,0,0,10.0,20,10.0,20.25,7,9.0,33.319148936170215,2,18.0,46.0,0,,58.0,0,,2,0.22000000000000003,50886,41,0,0.0,410.0,False,-0.0049856856291506805,5,0.25,50887,39,0,0.0,390.0,False,-0.005160963639550509,2,0.22000000000000003,78190,0,1,0.1,33.319148936170215,False,-0.00038780149458591585,0,0.2,78175,0,6,0.6,199.91489361702128,False,0.00048515979406808487,0,0.2,102117,0,2,0.2,92.0,False,9.789237712059361e-05,0,0.2,102153,0,0,0.0,0.0,False,0.0,0,0.2,137961,0,0,0.0,0.0,False,0.0,0,0.2,137961,0,0,0.0,0.0,False,0.0,0.11249999999999999,738330,0.0,0.0,7,0,0,17,4,4.0,20,37,38,321.0,119.0,23,20,38,200,2.6907679149881005,20.464967130916193
4,38,0,0,0,10.0,20,10.0,16.87063953488372,22,9.681818181818182,34.262425447316105,8,39.25,46.0,0,,58.0,20,58.0,7,0.28800000000000003,50640,49,0,0.0,490.0,False,-0.008997604533857869,15,0.395,50472,51,0,0.0,510.0,False,-0.012074707383099305,7,0.28800000000000003,78077,1,10,1.0,359.49489400804475,False,0.0002524054731650995,0,0.2,78084,1,16,1.0,565.0694466919414,False,0.0016556708890419635,0,0.2,101803,0,10,0.8,460.0,False,-0.0011747085254471235,0,0.2,102153,0,0,0.0,0.0,False,0.0,11,0.31000000000000005,137713,0,0,0.0,0.0,False,-0.0017976094693427853,9,0.29000000000000004,137787,0,0,0.0,0.0,False,-0.001261225998651793,0.35,736729,0.0,0.0,7,0,0,16,15,14.8,19,35,29,312.0,94.0,21,17,29,200,2.7320597780053504,23.197026908921544
5,29,0,0,0,10.0,20,10.0,15.232698961937714,19,9.894736842105264,36.29758022996396,13,43.38461538461539,42.0,9,22.0,58.0,20,58.0,4,0.32100000000000006,50448,58,0,0.0,580.0,False,-0.011860478703721736,15,0.53,50067,62,0,0.0,620.0,False,-0.018891074454203752,0,0.281,78271,0,14,0.9,508.1661232194955,False,0.00368218440903603,0,0.2,78266,2,18,1.0,683.8218420632268,False,0.004740863287595501,0,0.2,101437,3,11,1.0,570.8927406898919,False,-0.004214791828483317,0,0.2,102153,0,0,0.0,0.0,False,0.0,6,0.35900000000000004,137422,9,0,0.0,378.0,False,-0.002536948847862802,14,0.42100000000000004,137453,0,0,0.0,0.0,False,-0.0036822000420408665,0.3625,735517,0.0,0.0,10,0,0,11,10,10.0,19,30,26,280.0,96.0,17,12,26,962,2.196591274056118,25.39361818297766
6,26,0,0,0,10.0,20,10.0,14.320334416885602,17,10.411764705882353,39.64168260605251,15,51.333333333333336,42.0,0,,57.99999999999999,20,58.0,2,0.337,50296,68,0,0.0,680.0,False,-0.013846962821586461,15,0.665,49667,72,0,0.0,720.0,False,-0.025707441525308197,0,0.281,78470,0,15,0.6,594.6252390907877,False,0.006778284181977775,0,0.2,78660,3,18,1.0,756.5112901596021,False,0.010241390200030677,0,0.2,100667,8,21,1.0,1199.13346084842,False,-0.008677505991755418,0,0.2,102153,0,0,0.0,0.0,False,0.0,10,0.45300000000000007,137216,9,0,0.0,378.0,False,-0.004030124455462051,10,0.5070000000000001,137262,0,0,0.0,0.0,False,-0.005066649270445996,0.325,734391,0.0,0.0,9,0,0,11,11,11.0,14,25,24,173.0,101.0,12,14,24,970,2.0431585839833133,27.436776766960975
7,24,0,0,0,10.0,20,10.0,12.78232714244533,26,8.0,40.582212433427145,5,52.0,38.86241610738254,11,25.0,58.0,20,58.0,11,0.44500000000000006,49993,73,0,0.0,730.0,False,-0.01926110580949228,15,0.8,49217,87,0,0.0,870.0,False,-0.03301069195863439,0,0.281,78637,6,20,1.0,888.3382115232149,False,0.010789896158615638,0,0.2,78545,3,28,1.0,1174.6489295632962,False,0.01144374739294255,0,0.2,100682,3,20,1.0,898.9949594479324,False,-0.009999730994449793,0,0.2,102153,0,0,0.0,0.0,False,0.0,10,0.543,136743,20,0,0.0,777.2483221476509,False,-0.006011668797168608,10,0.5970000000000002,137075,0,0,0.0,0.0,False,-0.006422104797732693,0.375,733045,0.0,0.0,9,0,0,12,10,10.0,14,26,29,171.0,65.0,13,11,29,735,1.861515350989066,29.29829211795004
8,29,0,0,0,10.0,20,10.0,12.562044865710073,11,10.636363636363637,42.08922297686798,10,51.0,39.095060310166566,16,39.875,58.0,20,58.0,1,0.44400000000000006,49909,79,0,0.0,790.0,False,-0.02031277387189125,10,0.8850000000000002,48902,101,0,0.0,1010.0,False,-0.037782148908407504,0,0.281,78577,1,30,1.0,1275.2387341717495,False,0.012495614186201893,0,0.2,78998,0,27,0.9,1136.4090203754354,False,0.016989461638198238,0,0.2,100810,3,14,1.0,673.5985132729359,False,-0.00984993826283643,0,0.2,102153,0,0,0.0,0.0,False,0.0,8,0.613,135957,36,0,0.0,1407.4221711659964,False,-0.009425047038054262,12,0.7070000000000001,136794,0,0,0.0,0.0,False,-0.008458912301302543,0.3625,732100,0.0,0.0,11,0,0,12,10,10.0,15,27,38,239.0,129.0,14,15,38,1348,2.102940143959131,31.401232261909172
9,38,0,0,0,10.000000000000002,20,10.0,11.78259504451439,13,6.0,43.184656513609106,10,50.0,47.8502897029974,25,69.8,58.0,20,58.0,8,0.5230000000000001,49610,88,0,0.0,880.0000000000001,False,-0.025259508832064192,5,0.925,48717,112,0,0.0,1120.0000000000002,False,-0.04031394239196058,0,0.281,78770,0,32,0.7,1381.9090084354914,False,0.01564419014299818,0,0.2,79227,0,29,0.7,1252.3550388946642,False,0.02065745771754196,11,0.31000000000000005,101450,3,10,1.0,608.0568665708013,False,-0.003905627506921909,0,0.2,102153,0,0,0.0,0.0,False,0.0,13,0.7350000000000001,134242,56,0,0.0,2679.616223367854,False,-0.0172453946283085,7,0.7650000000000001,136359,0,5,0.5,290.0,False,-0.010560955632388864,0.3625,730528,0.0,0.0,10,0,0,12,11,10.733333333333334,18,30,35,275.0,140.0,18,20,35,1380,2.3607060110080056,33.76193827291718
