index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,24.0,0,,34.0,0,,41.0,0,,50.0,0,,0,0.2,32776,11,0,0.0,110.0,False,-0.0016724442011798334,0,0.2,32796,9,0,0.0,90.0,False,-0.0013683634373289546,0,0.2,54901,0,0,0.0,0.0,False,0.0,0,0.2,54901,0,0,0.0,0.0,False,0.0,0,0.2,67873,0,0,0.0,0.0,False,0.0,0,0.2,67873,0,0,0.0,0.0,False,0.0,0,0.2,80205,0,0,0.0,0.0,False,0.0,0,0.2,80205,0,0,0.0,0.0,False,0.0,0.0,471530,0.0,0.0,11,0,0,0,0,0.0,688,688,134,0.0,0.0,0,0,134,200,2.3165674720075913,2.3165674720075913
1,134,0,0,0,10.0,20,10.0,22.384615384615383,7,12.0,34.0,0,,41.0,0,,50.0,0,,0,0.2,32696,19,0,0.0,190.0,False,-0.0028887672565833487,7,0.27,32557,21,0,0.0,210.0,False,-0.006811409110259685,0,0.2,54817,0,7,0.7,238.0,False,0.0006375111564452378,0,0.2,54901,0,0,0.0,0.0,False,0.0,0,0.2,67873,0,0,0.0,0.0,False,0.0,0,0.2,67873,0,0,0.0,0.0,False,0.0,0,0.2,80205,0,0,0.0,0.0,False,0.0,0,0.2,80205,0,0,0.0,0.0,False,0.0,0.0875,471127,0.0,0.0,11,0,0,45,1,1.0,56,101,64,1459.0,408.0,82,52,64,200,7.78975931101013,10.106326783017721
2,64,0,0,0,10.0,20,10.0,21.93723849372385,1,1.0,34.0,0,,41.0,0,,50.0,0,,1,0.21000000000000002,32558,30,0,0.0,300.0,False,-0.005412637596545642,0,0.263,32467,30,0,0.0,300.0,False,-0.00817977254758864,0,0.2,54817,0,7,0.0,238.0,False,0.0006375111564452378,0,0.2,54900,0,1,0.1,34.0,False,0.00029143367151782297,0,0.2,67873,0,0,0.0,0.0,False,0.0,0,0.2,67873,0,0,0.0,0.0,False,0.0,0,0.2,80205,0,0,0.0,0.0,False,0.0,0,0.2,80205,0,0,0.0,0.0,False,0.0,0.0125,470898,0.0,0.0,10,0,0,19,1,1.0,28,47,45,353.0,233.0,23,41,45,200,2.867574019008316,12.973900802026037
3,45,0,0,0,10.0,20,10.0,15.470853280765983,28,5.535714285714286,34.0,0,,41.0,0,,50.0,0,,24,0.44900000000000007,31629,39,0,0.0,390.0,False,-0.03229337712096333,4,0.30300000000000005,32293,41,0,0.0,410.0,False,-0.011798333637414097,0,0.2,54739,9,17,1.0,717.2376795268939,False,0.003581334397614741,0,0.2,54823,0,10,0.9,340.0,False,0.0016757436112274822,0,0.2,67873,0,0,0.0,0.0,False,0.0,0,0.2,67873,0,0,0.0,0.0,False,0.0,0,0.2,80205,0,0,0.0,0.0,False,0.0,0,0.2,80205,0,0,0.0,0.0,False,0.0,0.2375,469640,0.0,0.0,10,0,0,20,5,5.0,22,42,39,317.0,117.0,21,24,39,200,2.284248017007485,15.258148819033522
4,39,0,0,0,10.0,20,10.0,13.870173431446478,13,6.0,32.11764705882353,6,18.0,41.0,0,,50.0,20,50.0,8,0.5050000000000001,31275,51,0,0.0,510.0,False,-0.041233351578179166,5,0.34900000000000003,32133,49,0,0.0,490.0,False,-0.015447302803624642,0,0.2,54739,0,26,0.9,835.0588235294117,False,0.004654367165711122,0,0.2,54853,3,14,1.0,491.25757911786883,False,0.003599730233673957,0,0.2,67819,0,3,0.3,123.0,False,0.00011050049356887127,0,0.2,67819,0,3,0.3,123.0,False,0.00011050049356887127,8,0.28,80066,0,0,0.0,0.0,False,-0.001733059036219687,12,0.32000000000000006,79943,0,0,0.0,0.0,False,-0.003266629262514806,0.3125,468647,0.0,0.0,13,0,0,17,16,16.0,25,42,39,248.0,87.0,17,22,39,308,3.588093820028007,18.84624263906153
5,39,0,0,0,10.0,20,10.0,13.744195445812936,5,12.0,33.849731663685155,10,41.8,39.75,7,31.714285714285715,50.0,20,50.0,5,0.547,31080,62,0,0.0,620.0,False,-0.045490482272091466,0,0.34400000000000003,32043,58,0,0.0,580.0,False,-0.016815666240953597,0,0.2,54999,0,21,0.0,710.8443649373883,False,0.008258905711529797,0,0.2,54951,0,17,0.8,575.4454382826476,False,0.006151485749646196,2,0.22000000000000003,67663,0,5,0.5,198.75,False,-0.0016298822801408513,0,0.2,67681,0,6,0.5,238.5,False,-0.0010718547876180514,9,0.36200000000000004,79681,7,0,0.0,278.25,False,-0.004798640982482389,11,0.41800000000000004,79711,0,0,0.0,0.0,False,-0.006159217006421046,0.225,467809,0.0,0.0,15,0,0,13,16,15.4,23,36,46,207.0,146.0,13,26,46,740,2.3051682799705304,21.15141091903206
6,46,0,0,0,10.0,20,10.0,12.693901316391312,6,1.0,35.309708913397216,5,50.0,37.50436046511628,22,32.72727272727273,50.0,20,50.0,6,0.6020000000000001,30794,73,0,0.0,730.0,False,-0.052514747917046765,0,0.34400000000000003,31953,67,0,0.0,670.0,False,-0.018184029678282553,0,0.2,54999,0,21,0.0,741.5038871813415,False,0.008538131246984071,0,0.2,55195,0,18,0.6,635.5747604411499,False,0.011143465150371982,11,0.32800000000000007,67428,0,0,0.0,0.0,False,-0.006556362618419695,0,0.2,67799,0,5,0.5,187.5218023255814,False,0.0002911452442472521,8,0.43300000000000005,79244,17,0,0.0,637.5741279069767,False,-0.008007143395630183,12,0.5270000000000001,79023,2,10,1.0,575.0087209302326,False,-0.01115261691334562,0.2625,466435,0.0,0.0,17,0,0,19,18,17.375,24,43,33,362.0,120.0,22,24,33,818,2.7490926129976287,23.90050353202969
7,33,0,0,0,10.0,20,10.0,12.049156148878167,5,3.6,38.86571265379212,15,50.666666666666664,42.07415700737618,14,62.285714285714285,49.99999999999999,20,50.0,5,0.6460000000000001,30561,83,0,0.0,830.0,False,-0.05807942589551785,0,0.3440000000000001,31853,77,0,0.0,770.0,False,-0.019704433497536946,0,0.2,55259,0,16,0.0,621.851402460674,False,0.01218421706763693,0,0.2,55677,0,13,0.5,505.2542644992976,False,0.01873603636089774,4,0.35700000000000004,67468,0,0,0.0,0.0,False,-0.005967026652719049,5,0.25,67422,5,10,1.0,615.0701333427224,False,-0.0021137261256852667,12,0.5450000000000002,78233,29,0,0.0,1220.1505532139092,False,-0.016980546392282914,0,0.5150000000000001,79301,0,6,0.4,299.99999999999994,False,-0.009400910167695281,0.2375,465774,0.0,0.0,20,0,0,21,12,11.625,20,41,30,225.0,49.0,17,16,30,1484,2.3715506449807435,26.272054177010432
8,30,0,0,0,10.0,20,10.0,12.118590306593283,5,13.0,42.217747294804234,21,51.523809523809526,42.06638455088564,8,42.0,49.99999999999999,20,50.0,0,0.6410000000000001,30411,98,0,0.0,980.0,False,-0.06036003162439944,5,0.394,31723,82,0,0.0,820.0,False,-0.022897281517971175,0,0.2,56091,0,0,0.0,0.0,False,0.021675379319138086,0,0.2,55862,0,13,0.5,548.830714832455,False,0.02250260209133215,4,0.393,66528,6,10,1.0,673.9703292776817,False,-0.01485148491095367,0,0.24500000000000002,67420,0,16,1.0,673.0621528141702,False,-0.0017159831389935744,13,0.6630000000000001,77722,35,0,0.0,1472.3234592809972,False,-0.02177966798029422,1,0.5250000000000001,79468,0,2,0.2,99.99999999999999,False,-0.008565550776136152,0.3375,465225,0.0,0.0,16,0,0,19,11,10.5,19,38,24,214.0,77.0,14,16,24,1780,2.0363753229612485,28.30842949997168
9,24,0,0,0,10.000000000000002,20,10.0,11.551255963381557,9,7.666666666666667,42.727250491318756,5,50.0,40.1362754175827,19,33.1578947368421,50.0,20,50.0,4,0.681,30206,107,0,0.0,1070.0000000000002,False,-0.0652253238460135,5,0.43900000000000006,31533,93,0,0.0,930.0000000000001,False,-0.027002371829958037,0,0.2,56091,0,0,0.0,0.0,False,0.021675379319138086,0,0.2,56043,0,17,0.9,726.3632583524188,False,0.02741628803075004,3,0.41900000000000004,66641,0,6,0.6,240.8176525054962,False,-0.01637751644611626,0,0.24500000000000002,67540,0,15,0.5,602.0441312637405,False,-0.0004711436707988354,7,0.7200000000000002,77411,41,0,0.0,1645.5872921208909,False,-0.02457710060394689,11,0.6340000000000001,78915,3,10,1.0,620.4088262527481,False,-0.012216140974672798,0.375,464380,0.0,0.0,16,0,0,17,14,13.333333333333334,15,32,28,183.0,57.0,13,11,28,1000,1.8797435409505852,30.188173040922265
