index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,31.0,0,,46.0,0,,0,0.2,33871.0,12,0,0.0,120.0,False,-0.0017651731340648995,0,0.2,33911,8,0,0.0,80.0,False,-0.0011767820893765998,0,0.2,46615,0,0,0.0,0.0,False,0.0,0,0.2,46615,0,0,0.0,0.0,False,0.0,0,0.2,70287,0,0,0.0,0.0,False,0.0,0,0.2,70287,0,0,0.0,0.0,False,0.0,0,0.2,86918,0,0,0.0,0.0,False,0.0,0,0.2,86918,0,0,0.0,0.0,False,0.0,0.0,475422,0.0,0.0,12,0,0,0,0,0.0,777,777,109,0.0,0.0,0,0,109,200,2.2343727549887262,2.2343727549887262
1,109,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,31.0,0,,46.0,0,,0,0.2,33761.0,23,0,0.0,230.0,False,-0.0033832485069577242,0,0.2,33821,17,0,0.0,170.0,False,-0.0025006619399252743,0,0.2,46615,0,0,0.0,0.0,False,0.0,0,0.2,46615,0,0,0.0,0.0,False,0.0,0,0.2,70287,0,0,0.0,0.0,False,0.0,0,0.2,70287,0,0,0.0,0.0,False,0.0,0,0.2,86918,0,0,0.0,0.0,False,0.0,0,0.2,86918,0,0,0.0,0.0,False,0.0,0.0,475222,0.0,0.0,11,0,0,60,0,0.0,51,111,78,1519.0,272.0,88,21,78,200,6.280264904955402,8.514637659944128
2,78,0,0,0,10.0,20,10.0,14.053571428571429,11,2.0,20.574468085106382,2,11.0,31.0,0,,46.0,0,,11,0.31000000000000005,33444.0,31,0,0.0,310.0,False,-0.011532464475890677,0,0.2,33701,29,0,0.0,290.0,False,-0.004265835073990174,2,0.22000000000000003,46587,0,0,0.0,0.0,False,-0.0006006650219886302,0,0.2,46593,1,10,1.0,219.79825227963525,False,0.0018856403762698422,0,0.2,70265,0,2,0.2,62.0,False,0.00012804643817491143,0,0.2,70287,0,0,0.0,0.0,False,0.0,0,0.2,86918,0,0,0.0,0.0,False,0.0,0,0.2,86918,0,0,0.0,0.0,False,0.0,0.15,474713,0.0,0.0,14,0,0,28,4,4.0,36,64,57,611.0,291.0,41,37,57,200,4.536482595023699,13.051120254967827
3,57,0,0,0,10.0,20,10.0,12.260942760942763,9,2.2222222222222223,20.574468085106382,0,,31.0,0,,46.0,0,,8,0.379,33175.0,41,0,0.0,410.0,False,-0.01797534641522756,1,0.21000000000000002,33589,39,0,0.0,390.0,False,-0.006089847312523903,0,0.21800000000000003,46576,0,8,0.8,164.59574468085106,False,0.0009288399086221829,0,0.2,46584,0,12,0.2,246.89361702127658,False,0.001983198723815121,0,0.2,70265,0,2,0.0,62.0,False,0.00012804643817491143,0,0.2,70287,0,0,0.0,0.0,False,0.0,0,0.2,86918,0,0,0.0,0.0,False,0.0,0,0.2,86918,0,0,0.0,0.0,False,0.0,0.125,474312,0.0,0.0,14,0,0,19,3,3.0,28,47,42,428.0,204.0,27,30,42,200,3.370166104985401,16.42128635995323
4,42,0,0,0,10.0,20,10.0,11.122560370492888,7,2.4285714285714284,22.35084427767355,11,29.181818181818183,31.32608695652174,1,46.0,46.0,20,46.0,6,0.43100000000000005,32917.0,55,0,0.0,550.0,False,-0.02350622223529758,1,0.21900000000000003,33517,45,0,0.0,450.0,False,-0.007325468506369333,0,0.21800000000000003,46737,0,7,0.5,156.45590994371483,False,0.004295354606282499,0,0.2,46727,0,9,0.2,201.15759849906195,False,0.00456030889734059,0,0.2,70311,0,1,0.0,31.32608695652174,False,0.0005643012716185986,0,0.2,69966,1,10,1.0,335.61171384289094,False,-0.0021795515967184807,5,0.25,86809,1,0,0.0,31.32608695652174,False,-0.00107385071586718,15,0.35000000000000003,86563,0,0,0.0,0.0,False,-0.004084309349041626,0.2125,473547,0.0,0.0,14,0,0,11,15,15.0,24,35,39,229.0,164.0,14,28,39,567,2.0792043900000863,18.500490749953315
5,39,0,0,0,10.0,20,10.0,9.006959419721625,17,2.235294117647059,23.794641343055794,11,30.09090909090909,28.752918287937746,10,18.1,46.0,20,46.0,17,0.5950000000000001,32379.0,68,0,0.0,680.0,False,-0.03742167044217587,0,0.21800000000000003,33447,52,0,0.0,520.0,False,-0.008355152834573857,0,0.21800000000000003,46878,5,11,1.0,306.77585187222184,False,0.00893248795315055,0,0.2,46879,0,6,0.2,142.76784805833478,False,0.0071947640036291085,0,0.2,70357,0,0,0.0,0.0,False,0.0009959167413604222,0,0.2,69770,2,11,1.0,363.8713838534268,False,-0.0047670879120361425,10,0.34500000000000003,86447,11,0,0.0,316.2821011673152,False,-0.003599472484598658,10,0.43500000000000005,86382,0,0,0.0,0.0,False,-0.006166731862214961,0.275,472539,0.0,0.0,17,0,0,16,17,17.0,21,37,41,281.0,148.0,17,22,41,712,3.074152997985948,21.574643747939263
6,41,0,0,0,10.0,20,10.0,7.382421533603949,22,2.6363636363636362,24.415012139892895,5,31.0,28.32320631651219,12,26.666666666666668,45.99999999999999,20,46.0,20,0.778,31819.0,74,0,0.0,740.0,False,-0.05301403312641582,2,0.23800000000000002,33283,66,0,0.0,660.0,False,-0.011120590744608867,0,0.21800000000000003,46995,7,16,1.0,442.31714497351396,False,0.012896247398621786,0,0.2,46859,0,16,1.0,390.6401942382863,False,0.009424436278432693,0,0.2,70357,0,0,0.0,0.0,False,0.0009959167413604222,1,0.21000000000000002,69898,0,7,0.7,198.26244421558533,False,-0.0041240738385790125,7,0.405,86031,23,0,0.0,651.4337452797804,False,-0.006457616688834351,13,0.5550000000000002,86113,0,0,0.0,0.0,False,-0.009261602890080305,0.3375,471355,0.0,0.0,14,0,0,18,17,16.125,26,44,32,311.0,157.0,22,19,32,539,2.6048814739915542,24.179525221930817
7,32,0,0,0,10.0,20,10.0,6.725797768952096,11,2.090909090909091,26.445017484089963,20,31.75,26.66447838097899,12,19.416666666666668,45.99999999999999,20,46.0,11,0.8680000000000003,31426.0,90,0,0.0,900.0,False,-0.06222235297578771,0,0.23600000000000002,33243,70,0,0.0,700.0,False,-0.011708981789297166,0,0.21800000000000003,47290,7,16,1.0,470.20086412810406,False,0.019523767715629078,0,0.2,47176,0,7,0.1,185.11512238862974,False,0.014020327388057774,0,0.2,70357,0,0,0.0,0.0,False,0.0009959167413604222,5,0.259,69311,10,10,1.0,531.0949586506896,False,-0.010107879418308678,10,0.49800000000000005,85808,24,0,0.0,639.9474811434958,False,-0.009089328555975218,10,0.6420000000000001,85750,1,10,1.0,486.66447838097895,False,-0.010638392056990556,0.3875,470361,0.0,0.0,16,0,0,23,15,14.454545454545455,21,44,36,326.0,103.0,21,11,36,881,2.455565584998112,26.63509080692893
8,36,0,0,0,10.0,20,10.0,6.610225472710553,2,2.0,27.185295591779912,10,32.0,30.69865568531255,33,37.78787878787879,45.99999999999999,20,46.0,2,0.877,31268.0,102,0,0.0,1020.0,False,-0.06510546909476038,0,0.23600000000000002,33163,78,0,0.0,780.0,False,-0.012885763878673767,0,0.21800000000000003,47289,0,24,0.8,652.4470942027178,False,0.02145711781832791,3,0.23,47418,0,1,0.1,27.185295591779912,False,0.017517808598002636,0,0.2,70357,0,0,0.0,0.0,False,0.0009959167413604222,23,0.48400000000000004,69077,10,10,1.0,578.8395127709246,False,-0.013097446805448111,10,0.5880000000000001,84885,40,0,0.0,1227.946227412502,False,-0.016326041628819715,0,0.6320000000000001,85703,8,10,1.0,705.5892454825004,False,-0.009919756290512359,0.3625,469160,0.0,0.0,20,0,0,21,15,14.1,22,43,38,297.0,170.0,18,18,38,1192,2.34072268899763,28.97581349592656
9,38,0,0,0,10.000000000000002,20,10.0,6.462796347871566,4,3.75,27.741778771316266,10,31.5,32.782082283451736,12,47.0,46.0,20,46.0,3,0.9050000000000002,31111.0,112,0,0.0,1120.0000000000002,False,-0.06825336118384279,1,0.24600000000000002,33051,88,0,0.0,880.0000000000001,False,-0.014709776117207496,0,0.21800000000000003,47444,0,19,0.0,527.0937966550091,False,0.02343766809669647,4,0.267,47463,0,4,0.4,110.96711508526506,False,0.019381820391346845,0,0.2,70357,0,0,0.0,0.0,False,0.0009959167413604222,2,0.4810000000000001,69252,10,10,1.0,605.2386105476801,False,-0.01041985992752802,12,0.6980000000000001,84453,44,0,0.0,1442.4116204718764,False,-0.020062520879036053,0,0.6320000000000001,85695,6,12,1.0,748.6924937007104,False,-0.00976384354391085,0.3,468826,0.0,0.0,20,0,0,21,11,10.3,23,44,33,297.0,186.0,20,18,33,1099,2.4998417450115085,31.475655240938067
