index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,31.0,0,,48.0,0,,0,0.2,32827,0,4,0.4,80.0,False,0.0,0,0.2,32707,16,0,0.0,160.0,False,-0.0024340523929777588,0,0.2,48528,0,0,0.0,0.0,False,0.0,0,0.2,48528.0,0,0,0.0,0.0,False,0.0,0,0.2,54908,0,0,0.0,0.0,False,0.0,0,0.2,54908,0,0,0.0,0.0,False,0.0,0,0.2,75401,0,0,0.0,0.0,False,0.0,0,0.2,75401,0,0,0.0,0.0,False,0.0,0.05,423208,0.0,0.0,5,0,0,115,0,0.0,365,480,164,0.0,0.0,0,0,164,200,6.4968909560120665,6.4968909560120665
1,164,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,28.666666666666668,9,17.0,48.0,0,,0,0.2,32757,0,11,0.7,220.0,False,0.0,0,0.2,32577,29,0,0.0,290.0,False,-0.004411719962272188,0,0.2,48528,0,0,0.0,0.0,False,0.0,0,0.2,48528.0,0,0,0.0,0.0,False,0.0,0,0.2,54908,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,54728,0,0,0.0,0.0,False,-0.003278210825380637,0,0.2,75401,0,0,0.0,0.0,False,0.0,0,0.2,75248,0,9,0.9,432.0,False,0.0008355326852429013,0.2,422675,0.0,0.0,5,0,0,37,1,1.0,72,109,105,1743.0,496.0,100,64,105,200,26.434747734980192,32.93163869099226
2,105,0,0,0,10.0,20,10.0,18.272727272727273,10,10.5,24.203703703703702,9,10.222222222222221,28.411290322580644,1,16.0,48.0,0,,0,0.2,32637,2,21,1.0,403.72727272727275,False,-0.0008560672904846907,10,0.30000000000000004,32337,37,0,0.0,370.0,False,-0.010496850944716585,1,0.21000000000000002,48405,0,10,1.0,242.037037037037,False,-4.0831715328918376e-05,8,0.28,48332.0,0,0,0.0,0.0,False,-0.004038905374216947,0,0.2,54894,0,1,0.1,28.411290322580644,False,3.745267744007713e-06,1,0.29100000000000004,54629,8,0,0.0,193.62962962962962,False,-0.003318008034989118,0,0.2,75385,0,1,0.1,48.0,False,0.00010609938860227318,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.275,421867,0.0,0.0,5,0,0,14,6,6.0,50,64,61,714.0,237.0,54,51,61,200,13.370544366014656,46.302183057006914
3,61,0,0,0,10.0,20,10.0,16.820689655172412,23,13.695652173913043,19.56906906906907,18,7.055555555555555,24.333942717854967,21,15.666666666666666,48.0,0,,0,0.2,32527,3,31,1.0,551.4413793103448,False,-0.0019557401145473435,23,0.52,31798,46,0,0.0,460.0,False,-0.025527124471354246,0,0.20900000000000002,48259,5,19,1.0,455.9157605881744,False,-0.0008457410094360229,17,0.44200000000000006,47603.0,8,0,0.0,134.5655172413793,False,-0.017674687631456246,0,0.2,54853,0,5,0.4,121.66971358927483,False,0.00010626605949292898,21,0.5,53864,22,0,0.0,430.5195195195195,False,-0.015093251261022742,0,0.2,75056,11,11,1.0,795.6733698964047,False,0.0007007424960968319,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.425,419208,0.0,0.0,6,0,0,18,14,14.0,25,43,32,412.0,122.0,34,27,32,214,7.237957470002584,53.5401405270095
4,32,0,0,0,10.0,20,10.0,16.47820069204152,7,13.285714285714286,14.462354062425543,24,1.7083333333333333,23.509332813489937,23,21.391304347826086,48.0,9,48.0,0,0.2,32397,6,41,1.0,735.6062283737023,False,-0.003109407180854586,7,0.5670000000000002,31642,53,0,0.0,530.0,False,-0.029208628715733105,0,0.20900000000000002,48204,0,29,1.0,419.40826781034076,False,-0.0023552560603121485,24,0.665,46563.0,10,0,0.0,164.7820069204152,False,-0.038794283641192535,0,0.2,55034,0,4,0.3,94.03733125395975,False,0.003151064792507099,19,0.6690000000000002,53224,43,0,0.0,621.8812246842983,False,-0.025006545269502616,0,0.2,74996,24,12,1.0,1140.2239875237585,False,0.002189785198629709,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.4125,417308,0.0,0.0,8,0,0,12,13,13.0,16,28,25,267.0,50.0,19,13,25,816,4.915204676974099,58.4553452039836
5,25,0,0,0,10.0,20,10.0,21.08038701874622,59,26.152542372881356,11.93993731541197,24,4.0,23.40903238215322,1,16.0,48.0,9,48.0,3,0.23,33623,5,10,1.0,260.80387018746217,False,0.026969359390687637,15,0.7100000000000002,31252,64,0,0.0,640.0,False,-0.039401223111327474,0,0.20900000000000002,47179,35,39,1.0,1203.4711009571845,False,-0.015398624495577903,24,0.8810000000000002,45253.0,24,0,0.0,505.9292884499092,False,-0.062274055303640004,0,0.2,54938,14,14,1.0,494.8855757659127,False,0.0050528663925650035,1,0.6600000000000001,53203,43,0,0.0,513.4173045627148,False,-0.02637669096886874,0,0.2,75412,15,13,1.0,975.1354857322983,False,0.006612216586864151,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.5,416108,0.0,0.0,9,0,0,9,7,6.214285714285714,11,20,29,137.0,75.0,10,15,29,1502,4.387320450972766,62.84266565495636
6,29,0,0,0,10.0,20,10.0,21.122440440765388,27,21.296296296296298,11.195889843468073,34,9.235294117647058,24.73099663274381,4,47.0,48.0,8,48.0,0,0.227,33693,4,16,1.0,377.9590470522462,False,0.030881416725777416,23,0.925,30915,75,0,0.0,750.0,False,-0.04798125779657407,0,0.20900000000000002,46764,48,49,1.0,1562.4757434866742,False,-0.020251445109146504,34,1.1970000000000003,43814.0,28,0,0.0,591.4283323414309,False,-0.09104611428101893,0,0.2,54816,35,20,1.0,886.4760771762587,False,0.006396846335472537,0,0.6590000000000001,53199,46,0,0.0,515.0109327995314,False,-0.026435028294606155,0,0.2,75608,9,15,1.0,942.5789696946943,False,0.008995762454706855,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.5,414057,0.0,0.0,9,0,0,9,9,9.0,11,20,29,142.0,88.0,10,19,29,932,3.035745910019614,65.87841156497598
7,29,0,0,0,10.0,20,10.0,22.126161205094707,22,27.818181818181817,13.095368989136306,18,24.833333333333332,24.73099663274381,0,,48.0,6,48.0,0,0.227,34045,5,14,1.0,359.7662568713259,False,0.04131448347691191,10,1.0020000000000002,30710,84,0,0.0,840.0,False,-0.05284936258252959,0,0.20900000000000002,47114,43,49,1.0,1593.0980122867513,False,-0.012723602741852665,8,1.2430000000000003,43015.0,45,0,0.0,995.6772542292618,False,-0.10334572561995899,0,0.2,54600,31,30,1.0,1147.8863376455397,False,0.004843432083171314,0,0.659,52968,58,0,0.0,759.5314013699058,False,-0.028415427611915296,0,0.2,75896,0,18,0.9,864.0,False,0.012294266654288405,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.4875,413596,0.0,0.0,11,0,0,14,5,5.0,11,25,27,166.0,85.0,16,13,27,1350,4.967611141037196,70.84602270601317
8,27,0,0,0,10.0,20,10.0,24.05068205943741,75,27.44,14.946144621159146,42,20.07142857142857,23.467883085140596,11,16.09090909090909,48.00000000000001,7,48.0,33,0.5570000000000002,34381,7,10,1.0,310.50682059437406,False,0.05078812822275182,28,1.2720000000000002,30353,92,0,0.0,920.0,False,-0.06249429518970396,0,0.20900000000000002,45907,91,54,1.0,2995.7038769513983,False,-0.023144330314958335,37,1.6050000000000002,41271.0,62,0,0.0,1491.1422876851193,False,-0.13417880102533472,0,0.2,53765,58,40,1.0,1805.5917114328543,False,-0.00437466570050951,11,0.7690000000000001,52685,63,0,0.0,941.6071111330261,False,-0.0319114964018629,0,0.2,76055,1,21,1.0,1031.4678830851408,False,0.015513507003124186,0,0.2,75248,0,9,0.0,432.00000000000006,False,0.0008355326852429013,0.5,409665,0.0,0.0,8,0,0,12,12,11.125,13,25,24,241.0,105.0,16,11,24,741,4.513617896009237,75.35964060202241
9,24,0,0,0,10.000000000000002,20,10.0,23.414188410692034,16,16.0,14.852392310444769,45,14.555555555555555,22.674575745084688,7,15.0,48.0,11,48.0,0,0.524,34311,4,20,1.0,508.2837682138407,False,0.051667078957827524,16,1.4040000000000001,30016,105,0,0.0,1050.0000000000002,False,-0.07077007332582834,0,0.20900000000000002,46062,86,59,1.0,2889.9113496357563,False,-0.021040313328019283,40,1.9680000000000004,39595.0,73,0,0.0,1709.2357539805184,False,-0.16646847434490888,0,0.2,53119,84,50,1.0,2381.329741331595,False,-0.010897048323271758,7,0.8280000000000001,52506,72,0,0.0,1069.3722463520232,False,-0.034008047585488234,0,0.2,76478,0,18,0.8,864.0,False,0.02001299717510378,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.475,407335,0.0,0.0,9,0,0,13,10,10.0,9,22,30,144.0,108.0,12,12,30,933,5.495169553032611,80.85481015505502
