index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,22.0,0,,35.0,0,,0,0.2,25297,10,0,0.0,100.0,False,-0.0019687364649368035,0,0.2,25297,0,10,1.0,150.0,False,-0.0009843682324684017,0,0.2,38780,0,0,0.0,0.0,False,0.0,0,0.2,38780,0,0,0.0,0.0,False,0.0,0,0.2,58022,0,0,0.0,0.0,False,0.0,0,0.2,58022,0,0,0.0,0.0,False,0.0,0.16666666666666666,244198,0.0,0.0,12,0,0,275,0,0.0,891,1166,142,0.0,0.0,0,0,142,200,3.848948291502893,3.848948291502893
1,142,0,0,0,10.0,20,10.0,15.0,0,,19.529411764705884,6,1.0,35.0,0,,0,0.2,25197,20,0,0.0,200.0,False,-0.003937472929873607,0,0.2,25197,0,20,1.0,300.0,False,-0.0019687364649368035,0,0.2,38780,0,0,0.0,0.0,False,0.0,6,0.26,38630,0,0,0.0,0.0,False,-0.0038679731820526046,0,0.2,58022,0,0,0.0,0.0,False,0.0,0,0.2,58016,0,6,0.6,210.0,False,0.0017062493536934267,0.26666666666666666,243842,0.0,0.0,8,0,0,29,1,1.0,78,107,72,1273.0,501.0,86,56,72,200,7.4582907147705555,11.307239006273448
2,72,0,0,0,10.0,20,10.0,14.46774193548387,17,13.058823529411764,13.938144329896907,22,2.272727272727273,35.0,0,,17,0.37000000000000005,24955,30,0,0.0,300.0,False,-0.011497420955230932,0,0.2,25097,0,30,1.0,434.0322580645161,False,-0.0032674674555161006,0,0.2,38772,0,1,0.1,13.938144329896907,False,-2.658400812414058e-05,22,0.47400000000000003,37712,16,0,0.0,231.48387096774192,False,-0.024555391039611366,0,0.2,57972,12,10,1.0,517.2577319587629,False,0.0035956855327182627,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.35000000000000003,242524,0.0,0.0,10,0,0,18,6,6.0,41,59,30,445.0,125.0,36,36,30,200,2.456222399137914,13.763461405411363
3,30,0,0,0,10.0,20,10.0,14.221003134796238,8,12.5,12.156476542196689,12,3.0833333333333335,35.0,12,35.0,7,0.42300000000000004,24775,44,0,0.0,440.0,False,-0.0158286411780919,0,0.2,25045,0,35,0.6,497.73510971786834,False,-0.004060812109346204,0,0.2,38756,0,3,0.2,36.46942962659007,False,-0.00014866645659366646,12,0.5720000000000001,37296,22,0,0.0,312.8620689655172,False,-0.03423334103964,2,0.22000000000000003,58269,14,10,1.0,520.1906715907537,False,0.00873970796931124,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.3,242157,0.0,0.0,19,0,0,17,8,7.5,15,32,30,72.0,78.0,10,20,30,523,1.5711138332262635,15.334575238637626
4,30,0,0,0,10.0,20,10.0,14.96804027159916,28,16.5,11.157489029805074,11,5.181818181818182,35.0,11,35.0,16,0.5760000000000001,24615,51,0,0.0,510.0,False,-0.02075048234043391,0,0.2,25151,3,33,1.0,523.9453289627722,False,0.0006289193401340881,0,0.2,38537,4,12,1.0,193.7620294440575,False,-0.003767895442959558,10,0.6600000000000001,36840,36,0,0.0,538.8494497775697,False,-0.0430782690848689,1,0.228,58555,15,10,1.0,517.3623354470761,False,0.013644499805651964,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,241714,0.0,0.0,20,0,0,18,5,5.0,16,34,31,94.0,94.0,11,19,31,819,1.5848301649093628,16.91940540354699
5,31,0,0,0,10.0,20,10.0,15.079502097430387,18,15.555555555555555,7.760959222040129,47,2.765957446808511,34.99999999999999,10,35.0,11,0.6700000000000002,24413,62,0,0.0,620.0,False,-0.02653856754734811,0,0.2,25217,2,36,1.0,562.862075507494,False,0.0039938196540436925,0,0.2,38505,0,20,0.8,155.2191844408026,False,-0.005090005357906034,47,1.12,34505,50,0,0.0,753.9751048715193,False,-0.10051605073657136,0,0.227,58775,52,10,1.0,753.5698795460867,False,0.019471664881821484,0,0.2,58016,0,6,0.0,209.99999999999994,False,0.0017062493536934267,0.4666666666666666,239431,0.0,0.0,19,0,0,21,9,9.0,14,35,23,153.0,90.0,11,20,23,706,1.309564696624875,18.228970100171864
6,23,0,0,0,10.0,20,10.0,16.120759358492727,9,26.0,7.24920093474529,22,4.818181818181818,34.99999999999999,12,35.0,0,0.6590000000000001,24293,74,0,0.0,740.0,False,-0.028901051305272277,0,0.2,25371,0,37,1.0,596.4680962642309,False,0.010719141951101125,0,0.2,38571,0,18,0.0,130.48561682541524,False,-0.0037069930785789177,20,1.2730000000000004,33611,59,0,0.0,951.1248021510709,False,-0.121027271761848,2,0.24700000000000003,59003,64,10,1.0,813.9488598236985,False,0.023921519939192833,0,0.2,58016,0,6,0.0,209.99999999999994,False,0.0017062493536934267,0.3333333333333333,238865,0.0,0.0,21,0,0,14,8,8.0,18,32,26,111.0,72.0,9,14,26,850,1.2626045234501362,19.491574623622
7,26,0,0,0,10.0,20,10.0,17.954165878470253,60,20.55,6.786636799951513,25,4.68,34.99999999999999,14,35.0,30,0.9590000000000003,23998,85,0,0.0,850.0,False,-0.038350986336968935,0,0.2,26064,0,16,0.9,287.26665405552404,False,0.031918467812251876,0,0.2,37953,27,27,1.0,668.0016723173876,False,-0.012712716963416835,24,1.4930000000000003,32279,82,0,0.0,1472.2416020345606,False,-0.14865598759625379,4,0.28500000000000003,59199,79,10,1.0,886.1443071961694,False,0.027921687525388383,0,0.2,58016,0,6,0.0,209.99999999999994,False,0.0017062493536934267,0.48333333333333334,237509,0.0,0.0,21,0,0,19,8,7.5,13,32,20,128.0,78.0,10,16,20,1331,1.268404135480523,20.759978759102523
8,20,0,0,0,10.0,20,10.0,17.96116279596559,75,17.973333333333333,6.786636799951513,0,,35.0,12,35.0,49,1.4190000000000003,23079,98,0,0.0,980.0,False,-0.07197700515808954,10,0.30000000000000004,26440,0,7,0.7,125.72813957175912,False,0.043543098389017564,0,0.2,37332,52,37,1.0,1185.0860269884165,False,-0.022059231214692956,0,1.4690000000000003,31552,122,0,0.0,2191.261861107802,False,-0.15813226068710934,2,0.30100000000000005,59533,69,10,1.0,818.2779391966544,False,0.03309329167554256,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.45,235952,0.0,0.0,17,0,0,14,8,7.833333333333334,15,29,24,80.0,57.0,6,14,24,900,1.1650610156357288,21.925039774738252
9,24,0,0,0,10.000000000000002,20,10.0,18.032454360994986,56,18.267857142857146,9.805758353424613,17,32.0,35.0,7,35.0,38,1.7500000000000002,22494,111,0,0.0,1110.0000000000002,False,-0.0924518643934323,11,0.4,26640,0,7,0.7,126.2271805269649,False,0.05142786905002486,0,0.2,37531,65,30,1.0,1466.2822840674125,False,-0.013302188188919291,0,1.4690000000000003,30874,155,0,0.0,2795.0304259542227,False,-0.16783096408001258,0,0.29900000000000004,59234,76,13,1.0,1200.2376348602706,False,0.031231581424806712,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.45,234789,0.0,0.0,19,0,0,18,6,5.611111111111111,17,35,23,119.0,41.0,11,13,23,989,1.301876837387681,23.226916612125933
