index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,2b8a3a30-13d6-4768-a51d-742273fb4198,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,1,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,1,,-1,-1
1,c6b6415a-1c4c-454d-9a7b-3437de84cae7,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,29,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
2,1a37a7f7-e1aa-4561-af64-0cd2f933d78f,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,47,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,47,,-1,-1
3,1f01a1df-260a-4e88-8683-5c61deeeecb9,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,40,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,40,,-1,-1
4,d41ac34d-55fa-44c5-a465-a4e30e8d2056,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,35,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,35,,-1,-1
5,1a85b492-7025-4f19-992d-dd2fb2a391a7,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,29,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,29,,-1,-1
6,14d0ae29-a93f-45f6-9e4b-37146253adc8,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,2,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,2,,-1,-1
7,74a1f21c-9071-421e-ba19-d21a40b8d1d3,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,10,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,10,,-1,-1
8,933d5b82-671c-4879-bbe0-b795edf61630,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,46,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,46,,-1,-1
9,f2efed25-ed79-4e3d-878e-e44efcd6e137,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,22,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,22,,-1,-1
10,fb082a3b-be3f-44e8-86b4-8e33a03b2bfb,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,50,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,50,,-1,-1
11,a00fd76e-a90e-48bc-9a2d-b7aa416e00dd,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,18,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,18,,-1,-1
12,8305d7f4-a1a9-4338-a7f6-5173f15c6a64,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,21,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,21,,-1,-1
13,d4547b73-fd95-4a96-89b0-c73dfecffdc3,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,2,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,2,,-1,-1
14,a92bc755-3070-491a-858a-0563f6c2e236,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,50,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,50,,-1,-1
15,0b95d0b9-d4cb-423a-b363-cd5c72bc79d6,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,6,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,6,,-1,-1
16,35c535eb-4e32-4528-b496-24a5f333316c,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,0,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,0,,-1,-1
17,8c928521-cbb4-454d-b8be-f5008586b206,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,5,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,5,,-1,-1
18,51fd9b8c-d3ce-408d-86b4-a4967f42c641,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,52,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,52,,-1,-1
19,027bdbe9-823c-48e1-a157-9ab695d364d0,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,43,4,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,43,,-1,-1
20,664efa81-4599-4e9d-b3b0-eecb8977ae79,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,43,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,43,,-1,-1
21,a8ca3211-f26b-4d85-9e31-cb8701249886,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,48,3,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,48,,-1,-1
22,6a5d2f07-b61e-441a-985c-275604aa3e9b,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,30,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,30,,-1,-1
23,9b286e12-698e-4a4f-9d85-e6eb58728363,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,29,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
24,35d357e7-e08e-4867-a0dd-fe1a7b259753,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,19,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,19,,-1,-1
25,28d6514d-ae8c-42f6-ac52-05d65cbcfcc6,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,34,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
26,304e3d09-bba3-4d6e-b8bd-65a96a72e3c9,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,33,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
27,617b14a0-8f15-414f-85c9-7cc54f7175e3,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,33,4,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,33,,-1,-1
28,9503910c-e311-4a8c-9d2b-704f9794c19f,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,15,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
29,347f6a5e-5e7b-48d6-b442-459242cbbf2f,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,44,3,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,44,,-1,-1
30,07f787cb-f54e-42ca-b8ee-22c7de733e78,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,26,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,26,,-1,-1
31,c7a02ebb-1c2c-4b15-b688-97d3910713f0,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,43,2,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
32,f6ccee61-1a84-470a-b55d-bba12cb879d3,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,32,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,32,,-1,-1
33,3b2a7740-86d9-4fc0-9f45-4f38f67448ff,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,55,2,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
34,61fe56a7-f53c-4fbe-9517-429849622cd9,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,35,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
35,f96491a4-1593-4ad0-a08b-19a49afb1b7b,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,53,2,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,53,,-1,-1
36,dea0ab89-5961-44af-99a0-0b583fcaa55c,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,29,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
37,a50fe414-3204-4d38-8cb6-cb8b8d2cad96,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,49,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,49,,-1,-1
38,1149bb3c-3ef1-49df-87e8-2a0fdcafe934,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,46,2,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,46,,-1,-1
39,59e8c0ee-c046-4aad-8aea-4927cb662675,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,40,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,40,,-1,-1
40,997d87bc-a81a-4445-8e34-b865eafb9355,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,25,2,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
41,77a649d5-e0c4-46e3-b534-e166671cf37e,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,11,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,11,,-1,-1
42,98d84286-814b-44f9-8a7a-f8d91f01daef,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,43,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,43,,-1,-1
43,5307f08c-12ed-44a6-b21b-f5d12fcd6b4b,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,41,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
44,f5a6b3a9-8ce6-4b06-9fe5-443f0a2348a8,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,51,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,51,,-1,-1
45,66ed2651-5b04-46af-aaae-2035fc65ee67,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,4,2,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
46,0eab1e6b-c2b3-405d-b3f9-fb259c8450d1,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,25,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
47,f2f3d770-b87d-436b-8b90-8e6cb06dee1a,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,53,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,53,,-1,-1
48,22d02921-53b1-4eed-83a8-cd224c7254b0,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,10,3,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,10,,-1,-1
49,39479ce5-9acc-48a2-b892-5d85d0e50774,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,14,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,14,,-1,-1
50,8c97da25-d534-4f1f-8a3d-a8d10fe62229,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,34,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,34,,-1,-1
51,773fe2f4-5e69-468e-9331-2907a26c09de,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,38,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,38,,-1,-1
52,21c73971-c19c-473c-89a6-2306bba6b21d,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,12,2,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,12,,-1,-1
53,ff766ee7-325b-4602-a9c3-fcab280a7662,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,3,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,3,,-1,-1
54,ef6e1a02-0a08-4a78-a492-3b37cd41e5b8,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,50,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,50,,-1,-1
55,59a443f5-b89e-4dfc-95f5-da5c3e1d15b8,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,23,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,23,,-1,-1
56,582b8735-df5a-485b-87c0-c8561e07c3a3,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,18,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
57,5ebc3cd4-4058-464c-88cb-71e83cbcdf31,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,35,3,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,35,,-1,-1
58,72952529-89d3-4200-ba4c-a24e1dbd03cd,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,34,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
59,b184598f-20b3-4dac-b8d4-282ae9b93129,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,4,2,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
60,1be2908d-b0d7-4c77-b815-9166788e0c98,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,20,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,20,,-1,-1
61,29993d33-45ba-4fe6-bffb-2f22862b45a5,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,34,3,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
62,7d25896d-249e-4315-87c5-d01e9fcbdbec,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,35,2,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
63,43fd1204-4329-4af5-84f4-9d60f4e1b020,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,6,2,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
64,895fc552-d2e9-494b-886e-9be042ac554b,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,54,1,35,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,54,,-1,-1
65,4cef9cfd-a410-44c9-aa40-c4c5bdcb5921,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,30,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,30,,-1,-1
66,d6cb0370-75bd-4735-8080-3bc3aa248a39,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,27,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
67,dceb2a1e-a514-405d-a3df-23e1bd585408,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,33,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,33,,-1,-1
68,9767b7bc-9b7f-4478-b508-1d8fb9b2c39b,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,47,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,47,,-1,-1
69,35b8d266-5144-4dbb-815d-06036b11d116,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,45,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,45,,-1,-1
70,f2f2f71a-6bde-43d7-a3d4-eb4f6fd3e993,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,37,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,37,,-1,-1
71,9711b5d4-622e-460d-941e-a253d44fce6e,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,3,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,38,,-1,-1
72,d1d3dba0-ae93-4544-9172-fa8648e92710,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,6,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,6,,-1,-1
