index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,35.0,0,,0,0.2,32612,0,10,1.0,180.0,False,-0.000305698214722426,0,0.2,32612,0,10,1.0,180.0,False,-0.000305698214722426,0,0.2,47323,0,0,0.0,0.0,False,0.0,0,0.2,47323,0,0,0.0,0.0,False,0.0,0,0.2,65315,0,0,0.0,0.0,False,0.0,0,0.2,65315,0,0,0.0,0.0,False,0.0,0.3333333333333333,290500,0.0,0.0,10,0,0,0,0,0.0,1252,1252,168,0.0,0.0,0,0,168,200,2.883667934976984,2.883667934976984
1,168,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,35.0,0,,0,0.2,32472,4,20,1.0,400.0,False,-0.001222792858889704,0,0.2,32552,0,16,0.6,288.0,False,-0.0004891171435558817,0,0.2,47323,0,0,0.0,0.0,False,0.0,0,0.2,47323,0,0,0.0,0.0,False,0.0,0,0.2,65315,0,0,0.0,0.0,False,0.0,0,0.2,65315,0,0,0.0,0.0,False,0.0,0.26666666666666666,290300,0.0,0.0,12,0,0,103,0,0.0,55,158,142,2394.0,315.0,133,35,142,200,14.45357521699043,17.337243151967414
2,142,0,0,0,10.0,20,10.0,15.714285714285714,18,10.0,25.0,0,,35.0,0,,0,0.2,32392,7,25,1.0,462.85714285714283,False,-0.0027076127589700273,0,0.2,32612,0,10,0.7,157.14285714285714,False,-0.000655067602976659,0,0.2,47243,0,8,0.8,200.0,False,0.00042262747501215056,0,0.2,47223,0,10,1.0,250.0,False,0.0005282843437651881,0,0.2,65315,0,0,0.0,0.0,False,0.0,0,0.2,65315,0,0,0.0,0.0,False,0.0,0.5833333333333334,290100,0.0,0.0,17,0,0,46,0,0.0,38,84,130,360.0,293.0,60,82,130,380,18.501831021974795,35.83907417394221
3,130,0,0,0,10.0,20,10.0,15.67398119122257,39,15.615384615384615,25.0,0,,35.0,20,35.0,9,0.29000000000000004,32598,11,10,1.0,266.7398119122257,False,0.0005921345670124519,0,0.2,32602,0,11,0.6,172.41379310344826,False,-0.0007273509246843777,0,0.2,47243,0,8,0.0,200.0,False,0.00042262747501215056,0,0.2,46614,29,20,1.0,954.5454545454545,False,-0.004896715608208949,8,0.28,65215,0,0,0.0,0.0,False,-0.0015310418739952537,12,0.32000000000000006,65125,0,0,0.0,0.0,False,-0.002908979560590982,0.43333333333333335,289397,0.0,0.0,16,0,0,58,16,15.8,15,73,96,566.0,329.0,49,81,96,714,13.662564537953585,49.501638711895794
4,96,0,0,0,10.0,20,10.0,15.67398119122257,0,,25.0,0,,35.0,20,35.0,0,0.281,32468,14,20,1.0,453.4796238244514,False,-0.0005276408684205708,0,0.2,32532,0,18,0.7,282.13166144200625,False,-0.0011902106040290017,0,0.2,47243,0,8,0.0,200.0,False,0.00042262747501215056,0,0.2,46614,19,30,1.0,1047.805642633229,False,-0.003911357662941559,9,0.36200000000000004,65099,0,0,0.0,0.0,False,-0.0033070504478297483,11,0.41800000000000004,64958,0,0,0.0,0.0,False,-0.005465819490163056,0.45,288914,0.0,0.0,13,0,0,53,13,13.0,14,67,80,477.0,213.0,44,52,80,200,11.86947060195962,61.37110931385541
5,80,0,0,0,10.0,20,10.0,18.91427167772046,36,26.666666666666668,25.0,0,,35.0,20,35.0,4,0.32100000000000006,32944,10,10,1.0,289.1427167772046,False,0.01151171919749947,0,0.2,32728,4,16,1.0,342.62834684352737,False,0.005726160840724024,0,0.2,47243,0,8,0.0,200.0,False,0.00042262747501215056,0,0.2,45654,45,40,1.0,1851.1422254974207,False,-0.015709673673505307,9,0.44300000000000006,64983,0,0,0.0,0.0,False,-0.0050830590216642425,11,0.5170000000000001,64794,0,0,0.0,0.0,False,-0.007976728163515271,0.5,288346,0.0,0.0,15,0,0,45,12,11.285714285714285,13,58,55,402.0,193.0,34,46,55,796,6.31198731996119,67.6830966338166
6,55,0,0,0,10.0,20,10.0,18.91427167772046,0,,25.0,0,,34.99999999999999,20,35.0,0,0.31700000000000006,32854,9,20,1.0,468.2854335544092,False,0.01149861569996348,0,0.2,32618,5,26,1.0,541.771063620732,False,0.0054073591284656075,0,0.2,47243,0,8,0.0,200.0,False,0.00042262747501215056,0,0.2,45654,35,50,1.0,1911.999508720216,False,-0.01506667467489158,7,0.504,64911,0,0,0.0,0.0,False,-0.006185409170940825,13,0.6360000000000001,64578,0,0,0.0,0.0,False,-0.011283778611345021,0.5,287858,0.0,0.0,11,0,0,33,11,11.0,16,49,54,399.0,139.0,23,32,54,200,3.2524091170052998,70.9355057508219
7,54,0,0,0,10.0,20,10.0,19.911348765214942,18,26.0,25.0,0,,35.0,20,35.0,0,0.31700000000000006,33212,10,12,1.0,338.9361851825793,False,0.02046552007187854,0,0.2,32528,4,36,1.0,756.8085555477379,False,0.005942904064987537,0,0.2,47243,0,8,0.0,200.0,False,0.00042262747501215056,0,0.2,45186,43,60,1.0,2356.1879969042425,False,-0.020263001110408792,12,0.6170000000000001,64722,0,0,0.0,0.0,False,-0.009079078312791854,8,0.7030000000000001,64480,0,0,0.0,0.0,False,-0.012784199647860369,0.5,287371,0.0,0.0,12,0,0,37,12,12.0,15,52,45,393.0,204.0,26,28,45,668,3.5760443720500916,74.511550122872
8,45,0,0,0,10.0,20,10.0,19.911348765214942,0,,26.660377358490567,8,36.0,35.0,20,35.0,0,0.31700000000000006,33082,13,22,1.0,568.0496728347287,False,0.0199934224876916,0,0.2,32458,1,46,1.0,925.9220431998873,False,0.006387901124967654,0,0.2,47531,0,0,0.0,0.0,False,0.004395325740126366,0,0.2,45186,33,70,1.0,2523.300924346433,False,-0.018497338246239323,10,0.7050000000000001,64292,0,8,0.8,280.0,False,-0.013519099747378091,10,0.7950000000000002,64340,0,0,0.0,0.0,False,-0.014927658271453724,0.6333333333333333,286889,0.0,0.0,13,0,0,33,13,13.0,11,44,42,348.0,87.0,21,24,42,488,3.415143452992197,77.92669357586419
9,42,0,0,0,10.000000000000002,20,10.0,20.773858474128296,19,26.0,27.641366223908918,5,37.0,35.00000000000001,20,35.0,0,0.31700000000000006,32982,13,32,1.0,794.7634711721055,False,0.020401740510701025,0,0.2,32852,1,37,1.0,778.6327635427469,False,0.016181107293084255,0,0.2,47531,0,0,0.0,0.0,False,0.004395325740126366,0,0.2,44877,42,75,1.0,2945.604522706557,False,-0.020565005148589877,4,0.7350000000000001,64353,0,5,0.5,175.00000000000003,False,-0.013388961188088494,8,0.8650000000000002,64243,0,0,0.0,0.0,False,-0.016412768889229122,0.5833333333333334,286838,0.0,0.0,17,0,0,31,7,7.0,12,43,44,363.0,93.0,21,21,44,1159,3.093876478029415,81.02057005389361
