index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,22.0,0,,35.0,0,,0,0.2,31719,1,10,1.0,180.0,False,-0.0006283577869238744,0,0.2,31739,0,9,0.9,153.0,False,-0.00042414150617361523,0,0.2,42628,0,0,0.0,0.0,False,0.0,0,0.2,42628,0,0,0.0,0.0,False,0.0,0,0.2,68773,0,0,0.0,0.0,False,0.0,0,0.2,68773,0,0,0.0,0.0,False,0.0,0.31666666666666665,286260,0.0,0.0,10,0,0,286,0,0.0,951,1237,194,0.0,0.0,0,0,194,200,6.00311170500936,6.00311170500936
1,194,0,0,0,10.0,20,10.0,17.0,0,,22.0,0,,35.0,0,,0,0.2,31639,0,19,0.9,323.0,False,-0.0008954098463665211,0,0.2,31619,2,19,1.0,343.0,False,-0.0012095887398284584,0,0.2,42628,0,0,0.0,0.0,False,0.0,0,0.2,42628,0,0,0.0,0.0,False,0.0,0,0.2,68773,0,0,0.0,0.0,False,0.0,0,0.2,68773,0,0,0.0,0.0,False,0.0,0.31666666666666665,286060,0.0,0.0,12,0,0,68,0,0.0,77,145,99,1848.0,285.0,123,71,99,200,12.555882396991365,18.558994102000725
2,99,0,0,0,10.0,20,10.0,18.403508771929825,12,23.666666666666668,22.0,0,,35.0,0,,0,0.2,31834,0,16,0.8,294.4561403508772,False,0.004782684664156552,0,0.2,31508,4,28,1.0,555.2982456140351,False,-0.0013619930627095098,0,0.2,42619,0,1,0.1,22.0,False,4.69175190015952e-05,0,0.2,42353,1,10,1.0,238.40350877192984,False,-0.003654833574505912,0,0.2,68773,0,0,0.0,0.0,False,0.0,0,0.2,68773,0,0,0.0,0.0,False,0.0,0.4833333333333334,285860,0.0,0.0,12,0,0,24,0,0.0,32,56,38,459.0,232.0,33,66,38,484,4.692652838944923,23.251646940945648
3,38,0,0,0,10.0,20,10.0,19.082695252679933,14,21.571428571428573,22.0,0,,35.0,10,35.0,0,0.2,32048,0,11,0.7,209.90964777947926,False,0.010177976810133542,0,0.2,31396,7,36,1.0,756.9770290964776,False,-0.0017126358180200338,0,0.2,42610,0,2,0.1,44.0,False,9.38350380031904e-05,0,0.2,42060,4,20,1.0,516.3307810107198,False,-0.00726833558915828,0,0.2,68773,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,68632,0,0,0.0,0.0,False,-0.0020502231980573772,0.4666666666666666,285519,0.0,0.0,15,0,0,18,6,6.0,21,39,29,237.0,71.0,18,20,29,502,2.618832764972467,25.870479705918115
4,29,0,0,0,10.0,20,10.0,19.485718266685243,13,21.307692307692307,22.0,0,,35.0,11,35.0,0,0.2,32207,0,10,1.0,194.85718266685242,False,0.014936962874530394,0,0.2,31314,7,44,1.0,927.3716037341507,False,-0.0016121837988288825,0,0.2,42592,0,4,0.2,88.0,False,0.0001876700760063808,0,0.2,41801,5,30,1.0,757.4285913334262,False,-0.010516226525600175,0,0.2,68773,0,0,0.0,0.0,False,0.0,11,0.4,68470,0,0,0.0,0.0,False,-0.00440579878731479,0.5333333333333333,285157,0.0,0.0,13,0,0,15,6,6.0,19,34,31,160.0,63.0,12,17,31,477,1.8627216760069132,27.733201381925028
5,31,0,0,0,10.0,20,10.0,20.71507732385504,26,23.76923076923077,22.603448275862068,13,24.692307692307693,35.0,8,35.0,2,0.22000000000000003,32405,0,6,0.6,124.29046394313025,False,0.020049176284883737,0,0.2,31492,11,40,1.0,938.6030929542017,False,0.004156635347547881,0,0.2,42418,2,11,1.0,290.0680856821928,False,-0.0015240207647297546,0,0.2,41678,9,30,1.0,864.5391441905574,False,-0.012145313594461948,0,0.2,68773,0,0,0.0,0.0,False,0.0,8,0.46900000000000003,68057,13,0,0.0,293.84482758620686,False,-0.008274723891743833,0.6,284823,0.0,0.0,15,0,0,10,4,3.166666666666667,24,34,36,204.0,85.0,14,17,36,839,2.2172091910033487,29.950410572928376
6,36,0,0,0,10.0,20,10.0,22.71759779730919,47,26.19148936170213,22.22058823529412,9,20.0,35.0,7,35.0,4,0.258,32441,3,10,1.0,257.1759779730919,False,0.023267711489099452,0,0.2,32403,8,13,1.0,375.32877136501946,False,0.02392988738830973,0,0.2,42184,1,21,1.0,489.3499507384857,False,-0.004675917815303509,0,0.2,40861,37,31,1.0,1529.3893537945578,False,-0.023512839521035996,0,0.2,68773,0,0,0.0,0.0,False,0.0,7,0.5310000000000001,67800,22,0,0.0,488.8529411764706,False,-0.010593889017663359,0.6666666666666666,284462,0.0,0.0,15,0,0,12,5,4.4,25,37,39,206.0,104.0,17,19,39,1361,2.2767112990259193,32.227121871954296
7,39,0,0,0,10.0,20,10.0,23.480033591643974,35,26.0,24.466036228023437,20,30.65,35.00000000000001,11,35.0,1,0.264,32576,6,10,1.0,294.80033591643974,False,0.028100165508128487,11,0.31000000000000005,32726,5,10,1.0,284.80033591643974,False,0.03265575946332658,0,0.2,41995,13,22,1.0,843.4932337078873,False,-0.004955742308953111,0,0.2,40753,40,30,1.0,1673.182430506462,False,-0.024359781944889913,0,0.2,68773,0,0,0.0,0.0,False,0.0,11,0.6340000000000001,67030,42,0,0.0,1027.5735215769844,False,-0.01787348580418917,0.6666666666666666,283853,0.0,0.0,16,0,0,18,7,5.937062937062937,27,45,34,324.0,81.0,22,17,34,1099,2.3723624930134974,34.59948436496779
8,34,0,0,0,10.0,20,10.0,23.858946713861272,24,26.0,25.82010759192844,25,29.48,35.00000000000001,12,35.0,1,0.273,32751,5,10,1.0,288.5894671386127,False,0.03350072994970969,3,0.32900000000000007,32891,6,10,1.0,298.5894671386127,False,0.038056323904907784,0,0.2,41709,14,32,1.0,1160.2686969357678,False,-0.007949367822372917,0,0.2,41152,43,15,1.0,1413.2363225749614,False,-0.01804874351863848,0,0.2,68773,0,0,0.0,0.0,False,0.0,12,0.7430000000000001,66111,67,0,0.0,1729.9472086592054,False,-0.026129824141311275,0.6666666666666666,283387,0.0,0.0,13,0,0,11,8,6.321678321678322,27,38,36,213.0,81.0,17,17,36,937,2.3667060370207764,36.96619040198857
9,36,0,0,0,10.000000000000002,20,10.0,23.998470996399092,28,24.714285714285715,26.069655493611755,3,33.0,35.00000000000001,15,35.0,0,0.272,32921,4,10,1.0,279.98470996399095,False,0.03870659948418091,8,0.406,33045,7,10,1.0,309.98470996399095,False,0.04307368610330184,0,0.2,41017,32,42,1.0,1862.8766026164647,False,-0.015941674455563635,0,0.2,41251,33,22,1.0,1365.4819637406285,False,-0.016286455337564128,0,0.2,68773,0,0,0.0,0.0,False,0.0,15,0.881,65743,70,0,0.0,1824.8758845528228,False,-0.03079060180192201,0.6666666666666666,282750,0.0,0.0,13,0,0,13,9,8.444444444444445,24,37,35,251.0,70.0,17,19,35,559,2.998837082006503,39.96502748399507
