index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,30.0,0,,0,0.2,29095,9,0,0.0,90.0,False,-0.0015418879561418537,0,0.2,29075,11,0,0.0,110.0,False,-0.0018845297241733767,0,0.2,37420,0,0,0.0,0.0,False,0.0,0,0.2,37420,0,0,0.0,0.0,False,0.0,0,0.2,54722,0,0,0.0,0.0,False,0.0,0,0.2,54722,0,0,0.0,0.0,False,0.0,0.0,242454,0.0,0.0,8,0,0,4,0,0.0,1037,1041,92,0.0,0.0,0,0,92,200,4.086481006001122,4.086481006001122
1,92,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,30.0,0,,0,0.2,28975,21,0,0.0,210.0,False,-0.003597738564330992,0,0.2,28995,19,0,0.0,190.0,False,-0.003255096796299469,0,0.2,37420,0,0,0.0,0.0,False,0.0,0,0.2,37420,0,0,0.0,0.0,False,0.0,0,0.2,54722,0,0,0.0,0.0,False,0.0,0,0.2,54722,0,0,0.0,0.0,False,0.0,0.0,242254,0.0,0.0,8,0,0,53,0,0.0,57,110,61,1656.0,0.0,92,0,61,200,9.449379330035299,13.535860336036421
2,61,0,0,0,10.0,20,10.0,13.526315789473685,12,8.0,20.0,0,,30.0,0,,6,0.26,28799,32,0,0.0,320.0,False,-0.007743703957512421,6,0.26,28839,28,0,0.0,280.0,False,-0.007058420421449375,0,0.2,37324,2,10,1.0,227.05263157894737,False,0.00046836760527721276,0,0.2,37420,0,0,0.0,0.0,False,0.0,0,0.2,54722,0,0,0.0,0.0,False,0.0,0,0.2,54722,0,0,0.0,0.0,False,0.0,0.16666666666666666,241826,0.0,0.0,8,0,0,13,4,4.0,64,77,13,1035.0,3.0,60,1,13,200,4.690995370969176,18.226855707005598
3,13,0,0,0,10.0,20,10.0,13.318949343339586,2,8.0,20.0,0,,30.0,20,30.0,1,0.264,28699,41,0,0.0,410.0,False,-0.009628233681685798,1,0.264,28719,39,0,0.0,390.0,False,-0.009285591913654275,0,0.2,37324,0,12,0.2,240.0,False,0.0006413682522715125,0,0.2,37404,0,2,0.2,40.0,False,0.00010689470871191876,12,0.32000000000000006,54565,0,0,0.0,0.0,False,-0.002869047183947955,8,0.28,54645,0,0,0.0,0.0,False,-0.0014071123131464494,0.06666666666666667,241356,0.0,0.0,8,0,0,10,12,12.0,18,28,15,165.0,9.0,10,3,15,200,1.6547764249844477,19.881632131990045
4,15,0,0,0,10.0,20,10.0,13.106063638182908,2,8.0,20.0,0,,30.0,20,30.0,2,0.28300000000000003,28579,51,0,0.0,510.0,False,-0.012026726057906459,0,0.263,28619,49,0,0.0,490.0,False,-0.01099880075381189,0,0.2,37324,0,12,0.0,240.0,False,0.0006413682522715125,0,0.2,37388,0,4,0.2,80.0,False,0.00021378941742383753,9,0.398,54468,0,0,0.0,0.0,False,-0.004641643214794781,11,0.382,54516,0,0,0.0,0.0,False,-0.0037644822923138775,0.03333333333333333,240894,0.0,0.0,9,0,0,6,9,9.0,19,25,19,147.0,18.0,9,6,19,200,1.7577177769853733,21.63934990897542
5,19,0,0,0,10.0,20,10.0,12.595181397954894,5,8.0,20.0,0,,29.999999999999996,20,30.0,4,0.32100000000000006,28415,63,0,0.0,630.0,False,-0.015590200445434299,1,0.273,28529,57,0,0.0,570.0,False,-0.012712009593969505,0,0.2,37324,0,12,0.0,240.0,False,0.0006413682522715125,0,0.2,37348,0,9,0.5,180.0,False,0.00048102618920363443,13,0.5190000000000001,54297,0,0,0.0,0.0,False,-0.007766529001132999,7,0.44100000000000006,54455,0,0,0.0,0.0,False,-0.004879207631300025,0.08333333333333333,240368,0.0,0.0,8,0,0,9,12,12.0,19,28,14,198.0,24.0,11,8,14,200,1.6223830800154246,23.261732988990843
6,14,0,0,0,10.0,20,10.0,12.05431411437214,6,8.0,20.0,0,,30.0,20,30.0,4,0.35700000000000004,28275,73,0,0.0,730.0,False,-0.018673976357718006,2,0.29200000000000004,28409,67,0,0.0,670.0,False,-0.015110501970190166,0,0.2,37324,0,12,0.0,240.0,False,0.0006413682522715125,0,0.2,37300,0,15,0.6,300.0,False,0.0008017103153393907,8,0.5860000000000002,54231,0,0,0.0,0.0,False,-0.008972625269544243,12,0.5540000000000002,54303,0,0,0.0,0.0,False,-0.007656883885822887,0.09999999999999999,239842,0.0,0.0,9,0,0,11,9,9.0,18,29,14,150.0,12.0,10,4,14,200,1.9244172199978493,25.186150208988693
7,14,0,0,0,10.0,20,10.0,11.884954362252659,2,8.0,20.625,3,30.0,30.0,20,30.0,2,0.37300000000000005,28155,83,0,0.0,830.0,False,-0.021072468733938667,0,0.29000000000000004,28309,77,0,0.0,770.0,False,-0.01682371081034778,0,0.2,37414,0,9,0.0,185.625,False,0.0023199492250133616,0,0.2,37284,0,17,0.2,350.625,False,0.0010505745590593265,11,0.6880000000000001,54101,0,0,0.0,0.0,False,-0.011348269434596688,9,0.6320000000000001,54120,3,0,0.0,61.875,False,-0.010435702276963561,0.03333333333333333,239383,0.0,0.0,9,0,0,12,8,8.0,15,27,9,165.0,12.0,10,4,9,290,1.5763470209785737,26.762497229967266
8,9,0,0,0,10.0,20,10.0,11.712635575394156,2,8.0,19.83739837398374,6,14.166666666666666,30.0,20,30.0,1,0.38100000000000006,28065,91,0,0.0,910.0,False,-0.02278567757409628,1,0.30000000000000004,28179,89,0,0.0,890.0,False,-0.01922220318656844,0,0.2,37414,0,9,0.0,178.53658536585365,False,0.0022252349728201313,0,0.2,37353,0,13,0.2,257.8861788617886,False,0.0016553471253580195,12,0.7970000000000002,53915,0,1,0.1,30.0,False,-0.014473155220934907,8,0.7030000000000001,53985,8,0,0.0,158.6991869918699,False,-0.012018025775813465,0.05000000000000001,238911,0.0,0.0,11,0,0,9,12,12.0,13,22,10,93.0,9.0,6,3,10,285,1.2478895009844564,28.010386730951723
9,10,0,0,0,10.000000000000002,20,10.0,11.457069300799166,3,8.0,21.554054054054056,9,30.0,29.999999999999996,20,30.0,1,0.39,27945,102,0,0.0,1020.0000000000002,False,-0.025012849066301183,2,0.31900000000000006,28068,98,0,0.0,980.0000000000002,False,-0.021483638855576494,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.2,37329,0,16,0.3,344.8648648648649,False,0.002176174036141994,9,0.8750000000000002,53853,0,0,0.0,0.0,False,-0.015880267534081356,10,0.7950000000000002,53604,17,0,0.0,366.41891891891896,False,-0.01708253610139505,0.049999999999999996,238483,0.0,0.0,9,0,0,9,11,10.5,16,25,6,126.0,9.0,7,3,6,470,1.2032403399934992,29.213627070945222
