index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,36.0,0,,0,0.2,47676,1,10,1.0,190.0,False,-0.00031389946846356674,0,0.2,47696,9,0,0.0,90.0,False,-0.0009416984053907002,0,0.2,65557,0,0,0.0,0.0,False,0.0,0,0.2,65557,0,0,0.0,0.0,False,0.0,0,0.2,95125,0,0,0.0,0.0,False,0.0,0,0.2,95125,0,0,0.0,0.0,False,0.0,0.16666666666666666,416736,0.0,0.0,12,0,0,0,0,0.0,1341,1341,292,0.0,0.0,0,0,292,200,9.864945129491389,9.864945129491389
1,292,0,0,0,10.0,20,10.0,17.652173913043477,1,2.0,26.0,0,,36.0,0,,0,0.2,47566,2,20,1.0,373.0434782608695,False,-0.0007005872194694628,1,0.21000000000000002,47586,18,0,0.0,180.0,False,-0.0023019294353994893,0,0.2,65557,0,0,0.0,0.0,False,0.0,0,0.2,65555,0,1,0.1,26.0,False,0.00016779291303750934,0,0.2,95125,0,0,0.0,0.0,False,0.0,0,0.2,95125,0,0,0.0,0.0,False,0.0,0.18333333333333335,416514,0.0,0.0,11,0,0,105,1,1.0,69,174,152,2674.0,576.0,152,140,152,200,28.76358055137098,38.62852568086237
2,152,0,0,0,10.0,20,10.0,14.071917808219178,17,5.352941176470588,26.0,0,,36.0,0,,0,0.2,47536,0,25,1.0,351.79794520547944,False,-0.0015506848741735442,12,0.32900000000000007,47215,30,0,0.0,300.0,False,-0.008810111748210774,0,0.2,65487,0,10,1.0,260.0,False,0.0009152340711136873,0,0.2,65534,0,8,0.7,208.0,False,0.001235565996003478,0,0.2,95125,0,0,0.0,0.0,False,0.0,0,0.2,95125,0,0,0.0,0.0,False,0.0,0.45,416022,0.0,0.0,11,0,0,97,2,2.0,65,162,128,626.0,79.0,140,12,128,250,34.34598873089999,72.97451441176236
3,128,0,0,0,10.0,20,10.0,14.49447879858657,38,15.078947368421053,26.543478260869566,1,51.0,36.0,20,36.0,0,0.2,47907,0,13,0.9,188.4282243816254,False,0.004503706361503651,17,0.48700000000000004,46795,41,0,0.0,410.0,False,-0.016448332147490898,0,0.2,64914,28,20,1.0,936.7149715778153,False,-0.002663979654515754,0,0.2,65585,0,7,0.0,185.80434782608697,False,0.0018442298139487823,8,0.28,95032,0,0,0.0,0.0,False,-0.0009776609724047307,12,0.32000000000000006,94897,1,0,0.0,26.543478260869566,False,-0.0022573273153174006,0.31666666666666665,415130,0.0,0.0,14,0,0,76,11,11.0,35,111,83,739.0,266.0,89,39,83,712,21.256235029548407,94.23074944131076
4,83,0,0,0,10.0,20,10.0,12.159533289095332,27,5.111111111111111,28.37341772151899,6,41.0,36.0,20,36.0,0,0.2,47902,0,13,0.5,158.07393275823932,False,0.004081466671810169,22,0.6900000000000001,46186,56,0,0.0,560.0,False,-0.027623153224793872,0,0.2,64776,45,30,1.0,1398.3815296548596,False,-0.001247909989361499,0,0.2,65831,0,1,0.0,28.37341772151899,False,0.00439597157985805,10,0.372,94891,0,0,0.0,0.0,False,-0.0024599211563731934,10,0.40800000000000003,94511,7,0,0.0,198.61392405063293,False,-0.005410702107486752,0.25,414097,0.0,0.0,12,0,0,33,13,13.0,29,62,76,388.0,216.0,40,43,76,491,7.574685879051685,101.80543532036245
5,76,0,0,0,10.0,20,10.0,10.662524047594637,35,6.485714285714286,28.800045808520387,1,47.0,36.0,20,36.0,0,0.2,47822,0,21,0.8,223.91300499948738,False,0.0030962311660265095,35,1.0180000000000002,45217,68,0,0.0,680.0,False,-0.04664546101368602,0,0.2,64549,70,40,1.0,1898.3785156724402,False,-0.0008970932495962794,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,12,0.48200000000000004,94697,0,0,0.0,0.0,False,-0.00449934296977661,8,0.4780000000000001,94365,8,0,0.0,230.4003664681631,False,-0.006778447482427588,0.3,412528,0.0,0.0,14,0,0,25,15,15.0,28,53,61,364.0,221.0,31,45,61,247,7.543143739923835,109.34857906028628
6,61,0,0,0,10.0,20,10.0,12.040162467030575,38,16.36842105263158,28.800045808520387,0,,36.0,20,36.0,0,0.2,48086,0,17,1.0,204.68276193951976,False,0.008419649708486994,24,1.223,44703,78,0,0.0,780.0,False,-0.056355417904825685,0,0.2,63927,98,50,1.0,2619.9382121950157,False,-0.004881719631808819,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,7,0.54,94618,0,0,0.0,0.0,False,-0.005329829172141918,13,0.6000000000000001,94147,8,0,0.0,230.4003664681631,False,-0.009070168901612871,0.3333333333333333,411359,0.0,0.0,12,0,0,17,15,15.0,27,44,53,216.0,178.0,20,41,53,564,6.550095358863473,115.89867441914976
7,53,0,0,0,10.0,20,10.0,12.040162467030575,0,,28.800045808520387,0,,36.0,20,36.0,0,0.2,48016,0,24,0.7,288.9638992087338,False,0.007836645662000664,0,1.1990000000000003,44573,91,0,0.0,910.0,False,-0.05771564893483447,0,0.2,63927,88,60,1.0,2787.5370456099135,False,-0.003603451609973618,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,6,0.5930000000000002,94553,0,0,0.0,0.0,False,-0.006013140604467806,14,0.7270000000000001,93904,8,0,0.0,230.4003664681631,False,-0.011624702410154264,0.2833333333333333,410851,0.0,0.0,11,0,0,13,11,11.0,27,40,20,171.0,152.0,17,36,20,200,4.1987999537959695,120.09747437294573
8,20,0,0,0,10.0,20,10.0,12.874142054423896,9,26.0,28.800045808520387,0,,36.0,20,36.0,0,0.2,48140,1,25,1.0,331.8535513605974,False,0.010880315901734858,0,1.1990000000000003,44483,100,0,0.0,1000.0,False,-0.05865734734022517,0,0.2,63693,87,70,1.0,3136.0535653313063,False,-0.004514746210692125,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,10,0.687,94416,0,0,0.0,0.0,False,-0.007453350854139291,10,0.8130000000000002,93769,8,0,0.0,230.4003664681631,False,-0.01304388769267726,0.3333333333333333,410379,0.0,0.0,12,0,0,9,10,10.0,19,28,15,136.0,66.0,13,7,15,434,3.673903373070061,123.77137774601579
9,15,0,0,0,10.000000000000002,20,10.0,14.022553784394583,13,26.0,28.800045808520387,0,,36.0,20,36.0,0,0.2,48388,0,22,1.0,308.4961832566808,False,0.015825724932581477,0,1.1990000000000003,44373,111,0,0.0,1110.0000000000002,False,-0.05980831205792492,0,0.2,63355,90,80,1.0,3566.0335052771434,False,-0.00639112905351724,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,11,0.7870000000000001,94250,0,0,0.0,0.0,False,-0.009198423127463863,9,0.893,93651,8,0,0.0,230.4003664681631,False,-0.0142843607544381,0.3333333333333333,409895,0.0,0.0,13,0,0,7,11,11.0,20,27,17,96.0,47.0,9,6,17,538,3.8335905065760016,127.60496825259179
