index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,14,10.0,23.0,0,,32.0,0,,50.0,0,,0,0.2,47416,0,1,0.1,23.0,False,3.1628220807152194e-05,0,0.2,47296,13,0,0.0,130.0,False,-0.001370556234976595,0,0.2,66923,0,0,0.0,0.0,False,0.0,0,0.2,66923,0,0,0.0,0.0,False,0.0,0,0.2,106841,0,0,0.0,0.0,False,0.0,0,0.2,106841,0,0,0.0,0.0,False,0.0,0.016666666666666666,442240,0.0,0.0,6,0,0,102,0,0.0,319,421,164,0.0,0.0,0,0,164,140,3.543006867170334,3.543006867170334
1,164,0,0,0,10.0,14,10.0,23.0,0,,32.0,0,,50.0,0,,0,0.2,47386,0,4,0.3,92.0,False,0.00012651288322860878,0,0.2,47186,24,0,0.0,240.0,False,-0.0025302576645721757,0,0.2,66923,0,0,0.0,0.0,False,0.0,0,0.2,66923,0,0,0.0,0.0,False,0.0,0,0.2,106841,0,0,0.0,0.0,False,0.0,0,0.2,106841,0,0,0.0,0.0,False,0.0,0.049999999999999996,442100,0.0,0.0,6,0,0,68,0,0.0,42,110,44,1458.0,339.0,95,69,44,140,7.478591470979154,11.021598338149488
2,44,0,0,0,10.000000000000002,14,10.0,21.489795918367346,4,4.5,32.0,0,,50.0,0,,0,0.2,47346,0,8,0.4,171.91836734693877,False,0.00012565225136990137,4,0.24000000000000002,46988,34,0,0.0,340.00000000000006,False,-0.005650908784211192,0,0.2,66923,0,0,0.0,0.0,False,0.0,0,0.2,66905,0,4,0.4,128.0,False,0.0006873571119047264,0,0.2,106841,0,0,0.0,0.0,False,0.0,0,0.2,106841,0,0,0.0,0.0,False,0.0,0.13333333333333333,441844,0.0,0.0,6,0,0,12,2,2.0,27,39,22,325.0,90.0,23,21,22,140,1.7371838791295886,12.758782217279077
3,22,0,0,0,10.0,18,10.0,19.70875763747454,5,4.0,32.0,0,,50.0,20,50.0,0,0.2,47296,0,13,0.5,256.213849287169,False,-3.991640358480026e-05,5,0.28600000000000003,46732,47,0,0.0,470.0,False,-0.009678235566988571,0,0.2,66903,0,5,0.5,160.0,False,0.0008965527546583386,0,0.2,66905,0,4,0.0,128.0,False,0.0006873571119047264,9,0.29000000000000004,106682,0,0,0.0,0.0,False,-0.0014881927349987365,11,0.31000000000000005,106636,0,0,0.0,0.0,False,-0.0019187390608474274,0.16666666666666666,441154,0.0,0.0,6,0,0,13,10,10.0,16,29,21,194.0,22.0,14,8,21,180,1.4515703674405813,14.210352584719658
4,21,0,0,0,10.0,10,10.0,17.443445985544052,7,3.142857142857143,32.0,0,,50.0,20,50.0,0,0.2,47296,0,13,0.0,226.7647978120727,False,-0.0003503901044567768,7,0.35100000000000003,46443,57,0,0.0,570.0,False,-0.014717665415594822,0,0.2,66885,0,8,0.3,256.0,False,0.001344829131987508,0,0.2,66901,0,8,0.4,256.0,False,0.0015839098665630651,15,0.43100000000000005,106330,0,0,0.0,0.0,False,-0.004782808098014807,5,0.34900000000000003,106575,0,0,0.0,0.0,False,-0.002489680927733735,0.11666666666666665,440430,0.0,0.0,3,0,0,10,10,10.0,14,24,26,120.0,51.0,9,12,26,100,1.3605126794427633,15.570865264162421
5,26,0,0,0,10.0,11,10.0,17.490549546596746,18,17.61111111111111,32.981818181818184,10,37.4,50.0,20,50.0,0,0.2,47576,0,5,0.0,87.45274773298374,False,0.004084813685878874,10,0.44400000000000006,46060,68,0,0.0,680.0,False,-0.0216337030320921,0,0.2,66858,0,9,0.9,296.83636363636367,False,0.0012464800116280255,0,0.2,66985,0,15,0.9,494.72727272727275,False,0.00462268033954892,10,0.516,106147,0,0,0.0,0.0,False,-0.00649563369867373,10,0.44400000000000006,106017,10,0,0.0,329.81818181818187,False,-0.006168894984986211,0.3,439643,0.0,0.0,7,0,0,14,11,11.0,17,31,24,214.0,32.0,15,11,24,764,1.5818888386711478,17.15275410283357
6,24,0,0,0,10.0,7,10.0,13.638404777215873,19,1.9473684210526316,32.95155279503106,31,32.903225806451616,49.99999999999999,20,50.0,0,0.2,47576,0,5,0.0,68.19202388607937,False,0.003881752876967029,19,0.6240000000000001,45344,75,0,0.0,750.0,False,-0.0359929152785392,4,0.24000000000000002,66873,6,10,1.0,411.34595661360584,False,0.002326150625447161,3,0.23,67687,0,3,0.3,98.85465838509319,False,0.012154675211699256,9,0.5960000000000001,105691,19,0,0.0,626.0795031055902,False,-0.007833699127181494,11,0.544,105084,22,0,0.0,724.9341614906834,False,-0.013052413579568361,0.21666666666666667,438255,0.0,0.0,6,0,0,15,15,13.907692307692308,14,29,30,157.0,40.0,14,10,30,595,1.41899642534554,18.57175052817911
7,30,0,0,0,10.0,11,10.0,12.709463500811607,10,6.3,33.867070952092185,10,40.5,49.99999999999999,20,50.0,0,0.2,47576,0,5,0.0,63.547317504058036,False,0.0038327849439553554,10,0.7050000000000001,44983,86,0,0.0,860.0,False,-0.042445072323198246,0,0.23600000000000002,67031,0,13,0.8,440.2719223771984,False,0.004903186665101685,2,0.24700000000000003,67795,0,8,0.8,270.9365676167375,False,0.015054141084655024,8,0.6670000000000001,105320,24,0,0.0,812.8097028502125,False,-0.010432279261471679,12,0.653,104679,27,0,0.0,914.4109157064889,False,-0.015956370140178016,0.26666666666666666,437384,0.0,0.0,5,0,0,11,12,11.4,18,29,27,238.0,45.0,15,15,27,270,1.4788556937128305,20.05060622189194
8,27,0,0,0,9.999999999999998,13,10.0,12.531438317388556,5,10.0,35.58306672343532,8,51.5,50.0,20,50.0,0,0.2,47576,0,5,0.0,62.65719158694278,False,0.0038234005776045066,5,0.7450000000000001,44763,99,0,0.0,989.9999999999998,False,-0.04571332180660397,0,0.23600000000000002,66981,0,18,0.5,640.4952010218358,False,0.005651982136349538,0,0.24500000000000002,68207,0,0,0.0,0.0,False,0.01918622894968845,13,0.7890000000000001,104809,29,0,0.0,1031.9089349796243,False,-0.014189735518295353,7,0.7110000000000001,104411,30,0,0.0,1067.4920017030597,False,-0.017748373743679546,0.08333333333333333,436747,0.0,0.0,7,0,0,12,9,9.0,15,27,28,158.0,50.0,13,14,28,542,1.331848118454218,21.382454340346158
9,28,0,0,0,9.999999999999998,8,10.0,11.102732440756846,18,5.666666666666667,31.500820222680904,28,20.714285714285715,49.99999999999999,20,50.0,0,0.2,47576,0,5,0.0,55.51366220378423,False,0.003748088202713518,18,0.9200000000000002,44197,107,0,0.0,1069.9999999999998,False,-0.05680428456964534,5,0.28600000000000003,67100,2,10,1.0,337.21366710832274,False,0.005164245977528862,5,0.29500000000000004,68186,0,6,0.6,189.00492133608543,False,0.020284542842790045,11,0.8860000000000001,104020,57,0,0.0,1795.5467526928114,False,-0.018000829491053007,9,0.794,104280,30,0,0.0,945.0246066804272,False,-0.019547624008197043,0.26666666666666666,435359,0.0,0.0,4,0,0,14,11,10.416666666666666,14,28,29,177.0,64.0,14,14,29,245,1.298546640202403,22.68100098054856
