index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,28.0,0,,36.0,0,,0,0.2,39424,12,0,0.0,120.0,False,-0.001517297187942545,0,0.2,39464,0,8,0.8,128.0,False,-0.00040461258345134534,0,0.2,69049,0,0,0.0,0.0,False,0.0,0,0.2,69049.0,0,0,0.0,0.0,False,0.0,0,0.2,92471,0,0,0.0,0.0,False,0.0,0,0.2,92471,0,0,0.0,0.0,False,0.0,0.13333333333333333,401928,0.0,0.0,12,0,0,148,0,0.0,446,594,46,0.0,0.0,0,0,46,200,1.0544645888730884,1.0544645888730884
1,46,0,0,0,10.0,20,10.0,16.0,0,,26.893617021276597,2,2.0,36.0,0,,0,0.2,39314,23,0,0.0,230.0,False,-0.0029081529435565447,0,0.2,39374,0,17,0.9,272.0,False,-0.0008598017398341088,0,0.2,69049,0,0,0.0,0.0,False,0.0,2,0.22000000000000003,68985.0,0,0,0.0,0.0,False,-0.0009268780141638547,0,0.2,92467,0,2,0.2,72.0,False,0.00034605443868888626,0,0.2,92471,0,0,0.0,0.0,False,0.0,0.18333333333333335,401660,0.0,0.0,10,0,0,30,1,1.0,26,56,36,619.0,88.0,37,9,36,200,2.532039816491306,3.586504405364394
2,36,0,0,0,10.0,20,10.0,15.2,5,8.0,22.055248618784532,12,5.0,36.0,0,,5,0.25,39149,34,0,0.0,340.0,False,-0.0056898644547845436,0,0.2,39284,0,26,0.9,395.2,False,-0.0015779890754602835,0,0.2,69009,0,5,0.5,110.27624309392266,False,0.00021923737558775876,12,0.3380000000000001,68601.0,0,0,0.0,0.0,False,-0.0064881460991469825,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,0,0.2,92411,2,10,1.0,404.11049723756906,False,0.0015362140413619485,0.39999999999999997,400921,0.0,0.0,13,0,0,29,3,3.0,23,52,26,329.0,46.0,31,5,26,200,4.169823259115219,7.756327664479613
3,26,0,0,0,10.0,20,10.0,13.483333333333333,15,8.333333333333334,21.02861308547476,6,12.666666666666666,36.0,12,36.0,10,0.34500000000000003,38909,45,0,0.0,450.0,False,-0.010368197450940725,0,0.2,39239,0,30,0.9,404.5,False,-0.0025983714343516084,0,0.2,68959,5,10,1.0,277.70279752141425,False,0.0007074888667569444,1,0.3360000000000001,68568.0,0,0,0.0,0.0,False,-0.00696606757520022,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,2,0.22000000000000003,92679,0,8,0.8,288.0,False,0.0038065988255777485,0.45,400821,0.0,0.0,19,0,0,17,5,4.5,22,39,27,228.0,55.0,18,8,27,644,2.0408708779141307,9.797198542393744
4,27,0,0,0,10.0,20,10.0,12.7046875,10,8.5,16.064229850258968,18,2.4444444444444446,36.0,11,36.0,5,0.385,38734,57,0,0.0,570.0,False,-0.01327635039449727,0,0.2,39204,0,33,0.8,419.2546875,False,-0.0032969010785454545,0,0.2,68874,5,20,1.0,384.80803450517936,False,0.0002520531398367191,18,0.5150000000000001,67890.0,0,0,0.0,0.0,False,-0.016785181537748554,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,3,0.24800000000000003,92898,8,10,1.0,488.51383880207175,False,0.007259107389354965,0.4666666666666666,400067,0.0,0.0,18,0,0,21,5,5.0,20,41,21,260.0,38.0,19,8,21,533,2.1640500631183386,11.961248605512083
5,21,0,0,0,10.0,20,10.0,14.732671957671958,18,21.22222222222222,15.489517675066015,14,13.0,36.0,9,36.0,4,0.42000000000000004,38628,66,0,0.0,660.0,False,-0.014818935868905522,0,0.2,39416,1,29,1.0,437.24748677248675,False,0.002291719183346163,0,0.2,68657,9,23,1.0,488.85295414556595,False,-0.0021372289667802636,7,0.5670000000000001,67655.0,4,0,0.0,58.93068783068783,False,-0.019761830817023446,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,0,0.24500000000000002,93040,12,11,1.0,581.8742121007922,False,0.009299532891937913,0.5,399863,0.0,0.0,14,0,0,19,3,3.0,20,39,16,147.0,38.0,14,7,16,951,1.6116949738934636,13.572943579405546
6,16,0,0,0,10.0,20,10.0,14.764148054755045,43,14.813953488372093,15.489517675066015,0,,36.0,9,36.0,31,0.7260000000000002,38098,75,0,0.0,750.0,False,-0.02708375480477443,0,0.2,39690,2,27,1.0,418.6319974783862,False,0.008985332761966211,0,0.2,68404,30,33,1.0,954.0785249198298,False,-0.0024324861698226045,0,0.56,67271.0,16,0,0.0,236.22636887608073,False,-0.024039259302262982,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,0,0.24500000000000002,93364,2,12,1.0,462.97903535013205,False,0.012160455901580738,0.5,399294,0.0,0.0,18,0,0,17,2,2.0,14,31,16,115.0,50.0,10,6,16,908,1.2039912408217788,14.776934820227325
7,16,0,0,0,10.0,20,10.0,17.405332253498123,47,23.02127659574468,17.395197549245825,5,43.0,36.00000000000001,10,36.0,13,0.8250000000000002,37917,82,0,0.0,820.0,False,-0.030775844628767954,7,0.27,40335,5,10,1.0,224.05332253498125,False,0.022835996896305118,0,0.2,68257,39,38,1.0,1339.8254647577683,False,-0.001768125065114842,0,0.56,66551.0,44,0,0.0,765.8346191539174,False,-0.030631619435806955,0,0.2,92467,0,2,0.0,72.00000000000001,False,0.00034605443868888626,0,0.24500000000000002,93509,0,9,0.7,324.00000000000006,False,0.012977041450833234,0.45,399036,0.0,0.0,18,0,0,16,4,3.071428571428571,20,36,16,141.0,53.0,10,6,16,1181,1.074328945018351,15.851263765245676
8,16,0,0,0,10.0,20,10.0,20.638730591030342,57,28.140350877192983,16.145761928500878,8,6.0,36.0,8,36.0,0,0.812,37807,93,0,0.0,930.0,False,-0.032166700384381956,47,0.7330000000000001,40306,4,10,1.0,246.3873059103034,False,0.02238503067355738,0,0.2,67857,45,48,1.0,1703.7394491644077,False,-0.004925926159941537,8,0.6400000000000001,65123.0,85,0,0.0,1754.292100237579,False,-0.044154932727211355,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,0,0.24500000000000002,93749,0,9,0.8,324.0,False,0.015572449740999882,0.4666666666666666,397309,0.0,0.0,14,0,0,18,5,4.285714285714286,15,33,21,160.0,64.0,10,6,21,488,1.2173435688018799,17.068607334047556
9,21,0,0,0,10.000000000000002,20,10.0,21.23166967746131,13,29.0,18.925487537165928,34,24.294117647058822,36.0,12,36.0,0,0.812,37717,102,0,0.0,1020.0000000000002,False,-0.03330467327533886,3,0.7160000000000002,40516,5,10,1.0,262.3166967746131,False,0.027896984331056637,0,0.2,68581,35,34,1.0,1386.5750149747873,False,0.0032627193368099205,10,0.7320000000000002,64476.0,98,0,0.0,2080.7036283912084,False,-0.05116146773746758,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,3,0.275,93222,24,10,1.0,814.2117008919822,False,0.012523989688075119,0.5,396979,0.0,0.0,16,0,0,22,5,3.5641025641025643,17,39,17,254.0,31.0,18,3,17,1104,1.5126661295071244,18.58127346355468
