index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,37.0,0,,0,0.2,30974,2,10,1.0,180.0,False,-0.0009648163632855213,0,0.2,31014,8,0,0.0,80.0,False,-0.0012864218177140285,0,0.2,44532,0,0,0.0,0.0,False,0.0,0,0.2,44532,0,0,0.0,0.0,False,0.0,0,0.2,69294,0,0,0.0,0.0,False,0.0,0,0.2,69294,0,0,0.0,0.0,False,0.0,0.16666666666666666,289640,0.0,0.0,5,0,0,0,0,0.0,485,485,134,0.0,0.0,0,0,134,200,5.581300144083798,5.581300144083798
1,134,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,37.0,0,,0,0.2,30834,6,20,1.0,380.0,False,-0.0022512381809995496,0,0.2,30954,14,0,0.0,140.0,False,-0.0022512381809995496,0,0.2,44532,0,0,0.0,0.0,False,0.0,0,0.2,44532,0,0,0.0,0.0,False,0.0,0,0.2,69294,0,0,0.0,0.0,False,0.0,0,0.2,69294,0,0,0.0,0.0,False,0.0,0.16666666666666666,289440,0.0,0.0,5,0,0,89,0,0.0,50,139,60,2032.0,93.0,128,6,60,200,11.5385299352929,17.119830079376698
2,60,0,0,0,10.0,20,10.0,12.735294117647058,23,6.3478260869565215,24.0,0,,37.0,0,,0,0.2,30849,7,15,1.0,261.02941176470586,False,-0.0036819095040087103,8,0.28,30721,23,0,0.0,230.0,False,-0.008297420724255484,0,0.2,44473,2,10,1.0,265.47058823529414,False,0.0016557822266606145,0,0.2,44445,1,10,1.0,252.73529411764707,False,0.0008840305187017255,0,0.2,69294,0,0,0.0,0.0,False,0.0,0,0.2,69294,0,0,0.0,0.0,False,0.0,0.5,289076,0.0,0.0,7,0,0,14,3,3.0,32,46,21,485.0,103.0,35,25,21,325,2.7526313457638025,19.8724614251405
3,21,0,0,0,10.0,20,10.0,10.223844282238442,21,2.9047619047619047,24.0,0,,37.0,20,37.0,0,0.2,30774,9,20,1.0,294.47688564476886,False,-0.00555610591038834,16,0.43200000000000005,30278,31,0,0.0,310.0,False,-0.02125812053772432,0,0.2,44473,0,12,0.2,288.0,False,0.0019087397826282224,0,0.2,44384,12,20,1.0,602.6861313868613,False,0.0034434354103437706,10,0.30000000000000004,69167,0,0,0.0,0.0,False,-0.0018327705140416197,10,0.30000000000000004,69164,0,0,0.0,0.0,False,-0.0018760643057118942,0.3666666666666667,288240,0.0,0.0,6,0,0,8,11,11.0,14,22,27,171.0,51.0,13,8,27,245,1.7290733577683568,21.601534782908857
4,27,0,0,0,10.0,20,10.0,9.426525067918003,7,1.0,24.0,0,,37.0,20,37.0,0,0.2,30674,9,30,1.0,372.7957520375401,False,-0.007512771723844759,7,0.48600000000000004,30044,41,0,0.0,410.0,False,-0.02717566089920885,0,0.2,44473,0,12,0.0,288.0,False,0.0019087397826282224,0,0.2,44377,9,30,1.0,804.838725611262,False,0.0055559903621133335,9,0.38000000000000006,69068,0,0,0.0,0.0,False,-0.003261465639160678,11,0.4,69032,0,0,0.0,0.0,False,-0.0037809911392039713,0.3333333333333333,287668,0.0,0.0,6,0,0,7,6,6.0,18,25,25,208.0,63.0,15,12,25,200,2.018944134004414,23.62047891691327
5,25,0,0,0,10.0,20,10.0,12.127277986693663,17,23.705882352941178,23.849056603773583,8,23.0,37.0,20,37.0,0,0.2,30964,10,24,1.0,391.0546716806479,False,0.0021073948620417013,1,0.48900000000000005,29938,50,0,0.0,500.0,False,-0.029137454171222744,0,0.2,44473,0,12,0.0,286.18867924528297,False,0.0018884024886069123,0,0.2,44158,16,32,1.0,957.2062591078533,False,0.002348942997258797,10,0.4710000000000001,68941,0,0,0.0,0.0,False,-0.0050942361532022975,10,0.48900000000000005,68733,8,0,0.0,190.79245283018867,False,-0.00671925092482624,0.3333333333333333,287207,0.0,0.0,7,0,0,9,7,7.0,19,28,21,217.0,56.0,16,9,21,784,2.101061205379665,25.721540122292936
6,21,0,0,0,10.0,20,10.0,13.839722121255118,22,20.136363636363637,24.4989939637827,2,40.0,37.0,20,37.0,0,0.2,31311,9,15,1.0,297.5958318188268,False,0.011764260497504788,3,0.518,29775,61,0,0.0,610.0,False,-0.03261079307905062,0,0.2,44553,0,10,0.0,244.98993963782698,False,0.0032222889117694176,0,0.2,43715,28,42,1.0,1416.4699658740167,False,-0.00244240135325144,8,0.5410000000000001,68855,0,0,0.0,0.0,False,-0.006335324847750166,12,0.5990000000000001,68487,10,0,0.0,244.98993963782698,False,-0.00987827272463827,0.3333333333333333,286696,0.0,0.0,7,0,0,12,7,7.0,11,23,17,187.0,37.0,14,7,17,717,1.9130420545116067,27.634582176804543
7,17,0,0,0,10.0,20,10.0,13.713235336536458,1,2.0,26.86367573185519,13,35.0,37.00000000000001,20,37.0,0,0.2,31251,5,25,1.0,392.83088341341147,False,0.011366033373213723,1,0.5250000000000001,29618,75,0,0.0,750.0,False,-0.03540876053257863,0,0.2,44553,0,10,0.0,268.6367573185519,False,0.0034877925684738634,0,0.2,44168,19,39,1.0,1308.234824936545,False,0.006514807609545337,16,0.6930000000000001,68115,13,0,0.0,349.22778451411745,False,-0.01449456096838033,4,0.6270000000000001,68459,10,0,0.0,268.6367573185519,False,-0.010111721380505227,0.3333333333333333,286164,0.0,0.0,7,0,0,13,6,6.0,11,24,14,134.0,12.0,13,4,14,655,1.4946433026343584,29.1292254794389
8,14,0,0,0,10.0,20,10.0,15.514722450459818,16,25.0,27.34976675286199,25,28.36,37.00000000000001,20,37.0,0,0.2,31551,5,19,1.0,344.7797265587365,False,0.02024152129926571,0,0.524,29518,85,0,0.0,850.0,False,-0.03701678780472117,0,0.2,44553,0,10,0.0,273.4976675286199,False,0.003542370290225188,0,0.2,44477,25,24,1.0,1044.262463330183,False,0.010489787830438666,10,0.7770000000000001,67274,38,0,0.0,1039.2911366087556,False,-0.02165201073246782,10,0.7230000000000001,68339,10,0,0.0,273.4976675286199,False,-0.011808398508322288,0.3333333333333333,285712,0.0,0.0,9,0,0,8,6,6.0,13,21,9,132.0,25.0,10,4,9,1309,1.2646410064771771,30.393866485916078
9,9,0,0,0,10.000000000000002,20,10.0,15.14415472984505,3,4.0,33.03722218207982,29,46.62068965517241,37.00000000000001,20,37.0,0,0.2,31441,6,29,1.0,499.18048716550646,False,0.01918666763950447,3,0.554,29383,94,0,0.0,940.0000000000001,False,-0.039911236894577734,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.2,45377,18,15,1.0,768.1531178684083,False,0.027599850869806083,11,0.8770000000000002,67134,38,0,0.0,1255.4144429190333,False,-0.022112921443999334,9,0.8030000000000002,66884,39,0,0.0,1288.4516651011131,False,-0.025482352980769566,0.3333333333333333,285212,0.0,0.0,7,0,0,5,6,6.0,12,17,16,94.0,39.0,6,3,16,1552,1.2408212264999747,31.634687712416053
